Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,,Category,Zone,Royalty Code,Current Specs,Min Ord Qty,Available Now     ,Available Later,On,Available Later,On,Available Later,On
GA,2014,097161,#1,HEUCHERA CARNIVAL PCH PRFT PAF,                                                            ,                                                            ,Shade foliage/flower,x,PRN,04,BHC ,, 10 ,     , 50 ,04/15/15  ,     ,          ,     ,          
CA,2011,074501S,SuperOne TM,HIB SYR BLU CHIFFON TM PP20574,"Hibiscus syriacus 'Notwoodthree' P.P. #20,574, C.B.R.A.F.   ",Blue Chiffon™  Rose of Sharon,Deciduous sumr flower'g shrub,x,DCS,05,PW  ,"12""H", 10 ,     , 132 ,04/01/15  ,     ,          ,     ,          
CA,2011,074841S,SuperOne TM,HIB SYR CHINA CHIFFON TM PPAF,"Hibiscus syriacus 'Bricutts' P.P. #12,619                   ",China Chiffon™  Rose of Sharon,Deciduous sumr flower'g shrub,x,DCS,05,PW  ,"12""H", 10 ,     , 174 ,04/01/15  ,     ,          ,     ,          
CA,2011,074832S,SuperTwo,HIB SYR SUGAR TIP R PP20579,"Hibiscus syriacus 'America Irene Scott' P.P. #20,579        ",Sugar Tip®  Rose of Sharon,Deciduous sumr flower'g shrub,x,DCS,05,PW  ,, 5 ,     , 626 ,04/01/15  ,     ,          ,     ,          
GA,    ,025101,#1,HOSTA CHRISTMAS TREE,Hosta x 'Christmas Tree'                                    ,Christmas Tree Plantain Lily                                ,Hosta,x,PRN,04,    ,CAN FULL, 10 , 473 ," 1,246 ",11/01/14  ," 1,246 ",05/01/15  ,     ,          
OR,2014,093062,#2,HOSTA ENTERPRISE,Hosta 'Enterprise'                                          ,Enterprise Hosta                                            ,Hosta,x,PRN,03,    ,2-4 EYES, 5 , 264 , 264 ,09/01/14  , 264 ,04/01/15  ,     ,          
OR,2014,075112,#2,HOSTA FANTASY ISLAND,Hosta 'Fantasy Island'                                      ,Fantasy Island Plantain Lily                                ,Hosta,x,PRN,03,    ,2-4 EYES, 5 , 306 , 306 ,09/01/14  , 306 ,04/01/15  ,     ,          
OR,2014,039471,#1,HOSTA ROSEDALE GOLDEN GOOSE,Hosta 'Rosedale Golden Goose'                               ,Rosedale Golden Goose Plantain Lily                         ,Hosta,x,PRN,03,    ,1-3 YEYS, 10 , 582 , 582 ,04/15/15  ,     ,          ,     ,          
OR,2013,016305,#5,HOSTA TOKUDAMA FLAVOCIRCINALIS,Hosta tokudama 'Flavocircinalis'                            ,Flavocircinalis Plantain Lily                               ,Hosta,x,PRN,03,    ,3-5 EYES, 5 , 4 , 176 ,04/01/15  ,     ,          ,     ,          
OR,2013,092752,#2,HYD M ENCHANTRESS R PPAF,Hydrangea macrophylla 'Monmar' P.P.A.F.                     ,Enchantress®  Hydrangea,Hydrangea,x,DCS,05,RGW ,"12""H - 12""S", 5 ," 1,241 "," 1,885 ",10/01/14  ,     ,          ,     ,          
OR,2011,074592S,SuperTwo,HYD MAC LD R MOONLIGHT PP20020,"Hydrangea	macrophylla 'Robert' P.P. #20,020, C.B.R.A.F.     ",Let's Dance®  Moonlight Hydrangea,Hydrangea,x,DCS,05,PW  ,12''H - 14''S, 5 ," 1,205 "," 2,479 ",10/01/14  ,     ,          ,     ,          
OR,2011,074582S,SuperTwo,HYD MAC LD R STARLIGHT PP20019,"Hydrangea	macrophylla 'Lynn' P.P. #20,019, C.B.R.A.F.       ",Let's Dance®  Starlight Bigleaf Hydrangea,Hydrangea,x,DCS,05,PW  ,"14""H - 14""S", 5 , 930 ," 1,504 ",10/01/14  ,     ,          ,     ,          
CA,2014,089941S,SuperOne TM,HYD PAN FIRE LIGHT TM PPAF,Hydrangea paniculata 'SMHPFL' P.P.A.F. Can. P.B.R.A.F.      ,Fire Light™  Hardy Hydrangea,Hydrangea,x,DCS,03,PW  ,"12""H - 10""S", 10 ,     , 421 ,10/01/14  , 450 ,02/01/15  ,     ,          
CA,2011,074601S,SuperOne TM,HYD PAN QUICK FIRE R PP16812,"Hydrangea	paniculata 'Bulk' P.P. #16,812, C.B.R.A.F.        ",Quick Fire®  Hardy Hydrangea,Hydrangea,x,DCS,03,PW  ,"12""H - 10""S", 10 , 395 ," 1,438 ",02/01/15  ,     ,          ,     ,          
OR,2013,080961S,SuperOne TM,HYD SER TUFF STUFF TM PPAF,Hydrangea serrata 'MAK20' P.P.A.F.                          ,Tuff Stuff™  Reblooming Mountain Hydrangea,Hydrangea,x,DCS,05,PW  ,"8""H - 8""S", 10 , 55 , 269 ,10/01/14  ,     ,          ,     ,          
GA,2011,074621S,SuperOne TM,HYPERICUM SUNNY BLVD TM P20045,"Hypericum 'Deppe' P.P. #20,045, C.B.R.A.F.                  ",Sunny Boulevard™  St. John's Wort,Deciduous sumr flower'g shrub,x,DCS,04,PW  ,"10""H - 10""S", 10 , 888 ," 1,388 ",09/01/14  ," 2,065 ",05/01/15  ,     ,          
CA,2013,072511,#1,LOBELIA X SPE RUSSIAN PRINCESS,Lobelia x speciosa 'Russian Princess'                       ,Russian Princess Lobelia                                    ,Mid spring border flowering,x,PRN,04,    ,"6""H-6""S", 10 ,     , 405 ,10/01/14  , 428 ,04/01/15  ,     ,          
OR,2013,084391,#1 STAKED,LONICERA PCHES & CREAM PP21839,"Lonicera periclymenum 'Inov 86' P.P.#21,839                 ",Peaches and Cream Honeysuckle                               ,Hardy vine,x,VIN,04,BHC ,FULL STK, 10 , 5 , 13 ,05/01/15  ,     ,          ,     ,          
CA,2011,068481,#1,OENOTHERA FREM SHIMMER PP19663,Oenothera fremontii 'Shimmer' P.P.# 19663                   ,Shimmer Evening Primrose                                    ,Mid spring border flowering,x,PRN,04,PHI ,, 10 ,     , 330 ,04/01/15  ,     ,          ,     ,          
OR,2012,067771,#1,ORIGANUM LIBANOTICUM,Origanum libanoticum                                        ,Cascading Hopflower Oregano                                 ,Mid/late border flowering,x,PRN,04,PLC ,CAN FULL, 10 , 159 , 535 ,08/15/14  , 608 ,04/01/15  ,     ,          
OR,2011,019585,#5,PAEONIA ITOH SING IN THE RAIN,Paeonia x 'Singing in the Rain'                             ,Singing in the Rain Itoh Peony                              ,Paeonia,x,PRN,04,    ,, 5 ,     , 16 ,03/01/15  ,     ,          ,     ,          
GA,2012,081525,#5 STAKED,PARTH Q RED WALL TM PPAF,Parthenocissus quinquefolia 'Troki' P.P.A.F.                ,Red Wall™  Virginia Creeper,Hardy vine,x,VIN,03,PW  ,"48""H", 5 ,     , 248 ,05/15/15  ,     ,          ,     ,          
OR,2013,084781,#1,PEROVSKIA LACEY BLUE PP20845,"Perovskia atriplicifolia 'Lisslitt' P.P.# 20,845            ",Lacey Blue Russian Sage                                     ,Mid/late tall flowering,x,PRN,04,BHC ,, 10 , 824 , 906 ,04/01/15  ,     ,          ,     ,          
OR,2013,068262,#2,PHYSOCARPUS OPU DART'S GOLD,Physocarpus opulifolius 'Dart's Gold'                       ,Dart's Gold Ninebark                                        ,Deciduous shrub/hedge,x,DCS,03,    ,12''H - 12''S, 5 , 237 , 237 ,10/01/14  ,     ,          ,     ,          
CA,    ,036292,#2,ROSA FLWR CAR R AMBER PPAF,Rosa x 'NOA97400A' P.P.A.F.                                 ,Flower Carpet®  Amber Groundcover Rose,Rosa,x,ROS,04,ATI ,"6""H - 12""S", 5 ," 16,724 "," 18,438 ",11/25/14  ," 18,438 ",04/01/15  ,     ,          
CA,2013,079572,#2,ROSA FLWR CAR R PNK SPLSH PPAF,Rosa x 'Noasplash' P.P.A.F.                                 ,Flower Carpet®  Pink Splash Groundcover Rose,Rosa,x,ROS,05,ATI ,"6""H - 10""S", 5 ," 5,089 "," 8,515 ",12/31/14  ,     ,          ,     ,          
CA,    ,036382,#2,ROSA FLWR CAR R PNK SUP P16276,"Rosa x 'NOA250092' P.P. #16,276                             ",Flower Carpet®  Pink Supreme Ground Cover Rose,Rosa,x,ROS,04,ATI ,"6""H - 10""S", 5 ," 6,780 "," 10,730 ",11/25/14  ," 14,024 ",12/31/14  ," 14,024 ",04/01/15  
CA,2012,077481S,SuperOne TM,ROSA HOME RUN R PINK PPAF,Rosa 'WEKPhom' P.P.A.F.                                     ,Home Run®  Pink Rose,Rosa,x,ROS,04,PW  ,6''H - 8''S, 10 ," 1,626 ",     ,          ,     ,          ,     ,          
CA,2012,077492S,SuperTwo,ROSA HOME RUN R RED PP18552,"Rosa 'WEKcisbako' P.P. #18,552                              ",Home Run®  Red Rose,Rosa,x,ROS,04,PW  ,"8""H - 10""S", 5 , 31 ,     ,          ,     ,          ,     ,          
CA,2011,074961S,SuperOne TM,ROSA OSO EASY R CHERRYPIE PPAF,Rosa x 'Meiboulka' P.P.A.F.                                 ,Oso Easy®  Cherry Pie Rose,Rosa,x,ROS,04,PW  ,6''H - 12''S, 10 ," 1,189 ",     ,          ,     ,          ,     ,          
OR,2013,080732S,SuperTwo,ROSA OSO EASY R STBY CR P20601,"Rosa x 'Hormeteorie' P.P.#20,601 Can. P.B.R.A.F.            ",Oso Easy®  Strawberry Crush Rose,Rosa,x,ROS,04,PW  ,"12""H - 14""S", 5 , 200 ,     ,          ,     ,          ,     ,          
OR,2011,074971S,SuperOne TM,ROSA OSO HPY TM CNDY OH!P20471,"Rosa x 'ZleMatinCipar' P.P. #20,471                         ",Oso Happy™  Candy Oh! Landscape Rose,Rosa,x,ROS,04,PW  ,"12""H - 10""S", 10 , 980 ,     ,          ,     ,          ,     ,          
OR,2014,004085,#5,SAMBUCUS N BLACK TOWER TM PPAF,"Sambucus nigra 'EIFFEL 1' P.P.#23,633                       ",Black Tower Elderberry                                      ,Deciduous sumr flower'g shrub,x,DCS,04,BHC ,, 5 ,     , 292 ,04/15/15  ,     ,          ,     ,          
GA,2013,007331,#1,SEDUM SSPRKLR R DZLBRY PP22457,"Sedum 'Razzleberry' P.P.# 22,457                            ",Sunsparkler®  Dazzleberry Sedum,Succulent/cactus/yucca,x,PRN,04,    ,, 10 ,     , 570 ,05/01/15  ,     ,          ,     ,          
OR,2011,075031S,SuperOne TM,SPIRAEA DBLPLAY R BIGBANG PPAF,Spiraea japonica 'Tracy' P.P.A.F.                           ,Double Play®  Big Bang Spirea,Deciduous sumr flower'g shrub,x,DCS,04,PW  ,10''H - 10''S, 10 , 645 , 947 ,10/01/14  ,     ,          ,     ,          
CA,2013,081712,#2,VACCINIUM PEACH SORBET TM PPAF,"Vaccinium corymbosum 'ZF06-043' P.P.#23,325                 ",BrazelBerries®  Peach Sorbet™  Blueberry,Edible berries/fruit,x,DCS,05,FCF ,"10""H - 10""S", 5 ,     ," 5,426 ",11/15/14  ," 5,426 ",04/01/15  ,     ,          
OR,New ,409762,#2,WEIGELA CRMSN KISSES TM P23654,"Weigela 'Slingco 1' P.P. #23,654                            ",Crimson Kisses™  Weigela,Deciduous sumr flower'g shrub,x,DCS,05,VBN ,, 5 ,     , 125 ,10/01/14  ,     ,          ,     ,          
OR,2013,080941S,SuperOne TM,WEIGELA SONIC BLOOM TM PNK PAF,Weigela florida 'Bokrasopin' P.P.A.F.                       ,Sonic Bloom™  Pink Reblooming Weigela,Deciduous sumr flower'g shrub,x,DCS,04,PW  ,"6""H - 8""S", 10 , 13 , 46 ,10/01/14  ,     ,          ,     ,          
CA,2012,090151,#1,YUCCA FIL COLOR GUARD,Yucca filamentosa 'Color Guard'                             ,Color Guard Adam's Needle                                   ,Grass-like plant,x,EVS,04,    ,"9""H - 6""S", 10 ,     ," 1,159 ",12/31/14  ,     ,          ,     ,          
