Item,Early Ship,Mid-Ship,Late Ship,Size,Loc,Minimum Quantity,Botanical Name,Common Name,Category,,Zone,Introduced, Oregon   , California  , Georgia   , Connecticut  ,UPC#,Available         ,Available Later,,On,Available Later,On,Available Later,On,, 2015 Price , Freight 
014412,,,,2,CT,5,Chamaecyparis pisifera 'Vintage Gold'                       ,Vintage Gold Thread-Branch Cypress,CON,CON,03,2014,,,, $14.86 ,014949002391,1318,2344,1417,09/01/14  ,927,01/01/15  ,0,          ,, $13.75 , $1.11 
014415,,,,5,CT,5,Chamaecyparis pisifera 'Vintage Gold'                       ,Vintage Gold False Cypress                                  ,CON,con,03,2014,,,, $30.05 ,014949386934,290,500,500,06/15/15  ,0,          ,0,          ,, $27.00 , $3.05 
401805,,,,5,CT,5,Chamecyparis Night Light,Night Light Hinoki Cypress,CON,Con,05,    ,,,, $33.05 ,014949389744,0,735,735,06/15/15  ,0,          ,0,          ,, $30.00 , $3.05 
035352,,,,2,CT,5,Cryptomeria japonica 'Black Dragon'                         ,Black Dragon Japanese Cedar                                 ,CON,CON,05,    ,,,, $14.36 ,014949402238,278,0,0,          ,0,          ,0,          ,, $13.25 , $1.11 
035355,,,,5,CT,5,Cryptomeria japonica 'Black Dragon'                         ,Black Dragon Japanese Cedar                                 ,CON,CON,05,    ,,,, $31.05 ,014949265093,267,336,336,09/01/14  ,0,          ,0,          ,, $28.00 , $3.05 
030509,,,,15,GA,1,Cupressocyparis leylandii                                 ,Leyland Cypress                                             ,CON,CON,05,    ,,, $98.26 ,,014949027950,67,67,67,01/01/15  ,0,          ,0,          ,, $79.00 , $19.26 
030507,,,,7,GA,2,Cupressocyparis leylandii                                 ,Leyland Cypress                                             ,CON,CON,05,    ,,, $57.41 ,,014949305072,0,39,39,05/15/15  ,0,          ,0,          ,, $48.00 , $9.41 
030521,,,,1,CA,10,Cupressocyparis leylandii 'Castlewellan'                  ,Golden Leyland Cypress                                      ,CON,con,05,    ,, $8.34 ,,,014949305218,5,0,0,          ,0,          ,0,          ,, $7.25 , $1.09 
030519,,,,15,GA,1,Cupressocyparis leylandii Emerald Isle® ,Emerald Isle®  Leyland Cypress,CON,con,05,    ,,, $103.26 ,,014949027967,21,21,21,01/01/15  ,0,          ,0,          ,, $84.00 , $19.26 
030515,,,,5,CA,5,Cupressocyparis leylandii Emerald Isle®                      ,Emerald Isle®  Leyland Cypress,CON,CON,05,    ,, $30.96 ,,,014949305157,0,192,192,02/01/15  ,0,          ,0,          ,, $25.50 , $5.46 
030517,,,,7,CA,2,Cupressocyparis leylandii Emerald Isle®                      ,Emerald Isle®  Leyland Cypress,CON,CON,05,    ,, $72.66 , $68.41 ,,014949305171,149,11,11,0,0,0,0,0,, $59.00 , $13.66 
047575,,,,5,OR,5,Cupressus macrocarpa 'Donard Gold'                          ,Donard Gold Monterey Cypress                                ,CON,con,07,    , $32.73 ,,,,014949311523,77,0,0,          ,0,          ,0,          ,, $27.50 , $5.23 
030755,,,,5,CA,5,Cupressus sempervirens 'Swane's Golden'                     ,Swane's Golden Italian Cypress                              ,CON,con,07,    ,, $28.96 ,,,014949307557,0,5,5,05/01/15  ,0,          ,0,          ,, $23.50 , $5.46 
030731,,,,1,OR,10,Cupressus sempervirens Tiny Tower®,Tiny Tower®  Italian Cypress,CON,CON,07,    , $10.05 ,,,,014949307311,0,1624,812,10/01/14  ,812,05/01/15  ,0,          ,, $9.00 , $1.05 
