Loc,Item,Description,Botanical Name,Common Name,,,,,,,,,,,,,,,,,
GA,054441,ECHINACEA FLAME THROWER P21932,"Echinacea purpurea 'Flame Thrower' P.P.# 21, 932            ",Flame Thrower Echinacea                                     ,,,,,,,,,,,,,,,,,
GA,054971,ECHINACEA HOT LAVA PPAF,"Echinacea 'Hot Lava' P.P.# 22,807                           ",Hot Lava Coneflower                                         ,,,,,,,,,,,,,,,,,
GA,002991,ECHINACEA POWWOW R WILDBERRY,Echinacea purpurea 'PAS702917'                              ,PowWow®  Wild Berry Coneflower,,,,,,,,,,,,,,,,,
GA,059741,ECHINACEA PUR HOT PAPAYA PPAF,Echinacea purpurea 'Hot Papaya'                             ,Hot Papaya Coneflower                                       ,,,,,,,,,,,,,,,,,
GA,039581,ECHINACEA PUR MERLOT PP18814,Echinacea purpurea 'Merlot' P.P.# 18814                     ,Merlot Coneflower                                           ,,,,,,,,,,,,,,,,,
GA,048651,ECHINACEA TIKI TORCH PP18839,Echinacea purpurea 'Tiki Torch' P.P.# 18839                 ,Tiki Torch Coneflower                                       ,,,,,,,,,,,,,,,,,
GA,031902,ELAEAGNUS EBBINGEI,Elaeagnus x ebbingei                                        ,Ebbinge's Silverberry                                       ,,,,,,,,,,,,,,,,,
GA,035641,FATSIA JAPONICA,Fatsia japonica                                             ,Japanese Aralia                                             ,,,,,,,,,,,,,,,,,
GA,036851,FICUS PUMILA,Ficus pumila                                                ,Creeping Fig                                                ,,,,,,,,,,,,,,,,,
GA,412651,GAILLARDIA SUNSET CANDY PPAF,Gaillardia x grandiflora 'Sunset Candy'                     ,Sunset Candy Blanket Flower                                 ,,,,,,,,,,,,,,,,,
GA,037701,GARDENIA AUGUST BEAUTY,Gardenia jasminoides 'August Beauty'                        ,August Beauty Gardenia                                      ,,,,,,,,,,,,,,,,,
GA,037671,GARDENIA FIRST LOVE R,Gardenia jasminoides 'Aimee'                                ,First Love®  Gardenia,,,,,,,,,,,,,,,,,
GA,037672,GARDENIA FIRST LOVE R,Gardenia jasminoides 'Aimee'                                ,First Love®  Gardenia,,,,,,,,,,,,,,,,,
GA,037675,GARDENIA FIRST LOVE R,Gardenia jasminoides 'Aimee'                                ,First Love®  Gardenia,,,,,,,,,,,,,,,,,
GA,028091,GAURA L PINK CLOUD,Gaura lindheimeri 'Pink Cloud'                              ,Pink Cloud Gaura                                            ,,,,,,,,,,,,,,,,,
GA,017275,GELSEMIUM DOUBLE SHOT R,Gelsemium sempervirens & G. rankinii                        ,Double Shot®  Jessamine,,,,,,,,,,,,,,,,,
GA,038161,GELSEMIUM RANKINII,Gelsemium rankinii                                          ,Swamp Jessamine                                             ,,,,,,,,,,,,,,,,,
GA,038165,GELSEMIUM RANKINII,Gelsemium rankinii                                          ,Swamp Jessamine                                             ,,,,,,,,,,,,,,,,,
GA,038105,GELSEMIUM SEMPERVIRENS,Gelsemium sempervirens                                      ,Carolina Jessamine                                          ,,,,,,,,,,,,,,,,,
GA,005455,GR-MIS SIN DIXIELAND,Miscanthus sinensis 'Dixieland'                             ,Dwarf Variegated Maiden Grass                               ,,,,,,,,,,,,,,,,,
GA,061641,GR-MIS SIN YAKUSHIMA,Miscanthus sinensis 'Yakushima'                             ,Dwarf Maiden Grass                                          ,,,,,,,,,,,,,,,,,
GA,024673,GR-MUHLEN CAP REGAL MIST R,Muhlenbergia capillaris 'Lenca'                             ,Regal Mist®  Pink Muhly,,,,,,,,,,,,,,,,,
