,,,Future Plant Availability,,,,,,,,,,,,,,,,,,
,,,For:10/13/14  6:38:24   ,,,,,,,,,,,,,,,,,,
,,,Spring 2015         ,,,,,,,,,,,,,,,,,,
OPRPJ038RA,Rep#:  600009,"Bradley, Craig",,,,,,,,,,,,,,,,,,,
Loc,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
OR,059461,#1,DELOSPERMA MESA VERDE PP13876,Delosperma 'Kelaidis' P.P.# 13876                           ,Mesa Verde®  Ice Plant,Ground cover,PRN,04,PLC, 5.25 ,BUDS & BLOOMS,CAN FULL, 19 , 10 , 19 , 19 ,03/01/15  ,     ,          ,     ,          
OR,05946UT,LittleOne,DELOSPERMA MESA VERDE PP13876,Delosperma 'Kelaidis' P.P.# 13876                           ,Mesa Verde®  Ice Plant,Ground cover,PRN,04,PLC, 3.10 ,BUDS & BLOOMS,CAN FULL, 17 , 16 , 17 , 17 ,03/01/15  ,     ,          ,     ,          
CT,05946UT,LittleOne,DELOSPERMA MESA VERDE PP13876,Delosperma 'Kelaidis' P.P.# 13876                           ,Mesa Verde®  Ice Plant,Ground cover,PRN,04,PLC, 3.10 ,,,     , 16 ,     ," 1,484 ",05/01/15  , 222 ,05/15/15  ,     ,          
CT,059681,#1,DIANTHUS FIRE STAR PP14895,Dianthus 'Fire Star' P.P.# 14895                            ,Fire Star Maiden Pink                                       ,Mid spring border flowering,PRN,05,, 5.50 ,-,CAN FULL,     , 10 , 55 ,     ,          ,     ,          ,     ,          
GA,059681,#1,DIANTHUS FIRE STAR PP14895,Dianthus 'Fire Star' P.P.# 14895                            ,Fire Star Maiden Pink                                       ,Mid spring border flowering,PRN,05,, 5.50 ,,CAN FULL, 15 , 10 ,     , 15 ,05/15/15  ,     ,          ,     ,          
CT,094501,#1,DIANTHUS RASP SURPRISE PP16029,"Dianthus 'Devon Yolande' P.P. #16,029                       ",Raspberry Surprise Maiden Pink                              ,Mid spring border flowering,PRN,04,, 4.90 ,,,     , 10 ,     , 663 ,06/01/15  , 929 ,06/01/15  ,     ,          
GA,094501,#1,DIANTHUS RASP SURPRISE PP16029,"Dianthus 'Devon Yolande' P.P. #16,029                       ",Raspberry Surprise Maiden Pink                              ,Mid spring border flowering,PRN,04,, 4.90 ,,CAN FULL, 20 , 10 ,     , 20 ,04/15/15  ,     ,          ,     ,          
CT,00481UT,LittleOne,DICENTRA KING OF HEARTS,Dicentra x 'King of Hearts'                                 ,King Of Hearts Bleeding Heart                               ,Early spring border flowering,PRN,02,, 3.10 ,,,     , 16 ,     , 520 ,04/01/15  ,     ,          ,     ,          
OR,050611,#1,DRIMYS LANCEOLATA,Drimys lanceolata                                           ,Mountain Pepper                                             ,Evergreen small shrub/hedge,EVS,07,HIN, 7.25 ,-,10''H - 6''S,     , 10 , 494 , 647 ,04/15/15  ,     ,          ,     ,          
OR,050615,#5,DRIMYS LANCEOLATA,Drimys lanceolata                                           ,Mountain Pepper                                             ,Evergreen small shrub/hedge,EVS,07,HIN, 23.50 ,-,24''H - 18''S,     , 5 , 245 , 245 ,06/01/15  , 670 ,05/15/15  ,     ,          
GA,038921,#1,ECHINACEA MAC'N CHEESE PP19464,Echinacea 'Mac 'N Cheese' P.P.# 19464                       ,Mac 'N Cheese Coneflower                                    ,Mid/late interm. flowering,PRN,04,, 6.95 ,,, 30 , 10 ,     , 30 ,04/15/15  ,     ,          ,     ,          
GA,059741,#1,ECHINACEA PUR HOT PAPAYA PPAF,Echinacea purpurea 'Hot Papaya'                             ,Hot Papaya Coneflower                                       ,Mid/late interm. flowering,PRN,04,, 6.95 ,,CAN FULL, 2 , 10 ,     , 2 ,04/01/15  ,     ,          ,     ,          
CT,059741S,SuperOne TM,ECHINACEA PUR HOT PAPAYA PPAF,Echinacea purpurea 'Hot Papaya'                             ,Hot Papaya Coneflower                                       ,Mid/late interm. flowering,PRN,04,, 8.50 ,,,     , 10 ,     , 40 ,04/15/15  ,     ,          ,     ,          
GA,053981,#1,ERYNGIUM X BIG BLUE PPAF,Eryngium x 'Big Blue' P.P.A.F.                              ,Sea Holly                                                   ,Mid/late tall flowering,PRN,04,, 6.35 ,-,, 19 , 10 ,     , 19 ,05/15/15  , 130 ,05/01/15  ,     ,          
OR,005081,#1,FERN-POLYSTICHUM X DYCEI,Polystichum x Dycei                                         ,Dyce's Holly Fern                                           ,Fern,FRN,06,OLD, 6.75 ,-,"10""H - 8""S", 20 , 10 , 20 ,     ,          ,     ,          ,     ,          
OR,005082,#2,FERN-POLYSTICHUM X DYCEI,Polystichum x Dycei                                         ,Dyce's Holly Fern                                           ,Fern,FRN,06,OLD, 15.50 ,-,14''S, 10 , 5 , 21 ,     ,          ,     ,          ,     ,          
