item,Description,branch
077891,SEDUM REFLEXUM LEMON CORAL,170000
06533UT,SEDUM REQUINEI,170000
06367UT,SEDUM RUBROTINCTUM AURORA,170000
063671,SEDUM RUBROTINCTUM AURORA,170000
04487UT,SEDUM RUP ANGELINA PPAF,170000
044871,SEDUM RUP ANGELINA PPAF,170000
06368UT,SEDUM SIEBOLDII,170000
063681,SEDUM SIEBOLDII,170000
063681S,SEDUM SIEBOLDII,170000
03428UT,SEDUM SPATH CAPE BLANCO,170000
034281,SEDUM SPATH CAPE BLANCO,170000
03517UT,SEDUM SPURIUM VOODOO,170000
035171,SEDUM SPURIUM VOODOO,170000
08748UT,SEDUM SSPKLR R CHERRY TART PAF,170000
087481,SEDUM SSPKLR R CHERRY TART PAF,170000
00733UT,SEDUM SSPRKLR R DZLBRY PP22457,170000
00730UT,SEDUM SSPRKLR R LIME ZNGR PPAF,170000
046311,SEDUM STRAWBERRIES & CREAM,170000
042721,SEDUM TATARINOWII,170000
039011,SEDUM TELEPHIUM RUP HAB GRAY,170000
039011S,SEDUM TELEPHIUM RUP HAB GRAY,170000
058541,SEDUM TELEPHIUM XENOX PP16888,170000
06987UT,SEDUM TETRACTINUM CORAL REEF,170000
069871,SEDUM TETRACTINUM CORAL REEF,170000
07073UT,SEDUM TRICOLOR,170000
070731,SEDUM TRICOLOR,170000
07091UT,SEDUM VERA JAMESON,170000
070911,SEDUM VERA JAMESON,170000
02504UT,SEDUM X AUTUMN FIRE,170000
025041,SEDUM X AUTUMN FIRE,170000
07074UT,SEDUM X AUTUMN JOY,170000
070741,SEDUM X AUTUMN JOY,170000
070741S,SEDUM X AUTUMN JOY,170000
039001,SEDUM X CARL,170000
068661,SEMPERVIVUM ARACH CEBENESE,170000
08673UT,SEMPERVIVUM ARACH COBWEB,170000
069971,SEMPERVIVUM ARACH RED COBWEB,170000
06550UT,SEMPERVIVUM ARACHNOIDEUM,170000
065501,SEMPERVIVUM ARACHNOIDEUM,170000
06559UT,SEMPERVIVUM BLACK,170000
065591,SEMPERVIVUM BLACK,170000
06560UT,SEMPERVIVUM GREEN WHEEL,170000
065601,SEMPERVIVUM GREEN WHEEL,170000
06598UT,SEMPERVIVUM HARDY MIX,170000
077901,SEMPERVIVUM HYBRID VORTEX TM,170000
069881,SEMPERVIVUM JUNGLE SHADOWS,170000
06561UT,SEMPERVIVUM KREBS DES ROSE,170000
065611,SEMPERVIVUM KREBS DES ROSE,170000
06563UT,SEMPERVIVUM RED RUBIN,170000
08613UT,SEMPERVIVUM REGAL,170000
074141,SEMPERVIVUM ROYAL RUBY,170000
04491UT,SEMPERVIVUM RUBIKON,170000
044911,SEMPERVIVUM RUBIKON,170000
05696UT,SEMPERVIVUM RUBY HEARTS,170000
056961,SEMPERVIVUM RUBY HEARTS,170000
070011,SEMPERVIVUM SILVER KING,170000
07007UT,SEMPERVIVUM TECTORUM GREENII,170000
070071,SEMPERVIVUM TECTORUM GREENII,170000
068681,SENECIO MANDRALISCAE,170000
070231,SENECIO SERPENS,170000
077911,SENECIO VITALIS SERPENTS,170000
06527UT,Use Item # 06368UT,170000
047825,YUCCA BACCATA,170000
047835,YUCCA ELATA,170000
090151,YUCCA FIL COLOR GUARD,170000
090152,YUCCA FIL COLOR GUARD,170000
077231,YUCCA FIL GOLDEN SWORD,170000
077232,YUCCA FIL GOLDEN SWORD,170000
077235,YUCCA FIL GOLDEN SWORD,170000
077221,YUCCA FIL IVORY TOWER,170000
077222,YUCCA FIL IVORY TOWER,170000
077225,YUCCA FIL IVORY TOWER,170000
050341,YUCCA GLO BRIGHT STAR PP17653,170000
050342,YUCCA GLO BRIGHT STAR PP17653,170000
050345,YUCCA GLO BRIGHT STAR PP17653,170000
092572,YUCCA GLORIOSA VARIEGATA,170000
092575,YUCCA GLORIOSA VARIEGATA,170000
077362,YUCCA R BANANA SPLIT R P14616,170000
