Location,New Plant / Size,Item,Size,Plant Name,Common Name,CAT,Zone,2015 List Price,2015 NET PRICE,Casino Interior/Container,Casino Exterior,Early Spring,Mid Spring,Late Spring,Summer,ORDER QTY,QTY AVAIL NOW,"2ND 
QTY AVAIL","2ND 
QTY READY DATE",DESCRIPTION / NOTES
CA,    ,005251,#1,AZALEA IND ROSE GLOW,Rose Glow Azalea                                            ,RHO,09,6.25,5.63,X,,,X,,,,, 160 ,04/05/15  ,
CA,    ,005252,#2,AZALEA IND ROSE GLOW,Rose Glow Azalea                                            ,RHO,09,15.25,13.73,X,,,X,,,,155,     ,          ,
CA,    ,005601,#1,AZALEA S BRILLIANT,Brilliant Azalea                                            ,RHO,08,6.25,5.63,X,,,X,,,,1468,     ,          ,
CA,    ,005605,#5,AZALEA S BRILLIANT,Brilliant Azalea                                            ,RHO,08,21.00,18.90,X,,,X,,,,390,     ,          ,
CA,    ,005755,#5,AZALEA S GEORGE L TABER,George L. Taber Azalea                                      ,RHO,08,21.00,18.90,X,,,X,,,,89,     ,          ,
CA,    ,005951,#1,AZALEA S IMP PRINCESS™ ,Imperial Princess™  Azalea,RHO,08,6.25,5.63,X,,,X,,,,453,     ,          ,
CA,    ,006051,#1,AZALEA S LITTLE JOHN,Little John Azalea                                          ,RHO,08,6.25,5.63,X,,,X,,,,, 94 ,04/05/15  ,
CA,    ,004831,#1,AZALEA S MISTRAL,Mistral Azalea                                              ,RHO,08,6.25,5.63,X,,,X,,,,726,     ,          ,
CA,    ,004835,#5,AZALEA S MISTRAL,Mistral Azalea                                              ,RHO,08,21.00,18.90,X,,,X,,,,144,     ,          ,
CA,    ,006151,#1,AZALEA S NUCCIO'S CARNIVAL,Nuccio's Carnival Azalea                                    ,RHO,08,6.25,5.63,X,,,X,,,,160,     ,          ,
CA,    ,006155,#5,AZALEA S NUCCIO'S CARNIVAL,Nuccio's Carnival Azalea                                    ,RHO,08,21.00,18.90,X,,,X,,,,32,     ,          ,
CA,    ,006301,#1,AZALEA S PHOENICIA,Phoenicia Azalea                                            ,RHO,08,6.25,5.63,X,,,X,,,,1589,     ,          ,
CA,    ,006305,#5,AZALEA S PHOENICIA,Phoenicia Azalea                                            ,RHO,08,21.00,18.90,X,,,X,,,,, 424 ,04/01/15  ,
CA,    ,006401,#1,AZALEA S RED RUFFLES,Red Ruffles Azalea                                          ,RHO,08,6.25,5.63,X,,,X,,,,5827,     ,          ,
CA,    ,006402,#2,AZALEA S RED RUFFLES,Red Ruffles Azalea                                          ,RHO,08,15.25,13.73,X,,,X,,,,263,     ,          ,
CA,    ,006405,#5,AZALEA S RED RUFFLES,Red Ruffles Azalea                                          ,RHO,08,21.00,18.90,X,,,X,,,,260,     ,          ,
CA,    ,006501,#1,AZALEA S SOUTHERN CHARM,Southern Charm Azalea                                       ,RHO,08,6.25,5.63,X,,,X,,,,, 27 ,03/29/15  ,
CA,    ,006505,#5,AZALEA S SOUTHERN CHARM,Southern Charm Azalea                                       ,RHO,08,21.00,18.90,X,,,X,,,,234,     ,          ,
CA,    ,007361,#1,AZALEA SK GETSUTOKU,Getsutoku Azalea                                            ,RHO,07,6.25,5.63,X,,,X,,,,50,     ,          ,
OR,,053492,#2,BAM-BORINDA BOLIANA (Clump),Giant Blue Bamboo                                           ,GRS,08,24.50,22.05,X,,,X,X,X,,685, 309 ,04/01/15  ,
CA,,011325,#5,BAM-TULDOIDES (Clump),Punting Pole Bamboo,GRS,09,54.00,48.60,X,,,X,X,X,,264,     ,          ,
CA,,011327,#7,BAM-TULDOIDES (Clump),Punting Pole Bamboo,GRS,09,74.00,66.60,X,,,X,X,X,,235,     ,          ,
CA,,011335,#5,BAM-VENTRICOSA (Clump),Buddha's Belly Bamboo,GRS,09,46.50,41.85,X,,,,X,X,,, 40 ,05/01/15  ,
CA,    ,002192,#2,BAPTISIA AUSTRALIS,Blue False Indigo                                           ,PRN,03,14.75,13.28,X,,X,X,,,,, 151 ,04/01/15  ,
OR,,050021,#1,BEESIA DELTOPHYLLA,Beesia                                                      ,PRN,06,6.35,5.72,X,,,,X,X,,," 1,544 ",04/01/15  ,
CA,    ,012511,#1 STAKED,BIGNONIA CAP TANGERINE BEAUTY,Tangerine Beauty Crossvine                                  ,VIN,06,8.75,7.88,,X,,X,,,,60,     ,          ,
CA,    ,012701,#1 STAKED,BOUG BARBARA KARST,Barbara Karst Bougainvillea                                 ,VIN,10,7.25,6.53,X,,X,X,X,X,,565,,,Red Flower; climbing form; can be a houseplant
CA,    ,035041BH,#1 BUSH,BOUG BENGAL ORANGE,Bengal Orange Bougainvillea                                 ,VIN,10,7.25,6.53,X,,,X,X,X,,, 524 ,04/01/15  ,Variegated green & white foliage and pinkish-orange flowers. Bush form; can be a houseplant
CA,    ,012901,#1 STAKED,BOUG CAMARILLO FIESTA™ ,Camarillo Fiesta™  Bougainvillea,VIN,10,7.25,6.53,X,,X,X,X,X,,, 35 ,03/15/15  ,Hot pink to gold flowers. Climbing form
CA,    ,012905,#5 STAKED,BOUG CAMARILLO FIESTA™ ,Camarillo Fiesta™  Bougainvillea,VIN,10,24.50,22.05,X,,X,X,X,X,,, 218 ,03/15/15  ,
CA,    ,013035,#5 STAKED,BOUG DON MARIO® ,Don Mario®  Bougainvillea,VIN,10,24.50,22.05,X,,X,X,X,X,,160,,,
CA,    ,012661,#1 STAKED,BOUG GOLD RUSH™ ,Gold Rush™  Bougainvillea,VIN,10,7.25,6.53,X,,,X,X,X,,, 73 ,04/01/15  ,Heavy flowering gold variety. Climbing form; can be a houseplant
CA,    ,016482,#2 STAKED,BOUG GOLDEN JACKPOT® ,Golden Jackpot®  Bougainvillea,VIN,10,19.00,17.10,X,,,X,X,X,,, 13 ,04/01/15  ,Variegated green & gold foliage with purple flowers. Bush & climbing form; can be a houseplant
CA,    ,013121,#1 STAKED,BOUG JAMES WALKER,James Walker Bougainvillea                                  ,VIN,10,7.25,6.53,X,,,X,X,X,,," 1,775 ",04/01/15  ,Heavy flowering variety with reddish-purple flowers. Climbing form
CA,    ,013125,#5 STAKED,BOUG JAMES WALKER,James Walker Bougainvillea                                  ,VIN,10,24.50,22.05,X,,,X,X,X,,, 29 ,04/01/15  ,
CA,    ,013191,#1 STAKED,BOUG MARY PALMERS ENCHANTMT,Mary Palmer's Enchantment Bougainvillea                     ,VIN,10,7.25,6.53,X,,,X,X,X,,, 57 ,04/01/15  ,White flower bracts. Climbing form; Think weddings; can be a houseplant
CA,    ,013051,#1 STAKED,BOUG PURPLE QUEEN® ,Purple Queen®  Bougainvillea,VIN,10,7.75,6.98,X,,,X,X,X,,," 1,346 ",04/01/15  ,Heavy flowering variety with purple flowers. Bush & climbing form; can be a houseplant
