,New Plant,Item,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,,,,,,,,,Available Later,On,Available Later,On
,2010,048625,CHOISYA TERN SUNDANCE,Choisya ternata 'Sundance'                                  ,Sundance Mexican Orange Blossom                             ,Evergreen early flower'g shrub,EVS,07,,,,,,,,,,     ,          ,     ,          
,2011,074395,ABELIA CHIN RUBY ANNIV TM PPAF,Abelia grandifolia 'Keiser' P.P.A.F.                        ,Ruby Anniversary™  Abelia,Evergreen sumr flower'g shrub,EVS,05,PW,,,,,,,,,     ,          ,     ,          
,2010,051485,CLEM VANCOUVER TM DANIELLE,Clematis x 'Danielle'                                       ,Vancouver™  Danielle Clematis,Clematis,VIN,04,,,,,,,,,,     ,          ,     ,          
,2010,048741,CLEM VANCOUVER TM STARRY NGHTS,Clematis x 'Starry Nights'                                  ,Vancouver™  Starry Nights Clematis,Clematis,VIN,04,OLD,,,,,,,,,     ,          ,     ,          
,2010,048741,CLEM VANCOUVER TM STARRY NGHTS,Clematis x 'Starry Nights'                                  ,Vancouver™  Starry Nights Clematis,Clematis,VIN,04,OLD,,,,,,,,, 306 ,06/15/15  ,     ,          
,2010,048742,CLEM VANCOUVER TM STARRY NGHTS,Clematis x 'Starry Nights'                                  ,Vancouver™  Starry Nights Clematis,Clematis,VIN,04,OLD,,,,,,,,,     ,          ,     ,          
,2014,400343,ABELIA SUNSHNE DAYDRM PP20961,"Abelia x grandiflora 'Sunshine Daydream' P.P.#20,961        ",Sunshine Daydream Abelia                                    ,Evergreen sumr flower'g shrub,EVS,06,BHC,,,,,,,,,     ,          ,     ,          
,2014,03182M,ACER PAL SHIN DESHOJO,Acer palmatum 'Deshojo'                                     ,Deshojo Japanese Maple                                      ,Japanese maple,TRE,05,,,,,,,,,,     ,          ,     ,          
,2010,055201,CLEM X MRS. SPENCER CASTLE,Clematis 'Mrs. Spencer Castle'                              ,Mrs. Spencer Castle Clematis                                ,Clematis,VIN,04,,,,,,,,,,     ,          ,     ,          
,2014,031825,ACER PAL SHIN DESHOJO,Acer palmatum 'Deshojo'                                     ,Deshojo Japanese Maple                                      ,Japanese maple,TRE,05,,,,,,,,,,     ,          ,     ,          
,2014,049585,ACER PSEUDO ESKIMO SUNSET,Acer pseudoplatanus 'Esk Sunset'                            ,Eskimo Sunset Sycamore Maple                                ,Ornamental tree,TRE,05,,,,,,,,,,     ,          ,     ,          
,2010,068081,CORE BIGBANG TM RDSHFT PP20412,"Coreopsis x 'Redshift' P.P.# 20,412                         ",Big Bang™  Redshift Tickseed,Mid/late border flowering,PRN,05,SBN,,,,,,,,,     ,          ,     ,          
,2010,068081,CORE BIGBANG TM RDSHFT PP20412,"Coreopsis x 'Redshift' P.P.# 20,412                         ",Big Bang™  Redshift Tickseed,Mid/late border flowering,PRN,05,SBN,,,,,,,,,     ,          ,     ,          
,2010,05934UT,COREOPSIS GRAND RISING SUN,Coreopsis grandiflora 'Rising Sun'                          ,Rising Sun Tickseed                                         ,Mid/late border flowering,PRN,04,OLD,,,,,,,,,     ,          ,     ,          
,2010,048081,COREOPSIS JETHRO TULL PP18789,Coreopsis 'Jethro Tull' P.P.# 18789                         ,Jethro Tull Tickseed                                        ,Mid/late border flowering,PRN,05,,,,,,,,,,     ,          ,     ,          
,2010,048081,COREOPSIS JETHRO TULL PP18789,Coreopsis 'Jethro Tull' P.P.# 18789                         ,Jethro Tull Tickseed                                        ,Mid/late border flowering,PRN,05,,,,,,,,,,     ,          ,     ,          
,2010,048082,COREOPSIS JETHRO TULL PP18789,Coreopsis 'Jethro Tull' P.P.# 18789                         ,Jethro Tull Tickseed                                        ,Mid/late border flowering,PRN,05,,,,,,,,,,     ,          ,     ,          
,2010,045285,CORNUS ALBA PRAIRIE FIRE AUREA,Cornus alba 'Prairie Fire'                                  ,Prairie Fire Dogwood                                        ,Deciduous shrub/hedge,DCS,02,,,,,,,,,,     ,          ,     ,          
,2010,059461,DELOSPERMA MESA VERDE PP13876,Delosperma 'Kelaidis' P.P.# 13876                           ,Mesa Verde®  Ice Plant,Ground cover,PRN,04,PLC,,,,,,,,,     ,          ,     ,          
,2010,05946UT,DELOSPERMA MESA VERDE PP13876,Delosperma 'Kelaidis' P.P.# 13876                           ,Mesa Verde®  Ice Plant,Ground cover,PRN,04,PLC,,,,,,,,,     ,          ,     ,          
,2010,05946UT,DELOSPERMA MESA VERDE PP13876,Delosperma 'Kelaidis' P.P.# 13876                           ,Mesa Verde®  Ice Plant,Ground cover,PRN,04,PLC,,,,,,,,, 222 ,05/15/15  ,     ,          
,2010,059681,DIANTHUS FIRE STAR PP14895,Dianthus 'Fire Star' P.P.# 14895                            ,Fire Star Maiden Pink                                       ,Mid spring border flowering,PRN,05,,,,,,,,,,     ,          ,     ,          
,2010,059681,DIANTHUS FIRE STAR PP14895,Dianthus 'Fire Star' P.P.# 14895                            ,Fire Star Maiden Pink                                       ,Mid spring border flowering,PRN,05,,,,,,,,,,     ,          ,     ,          
,2010,094501,DIANTHUS RASP SURPRISE PP16029,"Dianthus 'Devon Yolande' P.P. #16,029                       ",Raspberry Surprise Maiden Pink                              ,Mid spring border flowering,PRN,04,,,,,,,,,, 929 ,06/01/15  ,     ,          
,2010,094501,DIANTHUS RASP SURPRISE PP16029,"Dianthus 'Devon Yolande' P.P. #16,029                       ",Raspberry Surprise Maiden Pink                              ,Mid spring border flowering,PRN,04,,,,,,,,,,     ,          ,     ,          
,2010,00481UT,DICENTRA KING OF HEARTS,Dicentra x 'King of Hearts'                                 ,King Of Hearts Bleeding Heart                               ,Early spring border flowering,PRN,02,,,,,,,,,,     ,          ,     ,          
,2010,050611,DRIMYS LANCEOLATA,Drimys lanceolata                                           ,Mountain Pepper                                             ,Evergreen small shrub/hedge,EVS,07,HIN,,,,,,,,,     ,          ,     ,          
,2010,050615,DRIMYS LANCEOLATA,Drimys lanceolata                                           ,Mountain Pepper                                             ,Evergreen small shrub/hedge,EVS,07,HIN,,,,,,,,, 670 ,05/15/15  ,     ,          
,2010,038921,ECHINACEA MAC'N CHEESE PP19464,Echinacea 'Mac 'N Cheese' P.P.# 19464                       ,Mac 'N Cheese Coneflower                                    ,Mid/late interm. flowering,PRN,04,,,,,,,,,,     ,          ,     ,          
,2010,059741,ECHINACEA PUR HOT PAPAYA PPAF,Echinacea purpurea 'Hot Papaya'                             ,Hot Papaya Coneflower                                       ,Mid/late interm. flowering,PRN,04,,,,,,,,,,     ,          ,     ,          
,2010,059741S,ECHINACEA PUR HOT PAPAYA PPAF,Echinacea purpurea 'Hot Papaya'                             ,Hot Papaya Coneflower                                       ,Mid/late interm. flowering,PRN,04,,,,,,,,,,     ,          ,     ,          
,2010,053981,ERYNGIUM X BIG BLUE PPAF,Eryngium x 'Big Blue' P.P.A.F.                              ,Sea Holly                                                   ,Mid/late tall flowering,PRN,04,,,,,,,,,, 130 ,05/01/15  ,     ,          
,2010,005081,FERN-POLYSTICHUM X DYCEI,Polystichum x Dycei                                         ,Dyce's Holly Fern                                           ,Fern,FRN,06,OLD,,,,,,,,,     ,          ,     ,          
,2010,005082,FERN-POLYSTICHUM X DYCEI,Polystichum x Dycei                                         ,Dyce's Holly Fern                                           ,Fern,FRN,06,OLD,,,,,,,,,     ,          ,     ,          
,2010,068351,FRAGARIA ALBION R PP16228,"Fragaria x ananassa 'Albion' P.P.#16,228                    ",Albion Strawberry                                           ,Edible berries/fruit,PRN,03,OLD,,,,,,,,,     ,          ,     ,          
,2010,06835UT,FRAGARIA ALBION R PP16228,"Fragaria x ananassa 'Albion' P.P.#16,228                    ",Albion Strawberry                                           ,Edible berries/fruit,PRN,03,OLD,,,,,,,,,     ,          ,     ,          
,2010,068341,FRAGARIA TRISTAR,Fragaria Tristar                                            ,Tristar Strawberry                                          ,Edible berries/fruit,PRN,04,,,,,,,,,,     ,          ,     ,          
,2010,068341,FRAGARIA TRISTAR,Fragaria Tristar                                            ,Tristar Strawberry                                          ,Edible berries/fruit,PRN,04,,,,,,,,,,     ,          ,     ,          
,2010,068361,FRAGARIA X SEASCAPE R,Fragaria x ananassa 'Seascape'                              ,Seascape Strawberry                                         ,Edible berries/fruit,PRN,04,OLD,,,,,,,,, 737 ,06/01/15  ,     ,          
,2010,068361,FRAGARIA X SEASCAPE R,Fragaria x ananassa 'Seascape'                              ,Seascape Strawberry                                         ,Edible berries/fruit,PRN,04,OLD,,,,,,,,,     ,          ,     ,          
,2010,06836FLT,FRAGARIA X SEASCAPE R,Fragaria x ananassa 'Seascape'                              ,Seascape Strawberry                                         ,Edible berries/fruit,PRN,04,OLD,,,,,,,,,     ,          ,     ,          
,2010,06836UT,FRAGARIA X SEASCAPE R,Fragaria x ananassa 'Seascape'                              ,Seascape Strawberry                                         ,Edible berries/fruit,PRN,04,OLD,,,,,,,,, 76 ,06/01/15  ,     ,          
,2010,092061,GR-MUHLEN LIND AUTUMN GLOW TM,Muhlenbergia lindheimeri 'Leni'                             ,Autumn Glow™  Muhly,Large grass,GRS,06,MSW,,,,,,,,,     ,          ,     ,          
,2010,092065,GR-MUHLEN LIND AUTUMN GLOW TM,Muhlenbergia lindheimeri 'Leni'                             ,Autumn Glow™  Muhly,Large grass,GRS,06,MSW,,,,,,,,,     ,          ,     ,          
,2010,050961,HEBE JASPER,Hebe 'Jasper'                                               ,Hebe Jasper                                                 ,Evergreen early flower'g shrub,EVS,07,,,,,,,,,,     ,          ,     ,          
,2010,059932,HEM ROSY RETURNS,Hemerocallis x 'Rosy Returns'                               ,Happy Ever Appster(R) Daylily                               ,Hemerocallis,PRN,04,,,,,,,,,,     ,          ,     ,          
,2010,041171,HEUCHERELLA SWEET TEA PPAF,"Heucherella 'Sweet Tea' P.P.#21,296                         ",Sweet Tea Foamy Bells                                       ,Shade foliage/flower,PRN,04,TNN,,,,,,,,,     ,          ,     ,          
,2010,044671,HOSTA STAINED GLASS PPAF,Hosta x 'Stained Glass' P.P.A.F.                            ,Stained Glass Plantain Lily                                 ,Hosta,PRN,03,OLD,,,,,,,,, 687 ,05/12/15  ,     ,          
,2010,044672,HOSTA STAINED GLASS PPAF,Hosta x 'Stained Glass' P.P.A.F.                            ,Stained Glass Plantain Lily                                 ,Hosta,PRN,03,OLD,,,,,,,,,     ,          ,     ,          
,2010,043121,KNIPHOFIA HIR FIRE DANCE,Kniphofia hirsuta 'Fire Dance'                              ,Fire Dance Dwarf Poker                                      ,Mid/late interm. flowering,PRN,04,,,,,,,,,,     ,          ,     ,          
,2010,043121,KNIPHOFIA HIR FIRE DANCE,Kniphofia hirsuta 'Fire Dance'                              ,Fire Dance Dwarf Poker                                      ,Mid/late interm. flowering,PRN,04,,,,,,,,,,     ,          ,     ,          
,2010,06224UT,LEPTINELLA X PLATT'S BLACK,Leptinella x 'Platt's Black'                                ,Platt's Black Brass Buttons                                 ,Ground cover,PRN,04,,,,,,,,,,     ,          ,     ,          
,2010,06224UT,LEPTINELLA X PLATT'S BLACK,Leptinella x 'Platt's Black'                                ,Platt's Black Brass Buttons                                 ,Ground cover,PRN,04,,,,,,,,,,     ,          ,     ,          
,2010,062311,LYSIMACHIA NUMMULARIA AUREA,Lysimachia nummularia 'Aurea'                               ,Golden Creeping Jenny                                       ,Ground cover,PRN,03,,,,,,,,,,     ,          ,     ,          
,2010,06231UT,LYSIMACHIA NUMMULARIA AUREA,Lysimachia nummularia 'Aurea'                               ,Golden Creeping Jenny                                       ,Ground cover,PRN,03,,,,,,,,,,     ,          ,     ,          
,2013,006241,ACHILLEA MILL SUMMER BERRIES,Achillea millefolium 'Summer Berries'                       ,Summer Berries Yarrow                                       ,Mid/late border flowering,PRN,03,,,,,,,,,,     ,          ,     ,          
,2012,056411,ACTINIDIA TETRA  VAR MALOIDES,Actinidia tetramera var. maloides                           ,Rosy Crabapple Kiwi                                         ,Tropical flowering vine,VIN,06,HIN,,,,,,,,,     ,          ,     ,          
,2011,050011,AGAPANTHUS BLUE LEAP,Agapanthus 'Blue Leap'                                      ,Blue Leap Lily of the Nile                                  ,Grass-like plant,DCS,07,HIN,,,,,,,,, 159 ,06/01/15  ,     ,          
,2011,050002,AGAPANTHUS INAPTERUS GRASKOP,Agapanthus inapertus 'Graskop'                              ,Graskop Lily of the Nile                                    ,Grass-like plant,DCS,07,HIN,,,,,,,,,     ,          ,     ,          
,2014,018561,AGASTACHE AUR-HYB TANGO,Agastache aurantiaca 'Tango'                                ,Tango Hummingbird Mint                                      ,Mid/late interm. flowering,PRN,06,,,,,,,,,, 23 ,04/01/15  ,     ,          
,2014,018561S,AGASTACHE AUR-HYB TANGO,Agastache aurantiaca 'Tango'                                ,Tango Hummingbird Mint                                      ,Mid/late interm. flowering,PRN,06,,,,,,,,,,     ,          ,     ,          
,2011,068771S,AGAVE FILIFERA,Agave filifera ssp. filifera                                ,Thread Agave                                                ,Succulent/cactus/yucca,CAC,07,,,,,,,,,,     ,          ,     ,          
,2013,074172,AGAVE UTAHENSIS SSP UTAHENSIS,Agave utahensis ssp. utahensis                              ,Utah Agave                                                  ,Succulent/cactus/yucca,CAC,06,,,,,,,,,,     ,          ,     ,          
,2010,058521,MALVA ARBOREUS VAR BIG MOMMA,Malvaviscus drummondii 'Big Momma'                          ,Big Momma Turk's Cap                                        ,Mid/late tall flowering,PRN,07,,,,,,,,,, 581 ,06/01/15  ,     ,          
,2010,058531,MELAMPODIUM LEU PLAINS BLKFOOT,Melampodium leucanthum                                      ,Blackfoot Daisy                                             ,Mid/late border flowering,PRN,05,,,,,,,,,,     ,          ,     ,          
,2010,05853UT,MELAMPODIUM LEU PLAINS BLKFOOT,Melampodium leucanthum                                      ,Blackfoot Daisy                                             ,Mid/late border flowering,PRN,05,,,,,,,,,,     ,          ,     ,          
,2010,058641,MONARDA PETER'S PURPLE,Monarda fistulosa 'Peter's Purple'                          ,Peter's Purple Bee Balm                                     ,Mid/late interm. flowering,PRN,06,,,,,,,,,,     ,          ,     ,          
,2010,068721,OENOTHERA KUN GLOWING MAGENTA,Oenothera kunthiana 'Glowing Magenta'                       ,Glowing Magenta Evening Primrose                            ,Mid spring border flowering,PRN,05,,,,,,,,,,     ,          ,     ,          
,2010,069502,OPUNTIA BASILARIS BABY RITA,Opuntia basilaris hyb. 'Baby Rita'                          ,Baby Rita Prickly Pear                                      ,Succulent/cactus/yucca,CAC,07,,,,,,,,,,     ,          ,     ,          
,2010,064241,ORIGANUM VULGARE HOT & SPICY,Origanum vulgare 'Hot & Spicy'                              ,Hot & Spicy Oregano                                         ,Edible berries/fruit,PRN,06,,,,,,,,,, 253 ,06/01/15  ,     ,          
,2010,047085,PAEONIA ITOH KEIKO TM (PK D D),Paeonia (Intersectional hybrid) x 'Pink Double Dandy'       ,Keiko™ (Adored) Itoh Peony,Paeonia,PRN,04,DRS,,,,,,,,,     ,          ,     ,          
,2014,06696UT,ANACYCLUS PYR DEP SILBERKISSEN,Anacyclus depressus 'Silberkissen'                          ,Silver Kisses Mount Atlas Daisy                             ,Mid/late interm. flowering,PRN,05,,,,,,,,,,     ,          ,     ,          
,2013,039021,ANEMONE X WILD SWAN TM PP23132,"Anemone x 'Macane001' Wild Swan™  P.P.# 23,132",Wild Swan™  Hybrid Anemone,Mid/late border flowering,PRN,06,PPP,,,,,,,,,     ,          ,     ,          
,2010,047075,PAEONIA ITOH YUMI TM (YLW),Paeonia (Intersectional hybrid) x 'Yellow Doodle Dandy'     ,Yumi™  (Beauty) Itoh Peony,Paeonia,PRN,04,DRS,,,,,,,,,     ,          ,     ,          
,2010,058341,PENSTEMON CHERRY GLOW,Penstemon x 'Cherry Glow'                                   ,Cherry Glow Beardtongue                                     ,Mid spring interm. flowering,PRN,07,,,,,,,,,,     ,          ,     ,          
,2010,058342,PENSTEMON CHERRY GLOW,Penstemon x 'Cherry Glow'                                   ,Cherry Glow Beardtongue                                     ,Mid spring interm. flowering,PRN,07,,,,,,,,,,     ,          ,     ,          
,2010,062561,PHLOX SUBULATA FORT HILLS,Phlox subulata 'Fort Hills'                                 ,Fort Hills Creeping Phlox                                   ,Mid spring border flowering,PRN,03,,,,,,,,,,     ,          ,     ,          
,2010,06257UT,PHLOX SUBULATA SCARLET FLAME,Phlox subulata 'Scarlet Flame'                              ,Scarlet Flame Creeping Phlox                                ,Mid spring border flowering,PRN,03,,,,,,,,,,     ,          ,     ,          
,2010,033265,PICEA ENG BUSH'S LACE,Picea engelmannii 'Bush's Lace'                             ,Bush's Lace Engleman Spruce                                 ,Picea,CON,03,,,,,,,,,,     ,          ,     ,          
,2010,021532,PICEA OMORIKA PIMOKO,Picea omorika 'Pimoko'                                      ,Pimoko Serbian Spruce                                       ,Picea,CON,02,,,,,,,,,,     ,          ,     ,          
,2010,01939M,PICEA PUN THE BLUES,Picea pungens 'The Blues'                                   ,The Blues Blue Spruce                                       ,Picea,CON,02,,,,,,,,,,     ,          ,     ,          
,2010,04683M,PINUS THUN THUNDERHEAD,Pinus thunbergii 'Thunderhead'                              ,Thunderhead Japanese Black Pine                             ,Pinus,CON,05,,,,,,,,,,     ,          ,     ,          
,2010,058194PTC,PLATYCODON GR ASTRA PINK IMP,Platycodon 'Astra Pink'                                     ,Astra Pink Balloon Flower                                   ,Mid/late border flowering,PRN,05,,,,,,,,,,     ,          ,     ,          
,2010,058174PTC,PLATYCODON GR ASTRA S-DBL BLUE,Platycodon grandiflora 'Astra Double Blue'                  ,Astra Double Blue Balloon Flower                            ,Mid/late border flowering,PRN,03,,,,,,,,,,     ,          ,     ,          
,2010,035162ST,PODOCARPUS LAW PURPLE KING,Podocarpus lawrencii 'Purple King'                          ,Purple King Mountain Plum Pine                              ,Temperate conifer,CON,07,,,,,,,,,,     ,          ,     ,          
,2010,06143MT,PRUNUS X GLEASON ELBERTA PEACH,Prunus persica 'Gleason Early Elberta'                      ,Gleason Early Elberta Peach                                 ,Edible berries/fruit,TRE,05,,,,,,,,,, 79 ,06/01/15  ,     ,          
,2010,05996MT,PRUNUS X SANTA ROSA PLUM,Prunus salicina 'Santa Rosa'                                ,Santa Rosa Plum                                             ,Edible berries/fruit,TRE,05,,,,,,,,,,     ,          ,     ,          
,2010,06801MT,PUNICA GR ANGEL RED R PP16578,"Punica granatum 'Smith' P.P.#16,578 Angel Red® ",Angel Red®  Pomegranate,Edible berries/fruit,DCS,07,ARP,,,,,,,,,     ,          ,     ,          
,2010,068012,PUNICA GR ANGEL RED R PP16578,"Punica granatum 'Smith' P.P.#16,578 Angel Red® ",Angel Red®  Pomegranate,Edible berries/fruit,DCS,07,ARP,,,,,,,,,     ,          ,     ,          
,2013,039021,ANEMONE X WILD SWAN TM PP23132,"Anemone x 'Macane001' Wild Swan™  P.P.# 23,132",Wild Swan™  Hybrid Anemone,Mid/late border flowering,PRN,06,PPP,,,,,,,,,     ,          ,     ,          
,2010,068015ES,PUNICA GR ANGEL RED R PP16578,"Punica granatum 'Smith' P.P.#16,578 Angel Red® ",Angel Red®  Pomegranate,Edible berries/fruit,DCS,07,ARP,,,,,,,,,     ,          ,     ,          
,2010,068015PT,PUNICA GR ANGEL RED R PP16578,"Punica granatum 'Smith' P.P.#16,578 Angel Red® ",Angel Red®  Pomegranate,Edible berries/fruit,DCS,07,ARP,,,,,,,,,     ,          ,     ,          
,2010,06152MT,PYRUS X COMICE PEAR,Pyrus communis                                              ,Comice Pear                                                 ,Edible berries/fruit,TRE,05,,,,,,,,,,     ,          ,     ,          
,2010,06163MT,PYRUS X HOSUI PEAR,Pyrus pyrifolia 'Hosui'                                     ,Hosui Asian Pear                                            ,Edible berries/fruit,TRE,06,,,,,,,,,,     ,          ,     ,          
,2010,039869,QUERCUS NUTTALLII CHARISMA R,Quercus nuttallii 'MonPowe'                                 ,Charisma®  Nuttall Oak,Deciduous shade tree,TRE,05,MPO,,,,,,,,," 12,461 ",04/01/15  ,     ,          
,2010,039865,QUERCUS NUTTALLII CHARISMA R,Quercus nuttallii 'MonPowe'                                 ,Charisma®  Nuttall Oak,Deciduous shade tree,TRE,05,MPO,,,,,,,,,     ,          ,     ,          
,2010,046751,RHAPH U RUTRHAPH STHRN MOON TM,"Rhaphiolepis umbellata 'RutRhaph1' P.P.# 20,730             ",Southern Moon®  Yedda Hawthorn,Evergreen early flower'g shrub,EVS,07,UOG,,,,,,,,," 2,387 ",05/01/15  ,     ,          
,2010,046751,RHAPH U RUTRHAPH STHRN MOON TM,"Rhaphiolepis umbellata 'RutRhaph1' P.P.# 20,730             ",Southern Moon®  Yedda Hawthorn,Evergreen early flower'g shrub,EVS,07,UOG,,,,,,,,,     ,          ,     ,          
,2010,04675M,RHAPH U RUTRHAPH STHRN MOON TM,"Rhaphiolepis umbellata 'RutRhaph1' P.P.# 20,730             ",Southern Moon®  Yedda Hawthorn,Evergreen early flower'g shrub,EVS,07,UOG,,,,,,,,,     ,          ,     ,          
,2010,046752,RHAPH U RUTRHAPH STHRN MOON TM,"Rhaphiolepis umbellata 'RutRhaph1' P.P.# 20,730             ",Southern Moon®  Yedda Hawthorn,Evergreen early flower'g shrub,EVS,07,UOG,,,,,,,,,     ,          ,     ,          
,2010,046753,RHAPH U RUTRHAPH STHRN MOON TM,"Rhaphiolepis umbellata 'RutRhaph1' P.P.# 20,730             ",Southern Moon®  Yedda Hawthorn,Evergreen early flower'g shrub,EVS,07,UOG,,,,,,,,,     ,          ,     ,          
,2010,046755,RHAPH U RUTRHAPH STHRN MOON TM,"Rhaphiolepis umbellata 'RutRhaph1' P.P.# 20,730             ",Southern Moon®  Yedda Hawthorn,Evergreen early flower'g shrub,EVS,07,UOG,,,,,,,,, 501 ,06/01/15  ,     ,          
