Loc,Item,Plant Name,CAT,Zone,,,,,,,,
160000,015161,POLYGONATUM FAL VARIEGATUM,PRN,04,,,,,,,,
170000,066601,POLYGONUM AUBERTII,VIN,05,,,,,,,,
170000,066605,POLYGONUM AUBERTII,VIN,05,,,,,,,,
160000,412841,POTENTILLA TWINKLING STAR,PRN,04,,,,,,,,
170000,066845,PROSOPIS CHIL-THORNLESS,TRE,08,,,,,,,,
160000,084701,PULMONARIA DE VROOMAN'S PRIDE,PRN,03,,,,,,,,
160000,011061,PULMONARIA RASP SPLASH PP12138,PRN,04,,,,,,,,
160000,035611,PULMONARIA TREVI FOUNTN P13047,PRN,04,,,,,,,,
170000,069711,RATIBIDA COLUMNIFERA,PRN,04,,,,,,,,
170000,021371,RHAPH INDICA BALLERINA,EVS,08,,,,,,,,
170000,021372,RHAPH INDICA BALLERINA,EVS,08,,,,,,,,
170000,021375,RHAPH INDICA BALLERINA,EVS,08,,,,,,,,
160000,032232,RODGERSIA X FIREWORKS,PRN,05,,,,,,,,
170000,070321,ROSMARINUS HUNTINGTON CARPET,EVS,08,,,,,,,,
170000,021301,ROSMARINUS OFF BBQ,EVS,08,,,,,,,,
170000,021304P,ROSMARINUS OFF BBQ,EVS,08,,,,,,,,
160000,070281,ROSMARINUS OFF TUSCAN BLUE,EVS,08,,,,,,,,
170000,070281,ROSMARINUS OFF TUSCAN BLUE,EVS,08,,,,,,,,
160000,070282,ROSMARINUS OFF TUSCAN BLUE,EVS,08,,,,,,,,
170000,070282,ROSMARINUS OFF TUSCAN BLUE,EVS,08,,,,,,,,
170000,070282CN,ROSMARINUS OFF TUSCAN BLUE,EVS,08,,,,,,,,
170000,070284P,ROSMARINUS OFF TUSCAN BLUE,EVS,08,,,,,,,,
170000,070285CN,ROSMARINUS OFF TUSCAN BLUE,EVS,08,,,,,,,,
170000,07028EPT,ROSMARINUS OFF TUSCAN BLUE,EVS,08,,,,,,,,
160000,041361,ROSMARINUS ROMAN BTY PP18192,EVS,08,,,,,,,,
170000,041361,ROSMARINUS ROMAN BTY PP18192,EVS,08,,,,,,,,
160000,041362,ROSMARINUS ROMAN BTY PP18192,EVS,08,,,,,,,,
160000,071011,RUDBECKIA FULGIDA GOLDSTURM,PRN,03,,,,,,,,
160000,057471,RUDBECKIA HIR TIGER EYE,PRN,03,,,,,,,,
170000,044192,RUELLIA BRITTONIANA,PRN,08,,,,,,,,
170000,069691S,RUSSELIA EQUISETIFORMIS,PRN,09,,,,,,,,
170000,089241S,RUSSELIA X ST ELMO'S FIRE TM,PRN,08,,,,,,,,
170000,090471,SALVIA AMISTAD PPAF,PRN,08,,,,,,,,
170000,070481,SALVIA GREGGII FURMAN'S RED,PRN,05,,,,,,,,
170000,022651,SALVIA HOT LIPS,PRN,08,,,,,,,,
170000,022652,SALVIA HOT LIPS,PRN,08,,,,,,,,
170000,091401,SALVIA L SANTA BARBARA PP12949,PRN,09,,,,,,,,
170000,091405,SALVIA L SANTA BARBARA PP12949,PRN,09,,,,,,,,
170000,023111,SALVIA NAVAJO TM BRIGHT RED,PRN,08,,,,,,,,
160000,412691,SALVIA NEM BLUE MARVEL PPAF,PRN,04,,,,,,,,
170000,412691,SALVIA NEM BLUE MARVEL PPAF,PRN,04,,,,,,,,
160000,019541,SALVIA NEM MARCUS R PP13322,PRN,04,,,,,,,,
170000,019542,SALVIA NEM MARCUS R PP13322,PRN,04,,,,,,,,
160000,020411,SALVIA NEMOROSA CARADONNA,PRN,04,,,,,,,,
170000,020411,SALVIA NEMOROSA CARADONNA,PRN,04,,,,,,,,
170000,020412,SALVIA NEMOROSA CARADONNA,PRN,04,,,,,,,,
160000,070591,SALVIA NEMOROSA EAST FRIESLAND,PRN,04,,,,,,,,
170000,070591,SALVIA NEMOROSA EAST FRIESLAND,PRN,04,,,,,,,,
170000,070592,SALVIA NEMOROSA EAST FRIESLAND,PRN,04,,,,,,,,
160000,407941,SALVIA SNSATION R DEEP ROS PAF,PRN,04,,,,,,,,
170000,407941,SALVIA SNSATION R DEEP ROS PAF,PRN,04,,,,,,,,
160000,400271,SALVIA SNSATION R SKY BLUE PAF,PRN,04,,,,,,,,
170000,400271,SALVIA SNSATION R SKY BLUE PAF,PRN,04,,,,,,,,
160000,070261,SALVIA X SYL MAY NIGHT,PRN,04,,,,,,,,
160000,070264PTC,SALVIA X SYL MAY NIGHT,PRN,04,,,,,,,,
160000,030321,SALVIA X SYL SNOW HILL,PRN,04,,,,,,,,
160000,070971,SCABIOSA COL BUTTERFLY BLUE,PRN,03,,,,,,,,
160000,088961,SCABIOSA COL GIGA TM BLUE,PRN,03,,,,,,,,
160000,06501UT,SEDUM ACRE,PRN,03,,,,,,,,
160000,06500UT,SEDUM ALB C BABY TEARS,PRN,04,,,,,,,,
160000,029141,SEDUM BLUE SPRUCE,PRN,03,,,,,,,,
160000,070941,SEDUM BRONZE CARPET,PRN,03,,,,,,,,
170000,070941,SEDUM BRONZE CARPET,PRN,03,,,,,,,,
160000,07094UT,SEDUM BRONZE CARPET,PRN,03,,,,,,,,
160000,03028UT,SEDUM DRAGON'S BLOOD,PRN,03,,,,,,,,
160000,092351,SEDUM ELSIE GOLD PP20368,PRN,04,,,,,,,,
170000,011811,SEDUM FROSTY MORN,PRN,04,,,,,,,,
170000,011821,SEDUM JOHN CREECH,PRN,03,,,,,,,,
160000,06524UT,SEDUM PACHYCLADOS,PRN,05,,,,,,,,
170000,063671,SEDUM RUBROTINCTUM AURORA,PRN,09,,,,,,,,
160000,044871,SEDUM RUP ANGELINA PPAF,PRN,03,,,,,,,,
170000,044871,SEDUM RUP ANGELINA PPAF,PRN,03,,,,,,,,
160000,034281,SEDUM SPATH CAPE BLANCO,PRN,05,,,,,,,,
160000,035171,SEDUM SPURIUM VOODOO,PRN,03,,,,,,,,
160000,03517UT,SEDUM SPURIUM VOODOO,PRN,03,,,,,,,,
160000,087481,SEDUM SSPKLR R CHERRY TART PAF,PRN,04,,,,,,,,
160000,08748UT,SEDUM SSPKLR R CHERRY TART PAF,PRN,04,,,,,,,,
160000,41272UT,SEDUM SSPKLR R FIRE CRACKR PAF,PRN,04,,,,,,,,
160000,007331,SEDUM SSPRKLR R DZLBRY PP22457,PRN,04,,,,,,,,
160000,00733UT,SEDUM SSPRKLR R DZLBRY PP22457,PRN,04,,,,,,,,
160000,007301,SEDUM SSPRKLR R LIME ZNGR PPAF,PRN,04,,,,,,,,
160000,00730UT,SEDUM SSPRKLR R LIME ZNGR PPAF,PRN,04,,,,,,,,
160000,046311,SEDUM STRAWBERRIES & CREAM,PRN,04,,,,,,,,
160000,069871,SEDUM TETRACTINUM CORAL REEF,PRN,05,,,,,,,,
170000,069871,SEDUM TETRACTINUM CORAL REEF,PRN,05,,,,,,,,
160000,070911,SEDUM VERA JAMESON,PRN,04,,,,,,,,
170000,070911,SEDUM VERA JAMESON,PRN,04,,,,,,,,
170000,025041,SEDUM X AUTUM FIRE,PRN,03,,,,,,,,
160000,057161,SEDUM X AUTUMN CHARM PP14421,PRN,03,,,,,,,,
170000,057161,SEDUM X AUTUMN CHARM PP14421,PRN,03,,,,,,,,
160000,025041,SEDUM X AUTUMN FIRE,PRN,03,,,,,,,,
160000,070741,SEDUM X AUTUMN JOY,PRN,04,,,,,,,,
170000,070741,SEDUM X AUTUMN JOY,PRN,04,,,,,,,,
170000,069971,SEMPERVIVUM ARACH RED COBWEB,PRN,04,,,,,,,,
170000,065591,SEMPERVIVUM BLACK,PRN,04,,,,,,,,
170000,065601,SEMPERVIVUM GREEN WHEEL,PRN,04,,,,,,,,
160000,06560UT,SEMPERVIVUM GREEN WHEEL,PRN,04,,,,,,,,
170000,065611,SEMPERVIVUM KREBS DES ROSE,PRN,04,,,,,,,,
160000,04491UT,SEMPERVIVUM RUBIKON,PRN,04,,,,,,,,
160000,056961,SEMPERVIVUM RUBY HEARTS,PRN,04,,,,,,,,
160000,05696UT,SEMPERVIVUM RUBY HEARTS,PRN,04,,,,,,,,
170000,068681,SENECIO MANDRALISCAE,CAC,10,,,,,,,,
170000,070231,SENECIO SERPENS,CAC,10,,,,,,,,
170000,070901,SOLANUM JASMINOIDES,VIN,09,,,,,,,,
170000,070905,SOLANUM JASMINOIDES,VIN,09,,,,,,,,
170000,070961,SOLANUM RANT ROYAL ROBE,EVS,09,,,,,,,,
170000,070965,SOLANUM RANT ROYAL ROBE,EVS,09,,,,,,,,
170000,070965PT,SOLANUM RANT ROYAL ROBE,EVS,09,,,,,,,,
160000,071031,SOLIDAGO CROWN OF RAYS,PRN,04,,,,,,,,
170000,071005PT,SOPHORA SECUNDIFLORA,EVS,08,,,,,,,,
160000,012091,STACHYS BIG EARS,PRN,04,,,,,,,,
160000,012111,STACHYS SILVER CARPET,PRN,04,,,,,,,,
170000,071552,STEPHANOTIS FLORIBUNDA,VIN,10,,,,,,,,
170000,071555,STEPHANOTIS FLORIBUNDA,VIN,10,,,,,,,,
