Loc,Item,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code
CT,071863,SYRINGA MEYERI PALIBIN,Syringa meyeri 'Palibin'                                    ,Dwarf Korean Lilac                                          ,Deciduous early flower'g Shrub,DCS,03,
OR,071972,SYRINGA PATULA,Syringa pubescens subsp. patula                             ,Korean Lilac                                                ,Deciduous early flower'g Shrub,DCS,04,
CT,072025,SYRINGA PATULA MISS KIM,Syringa pubescens subsp. patula 'Miss Kim'                  ,Miss Kim Korean Lilac                                       ,Deciduous early flower'g Shrub,DCS,04,
CT,071937,SYRINGA RET IVORY SILK,Syringa reticulata 'Ivory Silk' (C.O.P.F. 845240)           ,Ivory Silk Japanese Tree Lilac                              ,Deciduous early flower'g Shrub,DCS,04,
CT,406867,SYRINGA RET SNWDNC TM P20458,"Syringa reticulata 'Bailnce' P.P.# 20,458                   ",First Editions®  Snowdance™  Japanese Tree Lilac,Deciduous early flower'g Shrub,DCS,03,BNI
CT,086423S,SYRINGA SCNT & SNSIBILTY TM PK,Syringa x 'Scent and Sensibility' PPAF                      ,Scent and Sensibility™  Pink Lilac,Deciduous early flower'g Shrub,DCS,03,PW
CT,406815,SYRINGA SGR PLM FAIRY R P15588,"Syringa vulgaris 'Bailsugar' PP#15,588                      ",Sugar Plum Fairy®  Lilac,Deciduous early flower'g Shrub,DCS,03,BNI
CT,012165,SYRINGA TINKERBELLE TM PP12294,"Syringa x 'Bailbelle' PP #12,294                            ",Tinkerbelle®  Lilac,Deciduous early flower'g Shrub,DCS,03,BNI
OR,071805,SYRINGA V ANGEL WHITE,Syringa vulgaris 'Angel White' (Descanso Hybrid)            ,Angel White Lilac                                           ,Deciduous early flower'g Shrub,DCS,03,
OR,071791S,SYRINGA V BLUE SKIES R,Syringa vulgaris 'Monore'                                   ,Blue Skies®  Lilac,Deciduous early flower'g Shrub,DCS,03,
OR,072105,SYRINGA V CHARLES JOLY,Syringa vulgaris 'Charles Joly'                             ,Charles Joly Lilac                                          ,Deciduous early flower'g Shrub,DCS,03,
OR,072151S,SYRINGA V LAVENDER LADY,Syringa vulgaris 'Lavender Lady'                            ,Lavender Lady Lilac                                         ,Deciduous early flower'g Shrub,DCS,03,
OR,072165,SYRINGA V SENSATION,Syringa vulgaris 'Sensation'                                ,Sensation Lilac                                             ,Deciduous early flower'g Shrub,DCS,03,
CT,406923,SYRINGA V TINY DANCER TM,Syringa vulgaris 'Elsdancer'                                ,Tiny Dancer™  Lilac,Deciduous early flower'g Shrub,DCS,03,PNL
CT,406895,SYRINGA VULGARIS,Syringa vulgaris                                            ,Common Purple Lilac                                         ,Deciduous early flower'g Shrub,DCS,03,
CT,077513S,WEIGELA FL SPILLED WINE TM PAF,Weigela florida 'Bokraspiwi' P.P.A.F.                       ,Spilled Wine™  Weigela,Deciduous sumr flower'g shrub,DCS,04,PW
OR,076562S,WEIGELA FL WINE&ROSES R P10772,"Weigela florida 'Alexandra' P.P. #10,772, C.B.R. #2,642     ",Wine & Roses®  Weigela,Deciduous sumr flower'g shrub,DCS,04,PW
OR,017571,WEIGELA MAGICAL R FNTSY P13567,Weigela florida 'Kolsunn' P.P.# 13567                       ,Magical®  Fantasy Weigela,Deciduous sumr flower'g shrub,DCS,04,PNL
CT,407353,WEIGELA SHNG SENSATION TM PPAF,Weigela florida 'Bokrashine' P.P.A.F.                       ,First Editions®  Shining Sensation Weigela,Deciduous sumr flower'g shrub,DCS,04,BNI
OR,080941S,WEIGELA SONIC BLOOM TM PNK PAF,Weigela florida 'Bokrasopin' P.P.A.F.                       ,Sonic Bloom™  Pink Reblooming Weigela,Deciduous sumr flower'g shrub,DCS,04,PW
CT,080933S,WEIGELA SONIC BLOOM TM RED PAF,Weigela florida 'Verweil4' P.P.A.F.                         ,Sonic Bloom™  Red Reblooming Weigela,Deciduous sumr flower'g shrub,DCS,04,PW
GA,066375,PLUMBAGO ROYAL CAPE R,Plumbago auriculata 'Monott'                                ,Royal Cape®  Plumbago,Evergreen sumr flower'g shrub,EVS,09,
GA,058241,ACHILLEA APRICOT DLGHT PP18738,"Achillea millefolium 'Apricot Delight' P.P.# 18,738         ",Tutti Frutti Apricot Delight Yarrow                         ,Mid/late border flowering,PRN,03,
GA,05856UT,ACHILLEA MILL APPLEBLOSSOM,Achillea millefolium 'Appleblossom'                         ,Appleblossom Yarrow                                         ,Mid/late border flowering,PRN,03,
OR,407531,ACHILLEA MILL PRETTY BELINDA,Achillea millefolium 'Pretty Belinda'                       ,Pretty Belinda Yarrow                                       ,Mid/late border flowering,PRN,03,
OR,029061,ACHILLEA MILL RED VELVET,Achillea millefolium 'Red Velvet'                           ,Red Velvet Yarrow                                           ,Mid/late border flowering,PRN,03,
GA,024961,ACHILLEA MILL SUMMERWINE,Achillea millefolium 'Summerwine'                           ,Summerwine Yarrow                                           ,Mid/late border flowering,PRN,03,
OR,000511,ACHILLEA OERTEL'S ROSE,Achillea millefolium 'Oertel's Rose'                        ,Oertel's Rose Yarrow                                        ,Mid/late border flowering,PRN,03,
OR,058251,ACHILLEA STRWBRY SDCTN P18401,"Achillea millefolium 'Strawberry Seduction' P.P.# 18,401    ",Strawberry Seduction Yarrow                                 ,Mid/late border flowering,PRN,03,
GA,000561,ACHILLEA X CORONATION GOLD,Achillea x 'Coronation Gold'                                ,Coronation Gold Yarrow                                      ,Mid/late border flowering,PRN,02,
OR,001351,ACHILLEA X MOONSHINE,Achillea x 'Moonshine'                                      ,Moonshine Yarrow                                            ,Mid/late border flowering,PRN,03,
CA,058471,AGASTACHE AUR APRICOT SPRITE,Agastache aurantiaca 'Apricot Sprite'                       ,Apricot Sprite Hyssop                                       ,Mid/late interm. flowering,PRN,05,
CA,059041,AGASTACHE HEATWAVE PP19662,"Agastache 'Heatwave' P.P.#19,662                            ",Heatwave Hyssop                                             ,Mid/late interm. flowering,PRN,05,
CT,400521,AGASTACHE HYB BLUE BOA PP24050,"Agastache x 'Blue Boa' P.P. #24,050                         ",Blue Boa Hummingbird Mint                                   ,Mid/late interm. flowering,PRN,05,TNN
CT,412521,AGASTACHE KUDOS GOLD PPAF,Agastache 'Kudos Gold' P.P.A.F.                             ,Kudos Gold dwarf hummingbird mint                           ,Mid/late interm. flowering,PRN,05,TNN
OR,408331,AGASTACHE LITTLE ADDER PPAF,Agastache rugosa 'Little Adder' P.P.A.F.                    ,Little Adder Hummingbird Mint                               ,Mid/late interm. flowering,PRN,05,BHC
GA,021251,AGASTACHE X BLUE FORTUNE,Agastache 'Blue Fortune'                                    ,Blue Fortune Hyssop                                         ,Mid/late interm. flowering,PRN,05,
CT,084921S,AGASTACHE X BOLERO,Agastache 'Bolero'                                          ,Bolero Hyssop                                               ,Mid/late interm. flowering,PRN,05,
GA,065991,ANEMONE SEPTEMBER CHARM,Anemone x hybrida 'September Charm'                         ,September Charm Japanese Anemone                            ,Mid/late border flowering,PRN,04,
OR,002741,ANEMONE SYLVESTRIS,Anemone sylvestris                                          ,Snowdrop Anemone                                            ,Mid/late border flowering,PRN,02,
GA,015931,ANEMONE X HONORINE JOBERT,Anemone x hybrida 'Honorine Jobert'                         ,Honorine Jobert Japanese Anemone                            ,Mid/late border flowering,PRN,04,
OR,038561,ANEMONE X SERENADE,Anemone x hybrida 'Serenade'                                ,Serenade Japanese Anemone                                   ,Mid/late border flowering,PRN,04,
GA,039021,ANEMONE X WILD SWAN TM PP23132,"Anemone x 'Macane001' Wild Swan™  P.P.# 23,132",Wild Swan™  Hybrid Anemone,Mid/late border flowering,PRN,06,PPP
CA,066342,ASCLEPIAS CUR SILKY GOLD,Asclepias curassavica 'Silky Gold'                          ,Silky Gold Milkweed                                         ,Mid/late tall flowering,PRN,08,
OR,003401,ASTER ALMA POTSCHKE,Aster novae-angliae 'Alma Potschke'                         ,Alma Potschke New England Aster                             ,Mid/late border flowering,PRN,04,
CT,003411,ASTER PURPLE DOME,Aster novae-angliae 'Purple Dome'                           ,Purple Dome New England Aster                               ,Mid/late border flowering,PRN,04,
CT,023891,ASTER WOOD'S BLUE,Aster novi-belgii 'Wood's Blue'                             ,Wood's Blue New York Aster                                  ,Mid/late border flowering,PRN,04,
OR,001531,ASTER WOOD'S PINK,Aster novi-belgii 'Wood's Pink'                             ,Woods Pink New York Aster                                   ,Mid/late border flowering,PRN,04,
CA,002192,BAPTISIA AUSTRALIS,Baptisia australis                                          ,Blue False Indigo                                           ,Mid/late tall flowering,PRN,03,
GA,412551,BAPTISIA PRAIRIEBLUES TM MDNGT,Baptisia 'Midnight' P.P.# 20432                             ,Midnight Prairieblues™  Indigo,Mid/late tall flowering,PRN,04,
GA,401061,BAPTISIA SOLAR FLARE PP20408,"Baptisia 'Solar Flare' Prairieblues™  P.P.# 20,408",Solar Flare Prairieblues™ ,Mid/late tall flowering,PRN,04,
GA,401081,BAPTISIA TWILITE PP19011,Baptisia x variicolor 'Twilite' P.P.# 19011                 ,Twilite Prairieblues™  False Indigo,Mid/late tall flowering,PRN,04,
CT,022021,BERGENIA COR WINTERGLOW,Bergenia cordifolia 'Winterglut'                            ,Winterglow Bergenia                                         ,Shade foliage/flower,PRN,03,
CT,035381,BRUNNERA MAC JACK FROST P13859,Brunnera macrophylla 'Jack Frost' P.P.# 13859               ,Jack Frost Siberian Bugloss                                 ,Shade foliage/flower,PRN,03,Y
OR,013651,BRUNNERA MAC VARIEGATA,Brunnera macrophylla 'Variegata'                            ,Variegated Siberian Bugloss                                 ,Shade foliage/flower,PRN,03,
GA,077561,CALAMINTHA NEP MONTROSE WHITE,Calamintha nepeta 'Montrose White'                          ,Montrose White Dwarf Calamint                               ,Mid/late interm. flowering,PRN,05,Y
GA,025791,CAMPANULA BLU WATERFALL P13161,Campanula poscharskyana 'Camgood' P.P.# 13161               ,Blue Waterfall Serbian Bellflower                           ,Mid/late border flowering,PRN,04,OLD
OR,02235UT,CAMPANULA CAR DEEP BLUE CLIPS,Campanula carpatica 'Deep Blue Clips'                       ,Deep Blue Clips Bellflower                                  ,Mid/late border flowering,PRN,04,
CT,003891,CAMPANULA CAR WHITE CLIPS,Campanula carpatica 'White Clips'                           ,White Clips Bellflower                                      ,Mid/late border flowering,PRN,04,
CT,408421,CAMPANULA GLOM GENTI BLUE PPAF,Campanula glomerata 'Genti Blue'                            ,Genti Blue Bellflower                                       ,Mid/late border flowering,PRN,04,Y
OR,022361,CAMPANULA PORTENSCHLAGIANA,Campanula portenschlagiana                                  ,Dalmatian Bellflower                                        ,Mid/late border flowering,PRN,04,
OR,032431,CAMPANULA PUN CHERRY BELLS,Campanula punctata 'Cherry Bells'                           ,Cherry Bells Bellflower                                     ,Mid/late border flowering,PRN,04,
OR,038611,CAMPANULA SAMANTHA,Campanula 'Samantha'                                        ,Samantha Bellflower                                         ,Mid/late border flowering,PRN,05,
GA,029212,CANNA TROP BLACK TM PP21350,"Canna indica 'Lon01' P.P.#21,350                            ",Tropicanna®  Black Canna,Tropical perennial,PRN,07,ATI
CA,017411,CANNA TROPICANNA GLD TM P13809,"Canna indica 'Mactro' P.P.# 13,809                          ",Tropicanna®  Gold Canna,Tropical perennial,PRN,07,ATI
