Loc,Item,Size,Description,,,,,,,,,,,,,,,
OR,034502,#2,EUO F MOONSHADOW,,,,,,,,,,,,,,,
CA,034802,#2,EUO J AUREO MARGINATUS,,,,,,,,,,,,,,,
CA,034805,#5,EUO J AUREO MARGINATUS,,,,,,,,,,,,,,,
CA,034901,#1,EUO J AUREOVARIEGATUS,,,,,,,,,,,,,,,
CA,034905,#5,EUO J AUREOVARIEGATUS,,,,,,,,,,,,,,,
CA,035005PY,#5 CONE,EUO J GRANDIFOLIUS,,,,,,,,,,,,,,,
CA,035055,#5,EUO J GREEN SPIRE,,,,,,,,,,,,,,,
CA,035252,#2,EUO J MICRO SILVER PRINCESS TM,,,,,,,,,,,,,,,
CA,035122,#2,EUO J MICRO SUNNY DELIGHT R,,,,,,,,,,,,,,,
CA,035202,#2,EUO J SILVER KING,,,,,,,,,,,,,,,
CA,035205,#5,EUO J SILVER KING,,,,,,,,,,,,,,,
GA,035405,#5,EUO KIA MANHATTAN,,,,,,,,,,,,,,,
GA,022061,#1,FERN-ATHYRIUM BURG LACE P15072,,,,,,,,,,,,,,,
CA,022041,#1,FERN-ATHYRIUM REGAL RED,,,,,,,,,,,,,,,
OR,028121,#1,FERN-BLECHNUM SPICANT,,,,,,,,,,,,,,,
OR,036455,#5,FERN-MATTEUCCIA STRUTHIOPTERIS,,,,,,,,,,,,,,,
GA,083721,#1,FERN-POLYSTICHUM POLYBLEPHARUM,,,,,,,,,,,,,,,
GA,005091,#1,FERN-THELYPTERIS DECUR-PINNATA,,,,,,,,,,,,,,,
CA,036785,#5,FICUS CAR BROWN TURKEY,,,,,,,,,,,,,,,
CA,036795,#5,FICUS CAR KADOTA,,,,,,,,,,,,,,,
CA,036815,#5,FICUS CAR MISSION,,,,,,,,,,,,,,,
GA,035711,#1,GAILLARDIA ARIZONA SUN,,,,,,,,,,,,,,,
GA,037705PT,#5 PATIO TREE,GARDENIA AUGUST BEAUTY,,,,,,,,,,,,,,,
CA,037801,#1,GARDENIA VEITCHII,,,,,,,,,,,,,,,
GA,037961,#1,GAURA L SISKIYOU PINK,,,,,,,,,,,,,,,
GA,03568UT,LittleOne,GAURA L WHIRLING BUTTERFLIES,,,,,,,,,,,,,,,
GA,036481,#1,GAURA PASSIONATE RAINBW P17002,,,,,,,,,,,,,,,
OR,001421,#1,GR-ACORUS GR OGON,,,,,,,,,,,,,,,
GA,05903UT,LittleOne,GR-ACORUS GRAMINEUS OBOROZUKI,,,,,,,,,,,,,,,
CA,022581,#1,GR-CAREX BUCHANANII,,,,,,,,,,,,,,,
CA,028045,#5,GR-CORT IVORY FEATHERS R,,,,,,,,,,,,,,,
GA,036671,#1,GR-FESTUCA GLAUCA ELIJAH BLUE,,,,,,,,,,,,,,,
OR,038681,#1,GR-HAKONECHLOA MACRA AUREOLA,,,,,,,,,,,,,,,
GA,061815,#5,GR-MIS SIN ADAGIO,,,,,,,,,,,,,,,
CA,061745,#5,GR-MIS SIN CABARET,,,,,,,,,,,,,,,
CA,061565,#5,GR-MIS SIN GRACILLIMUS,,,,,,,,,,,,,,,
GA,061575,#5,GR-MIS SIN VARIEGATUS,,,,,,,,,,,,,,,
CA,061645,#5,GR-MIS SIN YAKUSHIMA,,,,,,,,,,,,,,,
GA,064271,#1,GR-PENN SET RUBRUM,,,,,,,,,,,,,,,
CA,064275,#5,GR-PENN SET RUBRUM,,,,,,,,,,,,,,,
OR,067281,#1,HELLE WJEWELS R BLACK DIAMOND,,,,,,,,,,,,,,,
OR,065791,#1,HELLE WJEWELS R GOLDEN SUNRISE,,,,,,,,,,,,,,,
