Loc,Item Number,Plant Category,Plant Name
CT,38681,GRS,GR-HAKONECHLOA MACRA AUREOLA
CT,61743,GRS,GR-MIS SIN CABARET
OR,5455,GRS,GR-MIS SIN DIXIELAND
GA,61563,GRS,GR-MIS SIN GRACILLIMUS
CA,61565,GRS,GR-MIS SIN GRACILLIMUS
CA,61665,GRS,GR-MIS SIN MORNING LIGHT
CT,61553,GRS,GR-MIS SIN STRICTUS
GA,61575,GRS,GR-MIS SIN VARIEGATUS
CA,61645,GRS,GR-MIS SIN YAKUSHIMA
GA,63883,GRS,GR-PAN VIR SHENANDOAH
CT,64263,GRS,GR-PENN ALO HAMELN
CA,64271,GRS,GR-PENN SET RUBRUM
GA,64275,GRS,GR-PENN SET RUBRUM
CT,039991S,PRN,HELLE X IVORY PRINCE PP16199
CT,403061S,PRN,HELLEBORUS HYB MERLIN
OR,75431,PRN,HELLEBORUS X DOUBLE FANTASY
CT,40631,PRN,HEM PRAIRIE BLUE EYES
OR,76281,PRN,HEM RUBY SPIDER
CT,83931,PRN,HEM SWIRLING WATER
GA,23101,PRN,HEUCHERA FROSTED VIOLET P15085
CA,47531,PRN,HEUCHERA GEORGIA PEACH PP19375
CT,18661,PRN,HEUCHERA GREEN SPICE
CT,074493S,DCS,HIB SYR LIL' KIM TM PP19547
CT,31872,PRN,HOSTA ABIQUA DRINKING GOURD
OR,41771,PRN,HOSTA GOLDEN PRAYERS
GA,28391,PRN,HOSTA OLIVE BAILEY LANGDON
CT,403621,PRN,HOSTA PRAYING HANDS
OR,39471,PRN,HOSTA ROSEDALE GOLDEN GOOSE
CA,92755,DCS,HYD BLUE ENCHANTRESS R PP25209
GA,92755,DCS,HYD BLUE ENCHANTRESS R PP25209
CT,403803,DCS,HYD END SUM R BLMSTRCK TM PPAF
GA,17315,DCS,HYD M ENDLESS SUMMER R PP15298
GA,074542S,DCS,HYD MAC CTYLN TM RIO
CT,403872S,DCS,HYD MAC ELECTRIC ROUGE TM
CA,77465,DCS,HYD MAC LD R BIG EASY PPAF
GA,77465,DCS,HYD MAC LD R BIG EASY PPAF
CT,086303S,DCS,HYD MAC LD R DIVA
CT,086313S,DCS,HYD MAC LD R RHYTHMIC BLUE PAF
GA,41965,DCS,HYD MAC NIKKO BLUE
CA,23755,DCS,HYD MAC PENNY MAC
GA,23755,DCS,HYD MAC PENNY MAC
CA,42072,DCS,HYD MAC PINK ELF R (PIA)
CT,089953S,DCS,HYD P LITTLE QUICK FIRE R PPAF
GA,89945,DCS,HYD PAN FIRE LIGHT TM PPAF
CT,074607PT,DCS,HYD PAN QUICK FIRE R PP16812
CT,404023,DCS,HYD PAN SWEET SUMMER PP21778
OR,35011,VIN,HYD PET MIRANDA
OR,35015,VIN,HYD PET MIRANDA
OR,41702,VIN,HYD PETIOLARIS
CT,41702,VIN,HYD PETIOLARIS
OR,41705,VIN,HYD PETIOLARIS
CT,93173,DCS,HYD QUER MUNCHKIN
CT,42045,DCS,HYD QUER SNOWFLAKE
OR,080962S,DCS,HYD SER TUFF STUFF TM PPAF
CA,65381,DCS,HYPERICUM AN IGNITE RED P19468
GA,404083,DCS,HYPERICUM IGNITE SCR RD P18801
CA,080892S,DCS,HYPERICUM K BLUES FSTVL TM PAF
CT,42201,PRN,IBERIS SEMP SNOWFLAKE
GA,44935,EVS,ILEX CREN SKY PENCIL(SKY SNTRY
GA,44937,EVS,ILEX CREN SKY PENCIL(SKY SNTRY
CT,45693,DCS,ILEX V SOUTHERN GENTLEMAN(MALE
CT,74935,DCS,ILEX VERT BERRY NICE R
CT,45133,EVS,ILEX X BERRI-MAGIC R ROYALTY
CT,14883,EVS,ILEX X EMERALD MAGIC PP12314
OR,23967,EVS,ILEX X SANTA'S DELIGHT R
OR,46875,CON,JUN C BLUE POINT
CA,46875,CON,JUN C BLUE POINT
GA,46877,CON,JUN C BLUE POINT
OR,48135,CON,JUN C SEA OF GOLD R PP17622
CA,48135,CON,JUN C SEA OF GOLD R PP17622
CA,47307,CON,JUN C SPARTAN
GA,49102,CON,JUN CON BLUE PACIFIC
OR,49252,CON,JUN H BLUE CHIP
OR,50702,CON,JUN H WILTONII
GA,50902,CON,JUN PRO NANA
OR,05330M,CON,JUN SC WICHITA BLUE
OR,53305,CON,JUN SC WICHITA BLUE
CA,53305,CON,JUN SC WICHITA BLUE
OR,53391,CON,JUN SQUA BLUE STAR
OR,53392,CON,JUN SQUA BLUE STAR
CA,54705,DCS,LAG CATAWBA
GA,41905,DCS,LAG CHERRY DAZZLE R PP16917
GA,008869BH,DCS,LAG DYNAMITE R P10296
GA,8899,DCS,LAG MUSKOGEE
GA,8999,DCS,LAG NATCHEZ
CT,404362,DCS,LAG PURPLE MAGIC TM PPAF
