Loc,Item Number,Size,Plant Name,Common Name,CAT,Zone,ORDER QTY
OR,045281,#1,CORNUS ALBA PRAIRIE FIRE AUREA,Prairie Fire Dogwood                                                                                ,DCS,02,
OR,074801S,SuperOne TM,CORNUS S ARCTIC FIRE TM P18523,Arctic Fire™  Red Twig Dogwood                                                                      ,DCS,03,
OR,074802S,SuperTwo,CORNUS S ARCTIC FIRE TM P18523,Arctic Fire™  Red Twig Dogwood                                                                      ,DCS,03,
OR,044702,#2,CORNUS SERICEA KELSEYI,Kelsey's Dwarf Red-Osier Dogwood                                                                    ,DCS,02,
OR,080841S,SuperOne TM,CORNUS STO PUCKERED UP TM PPAF,Pucker Up!™  Red Twig Dogwood                                                                       ,DCS,03,
OR,080842S,SuperTwo,CORNUS STO PUCKERED UP TM PPAF,Pucker Up!™  Red Twig Dogwood                                                                       ,DCS,03,
OR,017455,#5,CORYLUS AV CONTORTA-OWN ROOT,Harry Lauder's Walking Stick                                                                        ,DCS,03,
OR,028551,#1,COT APICULATUS TOM THUMB,Tom Thumb Cranberry Cotoneaster                                                                     ,DCS,04,
OR,028552,#2,COT APICULATUS TOM THUMB,Tom Thumb Cranberry Cotoneaster                                                                     ,DCS,04,
OR,029451,#1,COT HOR PERPUSILLUS,Prostrate Rock Cotoneaster                                                                          ,EVS,04,
OR,031382,#2,CYTISUS ALLGOLD,Allgold Scotch Broom                                                                                ,DCS,06,
OR,031455,#5,CYTISUS MINSTEAD,Minstead Scotch Broom                                                                               ,DCS,06,
CA,097991,#1,DELOS JWL OF DSRT GARNT P23471,Jewel of Desert Garnet Ice Plant                                                                    ,PRN,05,
CA,098531,#1,DELOS JWL OF DSRT PERIDOTT PAF,Jewel of Desert Peridot Ice Plant                                                                   ,PRN,05,
CA,084671,#1,DELOS JWL OF DSRT RUBY P23453,Jewel of the Desert Ruby Ice Plant                                                                  ,PRN,05,
CA,098591,#1,DELOS JWL OF DSRT TOPAZ P23492,Jewel of the Desert Topaz Ice Plant                                                                 ,PRN,05,
OR,048541,#1,DELOSPERMA DY RED MOUNTAIN R,Red Mountain®  Ice Plant                                                                            ,PRN,05,
OR,097231,#1,DELOSPERMA FIRE WONDER PPAF,Wheels of Wonder®  Fire Wonder Ice Plant                                                            ,PRN,04,
OR,086222S,SuperTwo,DEUTZIA CREME FRAICHE TM,Creme Fraiche®  Deutzia                                                                             ,DCS,05,
OR,067631,#1,DIANTHUS BAR OESCHBERG,Oeschberg Sweet William                                                                             ,PRN,04,
OR,042771,#1,DIANTHUS WINK,Wink Maiden Pink                                                                                    ,PRN,03,
OR,004901,#1,DICENTRA SP VALENTINE R P22739,Valentine®  Bleeding Heart                                                                          ,PRN,03,
OR,004902,#2,DICENTRA SP VALENTINE R P22739,Valentine®  Bleeding Heart                                                                          ,PRN,03,
OR,031611,#1,DICENTRA X LUXURIANT,Luxuriant Fringed Bleeding Heart                                                                    ,PRN,02,
OR,412611,#1,ECHIN DBL SCP TM CRANBRY PPAF,Double Scoop™  Cranberry Echinacea                                                                  ,PRN,04,
OR,018221,#1,ECHINACEA PUR RUBY STAR,Ruby Star Coneflower                                                                                ,PRN,04,
CA,074341S,SuperOne TM,ERYNGIUM PLANUM BLUE HOBBIT,Blue Hobbit Dwarf Sea Holly                                                                         ,PRN,04,
OR,019311,#1,EUO A COLE'S COMPACT,Cole's Compact Burning Bush                                                                         ,DCS,04,
OR,019312,#2,EUO A COLE'S COMPACT,Cole's Compact Burning Bush                                                                         ,DCS,04,
OR,033601,#1,EUO ALATUS COMPACTUS,Dwarf Burning Bush                                                                                  ,DCS,04,
