Loc,Item Number,Size,Plant Name,Common Name,CAT,Zone,ORDER QTY
OR,072862,#2,THUJA OC GOLDEN GLOBE,Golden Globe Arborvitae                                                                             ,CON,04,
OR,053932,#2,THUJA OC HIGHLIGHTS TM PP21967,Highlights™  Arborvitae                                                                             ,CON,05,
OR,03118M,#10 Squat,THUJA OC MALONYANA,Malonyana Arborvitae                                                                                ,CON,04,
OR,073055,#5,THUJA OC RUSHMORE,Rushmore Arborvitae                                                                                 ,CON,04,
OR,046822,#2,THUJA OR MORGAN,Morgan's Chinese Arborvitae                                                                         ,CON,05,
OR,055145,#5,THUJA X EMBER WAVES TM PPAF,Ember Waves™  Western Arborvitae                                                                    ,CON,05,
CA,070051ST,#1 STAKED,TRACH JASMINOIDES,Star Jasmine                                                                                        ,VIN,08,
OR,073742,#2,VACCINIUM CORYMBOSUM PATRIOT,Patriot Early Season Blueberry                                                                      ,DCS,03,
OR,081702,#2,VACCINIUM X JELLY BEAN TM PPAF,BrazelBerries®  Jelly Bean Blueberry                                                                ,DCS,04,
CA,088841,#1,VERONICA FIRST LOVE PPAF,First Love Speedwell                                                                                ,PRN,04,
CA,030141,#1,VERONICA LON EVELINE P14888,Evaline Speedwell                                                                                   ,PRN,04,
OR,409261,#1,VERONICA MDY BLUES LT BLU PPAF,Moody Blues Light Blue Speedwell                                                                    ,PRN,04,
OR,409271,#1,VERONICA MDY BLUES MAUVE PPAF,Moody Blues Mauve Speedwell                                                                         ,PRN,04,
OR,409251,#1,VERONICA MDY BLUES PINK PPAF,Moody Blues Pink Speedwell                                                                          ,PRN,04,
OR,017391,#1,VERONICA ROYAL CANDLES PP18932,Royal Candles Speedwell                                                                             ,PRN,04,
OR,073621,#1,VERONICA SPICATA RED FOX,Red Fox Spike Speedwell                                                                             ,PRN,04,
OR,073685,#5,VIB LANTANA MOHICAN,Mohican Viburnum                                                                                    ,DCS,04,
OR,074652,#2,VIB OPULUS NANUM,Dwarf Cranberry Bush                                                                                ,DCS,04,
OR,075101,#1,VIB OPULUS STERILE,Eastern Snowball                                                                                    ,DCS,03,
OR,075102,#2,VIB OPULUS STERILE,Eastern Snowball                                                                                    ,DCS,03,
OR,075305,#5,VIB RHYT ALLEGHENY,Allegheny Viburnum                                                                                  ,DCS,05,
OR,073602,#2,VIB X BURKWOODII,Burkwood Viburnum                                                                                   ,EVS,05,
CA,076311,#1 STAKED,VITIS LAB CATAWBA,Catawba Grape                                                                                       ,VIN,04,
CA,076221,#1 STAKED,VITIS LAB EASTERN CONCORD,Eastern Concord Grape                                                                               ,VIN,04,
CA,076251,#1 STAKED,VITIS LAB NIAGARA,Niagara Grape                                                                                       ,VIN,04,
OR,409762,#2,WEIGELA CRMSN KISSES TM P23654,Crimson Kisses™  Weigela                                                                            ,DCS,04,
OR,076391,#1,WEIGELA FL DARK HORSE PP14381,Dark Horse Weigela                                                                                  ,DCS,04,
OR,076392,#2,WEIGELA FL DARK HORSE PP14381,Dark Horse Weigela                                                                                  ,DCS,04,
OR,076411,#1,WEIGELA FL FRNC LACE TM P12666,French Lace™  Weigela                                                                               ,DCS,04,
OR,076412,#2,WEIGELA FL FRNC LACE TM P12666,French Lace™  Weigela                                                                               ,DCS,04,
OR,076542,#2,WEIGELA FL PINK POPPET,Pink Poppet Weigela                                                                                 ,DCS,03,
OR,076561S,SuperOne TM,WEIGELA FL WINE&ROSES R P10772,Wine & Roses®  Weigela                                                                              ,DCS,04,
OR,076562S,SuperTwo,WEIGELA FL WINE&ROSES R P10772,Wine & Roses®  Weigela                                                                              ,DCS,04,
OR,017571,#1,WEIGELA MAGICAL R FNTSY P13567,Magical®  Fantasy Weigela                                                                           ,DCS,04,
OR,017572,#2,WEIGELA MAGICAL R FNTSY P13567,Magical®  Fantasy Weigela                                                                           ,DCS,04,
OR,080941S,SuperOne TM,WEIGELA SONIC BLOOM TM PNK PAF,Sonic Bloom™  Pink Reblooming Weigela                                                               ,DCS,04,
OR,080942S,SuperTwo,WEIGELA SONIC BLOOM TM PNK PAF,Sonic Bloom™  Pink Reblooming Weigela                                                               ,DCS,04,
OR,407361S,SuperOne TM,WEIGELA SONIC BLOOM TM PRL PAF,Sonic Bloom™  Pearl Weigela                                                                         ,DCS,04,
CA,090152,#2,YUCCA FIL COLOR GUARD,Color Guard Adam's Needle                                                                           ,EVS,04,
CA,077231,#1,YUCCA FIL GOLDEN SWORD,Golden Sword Yucca                                                                                  ,EVS,04,
CA,077221,#1,YUCCA FIL IVORY TOWER,Ivory Tower Yucca                                                                                   ,EVS,04,
CA,077222,#2,YUCCA FIL IVORY TOWER,Ivory Tower Yucca                                                                                   ,EVS,04,
,,,Totals:,,,,
