Loc,Item,Size,Description,Botanical Name,Common Name,Zone,Condition,Current Specs,Qty Open,Qty Alloc Rem Thru 12/31/13,Qty Alloc Rem Thru 06/30/14,Net Avail Qty,Min Order Qty,List Price,Net Price,Sale Price,AVL Flag,,
GA,058241,#1,ACHILLEA APRICOT DLGHT PP18738,"Achillea millefolium 'Apricot Delight' P.P.# 18,738         ",Tutti Frutti Apricot Delight Yarrow                         ,03,BUDS,CAN FULL, 13 ,     ,     , 13 , 10 , 4.75 , 3.66 ,          ,I,,
GA,001341,#1,ACHILLEA MILL PAPRIKA,Achillea millefolium 'Paprika'                              ,Paprika Common Yarrow                                       ,03,,CAN FULL, 263 ,     ,     , 263 , 10 , 4.75 , 3.66 ,          ,I,,
GA,00134UT,LittleOne,ACHILLEA MILL PAPRIKA,Achillea millefolium 'Paprika'                              ,Paprika Common Yarrow                                       ,03,,CAN FULL, 1 ,     ,     , 1 , 16 , 2.95 , 2.27 ,          , ,,
OR,029061,#1,ACHILLEA MILL RED VELVET,Achillea millefolium 'Red Velvet'                           ,Red Velvet Yarrow                                           ,03,-,., 810 ,     ,     , 810 , 10 , 4.75 , 3.66 ,          , ,,
GA,000471,#1,ACHILLEA MILL TERRA COTTA,Achillea millefolium 'Terra Cotta'                          ,Terra Cotta Common Yarrow                                   ,03,,CAN FULL, 146 ,     ,     , 146 , 10 , 4.75 , 3.66 ,          ,I,,
OR,000511,#1,ACHILLEA OERTEL'S ROSE,Achillea millefolium 'Oertel's Rose'                        ,Oertel's Rose Yarrow                                        ,03,-,.," 1,821 ",     ,     ," 1,821 ", 10 , 4.75 , 3.66 ,          , ,,
GA,000511,#1,ACHILLEA OERTEL'S ROSE,Achillea millefolium 'Oertel's Rose'                        ,Oertel's Rose Yarrow                                        ,03,BUDS & BLOOMS,CAN FULL, 984 ,     ,     , 984 , 10 , 4.75 , 3.66 ,          ,I,,
OR,058251,#1,ACHILLEA STRWBRY SDCTN P18401,"Achillea millefolium 'Strawberry Seduction' P.P.# 18,401    ",Strawberry Seduction Yarrow                                 ,03,-,., 78 ,     ,     , 78 , 10 , 4.75 , 3.66 ,          , ,,
GA,000561,#1,ACHILLEA X CORONATION GOLD,Achillea x 'Coronation Gold'                                ,Coronation Gold Yarrow                                      ,02,,CAN FULL, 141 ,     ,     , 141 , 10 , 4.75 , 3.66 ,          ,I,,
OR,001351,#1,ACHILLEA X MOONSHINE,Achillea x 'Moonshine'                                      ,Moonshine Yarrow                                            ,03,-,CAN FULL, 74 ,     ,     , 74 , 10 , 4.75 , 3.66 ,          , ,,
CA,001351,#1,ACHILLEA X MOONSHINE,Achillea x 'Moonshine'                                      ,Moonshine Yarrow                                            ,03,-,CAN FULL, 28 ,     ,     , 28 , 10 , 4.75 , 3.66 ,          ,I,,
GA,05903UT,LittleOne,ACORUS GRAMINEUS OBOROZUKI,Acorus gramineus 'Oborozuki'                                ,Grassy-Leaved Sweet Flag                                    ,05,,CAN FULL, 123 ,     , 539 , 662 , 16 , 3.00 , 2.31 ,          ,I,,
CA,001415,#5 STAKED,ACTINIDIA CH VINCENT (FEMALE),Actinidia chinensis 'Vincent' (Female)                      ,Vincent Kiwi Vine                                           ,08,-,"48""H", 5 ,     ,     , 5 , 5 , 28.50 , 21.95 ,          , ,,
OR,001491,#1 STAKED,ACTINIDIA KOLOMIKTA,Actinidia kolomikta (Female)                                ,Ornamental Kiwi (Female)                                    ,04,BUDS,"3/4"" STK", 536 ,     ,     , 536 , 10 , 11.00 , 8.47 ,          , ,,
CA,001491,#1 STAKED,ACTINIDIA KOLOMIKTA,Actinidia kolomikta (Female)                                ,Ornamental Kiwi (Female)                                    ,04,-,24'' H, 10 ,     ,     , 10 , 10 , 11.00 , 8.47 ,          , ,,
OR,001495,#5 STAKED,ACTINIDIA KOLOMIKTA,Actinidia kolomikta (Female)                                ,Ornamental Kiwi (Female)                                    ,04,BUDS,48''FULL STK, 4 ,     , 14 , 18 , 5 , 28.50 , 21.95 ,          , ,,
CA,079092,#2,AEONIUM CANARIENSE,Aeonium canariense                                          ,Giant Velvet Rose                                           ,09,-,"10""S", 115 ,     ,     , 115 , 5 , 16.25 , 12.51 ,          , ,,
OR,001585,#5,AESCULUS PAVIA,Aesculus pavia                                              ,Red Buckeye                                                 ,04,BREAKING DORMANCY,"33""H",     ,     , 5 , 5 , 5 , 31.00 , 23.87 ,          , ,,
OR,028895,#5,AESCULUS X ARN AUTUMN SPLENDOR,Aesculus x arnoldiana 'Autumn Splendor'                     ,Autumn Splendor Horse Chestnut                              ,04,BREAKING DORMANCY,"60""H", 401 ,     ,     , 401 , 5 , 31.00 , 23.87 ,          , ,,
CA,001651,#1,AGAPANTHUS AFRICANUS,Agapanthus africanus                                        ,Lily Of The Nile                                            ,08,-,"10""H", 599 ,     ,     , 599 , 10 , 5.00 , 3.85 ,          , ,,
GA,001651,#1,AGAPANTHUS AFRICANUS,Agapanthus africanus                                        ,Lily Of The Nile                                            ,08,,"8""H", 166 ,     , 48 , 214 , 10 , 5.00 , 3.85 ,          ,I,,
GA,001701,#1,AGAPANTHUS ALBUS,Agapanthus africanus 'Albus'                                ,White Lily Of The Nile                                      ,08,,"8""H", 715 ,     ,     , 715 , 10 , 5.00 , 3.85 ,          ,I,,
GA,099571,#1,AGAPANTHUS BABY PETE TMPP21705,"Agapanthus orientalis 'Benfran' P.P. #21,705                ",Baby Pete™  Lily Of The Nile,08,,"4""H"," 3,299 ",     , 39 ," 3,338 ", 10 , 7.00 , 5.39 ,          ,I,,
GA,001732,#2,AGAPANTHUS BLUE STORM PP14332,"Agapanthus praecox orientalis 'ATIBlu' P.P.# 14,332         ",Blue Storm™  Lily Of The Nile,08,SPIKES,5-7 FANS, 85 ,     , 73 , 158 , 5 , 14.00 , 10.78 ,          ,I,,
OR,097222,#2,AGAPANTHUS HYBRID BLUE,                                                            ,                                                            ,06,CUT BACK,., 184 ,     ,     , 184 , 5 , 14.00 , 10.78 ,          , ,,
OR,050002,#2,AGAPANTHUS INAPTERUS GRASKOP,Agapanthus inapertus 'Graskop'                              ,Graskop Lily of the Nile                                    ,07,CUT BACK,., 779 ,     ,     , 779 , 5 , 15.50 , 11.94 ,          , ,,
