Loc,New Plant,Item,Size,Plant Name,Zone,2015 List Price,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
OR,2011,074972S,SuperTwo,ROSA OSO HPY TM CNDY OH!P20471,4,16.5,     ,5,404,     ,          ,     ,          ,     ,          
CA,2013,81302,#2,ROSA SWT SPOT TM CALYPSO PPAF,5,15.5,50,5,     ,50,4/1/2015,     ,          ,     ,          
OR,2013,81502,#2,ROSA SWT SPOT TM PEACH PPAF,5,15.5,7,5,     ,7,5/1/2015,     ,          ,     ,          
CA,2013,81492,#2,ROSA SWT SPOT TM RUBY PPAF,5,15.5,50,5,     ,"4,757",4/1/2015,     ,          ,     ,          
OR,2013,81392,#2,ROSA SWT SPOT TM YELLOW PPAF,5,15.5,8,5,     ,8,5/1/2015,     ,          ,     ,          
CA,2012,082275ST,#5 STAKED,ROSA-CL-CANDY LAND PPAF,5,27.5,6,5,6,     ,          ,     ,          ,     ,          
CA,2011,075415ST,#5 STAKED,ROSA-CL-SKY'S THE LIMIT TM PAF,4,27.5,6,5,6,     ,          ,     ,          ,     ,          
OR,2010,58912,#2,ROSA-CL-WILLIAM BAFFIN,3,16.75,20,5,106,106,5/1/2015,     ,          ,     ,          
OR,2011,67841,#1 STAKED,RUBUS IDEAUS FALL GOLD RASPBRY,3,9.5,     ,10,409,     ,          ,     ,          ,     ,          
OR,2012,067871S,SuperOne TM STAKED,RUBUS PRIME-JIM R BKBRY P16989,4,10.25,     ,10,56,     ,          ,     ,          ,     ,          
OR,2013,79382,#2,RUBUS RSPBRY SHRTCKE TM P22141,5,16.5,10,5,10,10,5/1/2015,     ,          ,     ,          
OR,2011,075011S,SuperOne TM,SPIRAEA DBLPLAY R ARTIST PPAF,4,10.5,39,10,39,39,4/15/2015,     ,          ,     ,          
OR,2011,075032S,SuperTwo,SPIRAEA DBLPLAY R BIGBANG PPAF,4,17,39,5,39,     ,          ,     ,          ,     ,          
OR,2011,075021S,SuperOne TM,SPIRAEA DBLPLAY R GOLD PPAF,4,10.5,40,10,40,     ,          ,     ,          ,     ,          
OR,2014,32985,#5,STYRAX FRAG FOUNTAIN TM P19664,5,40.5,5,5,5,     ,          ,     ,          ,     ,          
OR,2011,74685,#5,SYRINGA BLOOMERNG R PUR P20575,3,26,29,5,29,29,4/15/2015,     ,          ,     ,          
OR,2012,50115,#5,TAXODIUM DIS PEVE MINARET,5,41.5,     ,5,21,     ,          ,     ,          ,     ,          
OR,2012,28851,#1,TAXUS X MED HUBERS TAWNY GOLD,4,8.5,     ,10,     ,198,5/1/2015,403,5/15/2015,     ,          
OR,2011,87055,#5,THUJA KORAIENSIS,5,22,     ,5,11,     ,          ,     ,          ,     ,          
OR,2014,53932,#2,THUJA OC HIGHLIGHTS TM PP21967,5,15.5,95,5,95,     ,          ,     ,          ,     ,          
OR,2013,075052S,SuperTwo,THUJA OC NORTH POLE R PPAF,3,17,1,5,1,     ,          ,     ,          ,     ,          
OR,2011,46822,#2,THUJA OR MORGAN,5,14.25,     ,5,188,     ,          ,     ,          ,     ,          
OR,2014,55142,#2,THUJA X EMBER WAVES TM PPAF,5,15.5,     ,5,25,     ,          ,     ,          ,     ,          
OR,2011,34055,#5,THUJOPSIS DOLOBRATA NANA,5,23.5,     ,5,146,     ,          ,     ,          ,     ,          
OR,2013,56525,#5,ULMUS X FRONTIER,4,35,6,5,6,6,1/1/2015,     ,          ,     ,          
OR,2010,80361,#1,VACCINIUM CORYMBOSUM CHANDLER,4,10,14,10,14,     ,          ,     ,          ,     ,          
CA,2013,81712,#2,VACCINIUM PEACH SORBET TM PPAF,5,15.5,25,5,     ,"5,139",4/1/2015,     ,          ,     ,          
CA,2013,81702,#2,VACCINIUM X JELLY BEAN TM PPAF,4,15.5,23,5,     ,23,4/1/2015,     ,          ,     ,          
OR,2014,409762,#2,WEIGELA CRMSN KISSES TM P23654,5,14.5,100,5,     ,100,10/1/2014,     ,          ,     ,          
OR,2012,077502S,SuperTwo,WEIGELA F MY MONET R SUNST PAF,5,17.5,15,5,     ,15,4/15/2015,     ,          ,     ,          
OR,2011,74695,#5,WEIGELA FL FINE WINE TM P18513,4,23,19,5,19,     ,          ,     ,          ,     ,          
OR,2011,075082S,SuperTwo,WEIGELA FL GHOST TM PP20025,4,17,10,5,10,     ,          ,     ,          ,     ,          
OR,2011,074712S,SuperTwo,WEIGELA FL MY MONET R PP16824,4,17.5,16,5,16,     ,          ,     ,          ,     ,          
OR,2011,077512S,SuperTwo,WEIGELA FL SPILLED WINE TM PAF,4,17.5,21,5,21,     ,          ,     ,          ,     ,          
OR,2013,080942S,SuperTwo,WEIGELA SONIC BLOOM TM PNK PAF,4,18,6,5,6,     ,          ,     ,          ,     ,          
