GA#,"Product 
Category",Category 2,Item,Size,"Stock
Type","Fall
Selling
Factor","Item
Selling
Factor","Cold 
Zone","Plant
Rank","Royalty 
Flag",Description,"Orig
Start Date","Ready/
Effective 
Date","Expire 
Date",WO#,Lot#,"Stock 
Location","Assembly 
Seq Priorty","WO 
Status",WIP Qty,F/G Qty,"Unit 
Cost","Extended
Cost","Next 
Location","Qty 
Committed",Qty Held,"Lot 
Status","Release 
Date","Last 
Cycle Count",Memo Lot1,Memo Lot2,Memo Lot3,Item Comment,Item Specs,"Plant Status
Best by Date","Comment 
Expiration 
Date","Intro 
Year","BMP 
Code","Crop 
Code","EQU 
Factor","EQUs
On Hand",Price,Value,
45- 500004,PRN,Hosta,093111,1,S,100,A,03,C,,HOSTA RAINFOREST SUNRISE,08/14/14,05/15/16,11/30/16,158399,158399,4Q 7 W,,45,"1,008",0,2.7267 ,"2,748.46 ",,0,0,,,,,MN green,,,,,,,A0,,1.00,"1,008.00 ",5.50 ,"5,544.00 ",
45- 500004,PRN,Hosta,093112,2,S,100,A,03,C,,HOSTA RAINFOREST SUNRISE,04/15/15,04/15/15,11/15/15,0,C3-44206602-14,4J 9 W,,,0,465,4.9000 ,"2,278.50 ",,0,0,,,,ATTRACTIVE FOLIAGE,,,,,,,,A0,,2.30,"1,069.50 ",10.50 ,"4,882.50 ",
45- 500004,PRN,Hosta,007011,1,S,100,A,04,C,,HOSTA REGAL SPLENDOR,02/11/15,04/28/15,11/30/15,162057,162057,4K 5 W,,45,908,0,2.7889 ,"2,532.31 ",,0,0,,,,,MN green,,,,,,,A0,,1.00,908.00 ,5.50 ,"4,994.00 ",
45- 500004,PRN,Hosta,039471,1,S,100,A,03,B,,HOSTA ROSEDALE GOLDEN GOOSE,08/27/14,05/15/16,11/30/16,159123,159123,4Q 6 W,,45,245,0,1.6450 ,403.03 ,,0,0,,,,,MN green,,,,,,2014,A0,,1.00,245.00 ,5.50 ,"1,347.50 ",
45- 500004,PRN,Hosta,042232,2,S,100,A,03,C,,HOSTA SIEB FRANCES WILLIAMS,04/15/15,04/15/15,10/15/15,0,C2A-44204002-14,4J 9 W,,,0,101,4.9000 ,494.90 ,,0,0,,,,-,,,,,,,,A0,,2.30,232.30 ,10.50 ,"1,060.50 ",
45- 500004,PRN,Hosta,403641,1,S,100,A,03,,,HOSTA SO SWEET,07/30/14,05/15/16,11/30/16,157720,157720,4Q 9 W,,45,972,0,2.4804 ,"2,410.90 ",,0,0,,,,,MN green,,,,,,,A0,,1.00,972.00 ,5.50 ,"5,346.00 ",
45- 500004,PRN,Hosta,409681X,1X,M,,A,03,,BHC,HOSTA SPRING MORNING,06/17/14,04/01/15,12/31/15,0,NB7017,7GH3,,,0,5,2.1300 ,10.65 ,,0,0,,,,,,,,,,,5000,A0,,1.00,5.00 ,0.00 ,0.00 ,
45- 500004,PRN,Hosta,044671,1,S,100,A,03,C,OLD,HOSTA STAINED GLASS PPAF,03/07/14,04/15/15,11/30/15,153831,145117-1,4K 4 W,,97,0,42,3.0221 ,126.93 ,,0,0,,,08/08/14,,,,,,,,2010,A0,,1.00,42.00 ,5.50 ,231.00 ,
45- 500004,PRN,Hosta,044672,2,S,100,A,03,C,OLD,HOSTA STAINED GLASS PPAF,04/15/15,04/15/15,08/01/15,0,C3-44187302-14,4J 9 W,,,0,15,4.9000 ,73.50 ,,0,0,,,,ATTRACTIVE FOLIAGE,,,,,,,2010,A0,,2.30,34.50 ,10.50 ,157.50 ,
45- 500004,PRN,Hosta,029791,1,S,100,A,04,C,,HOSTA STRIPTEASE,02/10/15,04/28/15,11/30/15,162062,162062,4K 3 E,,45,796,0,3.3193 ,"2,642.18 ",,0,0,,,,,MN green,,,,,,2005,A0,,1.00,796.00 ,5.50 ,"4,378.00 ",
45- 500004,PRN,Hosta,083971,1,S,100,A,04,C,,HOSTA SUM & SUBSTANCE,04/15/15,04/15/15,10/15/15,0,C3-44207414-14,4MH26,,,0,65,2.1300 ,138.45 ,,0,0,,,11/24/14,,,,DORMANT,,PS0,7/25/2015,2001,A0,,1.00,65.00 ,5.50 ,357.50 ,
