Loc,New Plant,Item,Size,Plant Name,Common Name,CAT,Zone,Royalty Code,YOUR 2014 ORDER QTY,QTY AVAIL NOW,"2ND 
QTY AVAIL","2ND
 QTY 
READY DATE","3RD 
QTY 
AVAIL","3RD 
QTY 
READY DATE",2014 List Price,Condition,Current Specs,"YOUR 
5%
 DISC
PRICE"
CA,2010,063801,#1,ALOE DOROTHEAE,Retro Succulents®  Sunset™  Aloe,CAC,10,EAP,, 269 ,,,     ,          , 7.00 ,-,"4""S", 6.65 
CA,2010,063802,#2,ALOE DOROTHEAE,Retro Succulents®  Sunset™  Aloe,CAC,10,EAP,, 374 ,     ,          ,     ,          , 17.75 ,-,"9""S", 16.86 
CA,2012,077801,#1,ALOE HYBRID CARMINE TM,Retro Succulents®  Carmine™  Aloe,CAC,09,EAP,, 69 ,,,     ,          , 8.00 ,SPIKES,"6""S", 7.60 
CA,2011,063791,#1,ALOE HYBRID CHRISTMAS CAROL,Christmas Carol Aloe                                        ,CAC,09,,,     , 859 ,04/01/14  ,,, 8.00 ,,, 7.60 
CA,2012,077811,#1,ALOE HYBRID DONNIE TM,Retro Succulents®  Donnie™  hybrid Aloe,CAC,09,EAP,, 77 , 127 ,04/01/14  ,     ,          , 8.00 ,SPIKES,6''S, 7.60 
CA,2012,077781,#1,ALOE HYBRID GUIDO TM,Retro Succulents®  Guido™  Aloe,CAC,09,EAP,, 394 ,,,,, 8.00 ,-,"6""S", 7.60 
CA,2012,077791,#1,ALOE HYBRID SAL TM,Retro Succulents®  Sal™  Aloe,CAC,09,EAP,, 492 ,,,,, 8.00 ,SPIKES,6''S, 7.60 
CA,2014,069042,#2,ALOE JOHNSON'S HYBRID,                                                            ,CAC,09,,,     , 6 ,05/01/14  ,     ,          , 17.75 ,,, 16.86 
CA,2010,064222,#2,ALOE RUDIKOPPE,Little Red Riding Hood Aloe                                 ,CAC,09,,, 821 ,     ,          ,     ,          , 17.75 ,-,"8""H - 8""S", 16.86 
CA,    ,040311,#1,ALYOGYNE LEON'S PUR DELIGHT TM,Leon's Purple Delight™  Lilac Hibiscus,EVS,09,,,     , 247 ,04/01/14  ,     ,          , 6.75 ,,"8""H - 8""S", 6.41 
CA,    ,040315,#5,ALYOGYNE LEON'S PUR DELIGHT TM,Leon's Purple Delight™  Lilac Hibiscus,EVS,09,,, 79 ,,,,, 21.75 ,BUDS & BLOOMS,"15""H - 15""S", 20.66 
CA,    ,040315PT,#5 PATIO TREE,ALYOGYNE LEON'S PUR DELIGHT TM,Leon's Purple Delight™  Lilac Hibiscus,EVS,09,,, 808 ,     ,          ,     ,          , 38.50 ,BUDS & BLOOMS,"15""S", 36.58 
CA,    ,040315ST,#5 STAKED,ALYOGYNE LEON'S PUR DELIGHT TM,Leon's Purple Delight™  Lilac Hibiscus,EVS,09,,, 94 ,,,,, 24.00 ,BUDS & BLOOMS,"36""H", 22.80 
CA,    ,002385PT,#5 PATIO TREE,ALYOGYNE PURPLE DELIGHT TM,Purple Delight™  Lilac Hibiscus,EVS,09,,,     , 258 ,04/01/14  ,     ,          , 38.50 ,,"15""S", 36.58 
CA,    ,002421,#1,ALYOGYNE SANTA CRUZ,Lilac Hibiscus                                              ,EVS,09,,,     , 89 ,04/01/14  ,     ,          , 6.75 ,,"8""H - 8""S", 6.41 
CA,    ,002425,#5,ALYOGYNE SANTA CRUZ,Lilac Hibiscus                                              ,EVS,09,,, 18 ,,,,, 21.75 ,BUDS & BLOOMS,"15""H-15""S", 20.66 
CA,    ,002425PT,#5 PATIO TREE,ALYOGYNE SANTA CRUZ,Lilac Hibiscus                                              ,EVS,09,,, 531 ,     ,          ,     ,          , 38.50 ,BUDS & BLOOMS,"15""S", 36.58 
CA,    ,002425ST,#5 STAKED,ALYOGYNE SANTA CRUZ,Lilac Hibiscus                                              ,EVS,09,,, 356 ,,,,, 24.00 ,BUDS & BLOOMS,"36""H", 22.80 
CA,    ,003151,#1,ASPARAGUS MYERS,Foxtail Fern                                                ,FRN,09,,," 7,940 ",     ,          ,     ,          , 7.50 ,-,6''H, 7.13 
CA,    ,003152,#2,ASPARAGUS MYERS,Foxtail Fern                                                ,FRN,09,,,     , 302 ,04/01/14  ,,, 15.50 ,-,"10""H", 14.73 
CA,    ,003155,#5,ASPARAGUS MYERS,Foxtail Fern                                                ,FRN,09,,,     , 452 ,04/15/14  ,     ,          , 23.00 ,-,"13""H", 21.85 
CA,    ,004401,#1,AZALEA B ALASKA,Alaska Azalea                                               ,RHO,09,,, 138 ,     ,          ,     ,          , 5.75 ,-,"7""H - 8""S", 5.46 
CA,    ,004402,#2,AZALEA B ALASKA,Alaska Azalea                                               ,RHO,09,,, 16 ,     ,          ,     ,          , 14.50 ,BUDS,"10""H - 12""S", 13.78 
CA,    ,004752PT,#2 PATIO TREE,AZALEA B HAPPY DAYS,Happy Days Azalea                                           ,RHO,09,,,     , 17 ,04/15/14  ,     ,          , 28.50 ,-,"12""S", 27.08 
CA,    ,004755,#5,AZALEA B HAPPY DAYS,Happy Days Azalea                                           ,RHO,09,,,     , 5 ,04/15/14  ,     ,          , 19.75 ,-,"10""H - 12""S", 18.76 
CA,    ,005251,#1,AZALEA B ROSE GLOW,Rose Glow Azalea                                            ,RHO,09,,, 34 ,     ,          ,     ,          , 5.75 ,BUDS & BLOOMS,"6""H - 8""S", 5.46 
CA,    ,005252,#2,AZALEA B ROSE GLOW,Rose Glow Azalea                                            ,RHO,09,,, 38 ,     ,          ,     ,          , 14.50 ,BUDS & BLOOMS,"10""H - 12""S", 13.78 
CA,    ,005252PT,#2 PATIO TREE,AZALEA B ROSE GLOW,Rose Glow Azalea                                            ,RHO,09,,,     , 20 ,04/15/14  ,     ,          , 28.50 ,-,"12""S", 27.08 
CA,    ,005605,#5,AZALEA S BRILLIANT,Brilliant Azalea                                            ,RHO,08,,, 247 ,     ,          ,     ,          , 19.75 ,BUDS,"16""H - 18""S", 18.76 
CA,    ,005755PT,#5 PATIO TREE,AZALEA S GEORGE L TABER,George L. Taber Azalea                                      ,RHO,08,,, 90 ,     ,          ,     ,          , 42.50 ,-,"15""S", 40.38 
CA,    ,005955,#5,AZALEA S IMP PRINCESS TM,Imperial Princess™  Azalea,RHO,08,,, 10 ,     ,          ,     ,          , 19.75 ,BUDS,"12""H - 12""S", 18.76 
CA,    ,006101,#1,AZALEA S L J BOBBINK,L. J. Bobbink Azalea                                        ,RHO,08,,, 23 ,     ,          ,     ,          , 5.75 ,-,"8""H - 8""S", 5.46 
CA,    ,006301,#1,AZALEA S PHOENICIA,Phoenicia Azalea                                            ,RHO,08,,, 934 ,     ,          ,     ,          , 5.75 ,-,"10""H - 10""S", 5.46 
CA,    ,006305,#5,AZALEA S PHOENICIA,Phoenicia Azalea                                            ,RHO,08,,, 95 ,     ,          ,     ,          , 19.75 ,BUDS,"12""H - 15""S", 18.76 
CA,    ,006305PT,#5 PATIO TREE,AZALEA S PHOENICIA,Phoenicia Azalea                                            ,RHO,08,,, 49 ,     ,          ,     ,          , 42.50 ,BUDS,"18""S", 40.38 
CA,    ,006505,#5,AZALEA S SOUTHERN CHARM,Southern Charm Azalea                                       ,RHO,08,,, 51 ,     ,          ,     ,          , 19.75 ,-,"14""H - 15""S", 18.76 
CA,    ,006505PT,#5 PATIO TREE,AZALEA S SOUTHERN CHARM,Southern Charm Azalea                                       ,RHO,08,,, 325 ,     ,          ,     ,          , 42.50 ,-,"18""S", 40.38 
CA,    ,011407,#7,BAM-OTATEA AC AZTECTORUM (CLP),Mexican Weeping Bamboo                                      ,GRS,09,,,     , 3 ,05/01/14  ,     ,          , 70.00 ,-,"46""H", 66.50 
CA,    ,011327,#7,BAMBUSA TULDOIDES (CLUMP),Punting Pole Bamboo                                         ,GRS,09,,,     , 148 ,05/01/14  ,     ,          , 70.00 ,-,"60""H", 66.50 
CA,    ,011335,#5,BAMBUSA VENTRICOSA (CLUMP),Buddha's Belly Bamboo                                       ,GRS,09,,, 11 ,,,,          , 44.00 ,WINTER COLOR,"54""H", 41.80 
CA,2010,064021,#1,BASIL PESTO PERPETUO PP16260,Pesto Perpetuo Basil                                        ,PRN,09,SBN,,     , 75 ,04/15/14  ,     ,          , 4.25 ,,, 4.04 
CA,2012,079142,#2,BESCHORNERIA FLAMINGO GLOW TM,Flamingo Glow Mexican Lily                                  ,CAC,09,Y,, 5 , 463 ,04/01/14  ,     ,          , 18.25 ,-,"10""H", 17.34 
CA,    ,012701,#1 STAKED,BOUG BARBARA KARST,Barbara Karst Bougainvillea                                 ,VIN,10,,," 4,090 ",     ,          ,     ,          , 7.00 ,BUDS & BLOOMS,"24""H", 6.65 
CA,2012,090122BH,#2 BUSH,BOUG BLUEBERRY ICE,Blueberry Ice Bougainvillea                                 ,VIN,10,,, 21 ,     ,          ,     ,          , 16.75 ,BUDS & BLOOMS,"10""S", 15.91 
CA,    ,012901,#1 STAKED,BOUG CAMARILLO FIESTA TM,Camarillo Fiesta™  Bougainvillea,VIN,10,,, 829 ,,,,          , 7.00 ,BUDS,"24""H", 6.65 
CA,    ,012905,#5 STAKED,BOUG CAMARILLO FIESTA TM,Camarillo Fiesta™  Bougainvillea,VIN,10,,,     , 307 ,04/01/14  , 558 ,04/15/14  , 23.00 ,,"48""H", 21.85 
CA,    ,012951,#1 STAKED,BOUG CHERRY BLOSSOM,Cherry Blossom Bougainvillea                                ,VIN,10,,, 327 ,,,,          , 7.00 ,BUDS & BLOOMS,"24""H", 6.65 
CA,    ,012955,#5 STAKED,BOUG CHERRY BLOSSOM,Cherry Blossom Bougainvillea                                ,VIN,10,,, 124 ,,,,          , 23.00 ,BUDS & BLOOMS,"48""H", 21.85 
CA,    ,013031,#1 STAKED,BOUG DON MARIO R,Don Mario®  Bougainvillea,VIN,10,,, 690 ,     ,          ,     ,          , 7.00 ,BUDS & BLOOMS,"24""H", 6.65 
CA,    ,012661,#1 STAKED,BOUG GOLD RUSH TM,Gold Rush™  Bougainvillea,VIN,10,,, 576 ,,,,          , 7.00 ,BUDS & BLOOMS,"24""H", 6.65 
CA,    ,012662,#2 STAKED,BOUG GOLD RUSH TM,Gold Rush™  Bougainvillea,VIN,10,,, 462 ,     ,          ,     ,          , 17.50 ,BUDS & BLOOMS,"32""H", 16.63 
CA,    ,012665,#5 STAKED,BOUG GOLD RUSH TM,Gold Rush™  Bougainvillea,VIN,10,,, 269 ,,,,          , 23.00 ,BUDS & BLOOMS,"48""H", 21.85 
CA,    ,016482,#2 STAKED,BOUG GOLDEN JACKPOT R,Golden Jackpot®  Bougainvillea,VIN,10,OLD,,     , 212 ,04/15/14  ,     ,          , 18.50 ,,, 17.58 
CA,    ,013121,#1 STAKED,BOUG JAMES WALKER,James Walker Bougainvillea                                  ,VIN,10,,," 1,014 ",     ,          ,     ,          , 7.00 ,BUDS & BLOOMS,"24""H", 6.65 
CA,    ,013125,#5 STAKED,BOUG JAMES WALKER,James Walker Bougainvillea                                  ,VIN,10,,, 8 ,,,,          , 23.00 ,BUDS & BLOOMS,"48""H", 21.85 
CA,    ,013205,#5 STAKED,BOUG ORANGE KING,Orange King Bougainvillea                                   ,VIN,10,,, 63 ,,,,          , 23.00 ,BUDS & BLOOMS,"48""H", 21.85 
CA,    ,013051BH,#1 BUSH,BOUG PURPLE QUEEN R,Purple Queen®  Bougainvillea,VIN,10,,, 112 ,,,,          , 6.75 ,BUDS & BLOOMS,"6""H-8""S", 6.41 
CA,    ,013052,#2 STAKED,BOUG PURPLE QUEEN R,Purple Queen®  Bougainvillea,VIN,10,,, 15 ,     ,          ,     ,          , 17.50 ,BUDS & BLOOMS,"30""H", 16.63 
CA,    ,013052BH,#2 BUSH,BOUG PURPLE QUEEN R,Purple Queen®  Bougainvillea,VIN,10,,, 10 ,,,,          , 16.75 ,BUDS & BLOOMS,"10""H-12""S", 15.91 
CA,    ,013055,#5 STAKED,BOUG PURPLE QUEEN R,Purple Queen®  Bougainvillea,VIN,10,,,     , 125 ,04/01/14  ,,, 23.00 ,,"48""H", 21.85 
CA,    ,013055BH,#5 BUSH,BOUG PURPLE QUEEN R,Purple Queen®  Bougainvillea,VIN,10,,, 483 ,     ,          ,     ,          , 21.50 ,BUDS & BLOOMS,"12""H-15""S", 20.43 
CA,    ,013055PT,#5 PATIO TREE,BOUG PURPLE QUEEN R,Purple Queen®  Bougainvillea,VIN,10,,, 226 ,     ,          ,     ,          , 38.50 ,BUDS & BLOOMS,"18""S", 36.58 
CA,    ,013211BH,#1 BUSH,BOUG RASPBERRY ICE,Raspberry Ice Bougainvillea                                 ,VIN,10,,,     , 363 ,04/01/14  ,,, 6.75 ,,"6""H - 8""S", 6.41 
CA,    ,037025BH,#5 BUSH,BOUG RED,                                                            ,VIN,10,,, 289 ,     ,          ,     ,          , 21.50 ,BUDS & BLOOMS,"13""H-15""S", 20.43 
CA,    ,013231BH,#1 BUSH,BOUG ROSENKA,Rosenka Bougainvillea                                       ,VIN,10,,, 768 ,     ,          ,     ,          , 6.75 ,BUDS & BLOOMS,"6""H-8""S", 6.41 
CA,    ,013235BH,#5 BUSH,BOUG ROSENKA,Rosenka Bougainvillea                                       ,VIN,10,,, 5 ,     ,          ,     ,          , 21.50 ,BUDS & BLOOMS,"12""H-15""S", 20.43 
CA,    ,013235PT,#5 PATIO TREE,BOUG ROSENKA,Rosenka Bougainvillea                                       ,VIN,10,,, 26 ,,,,          , 38.50 ,BUDS & BLOOMS,"18""S", 36.58 
CA,    ,013251,#1 STAKED,BOUG SCARLETT OHARA(SN DGO RED,Scarlett O'Hara Bougainvillea                               ,VIN,10,,, 489 ,,,,          , 7.00 ,BUDS,"24""H", 6.65 
CA,    ,013255,#5 STAKED,BOUG SCARLETT OHARA(SN DGO RED,Scarlett O'Hara Bougainvillea                               ,VIN,10,,,     , 386 ,04/01/14  ,,, 23.00 ,,"48""H", 21.85 
CA,    ,038141,#1 STAKED,BOUG SHARON WESLEY,Sharon Wesley Bougainvillea                                 ,VIN,10,,, 187 ,     ,          ,     ,          , 7.00 ,BUDS & BLOOMS,"24""H", 6.65 
CA,    ,038145,#5 STAKED,BOUG SHARON WESLEY,Sharon Wesley Bougainvillea                                 ,VIN,10,,, 25 ,,,,          , 23.00 ,BUDS & BLOOMS,"48""H", 21.85 
CA,2014,095742BH,#2 BUSH,BOUG SUNVILLEA TM CREAM P22112,Sunvillea™  Cream Dwarf Bougainvillea,VIN,09,Y,,     , 1 ,04/15/14  ,     ,          , 17.50 ,,, 16.63 
CA,2014,095752BH,#2 BUSH,BOUG SUNVILLEA TM PINK PP22113,Sunvillea™  Pink Dwarf Bougainvillea,VIN,09,Y,,     , 38 ,04/15/14  ,     ,          , 17.50 ,,, 16.63 
CA,    ,013451,#1 STAKED,BOUG TEXAS DAWN TM,Texas Dawn™  Bougainvillea,VIN,10,,, 31 ,,,,          , 7.00 ,BUDS & BLOOMS,"24""H", 6.65 
CA,    ,012671BH,#1 BUSH,BOUG TORCH GLOW,Torch Glow Bougainvillea                                    ,VIN,10,OLD,, 50 ,     ,          ,     ,          , 6.75 ,BUDS & BLOOMS,"6""H-8""S", 6.41 
CA,2012,090111BH,#1 BUSH,BOUG WHITE STRIPE,White Stripe Bougainvillea                                  ,VIN,09,OLD,, 110 ,     ,          ,     ,          , 6.75 ,BUDS & BLOOMS,"6""H-8""S", 6.41 
CA,2012,090112BH,#2 BUSH,BOUG WHITE STRIPE,White Stripe Bougainvillea                                  ,VIN,09,OLD,, 11 ,     ,          ,     ,          , 16.75 ,BUDS & BLOOMS,"10""H-10""S", 15.91 
CA,    ,013501,#1,BRUNFELSIA FLORIBUNDA,"Yesterday, Today And Tomorrow                               ",EVS,09,,,     , 17 ,04/01/14  ,,, 6.25 ,-,"8""H - 6""S", 5.94 
CA,    ,025282,#2,CAESALPINIA GILLIESII,Yellow Bird Of Paradise                                     ,EVS,08,,, 165 , 525 ,04/01/14  ,     ,          , 14.50 ,-,"15""H - 10""S *", 13.78 
CA,    ,025285,#5,CAESALPINIA GILLIESII,Yellow Bird Of Paradise                                     ,EVS,08,,,     , 2 ,04/01/14  ,     ,          , 20.00 ,-,"18""H - 15""S *", 19.00 
CA,    ,025285PT,#5 PATIO TREE,CAESALPINIA GILLIESII,Yellow Bird Of Paradise                                     ,EVS,08,,,     , 248 ,04/01/14  ,     ,          , 38.50 ,-,"15""S", 36.58 
CA,2013,046765,#5,CALLISTEM SCRLT TRCH TM P23848,Scarlet Torch™  Bottlebrush,EVS,08,UOG,, 5 ,     ,          ,     ,          , 22.00 ,BUDS,"14""H - 18""S", 20.90 
CA,    ,014351,#1,CALLISTEMON CITRINUS,Scarlet Bottlebrush                                         ,EVS,08,,, 823 ," 1,875 ",04/01/14  ,     ,          , 5.75 ,BUDS,"8""H - 8""S *", 5.46 
CA,    ,014355,#5,CALLISTEMON CITRINUS,Scarlet Bottlebrush                                         ,EVS,08,,, 114 ,,,,          , 20.00 ,BUDS,"20""H - 15""S *", 19.00 
CA,    ,014401,#1,CALLISTEMON LITTLE JOHN,Dwarf Bottlebrush                                           ,EVS,08,,, 685 ,,,,          , 6.00 ,BUDS,"8""H - 8""S", 5.70 
CA,    ,014402,#2,CALLISTEMON LITTLE JOHN,Dwarf Bottlebrush                                           ,EVS,08,,, 409 ," 1,621 ",04/01/14  ,     ,          , 14.75 ,LIGHT BUDS,"10''H - 10""S", 14.01 
CA,    ,014405,#5,CALLISTEMON LITTLE JOHN,Dwarf Bottlebrush                                           ,EVS,08,,, 612 ," 1,738 ",04/15/14  ,,, 20.25 ,BUDS,"14""H - 15""S *", 19.24 
CA,    ,029212,#2,CANNA TROP BLACK TM PP21350,Tropicanna®  Black Canna,PRN,07,ATI,,     , 45 ,05/15/14  ,     ,          , 18.50 ,-,3-5 EYES, 17.58 
CA,    ,017411,#1,CANNA TROPICANNA GLD TM P13809,Tropicanna®  Gold Canna,PRN,07,ATI,,     ," 1,361 ",04/01/14  ,     ,          , 9.00 ,-,"12""H", 8.55 
CA,    ,017412,#2,CANNA TROPICANNA GLD TM P13809,Tropicanna®  Gold Canna,PRN,07,ATI,, 691 ," 3,209 ",04/15/14  ,     ,          , 18.50 ,EMERGING,3-5 EYES, 17.58 
CA,    ,022481,#1,CANNA TROPICANNA TM PP10569,Tropicanna®  Canna,PRN,07,ATI,,     ," 2,205 ",04/01/14  ,     ,          , 9.00 ,-,9''H, 8.55 
CA,    ,023261,#1,CESTRUM FAS NEWELLII,Newell Cestrum                                              ,EVS,08,,,     , 178 ,04/15/14  ,     ,          , 6.00 ,-,"13""H - 6""S *", 5.70 
CA,    ,024515,#5,CISTUS BRILLIANCY,Brillancy Rock Rose                                         ,EVS,08,,, 55 ,,,     ,          , 20.25 ,-,"8""H - 13""S", 19.24 
CA,    ,024605,#5,CISTUS PURPUREUS,Purple Rock Rose                                            ,EVS,08,,, 81 ,     ,          ,     ,          , 20.25 ,BUDS,"10""H - 15""S", 19.24 
CA,    ,024755,#5,CITRUS BEARSS SEEDLESS LIME,Bearss Seedless Lime                                        ,CIT,09,,, 21 ,,,,          , 24.25 ,-,"15""H-15""S", 23.04 
CA,    ,026252,#2,CITRUS CALAMONDIN ORANGE,Calamondin Orange                                           ,CIT,09,,, 40 ,     ,          ,     ,          , 16.75 ,-,"16""H-12""S", 15.91 
CA,    ,026262,#2,CITRUS CALAMONDIN VARIEGATA,Variegated Calamondin Orange                                ,CIT,09,,, 472 ,     ,          ,     ,          , 16.75 ,-,"14""H-12""S", 15.91 
CA,    ,024795,#5,CITRUS CAMPBELL VALENCIA,Campbell Valencia Orange                                    ,CIT,09,,, 70 ,,,,          , 24.25 ,-,"14""H-15""S", 23.04 
CA,    ,024745,#5,CITRUS DWF BEARSS SEEDLSS LIME,Dwarf Bearss Seedless Lime                                  ,CIT,09,,,     , 110 ,04/25/14  ,     ,          , 30.00 ,-,"14""H-15""S", 28.50 
CA,    ,024812,#2,CITRUS DWF CAMPBELL VALENCIA,Dwarf Campbell Valencia Orange                              ,CIT,09,,,     , 10 ,04/25/14  ,     ,          , 16.75 ,,, 15.91 
CA,    ,024815,#5,CITRUS DWF CAMPBELL VALENCIA,Dwarf Campbell Valencia Orange                              ,CIT,09,,,     , 44 ,04/25/14  ,     ,          , 30.00 ,,"12""H - 15""S", 28.50 
CA,    ,025742,#2,CITRUS DWF LISBON LEMON,Dwarf Lisbon Lemon                                          ,CIT,09,,,     , 20 ,04/25/14  ,     ,          , 16.75 ,,, 15.91 
CA,    ,025745,#5,CITRUS DWF LISBON LEMON,Dwarf Lisbon Lemon                                          ,CIT,09,,,     , 74 ,04/25/14  ,     ,          , 30.00 ,-,"18""H-15""S", 28.50 
CA,    ,024625,#5,CITRUS DWF REDBLUSH GRAPEFRUIT,Dwarf Redblush Grapefruit                                   ,CIT,09,,,     , 72 ,04/25/14  ,     ,          , 30.00 ,,"12""H - 15""S", 28.50 
CA,    ,026105,#5,CITRUS DWF WASHINGTON NAVEL,Dwarf Washington Navel Orange                               ,CIT,09,,,     , 37 ,04/25/14  ,     ,          , 30.00 ,-,"14""H-15""S", 28.50 
CA,    ,025055,#5,CITRUS EUREKA LEMON,Eureka Lemon                                                ,CIT,09,,,     , 13 ,04/25/14  ,     ,          , 24.25 ,,"15""H - 15""S", 23.04 
CA,    ,026001,#1,CITRUS IMPROVED MEYER LEMON,Improved Meyer Lemon                                        ,CIT,09,,, 449 ," 1,186 ",04/25/14  ,     ,          , 9.00 ,BUDS & BLOOMS,"8""H-8""S", 8.55 
CA,    ,026002,#2,CITRUS IMPROVED MEYER LEMON,Improved Meyer Lemon                                        ,CIT,09,,," 1,444 ",     ,          ,     ,          , 16.75 ,-,"14""H-12""S", 15.91 
CA,    ,026005,#5,CITRUS IMPROVED MEYER LEMON,Improved Meyer Lemon                                        ,CIT,09,,," 1,953 "," 2,072 ",04/25/14  ,     ,          , 24.25 ,-,"13""H-15""S", 23.04 
CA,    ,025602,#2,CITRUS KUMQUAT NAGAMI,Nagami Kumquat                                              ,CIT,09,,, 227 ," 1,047 ",04/25/14  ,     ,          , 21.50 ,-,"12""H-10""S", 20.43 
CA,    ,025602PT,#2 PATIO TREE,CITRUS KUMQUAT NAGAMI,Nagami Kumquat                                              ,CIT,09,,, 219 ,,,,          , 30.00 ,FULL FRUIT,"10""S", 28.50 
CA,    ,025605,#5,CITRUS KUMQUAT NAGAMI,Nagami Kumquat                                              ,CIT,09,,, 5 ,     ,          ,     ,          , 30.00 ,FULL FRUIT,"18""H-16""S", 28.50 
CA,    ,025781,#1,CITRUS LISBON LEMON,Lisbon Lemon                                                ,CIT,09,,, 146 ,     ,          ,     ,          , 9.00 ,-,"10""H-10""S", 8.55 
CA,    ,025785,#5,CITRUS LISBON LEMON,Lisbon Lemon                                                ,CIT,09,,,     , 12 ,04/25/14  ,     ,          , 24.25 ,,"15""H - 15""S", 23.04 
CA,    ,025785PT,#5 PATIO TREE,CITRUS LISBON LEMON,Lisbon Lemon                                                ,CIT,09,,,     , 36 ,04/25/14  ,     ,          , 38.50 ,-,"15""S", 36.58 
CA,    ,026652,#2,CITRUS MORO BLOOD ORANGE,Moro Blood Orange                                           ,CIT,09,,,     , 10 ,04/25/14  ,     ,          , 16.75 ,,, 15.91 
CA,    ,026652PT,#2 PATIO TREE,CITRUS MORO BLOOD ORANGE,Moro Blood Orange                                           ,CIT,09,,, 36 ,     ,          ,     ,          , 30.00 ,-,"10""S", 28.50 
CA,    ,026655,#5,CITRUS MORO BLOOD ORANGE,Moro Blood Orange                                           ,CIT,09,,,     , 9 ,04/25/14  ,     ,          , 24.25 ,-,"18""H-15""S", 23.04 
CA,    ,026602,#2,CITRUS OWA SATSUMA MANDARIN,Owari Satsuma Mandarin Orange                               ,CIT,09,,,     , 2 ,04/25/14  ,     ,          , 16.75 ,,, 15.91 
CA,2014,066432,#2,CITRUS SEEDLESS KISHU MANDARIN,Seedless Kishu Mandarin                                     ,CIT,09,,,     , 25 ,04/25/14  ,     ,          , 16.75 ,,, 15.91 
CA,    ,026055,#5,CITRUS WASHINGTON NAVEL ORANGE,Washington Navel Orange                                     ,CIT,09,,, 107 , 430 ,04/25/14  ,     ,          , 24.25 ,-,"14""H-15""S", 23.04 
CA,    ,028842,#2,CLIVIA BELGIUM HYB YELLOW,Belgian Hybrid Yellow Bush Lily                             ,EVS,09,,, 10 ,     ,          ,     ,          , 15.00 ,BUDS & BLOOMS,"14""H", 14.25 
