Location,Item #,Description,Size,Display, 2015 Price ,USDA Zone,Now Order,Booking
OREGON,028851,TAXUS X MED HUBERS TAWNY GOLD,#1,CONIFER SPREADING, $8.50 ,04,,
OREGON,028852,TAXUS X MED HUBERS TAWNY GOLD,#2,CONIFER SPREADING, $17.50 ,04,,
OREGON,012402,TAXUS X MEDIA BERRYHILLI,#2,CONIFER SPREADING, $16.00 ,04,,
OREGON,012405,TAXUS X MEDIA BERRYHILLI,#5,CONIFER SPREADING, $22.00 ,04,,
OREGON,072302,TAXUS X MEDIA BROWNII,#2,CONIFER SPREADING, $16.00 ,04,,
OREGON,072321,TAXUS X MEDIA DENSIFORMIS,#1,CONIFER SPREADING, $7.75 ,04,,
OREGON,072322,TAXUS X MEDIA DENSIFORMIS,#2,CONIFER SPREADING, $16.00 ,04,,
OREGON,072325,TAXUS X MEDIA DENSIFORMIS,#5,CONIFER SPREADING, $22.00 ,04,,
OREGON,072331,TAXUS X MEDIA HICKSII,#1,CONIFER SPREADING, $7.75 ,04,,
OREGON,07233M,TAXUS X MEDIA HICKSII,#10 Squat,CONIFER SPREADING, $46.50 ,04,,
OREGON,072332,TAXUS X MEDIA HICKSII,#2,CONIFER SPREADING, $16.50 ,04,,
OREGON,072335,TAXUS X MEDIA HICKSII,#5,CONIFER SPREADING, $22.00 ,04,,
OREGON,072941,THUJA OC DANICA,#1,CONIFER SPREADING, $6.25 ,04,,
OREGON,072942,THUJA OC DANICA,#2,CONIFER SPREADING, $14.00 ,04,,
OREGON,072945,THUJA OC DANICA,#5,CONIFER SPREADING, $22.00 ,04,,
OREGON,047441,THUJA OC FIRE CHIEF TM P19009,#1,CONIFER SPREADING, $7.00 ,04,,
OREGON,047442,THUJA OC FIRE CHIEF TM P19009,#2,CONIFER SPREADING, $15.50 ,04,,
OREGON,072862,THUJA OC GOLDEN GLOBE,#2,CONIFER SPREADING, $14.25 ,04,,
OREGON,072865,THUJA OC GOLDEN GLOBE,#5,CONIFER SPREADING, $22.00 ,04,,
OREGON,055971,THUJA OC GOLDEN TUFFET,#1,CONIFER SPREADING, $6.25 ,03,,
OREGON,055972,THUJA OC GOLDEN TUFFET,#2,CONIFER SPREADING, $14.25 ,03,,
OREGON,072922,THUJA OC HETZ MIDGET,#2,CONIFER SPREADING, $14.25 ,03,,
OREGON,072925,THUJA OC HETZ MIDGET,#5,CONIFER SPREADING, $22.00 ,03,,
OREGON,072871,THUJA OC LITTLE GIANT,#1,CONIFER SPREADING, $6.25 ,03,,
OREGON,072872,THUJA OC LITTLE GIANT,#2,CONIFER SPREADING, $14.25 ,03,,
OREGON,072875,THUJA OC LITTLE GIANT,#5,CONIFER SPREADING, $22.00 ,03,,
OREGON,022171,THUJA OC MR BOWLING BALL R,#1,CONIFER SPREADING, $7.00 ,03,,
OREGON,022172,THUJA OC MR BOWLING BALL R,#2,CONIFER SPREADING, $15.50 ,03,,
OREGON,022175,THUJA OC MR BOWLING BALL R,#5,CONIFER SPREADING, $23.50 ,03,,
OREGON,072891,THUJA OC RHEINGOLD,#1,CONIFER SPREADING, $6.25 ,04,,
OREGON,072892,THUJA OC RHEINGOLD,#2,CONIFER SPREADING, $14.25 ,04,,
OREGON,019441,THUJA PL GRN GLOBE (GRNE KGEL),#1,CONIFER SPREADING, $6.25 ,05,,
OREGON,019442,THUJA PL GRN GLOBE (GRNE KGEL),#2,CONIFER SPREADING, $14.25 ,05,,
OREGON,087355,THUJA PLICATA PYGMAEA,#5,CONIFER SPREADING, $22.00 ,05,,
OREGON,066572,THUJA PLICATA WHIPCORD,#2,CONIFER SPREADING, $14.25 ,05,,
OREGON,034052,THUJOPSIS DOLOBRATA NANA,#2,CONIFER SPREADING, $14.50 ,05,,
OREGON,034055,THUJOPSIS DOLOBRATA NANA,#5,CONIFER SPREADING, $23.50 ,05,,
OREGON,051322,TSUGA C GLDN DUCHESS TM P25503,#2,CONIFER SPREADING, $16.75 ,04,,
OREGON,051325,TSUGA C GLDN DUCHESS TM P25503,#5,CONIFER SPREADING, $31.50 ,04,,
OREGON,07343M,TSUGA CAN EMERALD FOUNTAIN R,#10 Squat,CONIFER SPREADING, $63.00 ,04,,
OREGON,073435,TSUGA CAN EMERALD FOUNTAIN R,#5,CONIFER SPREADING, $30.00 ,04,,
OREGON,034095,TSUGA CAN GRACILLIS,#5,CONIFER SPREADING, $30.00 ,04,,
OREGON,038191,TSUGA CAN JEDDELOH,#1,CONIFER SPREADING, $7.75 ,04,,
OREGON,038192,TSUGA CAN JEDDELOH,#2,CONIFER SPREADING, $16.75 ,04,,
OREGON,051315,ABIES CONCOLOR CANDICANS,#5,CONIFER UPRIGHT, $46.50 ,04,,
OREGON,021565,ABIES HORSTMANN'S SILBERLOCKE,#5,CONIFER UPRIGHT, $46.50 ,05,,
OREGON,019342,ABIES LAS GLAUCA COMPACTA,#2,CONIFER UPRIGHT, $27.50 ,03,,
OREGON,038785,CEDRUS ATLANTICA FASTIGIATA,#5,CONIFER UPRIGHT, $41.50 ,06,,
OREGON,023301,CEDRUS ATLANTICA GLAUCA,#1,CONIFER UPRIGHT, $11.50 ,06,,
OREGON,023305,CEDRUS ATLANTICA GLAUCA,#5,CONIFER UPRIGHT, $41.50 ,06,,
OREGON,023307,CEDRUS ATLANTICA GLAUCA,#7,CONIFER UPRIGHT, $75.00 ,06,,
OREGON,023325,CEDRUS ATLANTICA HORSTMANN,#5,CONIFER UPRIGHT, $41.50 ,06,,
OREGON,023327,CEDRUS ATLANTICA HORSTMANN,#7,CONIFER UPRIGHT, $75.00 ,06,,
OREGON,023359,CEDRUS DEODARA,#15,CONIFER UPRIGHT, $91.00 ,07,,
OREGON,023355,CEDRUS DEODARA,#5,CONIFER UPRIGHT, $25.50 ,07,,
OREGON,023357,CEDRUS DEODARA,#7,CONIFER UPRIGHT, $59.00 ,07,,
OREGON,023365,CEDRUS DEODARA AUREA,#5,CONIFER UPRIGHT, $41.50 ,07,,
OREGON,023367,CEDRUS DEODARA AUREA,#7,CONIFER UPRIGHT, $83.00 ,07,,
OREGON,03383M,CHAM L SNOW QUEEN-GUARDIAN R,#10 Squat,CONIFER UPRIGHT, $73.00 ,06,,
OREGON,02365M,CHAM NOOT PENDULA,#10 Squat,CONIFER UPRIGHT, $79.00 ,05,,
OREGON,023655,CHAM NOOT PENDULA,#5,CONIFER UPRIGHT, $42.50 ,05,,
OREGON,074785,CHAM PIS SOFT SERVE R PPAF,#5,CONIFER UPRIGHT, $27.00 ,05,,
OREGON,074782S,CHAM PIS SOFT SERVE R PPAF,SuperTwo,CONIFER UPRIGHT, $17.00 ,05,,
OREGON,035355,CRYPTOMERIA J BLACK DRAGON,#5,CONIFER UPRIGHT, $30.00 ,05,,
OREGON,047115,CUP GLABRA CHAPARRAL,#5,CONIFER UPRIGHT, $25.50 ,05,,
OREGON,047105,CUP GLABRA SULPHUREA,#5,CONIFER UPRIGHT, $25.50 ,06,,
CALIFORNIA,030515,CUP LEY EMERALD ISLE R,#5,CONIFER UPRIGHT, $25.50 ,05,,
OREGON,047572,CUP MAC DONARD GOLD,#2,CONIFER UPRIGHT, $16.00 ,07,,
OREGON,047575,CUP MAC DONARD GOLD,#5,CONIFER UPRIGHT, $27.50 ,07,,
CALIFORNIA,030709,CUP SEMP GLAUCA,#15,CONIFER UPRIGHT, $87.00 ,07,,
CALIFORNIA,030707,CUP SEMP GLAUCA,#7,CONIFER UPRIGHT, $59.00 ,07,,
CALIFORNIA,030757,CUP SEMP SWANE'S GOLDEN,#7,CONIFER UPRIGHT, $59.00 ,07,,
CALIFORNIA,030739,CUP SEMP TINY TOWER R PP12933,#15,CONIFER UPRIGHT, $96.00 ,07,,
OREGON,030732,CUP SEMP TINY TOWER R PP12933,#2,CONIFER UPRIGHT, $16.50 ,07,,
CALIFORNIA,030737,CUP SEMP TINY TOWER R PP12933,#7,CONIFER UPRIGHT, $64.00 ,07,,
OREGON,046875,JUN C BLUE POINT,#5,CONIFER UPRIGHT, $26.50 ,04,,
CALIFORNIA,04730M,JUN C SPARTAN,#10 Squat,CONIFER UPRIGHT, $65.00 ,05,,
CALIFORNIA,047309,JUN C SPARTAN,#15,CONIFER UPRIGHT, $91.00 ,05,,
OREGON,047305,JUN C SPARTAN,#5,CONIFER UPRIGHT, $26.50 ,05,,
CALIFORNIA,05365Z,JUN SC BLUE ARROW,#25,CONIFER UPRIGHT, $140.00 ,04,,
CALIFORNIA,052305,JUN SC COLOGREEN,#5,CONIFER UPRIGHT, $26.50 ,03,,
CALIFORNIA,052507,JUN SC GRAY GLEAM,#7,CONIFER UPRIGHT, $59.00 ,04,,
CALIFORNIA,054007,JUN SC SKYROCKET,#7,CONIFER UPRIGHT, $59.00 ,04,,
CALIFORNIA,053107PT,JUN SC TOLL BLU WEEPING,#7 PATIO TREE,CONIFER UPRIGHT, $91.00 ,03,,
OREGON,05330M,JUN SC WICHITA BLUE,#10 Squat,CONIFER UPRIGHT, $65.00 ,03,,
CALIFORNIA,053302,JUN SC WICHITA BLUE,#2,CONIFER UPRIGHT, $16.00 ,03,,
