Loc,Item,Plant Name,CAT,Zone,,,,,,,,
160000,040631,HEM PRAIRIE BLUE EYES,PRN,04,,,,,,,,
160000,046611,HEM PURPLE DE ORO,PRN,04,,,,,,,,
160000,040571,HEM RED RUM,PRN,04,,,,,,,,
160000,076281,HEM RUBY SPIDER,PRN,03,,,,,,,,
160000,083941,HEM SILOAM GUMDROP,PRN,04,,,,,,,,
160000,040111,HEM STELLA DE ORO,PRN,04,,,,,,,,
170000,040111,HEM STELLA DE ORO,PRN,04,,,,,,,,
160000,040112,HEM STELLA DE ORO,PRN,04,,,,,,,,
160000,006631,HEM STRAWBERRY CANDY,PRN,04,,,,,,,,
160000,040291,HEM SUMMER WINE,PRN,04,,,,,,,,
160000,083931,HEM SWIRLING WATER,PRN,04,,,,,,,,
160000,054491,HEUCHERA AUTUMN LEAVES PPAF,PRN,04,,,,,,,,
160000,039611,HEUCHERA BLACK BEAUTY PP13288,PRN,04,,,,,,,,
160000,097091,HEUCHERA CARNIVAL LIMEADE PPAF,PRN,04,,,,,,,,
160000,097171,HEUCHERA CARNIVAL RSE GRNT PAF,PRN,04,,,,,,,,
170000,087131,HEUCHERA CARNIVAL WATRMELN PAF,PRN,04,,,,,,,,
160000,036711,HEUCHERA CAROLINE PP20026,PRN,04,,,,,,,,
160000,403241,HEUCHERA CHERRY COLA P22967,PRN,04,,,,,,,,
160000,023101,HEUCHERA FROSTED VIOLET P15085,PRN,04,,,,,,,,
170000,023101,HEUCHERA FROSTED VIOLET P15085,PRN,04,,,,,,,,
170000,047531,HEUCHERA GEORGIA PEACH PP19375,PRN,04,,,,,,,,
160000,018661,HEUCHERA GREEN SPICE,PRN,04,,,,,,,,
170000,018661,HEUCHERA GREEN SPICE,PRN,04,,,,,,,,
170000,029531,HEUCHERA LIME RICKEY PP16210,PRN,04,,,,,,,,
160000,028871,HEUCHERA MARMALADE PP15945,PRN,04,,,,,,,,
170000,028871,HEUCHERA MARMALADE PP15945,PRN,04,,,,,,,,
160000,045721,HEUCHERA MIDNIGHT ROSE PP18551,PRN,04,,,,,,,,
170000,045721,HEUCHERA MIDNIGHT ROSE PP18551,PRN,04,,,,,,,,
160000,037541,HEUCHERA OBSIDIAN PP14836,PRN,04,,,,,,,,
170000,047541,HEUCHERA PEACH FLAMBEE PP17195,PRN,04,,,,,,,,
160000,040721,HEUCHERA PLUM PUDDING,PRN,04,,,,,,,,
170000,049711,HEUCHERA SOUTHERN COMFORT PPAF,PRN,04,,,,,,,,
160000,046641,HEUCHERA VIL CARAMEL PP16560,PRN,04,,,,,,,,
160000,054481,HEUCHERELLA GOLD ZEBRA PPAF,PRN,04,,,,,,,,
160000,076241,HEUCHERELLA REDSTONE FALLS PAF,PRN,04,,,,,,,,
160000,407761,HEUCHERELLA SOLAR ECLIPSE,PRN,04,,,,,,,,
160000,033531,HEUCHERELLA STOPLIGHT PP16835,PRN,04,,,,,,,,
170000,033531,HEUCHERELLA STOPLIGHT PP16835,PRN,04,,,,,,,,
160000,041171,HEUCHERELLA SWEET TEA PPAF,PRN,04,,,,,,,,
170000,041171,HEUCHERELLA SWEET TEA PPAF,PRN,04,,,,,,,,
170000,034712,HIB MOS DAVE FLEMING PP21392,PRN,04,,,,,,,,
170000,036322,HIB MOS STARDUST PP21479,PRN,04,,,,,,,,
170000,034732,HIB MOS STRWBRY SWIRL PP21542,PRN,04,,,,,,,,
170000,040805,HIB R AMOUR,EVS,10,,,,,,,,
170000,040805PT,HIB R AMOUR,EVS,10,,,,,,,,
170000,056931,HIB R BLUE VIOLET,EVS,10,,,,,,,,
170000,056935,HIB R BLUE VIOLET,EVS,10,,,,,,,,
170000,040871,HIB R BRIDAL VEIL R,EVS,10,,,,,,,,
170000,040875,HIB R BRIDAL VEIL R,EVS,10,,,,,,,,
170000,040901,HIB R BRILLIANT,EVS,10,,,,,,,,
170000,040905,HIB R BRILLIANT,EVS,10,,,,,,,,
170000,040905PT,HIB R BRILLIANT,EVS,10,,,,,,,,
170000,055241,HIB R C'EST BON,EVS,10,,,,,,,,
170000,055245,HIB R C'EST BON,EVS,10,,,,,,,,
170000,040981,HIB R CHERIE,EVS,10,,,,,,,,
170000,040985,HIB R CHERIE,EVS,10,,,,,,,,
170000,040985PT,HIB R CHERIE,EVS,10,,,,,,,,
170000,041031,HIB R CROWN OF BOHEMIA,EVS,10,,,,,,,,
170000,041035,HIB R CROWN OF BOHEMIA,EVS,10,,,,,,,,
170000,041111,HIB R EMPIRE,EVS,10,,,,,,,,
170000,041115,HIB R EMPIRE,EVS,10,,,,,,,,
170000,041115PT,HIB R EMPIRE,EVS,10,,,,,,,,
170000,025201,HIB R ERIN RACHEL,EVS,10,,,,,,,,
170000,025205,HIB R ERIN RACHEL,EVS,10,,,,,,,,
170000,025205PT,HIB R ERIN RACHEL,EVS,10,,,,,,,,
170000,041151,HIB R FIESTA,EVS,10,,,,,,,,
170000,041155,HIB R FIESTA,EVS,10,,,,,,,,
170000,041155PT,HIB R FIESTA,EVS,10,,,,,,,,
170000,017375,HIB R FLAMENCO FLAME TM,EVS,10,,,,,,,,
170000,041205,HIB R FULLMOON R,EVS,10,,,,,,,,
170000,041205PT,HIB R FULLMOON R,EVS,10,,,,,,,,
170000,041251,HIB R GOLDEN DUST,EVS,10,,,,,,,,
170000,041255,HIB R GOLDEN DUST,EVS,10,,,,,,,,
170000,055251,HIB R HEAT FLASH,EVS,10,,,,,,,,
170000,055255,HIB R HEAT FLASH,EVS,10,,,,,,,,
170000,041301,HIB R HULA GIRL,EVS,10,,,,,,,,
