Loc,Order#,PO#,Request Date,Item,Size,Description,Common Name,New Plant,2014 Catalog Price ,Price Code,2014 Net Price,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,Date Ready,Condition,Current Specs,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
GA,1359652,KATIE                         ,05/01/14  ,016341,#1,ASTILBE VISION IN RED PP11965,Vision In Red Astilbe                                                                               ,    ,4.75 ,,4.28 , 10 , 10 , 42.80 ,04/01/14    ,,,0.53 , 4.81 ,     ,,     ,014949004692 
OR,1356443,                              ,05/01/14  ,008362,#2,AZALEA NL MANDARIN LIGHTS,Mandarin Lights Azalea                                                                              ,    ,14.50 ,,13.05 , 5 , 5 , 65.25 ,Now         ,BUDS,"12''H - 12""S",1.93 , 14.98 ,     ,,     ,014949083628 
CA,1359651,KATIE                         ,05/01/14  ,012031,#1,BER GOLDN NUGGET TM P9577 CBR,Golden Nugget™  Dwarf Japanese Barberry                                                             ,    ,6.00 ,,5.40 , 10 , 20 , 108.00 ,Now         ,BREAKING DORMANCY,"6""H - 6""S",0.81 , 6.21 ,     ,,     ,014949120316 
OR,1356443,                              ,05/01/14  ,080771S,SuperOne TM,BER SUNJOY R MINI SALSA PPAF,Sunjoy®  Mini Salsa Barberry                                                                        ,New ,9.75 ,,8.78 , 10 , 10 , 87.80 ,Not Avl     ,DORMANT,,1.28 , 10.06 ,     ,,     ,014949359501 
OR,1356443,                              ,05/01/14  ,002241,#1,BER T CONCORDE,Concorde Japanese Barberry                                                                          ,    ,6.00 ,,5.40 , 10 , 15 , 81.00 ,Now         ,DORMANT,"6""H - 6""S",0.77 , 6.17 ,     ,,     ,014949198063 
CA,1359651,KATIE                         ,05/01/14  ,002241,#1,BER T CONCORDE,Concorde Japanese Barberry                                                                          ,    ,6.00 ,,5.40 , 10 , 10 , 54.00 ,Now         ,DORMANT,"9""H - 6""S",0.81 , 6.21 ,     ,,     ,014949198063 
OR,1356443,                              ,05/01/14  ,012052,#2,BER T CRIMSON PYGMY,Crimson Pygmy Dwarf Japanese Barberry                                                               ,    ,12.50 ,,11.25 , 5 , 20 , 225.00 ,Now         ,DORMANT,"12""H - 14''S",1.93 , 13.18 ,     ,,     ,014949120521 
OR,1356443,                              ,05/01/14  ,035232,#2,BER T GOLDEN RUBY R PP16203,Golden Ruby®  Barberry                                                                              ,2009,15.25 ,,13.73 , 5 , 20 , 274.60 ,Now         ,BREAKING DORMANCY,8''H - 12''S,1.93 , 15.66 ,     ,,     ,014949214626 
CA,1359651,KATIE                         ,05/01/14  ,074412S,SuperTwo,BUD LO&BEHLD R BLU CHP PP19991,Blue Chip Dwarf Summer Lilac                                                                        ,2011,16.00 ,,14.40 , 5 , 10 , 144.00 ,03/15/14    ,-,,2.68 , 17.08 ,     ,,     ,014949335697 
GA,1359652,KATIE                         ,05/01/14  ,013793,#3,BUDDLEJA DAV PINK DELIGHT,Pink Delight Butterfly Bush                                                                         ,    ,17.00 ,,15.30 , 5 , 10 , 153.00 ,Now         ,DORMANT,"18""H - 15""S",2.11 , 17.41 ,     ,,     ,014949026670 
GA,1359652,KATIE                         ,05/01/14  ,013563,#3,BUDDLEJA DAV ROYAL RED,Royal Red Butterfly Bush                                                                            ,    ,17.00 ,,15.30 , 5 , 10 , 153.00 ,Now         ,DORMANT,"18""H - 15""S",2.11 , 17.41 ,     ,,     ,014949026366 
CA,1359651,KATIE                         ,05/01/14  ,077421S,SuperOne TM,BUXUS MIC WEDDING RING TM PPAF,Wedding Ring™  Boxwood                                                                              ,New ,9.50 ,,8.55 , 10 , 20 , 171.00 ,05/01/14    ,,,1.34 , 9.89 ,     ,,     ,014949355800 
OR,1356443,                              ,05/01/14  ,013905,#5,BUXUS S GREEN TOWER R PP15243,Green Tower®  Boxwood                                                                               ,    ,22.25 ,,20.03 , 5 , 25 , 500.75 ,Now         ,-,"28""H - 10""S",3.85 , 23.88 ,     ,,     ,014949139059 
OR,1356443,                              ,05/01/14  ,03597UT,LittleOne,BUXUS WEE WILLIE R PP17007,Wee Willie®  Boxwood                                                                                ,2010,4.50 ,,4.05 , 16 , 24 , 97.20 ,04/01/14    ,,,0.58 , 4.63 ,     ,,     ,014949212226 
CA,1359651,KATIE                         ,05/01/14  ,022711,#1 STAKED,CAMPSIS BALBOA SUNSET R,Balboa Sunset®  Trumpet Creeper                                                                     ,    ,7.50 ,,6.75 , 10 , 10 , 67.50 ,Now         ,DORMANT,24''H,0.81 , 7.56 ,     ,,     ,014949227121 
CA,1359651,KATIE                         ,05/01/14  ,029872S,SuperTwo,CARY INC SUNSHINE BLUE R PPAF,Sunshine Blue®  Bluebeard                                                                           ,    ,15.00 ,,13.50 , 5 , 10 , 135.00 ,03/15/14    ,,,2.68 , 16.18 ,     ,,     ,014949337417 
CA,1359651,KATIE                         ,05/01/14  ,022891,#1,CARY X DARK KNIGHT,Dark Knight Bluebeard                                                                               ,    ,5.75 ,,5.18 , 10 , 10 , 51.80 ,04/01/14    ,-,,0.81 , 5.99 ,     ,,     ,014949228913 
OR,1356443,                              ,05/01/14  ,017857,#7,CERCIS LAVENDER TWIST R P10328,Lavender Twist®  Redbud                                                                             ,    ,65.00 ,,58.50 , 2 , 4 , 234.00 ,Not Avl     ,DORMANT,,9.63 , 68.13 ,     ,,     ,014949055694 
CA,1359651,KATIE                         ,05/01/14  ,026655PT,#5 PATIO TREE,CITRUS MORO BLOOD ORANGE,Moro Blood Orange                                                                                   ,    ,38.50 ,,34.65 , 2 , 2 , 69.30 ,04/25/14    ,-,,6.04 , 40.69 ,     ,,     ,014949266755 
OR,1356443,                              ,05/01/14  ,038571,#1 STAKED,CLEM ALP STOLWIJK GOLD PP18648,Stolwijk Gold Alpine Clematis                                                                       ,2010,10.00 ,,9.00 , 10 , 10 , 90.00 ,04/01/14    ,-,,0.77 , 9.77 ,     ,,     ,014949222409 
OR,1356443,                              ,05/01/14  ,015901,#1 STAKED,CLEM X BLUE LIGHT R PP15953,Blue Light®  Clematis                                                                               ,    ,8.50 ,,7.65 , 10 , 10 , 76.50 ,04/15/14    ,BREAKING DORMANCY,,0.77 , 8.42 ,     ,,     ,014949159019 
OR,1356443,                              ,05/01/14  ,027261,#1 STAKED,CLEM X JACKMANII,Jackman Clematis                                                                                    ,    ,8.50 ,,7.65 , 10 , 10 , 76.50 ,05/01/14    ,-,,0.77 , 8.42 ,     ,,     ,014949272619 
OR,1356443,                              ,05/01/14  ,027262,#2 STAKED,CLEM X JACKMANII,Jackman Clematis                                                                                    ,    ,17.00 ,,15.30 , 5 , 5 , 76.50 ,05/01/14    ,-,,1.93 , 17.23 ,     ,,     ,014949272626 
OR,1356443,                              ,05/01/14  ,027491,#1 STAKED,CLEM X ROUGE CARDINAL,Rouge Cardinal Clematis                                                                             ,    ,8.50 ,,7.65 , 10 , 10 , 76.50 ,Now         ,BREAKING DORMANCY,FULL STK,0.77 , 8.42 ,     ,,     ,014949274910 
OR,1356443,                              ,05/01/14  ,030395,#5,CORNUS X VENUS R PP16309,Venus®  Dogwood                                                                                     ,2013,38.00 ,,34.20 , 5 , 5 , 171.00 ,Now         ,DORMANT,"50""H",3.85 , 38.05 ,     ,,     ,014949280287 
OR,1356443,                              ,05/01/14  ,028142,#2,COTINUS COG ROYAL PURPLE,Royal Purple Smoke Tree                                                                             ,    ,18.75 ,,16.88 , 5 , 5 , 84.40 ,05/01/14    ,DORMANT,,1.93 , 18.81 ,     ,,     ,014949033562 
OR,1356443,                              ,05/01/14  ,091882,#2,DEUTZIA X NIKKO BLUSH NA74356,Nikko Blush Deutzia                                                                                 ,2013,13.75 ,,12.38 , 5 , 10 , 123.80 ,Now         ,DORMANT,"12""H - 12""S",1.93 , 14.31 ,     ,,     ,014949368343 
GA,1359652,KATIE                         ,05/01/14  ,059741,#1,ECHINACEA PUR HOT PAPAYA PPAF,Hot Papaya Coneflower                                                                               ,2010,6.75 ,,6.08 , 10 , 10 , 60.80 ,04/01/14    ,,,0.53 , 6.61 ,     ,,     ,014949308561 
OR,1356443,                              ,05/01/14  ,057301,#1,ECHINACEA TOMATO SOUP PPAF,Tomato Soup Coneflower                                                                              ,2009,6.75 ,,6.08 , 10 , 10 , 60.80 ,Now         ,CUT BACK,.,0.77 , 6.85 ,     ,,     ,014949322796 
OR,1356443,                              ,02/01/14  ,035785,#5,FAGUS SYL TRICOLOR,Tricolor European Beech                                                                             ,    ,41.00 ,,36.90 , 5 , 5 , 184.50 ,Now         ,DORMANT,"48""H",3.85 , 40.75 ,     ,,     ,014949357859 
CA,1359651,KATIE                         ,05/01/14  ,018762,#2,FERN-ATHYRIUM GHOST,Ghost Fern                                                                                          ,    ,14.75 ,,13.28 , 5 , 10 , 132.80 ,Now         ,DORMANT,"10""S",2.01 , 15.29 ,     ,,     ,014949015308 
CA,1359651,KATIE                         ,05/01/14  ,036122,#2,FERN-ATHYRIUM NIP PICTUM,Japanese Painted Fern                                                                               ,    ,14.75 ,,13.28 , 5 , 5 , 66.40 ,Now         ,DORMANT,CAN FULL,2.01 , 15.29 ,     ,,     ,014949361221 
OR,1356443,                              ,05/01/14  ,038241,#1,GERANIUM CIN BALLERINA,Ballerina Cranesbill                                                                                ,    ,4.75 ,,4.28 , 10 , 20 , 85.60 ,Now         ,-,CAN FULL,0.77 , 5.05 ,     ,,     ,014949382417 
OR,1356443,                              ,05/01/14  ,03828UT,LittleOne,GERANIUM CIN SUBCAULESCENS,Black-Eyed Magenta Cranesbill                                                                       ,    ,2.95 ,,2.66 , 16 , 24 , 63.84 ,Now         ,,CAN FULL,0.58 , 3.24 ,     ,,     ,014949010808 
OR,1356443,                              ,05/01/14  ,005231,#1,GERANIUM SANGUINEUM MAX FREI,Max Frei Bloody Cranesbill                                                                          ,    ,4.75 ,,4.28 , 10 , 20 , 85.60 ,Now         ,EMERGING,.,0.77 , 5.05 ,     ,,     ,014949052310 
GA,1359652,KATIE                         ,05/01/14  ,014011,#1,GR-CAL ACUT KARL FOERSTER,Foerster's Feather Reed Grass                                                                       ,    ,6.50 ,,5.85 , 10 , 20 , 117.00 ,04/01/14    ,,,0.53 , 6.38 ,     ,,     ,014949140116 
CA,1359651,KATIE                         ,05/01/14  ,028051,#1,GR-ERIANTHUS RAVENNAE,Hardy Pampas Grass                                                                                  ,    ,6.25 ,,5.63 , 10 , 20 , 112.60 ,Now         ,CUT BACK,"4""H",0.81 , 6.44 ,     ,,     ,014949280515 
OR,1356443,                              ,05/01/14  ,035911,#1,GR-HAKONECHLOA MACRA ALL GOLD,All Gold Japanese Forest Grass                                                                      ,    ,10.25 ,,9.23 , 10 , 10 , 92.30 ,04/01/14    ,-,,0.77 , 10.00 ,     ,,     ,014949208625 
CA,1359651,KATIE                         ,05/01/14  ,035911,#1,GR-HAKONECHLOA MACRA ALL GOLD,All Gold Japanese Forest Grass                                                                      ,    ,10.25 ,,9.23 , 10 , 10 , 92.30 ,03/15/14    ,-,,0.81 , 10.04 ,     ,,     ,014949208625 
OR,1356443,                              ,05/01/14  ,039235,#5,HAMAMELIS X INT JELENA,Jelena Witch Hazel                                                                                  ,    ,33.00 ,,29.70 , 5 , 5 , 148.50 ,Not Avl     ,FULL BLOOM,,3.85 , 33.55 ,     ,,     ,014949392355 
OR,1356443,                              ,05/01/14  ,040511,#1,HEM HAPPY RETURNS,Happy Returns Dwarf Daylily                                                                         ,    ,4.75 ,,4.28 , 10 , 30 , 128.40 ,Now         ,CUT BACK,2-3 FANS,0.77 , 5.05 ,     ,,     ,014949405116 
OR,1356443,                              ,05/01/14  ,040121,#1,HEM LITTLE GRAPETTE,Little Grapette Dwarf Daylily                                                                       ,    ,4.75 ,,4.28 , 10 , 20 , 85.60 ,Now         ,CUT BACK,.,0.77 , 5.05 ,     ,,     ,014949401217 
OR,1356443,                              ,05/01/14  ,040111,#1,HEM STELLA DE ORO,Stella De Oro Dwarf Daylily                                                                         ,    ,4.75 ,,4.28 , 10 , 30 , 128.40 ,Now         ,CUT BACK,2-3 FANS,0.77 , 5.05 ,     ,,     ,014949401118 
GA,1359652,KATIE                         ,05/01/14  ,015521,#1,HEUCHERA APPLE CRISP PPAF,Apple Crisp Coral Bells                                                                             ,2013,6.75 ,,6.08 , 10 , 10 , 60.80 ,04/01/14    ,,,0.53 , 6.61 ,     ,,     ,014949370650 
GA,1359652,KATIE                         ,05/01/14  ,054911,#1,HEUCHERA FIRE CHIEF PP21880,Fire Chief Coral Bells                                                                              ,2013,7.50 ,,6.75 , 10 , 2 , 13.50 ,Now         ,,CAN FULL,0.53 , 7.28 ,     ,,     ,014949370667 
GA,1359652,KATIE                         ,05/01/14  ,029531,#1,HEUCHERA LIME RICKEY PP16210,Lime Rickey Coral Bells                                                                             ,    ,7.50 ,,6.75 , 10 , 10 , 67.50 ,04/15/14    ,,,0.53 , 7.28 ,     ,,     ,014949066164 
OR,1356443,                              ,05/01/14  ,028871,#1,HEUCHERA MARMALADE PP15945,Marmalade Coral Bells                                                                               ,    ,7.50 ,,6.75 , 10 , 10 , 67.50 ,Now         ,-,CAN FULL,0.77 , 7.52 ,     ,,     ,014949065846 
GA,1359652,KATIE                         ,05/01/14  ,054531,#1,HEUCHERA MIDNIGHT BAYOU P21858,Midnight Bayou Coral Bells                                                                          ,2013,7.50 ,,6.75 , 10 , 10 , 67.50 ,04/01/14    ,,,0.53 , 7.28 ,     ,,     ,014949355053 
OR,1356443,                              ,05/01/14  ,045721,#1,HEUCHERA MIDNIGHT ROSE PP18551,Midnight Rose Coral Bells                                                                           ,    ,7.50 ,,6.75 , 10 , 10 , 67.50 ,Now         ,,CAN FULL,0.77 , 7.52 ,     ,,     ,014949238431 
OR,1356443,                              ,05/01/14  ,076241,#1,HEUCHERELLA REDSTONE FALLS PAF,Redstone Falls Trailing Foamy Bells                                                                 ,2013,7.50 ,,6.75 , 10 , 10 , 67.50 ,Now         ,,,0.77 , 7.52 ,     ,,     ,014949369531 
CA,1359651,KATIE                         ,05/01/14  ,033531,#1,HEUCHERELLA STOPLIGHT PP16835,Stoplight Foamy Bells                                                                               ,    ,7.50 ,,6.75 , 10 , 20 , 135.00 ,03/15/14    ,-,,0.81 , 7.56 ,     ,,     ,014949071427 
CA,1359651,KATIE                         ,05/01/14  ,002115PT,#5 PATIO TREE,HIB SYR APHRODITE,Aphrodite Rose Of Sharon                                                                            ,    ,38.50 ,,34.65 , 2 , 5 , 173.25 ,Now         ,DORMANT,"15""S *",6.04 , 40.69 ,     ,,     ,014949021255 
CA,1359651,KATIE                         ,05/01/14  ,002205PT,#5 PATIO TREE,HIB SYR COLLIE MULLENS,Collie Mullens Rose Of Sharon                                                                       ,    ,38.50 ,,34.65 , 2 , 4 , 138.60 ,Now         ,DORMANT,"12""S",6.04 , 40.69 ,     ,,     ,014949022153 
CA,1359651,KATIE                         ,05/01/14  ,002255PT,#5 PATIO TREE,HIB SYR DIANA,Diana Rose Of Sharon                                                                                ,    ,38.50 ,,34.65 , 2 , 4 , 138.60 ,Now         ,DORMANT,"12""S",6.04 , 40.69 ,     ,,     ,014949022450 
CA,1359651,KATIE                         ,05/01/14  ,002265PT,#5 PATIO TREE,HIB SYR HELENE,Helene Rose Of Sharon                                                                               ,    ,38.50 ,,34.65 , 2 , 4 , 138.60 ,Now         ,DORMANT,"15""S *",6.04 , 40.69 ,     ,,     ,014949022757 
CA,1359651,KATIE                         ,05/01/14  ,002305PT,#5 PATIO TREE,HIB SYR MINERVA,Minerva Rose Of Sharon                                                                              ,    ,38.50 ,,34.65 , 2 , 4 , 138.60 ,04/15/14    ,-,,6.04 , 40.69 ,     ,,     ,014949023150 
GA,1359652,KATIE                         ,05/01/14  ,006861,#1,HOSTA BIG DADDY,Big Daddy Plantain Lily                                                                             ,    ,5.50 ,,4.95 , 10 , 10 , 49.50 ,Now         ,DORMANT,CAN FULL,0.53 , 5.48 ,     ,,     ,014949017036 
GA,1359652,KATIE                         ,05/01/14  ,017491,#1,HOSTA FIRE & ICE,Fire And Ice Plantain Lily                                                                          ,    ,6.75 ,,6.08 , 10 , 25 , 152.00 ,Now         ,DORMANT,1-3 EYES,0.53 , 6.61 ,     ,,     ,014949004296 
OR,1356443,                              ,02/01/14  ,042981,#1,HOSTA FIRST FROST,First Frost Plantain Lily                                                                           ,New ,6.75 ,,6.08 , 10 , 10 , 60.80 ,Now         ,DORMANT,1-3 YEYS,0.77 , 6.85 ,     ,,     ,014949358634 
OR,1356443,                              ,05/01/14  ,041712,#2,HYD ARB ANNABELLE,Annabelle Hydrangea                                                                                 ,    ,15.25 ,,13.73 , 5 , 10 , 137.30 ,Now         ,DORMANT,15''H - 14''S,1.93 , 15.66 ,     ,,     ,014949236178 
CA,1359651,KATIE                         ,05/01/14  ,092752,#2,HYD M ENCHANTRESS R PPAF,Enchantress®  Hydrangea                                                                             ,2013,16.25 ,,14.63 , 5 , 10 , 146.30 ,Now         ,CUT BACK,.,2.01 , 16.64 ,     ,,     ,014949370643 
CA,1359651,KATIE                         ,05/01/14  ,092755,#5,HYD M ENCHANTRESS R PPAF,Enchantress®  Hydrangea                                                                             ,2013,22.50 ,,20.25 , 5 , 5 , 101.25 ,Now         ,CUT BACK,.,4.03 , 24.28 ,     ,,     ,014949313145 
CA,1359651,KATIE                         ,05/01/14  ,074595,#5,HYD MAC LD R MOONLIGHT PP20020,Let's Dance®  Moonlight Hydrangea                                                                   ,2011,22.00 ,,19.80 , 5 , 10 , 198.00 ,Now         ,BREAKING DORMANCY,"16""H - 14""S",4.03 , 23.83 ,     ,,     ,014949350294 
CA,1359651,KATIE                         ,05/01/14  ,042072,#2,HYD MAC PINK ELF R (PIA),Pink Elf®  French Hydrangea                                                                         ,    ,15.25 ,,13.73 , 5 , 10 , 137.30 ,Now         ,BREAKING DORMANCY,"8""H - 12""S",2.01 , 15.74 ,     ,,     ,014949420720 
OR,1356443,                              ,05/01/14  ,024372S,SuperTwo,HYD PAN LIMELIGHT PP12874,Limelight Hardy Hydrangea                                                                           ,    ,16.00 ,,14.40 , 5 , 10 , 144.00 ,Now         ,DORMANT,"16""H - 12""S",2.57 , 16.97 ,     ,,     ,014949337936 
OR,1356443,                              ,05/01/14  ,029922S,SuperTwo,HYD PAN LITTLE LIME PPAF,Little Lime™  Hardy Hydrangea                                                                       ,    ,16.00 ,,14.40 , 5 , 10 , 144.00 ,Now         ,DORMANT,12''H - 12''S,2.57 , 16.97 ,     ,,     ,014949335543 
GA,1359652,KATIE                         ,05/01/14  ,074602S,SuperTwo,HYD PAN QUICK FIRE R PP16812,Quick Fire®  Hardy Hydrangea                                                                        ,2011,16.00 ,,14.40 , 5 , 5 , 72.00 ,Now         ,DORMANT,"14""H - 14""S",1.76 , 16.16 ,     ,,     ,014949336243 
OR,1356443,                              ,05/01/14  ,080962S,SuperTwo,HYD SER TUFF STUFF TM PPAF,Tuff Stuff™  Reblooming Mountain Hydrangea                                                          ,2013,16.00 ,,14.40 , 5 , 15 , 216.00 ,Now         ,BREAKING DORMANCY,12''H - 12''S,2.57 , 16.97 ,     ,,     ,014949360699 
CA,1359651,KATIE                         ,05/01/14  ,042135,#5,HYPERICUM FRONDOSUM SUNBURST,Sunburst St. John's Wort                                                                            ,    ,19.25 ,,17.33 , 5 , 14 , 242.62 ,Now         ,BREAKING DORMANCY,"15""H - 15""S *",4.03 , 21.36 ,     ,,     ,014949421352 
GA,1359652,KATIE                         ,05/01/14  ,042135,#5,HYPERICUM FRONDOSUM SUNBURST,Sunburst St. John's Wort                                                                            ,    ,19.25 ,,17.33 , 5 , 11 , 190.63 ,Now         ,BREAKING DORMANCY,"15""H - 12""S",2.63 , 19.96 ,     ,,     ,014949421352 
OR,1356443,                              ,05/01/14  ,045352,#2,ILEX X LITTLE RASCAL R P9999,Little Rascal®  Holly                                                                               ,    ,15.50 ,,13.95 , 5 , 10 , 139.50 ,Now         ,-,14''H - 12''S,1.93 , 15.88 ,     ,,     ,014949453520 
OR,1356443,                              ,05/01/14  ,045353,#3,ILEX X LITTLE RASCAL R P9999,Little Rascal®  Holly                                                                               ,    ,21.00 ,,18.90 , 5 , 5 , 94.50 ,Now         ,-,16''H - 15''S,3.08 , 21.98 ,     ,,     ,014949453537 
OR,1356443,                              ,05/01/14  ,021092,#2,ILEX X SCALLYWAG TM PP21941,Scallywag™  Holly                                                                                   ,2011,15.75 ,,14.18 , 5 , 5 , 70.90 ,Now         ,-,14''H - 12''S,1.93 , 16.11 ,     ,,     ,014949339565 
OR,1356443,                              ,05/01/14  ,016461,#1,IRIS EN BUTTERFLIES IN FLIGHT,Butterflies In Flight Japanese Iris                                                                 ,    ,5.50 ,,4.95 , 10 , 10 , 49.50 ,Now         ,CUT BACK,.,0.77 , 5.72 ,     ,,     ,014949004883 
OR,1356443,                              ,05/01/14  ,045981,#1,IRIS PALLIDA VARIEGATA,Variegated Sweet Iris                                                                               ,    ,5.50 ,,4.95 , 10 , 10 , 49.50 ,Now         ,CUT BACK,.,0.77 , 5.72 ,     ,,     ,014949459812 
OR,1356443,                              ,05/01/14  ,046441,#1,IRIS SIB CAESAR'S BROTHER,Caesar's Brother Siberian Iris                                                                      ,    ,5.50 ,,4.95 , 10 , 10 , 49.50 ,Now         ,CUT BACK,.,0.77 , 5.72 ,     ,,     ,014949464410 
CA,1359651,KATIE                         ,05/01/14  ,051755,#5,JUN SA CALGARY CARPET R,Calgary Carpet®  Juniper                                                                            ,    ,17.00 ,,15.30 , 5 , 5 , 76.50 ,Now         ,-,"18""S",4.03 , 19.33 ,     ,,     ,014949517550 
CA,1359651,KATIE                         ,05/01/14  ,054005,#5,JUN SC SKYROCKET,Skyrocket Juniper                                                                                   ,    ,24.00 ,,21.60 , 5 , 10 , 216.00 ,Now         ,-,"36""H - 10""S",4.03 , 25.63 ,     ,,     ,014949540053 
OR,1356443,                              ,05/01/14  ,053391,#1,JUN SQUA BLUE STAR,Blue Star Juniper                                                                                   ,    ,5.75 ,,5.18 , 10 , 25 , 129.50 ,Now         ,WINTER COLOR,"18""S",0.77 , 5.95 ,     ,,     ,014949533918 
GA,1359652,KATIE                         ,05/01/14  ,056359,#15 CLUMP,LAG X TONTO,Tonto Crape Myrtle                                                                                  ,    ,75.00 ,,67.50 , 1 , 1 , 67.50 ,Now         ,DORMANT,"54"" Tall",15.28 , 82.78 ,     ,,     ,014949040805 
GA,1359652,KATIE                         ,05/01/14  ,054577,#7 CLUMP,LAG X ZUNI,Zuni Crape Myrtle                                                                                   ,    ,40.00 ,,36.00 , 2 , 5 , 180.00 ,04/15/14    ,,,7.46 , 43.46 ,     ,,     ,014949058022 
OR,1356443,                              ,05/01/14  ,058451,#1,LIGUSTRUM VULGARE LODENSE,Lodense Privet                                                                                      ,    ,6.00 ,,5.40 , 10 , 20 , 108.00 ,Now         ,DORMANT,"10""H - 8""S",0.77 , 6.17 ,     ,,     ,014949584514 
GA,1359652,KATIE                         ,05/01/14  ,009671,#1,LIRIOPE MUSCARI BIG BLUE,Big Blue Lilyturf                                                                                   ,    ,5.00 ,,4.50 , 10 , 30 , 135.00 ,05/01/14    ,,,0.53 , 5.03 ,     ,,     ,014949021248 
GA,1359652,KATIE                         ,05/01/14  ,009791,#1,LIRIOPE MUSCARI VARIEGATA,Variegated Lilyturf                                                                                 ,    ,5.00 ,,4.50 , 10 , 30 , 135.00 ,Now         ,WINTER LOOK,CAN FULL,0.53 , 5.03 ,     ,,     ,014949021378 
CA,1359651,KATIE                         ,05/01/14  ,072511,#1,LOBELIA X SPE RUSSIAN PRINCESS,Russian Princess Lobelia                                                                            ,2013,5.50 ,,4.95 , 10 , 10 , 49.50 ,03/15/14    ,,,0.81 , 5.76 ,     ,,     ,014949330678 
OR,1356443,                              ,05/01/14  ,059051ST,#1 STAKED,LONICERA JAP HALLIANA,Hall's Japanese Honeysuckle                                                                         ,    ,7.50 ,,6.75 , 10 , 10 , 67.50 ,Now         ,-,FULL STK,0.77 , 7.52 ,     ,,     ,014949590614 
CA,1359651,KATIE                         ,05/01/14  ,059055ST,#5 STAKED,LONICERA JAP HALLIANA,Hall's Japanese Honeysuckle                                                                         ,    ,22.00 ,,19.80 , 5 , 5 , 99.00 ,Now         ,-,48''H,4.03 , 23.83 ,     ,,     ,014949590652 
CA,1359651,KATIE                         ,05/01/14  ,058992ST,#2 STAKED,LONICERA X GOLDFLAME,Goldflame Honeysuckle                                                                               ,    ,16.00 ,,14.40 , 5 , 10 , 144.00 ,Now         ,BREAKING DORMANCY,"30""H",2.01 , 16.41 ,     ,,     ,014949041321 
