Loc,New Plant,Item,Size,Plant Name,
OR,    ,090661,#1 STAKED,CLEM ALP PAMELA JACKMAN,
OR,2010,038571,#1 STAKED,CLEM ALP STOLWIJK GOLD PP18648,
OR,2011,055392,#2 STAKED,CLEM MONTANA PINK-A-BOO R,
OR,    ,021792,#2 STAKED,CLEM PIILU TM PPAF,
OR,    ,021862,#2 STAKED,CLEM SAPPHIRE INDIGO TMPP17012,
OR,2012,055215,#5 STAKED,CLEM SIEBOLDII,
OR,    ,038002,#2 STAKED,CLEM TEX PRINCESS DIANA,
OR,2010,051485,#5 STAKED,CLEM VANCOUVER TM DANIELLE,
OR,2010,046271,#1 STAKED,CLEM VANCOUVER TM FRGRNT STAR,
OR,2010,048745,#5 STAKED,CLEM VANCOUVER TM STARRY NGHTS,
OR,2010,038081,#1 STAKED,CLEM VIT BETTY CORNING,
OR,    ,033492,#2 STAKED,CLEM X HANIA,
OR,    ,044481,#1 STAKED,CLEM X JACKMANII SUPERBA,
OR,    ,033512,#2 STAKED,CLEM X JULKA,
OR,    ,034432,#2 STAKED,CLEM X KILIAN DONAHUE,
OR,2010,055201,#1 STAKED,CLEM X MRS. SPENCER CASTLE,
OR,2010,056212,#2 STAKED,CLEM X WESTERPLATTE,
GA,    ,038165,#5 STAKED,GELSEMIUM RANKINII,
OR,2013,088395,#5 STAKED,HUMULUS X CRYSTAL,
OR,2013,088405,#5 STAKED,HUMULUS X NEWPORT,
OR,2013,075631,#1 STAKED,HYD INTEG TAIPING SHAN CLIMBNG,
OR,    ,035011,#1 STAKED,HYD PET MIRANDA,
CA,2013,086361S,SuperOne TM,LONICERA P SCENTSATION PP16240,
OR,2013,084395,#5 STAKED,LONICERA PCHES & CREAM PP21839,
OR,    ,059185,#5 STAKED,LONICERA PER BERRIES JUBILEE R,
CA,    ,059275,#5 STAKED,LONICERA X BRO DROPMORE SCARLT,
CA,2012,071961,#1 STAKED,PARTH HENRYANA,
OR,2012,081525,#5 STAKED,PARTH Q RED WALL TM PPAF,
CA,    ,002475,#5 STAKED,PARTH Q STAR SHOWERS R P10128,
GA,    ,002585,#5 STAKED,PARTH TRI GREEN SHOWERS,
