Item,Size,Plant Name,Botanical Name,Common Name,Category 2
038681,#1,GR-HAKONECHLOA MACRA AUREOLA,Hakonechloa macra 'Aureola'                                 ,Golden Japanese Forest Grass                                ,Small grasses
005455,#5,GR-MIS SIN DIXIELAND,Miscanthus sinensis 'Dixieland'                             ,Dwarf Variegated Maiden Grass                               ,Large grass
044582,#2,GR-MIS SIN GOLD BAR PP15193,"Miscanthus sinensis 'Gold Bar' P.P.# 15,193                 ",Gold Bar Maiden Grass                                       ,Small grasses
024672,#2,GR-MUHLEN CAP REGAL MIST R,Muhlenbergia capillaris 'Lenca'                             ,Regal Mist®  Pink Muhly,Large grass
064262,#2,GR-PENN ALO HAMELN,Pennisetum alopecuroides 'Hameln'                           ,Dwarf Fountain Grass                                        ,Small grasses
036541,#1,LIRIOPE EMRLD GODDESS R P15471,Liriope muscari 'Love Potion No. 13' P.P.# 15471            ,Emerald Goddess®  Lilyturf,Grass-like plant
063111,#1,OPHIOPOGON EBONY KNIGHT TM,Ophiopogon planiscapus 'Ebknizam'                           ,Ebony Knight™  Mondo Grass,Grass-like plant
078762S,SuperTwo,AZ BLM-A-THON TM DB PK PP21477,"Rhododendron x 'RLH1-2P8' P.P. #21,477                      ",Bloom-A-Thon®  Pink Double Reblooming Azalea,Azalea
078771S,SuperOne TM,AZ BLM-A-THON TM RED PP21562,"Rhododendron x 'RLH1-1P2' P.P. #21,562                      ",Bloom-A-Thon®  Red Reblooming Azalea,Azalea
078782S,SuperTwo,AZ BLM-A-THON TM WHITE PP21512,"Rhododendron x 'RLH1-3P3' P.P.#21,512                       ",Bloom-A-Thon®  White Reblooming Azalea,Azalea
002072,#2,AZALEA GR SILVER SWORD,Azalea x 'Silver Sword' (Girard hybrid)                     ,Silver Sword Azalea                                         ,Azalea
030462,#2,RHOD (H-1) ELVIIRA,Rhododendron 'Elviira' (H-1)                                ,Elviira Rhododendron                                        ,Rhododendron
018012,#2,RHOD (H-1) HAAGA,Rhododendron x 'Haaga' (H-1)                                ,Haaga Rhododendron                                          ,Rhododendron
030211,#1,RHOD (H-1) MIKKELI,Rhododendron x 'Mikkeli' (H-1)                              ,Mikkeli Rhododendron                                        ,Rhododendron
009971,#1,RHOD (H-1) PURPLE GEM,Rhododendron x 'Purple Gem' (H-1)                           ,Purple Gem Rhododendron                                     ,Rhododendron
010055,#5,RHOD (H-1) RAMAPO,Rhododendron x 'Ramapo' (H-1)                               ,Ramapo Rhododendron                                         ,Rhododendron
019775,#5,RHOD (H-1) RTR HOOPLA,Rhododendron x 'Hoopla' (H-1) Raise the Roof®  Series,Hoopla Rhododendron                                         ,Rhododendron
020195,#5,RHOD (H-1) RTR MARCH MADNESS,Rhododendron x 'March Madness' (H-1) Raise the Roof® ,March Madness Rhododendron                                  ,Rhododendron
019742,#2,RHOD (H-1) RTR SLAM DUNK,Rhododendron x 'Slam Dunk' (H-1) Raise the Roof®  Seri,Slam Dunk Rhododendron                                      ,Rhododendron
019892,#2,RHOD (H-1) WOJNAR'S PURPLE,Rhododendron x 'Wojnar's Purple' (H - 1)                    ,Wojnar's Purple Rhododendron                                ,Rhododendron
009452,#2,RHOD (H-2) IMPEDITUM,Rhododendron impeditum (H-2)                                ,Dwarf Purple Rhododendron                                   ,Rhododendron
009562,#2,RHOD (H-2) LOOKING GLASS,Rhododendron x 'Looking Glass' (H-2)                        ,Looking Glass Rhododendron                                  ,Rhododendron
010202,#2,RHOD (H-2) SCARLET WONDER DWRF,Rhododendron x 'Scarlet Wonder' (H-2)                       ,Scarlet Wonder Dwarf Rhododendron                           ,Rhododendron
026385,#5,RHOD (H-3) RAC ROCK ROSE,Rhododendron racemosum 'Rock Rose'                          ,Rock Rose Rhododendron                                      ,Rhododendron
010295,#5,RHOD (H-3) TAURUS,Rhododendron ('Jean Marie de Montague' {{#215}} R. strigillo,Taurus Rhododendron                                         ,Rhododendron
036292,#2,ROSA FLWR CAR R AMBER PPAF,Rosa x 'NOA97400A' P.P.A.F.                                 ,Flower Carpet®  Amber Groundcover Rose,Rosa
079572,#2,ROSA FLWR CAR R PNK SPLSH PPAF,Rosa x 'Noasplash' P.P.A.F.                                 ,Flower Carpet®  Pink Splash Groundcover Rose,Rosa
036382,#2,ROSA FLWR CAR R PNK SUP P16276,"Rosa x 'NOA250092' P.P. #16,276                             ",Flower Carpet®  Pink Supreme Ground Cover Rose,Rosa
036312,#2,ROSA FLWR CAR R SCARLET P17373,"Rosa x 'NOA83100B' P.P. #17,373                             ",Flower Carpet®  Scarlet Groundcover Rose,Rosa
074962S,SuperTwo,ROSA OSO EASY R CHERRYPIE PPAF,Rosa x 'Meiboulka' P.P.A.F.                                 ,Oso Easy®  Cherry Pie Rose,Rosa
