,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rep Allocation,,,,,,,,,,,,,,,,,
Branch,Item,Description,Category,"Click to
Edit","Ending
06/30/2014",Orders,Shipped,Remaining,"Allocation Avail
For Now Order","Open Avail
Now",Next Ready,"Open Avail
Season","Price
2014",History,Forecast,,
170000,001995,ALBIZIA J SUMMER CHOC PP13822,TRE,+,50,5,-,45,45,103,,103,$33.00 ,5,-,,
170000,001999,ALBIZIA J SUMMER CHOC PP13822,TRE,+,1,1,-,-,-,-,,-,$95.00 ,2,-,,
170000,001955,ALBIZIA JUL ROSEA,TRE,+,16,-,-,16,16,-,,-,$25.75 ,10,-,,
160000,04868UT,ALCHEMILLA ALPINA,PRN,+,16,-,-,16,16,392,,392,$2.95 ,-,-,,
170000,064081,ALOE BLUE ELF,CAC,+,15,-,-,15,15,-,,-,$6.25 ,10,-,,
170000,063802,ALOE DOROTHEAE,CAC,+,10,5,-,5,5,400,,400,$17.75 ,-,-,,
170000,077801,ALOE HYBRID CARMINE TM,CAC,+,14,-,-,14,14,191,4/1/2014,191,$8.00 ,-,-,,
170000,077781,ALOE HYBRID GUIDO TM,CAC,+,27,10,-,17,17,480,4/1/2014,480,$8.00 ,20,-,,
550000,002002,ALPINIA ZERUMBET VARIEGATA,PRN,+,75,5,-,70,-,-,5/1/2014,111,$15.50 ,14,-,,
170000,002005,ALPINIA ZERUMBET VARIEGATA,PRN,+,5,-,-,5,5,-,,-,$23.00 ,-,-,,
170000,066382,ALST ROCK AND ROLL R PP21001,PRN,+,50,-,-,50,-,-,4/15/2014,-,$14.00 ,-,-,,
170000,040311,ALYOGYNE LEON'S PUR DELIGHT TM,EVS,+,18,-,-,18,-,-,4/1/2014,301,$6.75 ,10,-,,
170000,040315,ALYOGYNE LEON'S PUR DELIGHT TM,EVS,+,7,-,-,7,-,-,4/1/2014,150,$21.75 ,5,-,,
170000,002385PT,ALYOGYNE PURPLE DELIGHT TM,EVS,+,4,-,-,4,-,-,4/1/2014,269,$38.50 ,-,-,,
160000,016631,ANDROMEDA POL BLUE ICE,EVS,+,10,-,-,10,10,-,6/1/2014,-,$8.50 ,-,-,,
550000,00074UT,ANEMONE PULSATILLA,PRN,+,16,-,-,16,-,-,4/1/2014,-,$2.95 ,16,-,,
550000,065991,ANEMONE SEPTEMBER CHARM,PRN,+,10,-,-,10,-,-,4/1/2014,-,$4.75 ,-,-,,
160000,00272UT,AQUILEGIA FLA CAMEO BLUE & WT,PRN,+,16,-,-,16,16,-,,-,$2.95 ,-,-,,
160000,003075,ARONIA BRILLIANTISSIMA,DCS,+,5,-,-,5,5,137,,137,$20.25 ,15,-,,
550000,001011,ARTEMISIA SCHM SILVER MOUND,PRN,+,6,6,-,-,-,-,4/1/2014,6,$4.75 ,10,-,,
170000,021912,ASCLEPIAS RED BUTTERFLIES,PRN,+,6,-,-,6,-,-,3/15/2014,-,$11.00 ,-,-,,
170000,003151,ASPARAGUS MYERS,FRN,+,135,130,-,5,5,"8,314",,"8,314",$7.50 ,20,-,,
550000,003151,ASPARAGUS MYERS,FRN,+,378,95,-,283,283,"2,299",4/1/2014,"2,299",$7.50 ,89,-,,
170000,003152,ASPARAGUS MYERS,FRN,+,43,40,-,3,3,330,4/1/2014,330,$15.50 ,28,-,,
550000,003152,ASPARAGUS MYERS,FRN,+,38,25,-,13,13,253,4/1/2014,253,$15.50 ,5,-,,
170000,003155,ASPARAGUS MYERS,FRN,+,35,-,-,35,-,-,4/15/2014,605,$23.00 ,35,-,,
550000,003155,ASPARAGUS MYERS,FRN,+,50,-,-,50,50,20,4/1/2014,20,$23.00 ,5,-,,
170000,003301,ASPARAGUS SPR COMPACTA,FRN,+,9,9,-,-,-,-,,-,$5.50 ,15,-,,
550000,003621,ASTILBE CHINENSIS VISIONS,PRN,+,30,-,-,30,30,"1,653",4/1/2014,"2,695",$4.75 ,-,-,,
550000,027501,ASTILBE COLOR FLASH R PP17343,PRN,+,65,10,-,55,55,"2,046",4/1/2014,"2,856",$6.75 ,10,-,,
550000,003511,ASTILBE DEUTSCHLAND,PRN,+,35,10,-,25,-,-,4/1/2014,107,$4.75 ,10,-,,
550000,001631,ASTILBE HENNIE GRAAFLAND,PRN,+,15,-,-,15,15,149,4/1/2014,149,$4.75 ,-,-,,
550000,001671,ASTILBE MONTGOMERY,PRN,+,45,10,-,35,35,180,4/1/2014,626,$4.75 ,20,-,,
550000,059151,ASTILBE VISION IN PINK PP11860,PRN,+,10,-,-,10,-,-,4/1/2014,-,$4.75 ,12,-,,
160000,003551,AUBRIETA ROKEY'S PURPLE,PRN,+,10,-,-,10,10,254,,254,$4.75 ,-,-,,
170000,003561,AUCUBA MR GOLDSTRIKE,EVS,+,45,-,-,45,45,615,4/15/2014,615,$7.25 ,-,-,,
550000,003561,AUCUBA MR GOLDSTRIKE,EVS,+,10,-,-,10,-,-,5/1/2014,-,$7.25 ,-,-,,
160000,003562,AUCUBA MR GOLDSTRIKE,EVS,+,25,-,-,25,25,9,4/15/2014,9,$14.75 ,-,-,,
550000,003562,AUCUBA MR GOLDSTRIKE,EVS,+,27,-,-,27,-,-,5/1/2014,152,$14.75 ,-,-,,
550000,003565,AUCUBA MR GOLDSTRIKE,EVS,+,116,10,-,106,-,-,3/1/2014,-,$22.00 ,40,-,,
550000,003567,AUCUBA MR GOLDSTRIKE,EVS,+,2,-,-,2,-,-,4/15/2014,-,$50.00 ,5,-,,
170000,003601,AUCUBA PICTURATA,EVS,+,15,-,-,15,-,-,5/1/2014,-,$7.25 ,-,-,,
160000,003605,AUCUBA PICTURATA,EVS,+,37,-,-,37,-,-,5/1/2014,-,$22.00 ,-,-,,
170000,003655,AUCUBA SERRATIFOLIA,EVS,+,13,10,-,3,-,-,5/1/2014,-,$22.00 ,5,-,,
550000,078762S,AZ BLM-A-THON TM DB PK PP21477,RHO,+,12,10,-,2,-,-,4/1/2014,-,$16.50 ,-,-,,
160000,078752S,AZ BLM-A-THON TM LVNDR PP21476,RHO,+,4,4,-,-,-,-,,-,$16.50 ,-,-,,
550000,078772S,AZ BLM-A-THON TM RED PP21562,RHO,+,16,10,-,6,-,-,4/1/2014,-,$16.50 ,-,-,,
550000,078782S,AZ BLM-A-THON TM WHITE PP21512,RHO,+,23,9,-,14,-,-,4/1/2014,-,$16.50 ,10,-,,
160000,007772,AZALEA EX GOLDEN FLARE,RHO,+,8,-,-,8,8,-,,-,$14.75 ,-,-,,
160000,025212,BAM-FARGESIA RUFA (CLUMP),GRS,+,6,6,-,-,-,-,4/1/2014,-,$23.50 ,5,-,,
160000,025215,BAM-FARGESIA RUFA (CLUMP),GRS,+,5,5,-,-,-,-,4/1/2014,-,$44.00 ,-,-,,
170000,011437,BAM-PHYLLO AUREOSULCATA (RUN),GRS,+,46,2,-,44,44,-,4/1/2014,-,$80.00 ,37,-,,
170000,011285,BAM-PHYLLO BISSETII (RUN),GRS,+,10,-,-,10,10,-,5/1/2014,-,$44.00 ,-,-,,
170000,011445,BAM-PHYLLO NIGRA (RUN),GRS,+,7,5,-,2,2,-,5/1/2014,-,$50.00 ,15,-,,
170000,011447,BAM-PHYLLO NIGRA (RUN),GRS,+,13,2,-,11,11,-,4/15/2014,-,$85.00 ,-,-,,
170000,011385,BAMBUSA GOLDEN GODDESS (CLUMP),GRS,+,5,-,-,5,5,-,5/1/2014,-,$33.00 ,-,-,,
160000,050022,BEESIA DELTOPHYLLA,PRN,+,10,-,-,10,10,-,4/1/2014,-,$14.50 ,10,-,,
160000,023941,BER CRIMSON RUBY R PPAF,DCS,+,34,-,-,34,34,15,3/1/2014,15,$7.00 ,-,-,,
160000,023942,BER CRIMSON RUBY R PPAF,DCS,+,14,-,-,14,14,-,,-,$14.75 ,-,-,,
160000,012031,BER GOLDN NUGGET TM P9577 CBR,DCS,+,16,-,-,16,16,-,,-,$6.00 ,-,-,,
170000,012031,BER GOLDN NUGGET TM P9577 CBR,DCS,+,240,-,-,240,240,-,,-,$6.00 ,-,-,,
160000,012032,BER GOLDN NUGGET TM P9577 CBR,DCS,+,50,50,-,-,-,-,,-,$12.50 ,52,-,,
170000,012032,BER GOLDN NUGGET TM P9577 CBR,DCS,+,28,-,-,28,-,-,4/15/2014,-,$12.50 ,12,-,,
160000,012033,BER GOLDN NUGGET TM P9577 CBR,DCS,+,7,7,-,-,-,-,5/1/2014,-,$19.00 ,15,-,,
170000,074741S,BER SUNJOY R GOLD PILLAR PPAF,DCS,+,45,-,-,45,45,-,4/15/2014,-,$9.75 ,-,-,,
160000,012011,BER T CHERRY BOMB R CPBR 3488,DCS,+,129,-,-,129,129,-,,-,$6.00 ,-,-,,
160000,012012,BER T CHERRY BOMB R CPBR 3488,DCS,+,6,-,-,6,6,-,,-,$13.00 ,-,-,,
170000,002241,BER T CONCORDE,DCS,+,20,10,-,10,10,-,,-,$6.00 ,-,-,,
160000,002242,BER T CONCORDE,DCS,+,32,-,-,32,32,-,,-,$12.50 ,-,-,,
170000,002242,BER T CONCORDE,DCS,+,14,-,-,14,14,-,4/1/2014,-,$12.50 ,5,-,,
160000,012051,BER T CRIMSON PYGMY,DCS,+,179,10,-,169,169,"1,586",3/1/2014,"1,586",$5.75 ,-,-,,
160000,012052,BER T CRIMSON PYGMY,DCS,+,38,-,-,38,38,96,,96,$12.50 ,-,-,,
170000,012052,BER T CRIMSON PYGMY,DCS,+,16,-,-,16,-,-,4/1/2014,71,$12.50 ,10,-,,
160000,012053,BER T CRIMSON PYGMY,DCS,+,25,-,-,25,25,-,,-,$18.00 ,-,-,,
160000,035231,BER T GOLDEN RUBY R PP16203,DCS,+,11,-,-,11,11,-,,-,$8.00 ,-,-,,
160000,035232,BER T GOLDEN RUBY R PP16203,DCS,+,73,50,-,23,23,-,,-,$15.25 ,62,-,,
160000,035233,BER T GOLDEN RUBY R PP16203,DCS,+,11,-,-,11,11,-,,-,$21.00 ,20,-,,
160000,035272,BER T GREEN HORNET TM,DCS,+,9,-,-,9,9,639,,639,$14.50 ,-,-,,
160000,012102,BER T HELMOND PILLAR,DCS,+,15,-,-,15,-,-,,-,$12.50 ,10,-,,
