GA#,"Product 
Category",Category 2,Item,Size,"Stock
Type","Fall
Selling
Factor","Item
Selling
Factor","Cold 
Zone","Plant
Rank","Royalty 
Flag",Description,"Orig
Start Date","Ready/
Effective 
Date","Expire 
Date",WO#,Lot#,"Stock 
Location","Assembly 
Seq Priorty","WO 
Status",WIP Qty,F/G Qty,"Unit 
Cost","Extended
Cost","Next 
Location","Qty 
Committed",Qty Held,"Lot 
Status","Release 
Date","Last 
Cycle Count",Memo Lot1,Memo Lot2,Memo Lot3,Item Comment,Item Specs,"Plant Status
Best by Date","Comment 
Expiration 
Date","Intro 
Year","BMP 
Code","Crop 
Code","EQU 
Factor","EQUs
On Hand",Price,Value,
45- 500004,PRN,Mid/late interm. flowering,043401,1,S,100,A,03,C,,ECHINACEA PRAIRIE SPLENDOR,08/05/14,05/01/15,11/30/15,157993,157993,4Q 11 E,,97,0,357,1.9397 ,692.47 ,,0,0,,,,EMERGING,,,EMERGING,,PS0,4/16/2015,2011,A0,,1.00,357.00 ,4.90 ,"1,749.30 ",
45- 500004,PRN,Mid/late interm. flowering,043401S,1S,S,100,A,03,C,,ECHINACEA PRAIRIE SPLENDOR,04/15/15,04/15/15,06/01/15,0,C3-29906291-14,4MH7,,,0,15,2.9800 ,44.70 ,,0,0,,,08/06/14,-,MN green,,,,,,2011,A0,,1.40,21.00 ,8.50 ,127.50 ,
45- 500004,PRN,Mid/late interm. flowering,059741,1,S,100,A,04,B,,ECHINACEA PUR HOT PAPAYA PPAF,08/01/14,05/01/15,11/30/15,157914,157914,4Q 10 W,,97,0,484,3.4065 ,"1,648.75 ",,0,0,,,,EMERGING,,,EMERGING,,PS0,4/16/2015,2010,A0,,1.00,484.00 ,6.95 ,"3,363.80 ",
45- 500004,PRN,Mid/late interm. flowering,059741S,1S,S,100,A,04,B,,ECHINACEA PUR HOT PAPAYA PPAF,04/15/15,04/15/15,07/01/15,0,C3-29893091-14,4MH7,,,0,59,2.9800 ,175.82 ,,0,0,,,11/19/14,,MN GREEN,,DORMANT,,PS0,7/25/2015,2010,A0,,1.40,82.60 ,8.50 ,501.50 ,
45- 500004,PRN,Mid/late interm. flowering,031771,1,S,100,A,04,C,,ECHINACEA PUR MAGNUS,08/05/14,04/15/15,11/30/15,158165,158165,4Q 11 E,,97,0,319,1.5396 ,491.13 ,,0,0,,,,EMERGING,,,EMERGING,,PS0,4/16/2015,1998,A0,,1.00,319.00 ,4.90 ,"1,563.10 ",
45- 500004,PRN,Mid/late interm. flowering,031772,2,S,100,A,04,C,,ECHINACEA PUR MAGNUS,05/15/15,05/15/15,11/15/15,0,C3-29904502-14,4J 1 E,,,0,617,4.9000 ,"3,023.30 ",,0,0,,,,,,,,,,,1998,A0,,2.30,"1,419.10 ",10.50 ,"6,478.50 ",
45- 500004,PRN,Mid/late interm. flowering,032341S,1S,S,100,A,05,A,OLD,ECHINACEA PUR MERINGUE PPAF,04/15/15,04/15/15,10/15/15,0,C3-29905091-14,4MH7,,,0,59,2.9800 ,175.82 ,,0,0,,,08/06/14,-,MN green,,DORMANT,,PS0,7/25/2015,2010,A0,,1.40,82.60 ,8.50 ,501.50 ,
45- 500004,PRN,Mid/late interm. flowering,039581,1,S,100,A,04,C,,ECHINACEA PUR MERLOT PP18814,08/01/14,05/01/15,11/30/15,157919,157919,4Q 10 E,,97,0,480,4.1136 ,"1,974.53 ",,0,0,,,,EMERGING,,,EMERGING,,PS0,4/16/2015,2007,A0,,1.00,480.00 ,6.95 ,"3,336.00 ",
45- 500004,PRN,Mid/late interm. flowering,018221,1,S,100,A,04,C,,ECHINACEA PUR RUBY STAR,08/04/14,04/15/15,11/30/15,157988,157988,4Q 10 W,,97,0,608,1.7038 ,"1,035.91 ",,0,0,,,08/06/14,EMERGING,,,EMERGING,,PS0,4/16/2015,2005,A0,,1.00,608.00 ,4.90 ,"2,979.20 ",
45- 500004,PRN,Mid/late interm. flowering,018222,2,S,100,A,04,C,,ECHINACEA PUR RUBY STAR,04/03/14,04/28/15,11/30/15,154063,148604-1,4J 1 E,,97,0,225,2.9487 ,663.46 ,,0,0,,,,,,,,,,,2005,A0,,2.30,517.50 ,10.50 ,"2,362.50 ",
45- 500004,PRN,Mid/late interm. flowering,033672,2,S,100,A,03,C,,ECHINACEA PUR WHITE SWAN,05/15/15,05/15/15,10/15/15,0,C3-29908402-14,4J 1 W,,,0,335,4.9000 ,"1,641.50 ",,0,0,,,,,,,,,,,,A0,,2.30,770.50 ,10.50 ,"3,517.50 ",
45- 500004,PRN,Mid/late interm. flowering,018611S,1S,S,100,A,04,,,ECHINACEA SOM SNDY YLW P23104,03/06/14,04/15/15,06/15/15,145157,145157,4MH7,,97,0,1,2.1142 ,2.11 ,,0,0,,,08/06/14,,,,DORMANT,,PS0,7/25/2015,2014,A0,,1.40,1.40 ,8.50 ,8.50 ,
45- 500004,PRN,Mid/late interm. flowering,048651,1,S,100,A,04,C,OLD,ECHINACEA TIKI TORCH PP18839,08/02/14,05/01/15,11/30/15,159368,159368,4Q 11 E,,97,0,599,3.5569 ,"2,130.58 ",,0,0,,,08/06/14,EMERGING,,,EMERGING,,PS0,4/16/2015,2009,A0,,1.00,599.00 ,6.95 ,"4,163.05 ",
45- 500004,PRN,Mid/late interm. flowering,057301,1,S,100,A,04,C,OLD,ECHINACEA TOMATO SOUP PPAF,05/01/14,04/28/15,11/30/15,0,C3-29897714-14,4MH7,,,0,40,2.1300 ,85.20 ,,0,0,,,12/02/14,,,,EMERGING,,PS0,4/20/2015,2009,A0,,1.00,40.00 ,6.95 ,278.00 ,
45- 500004,PRN,Mid/late interm. flowering,057302,2,S,100,A,04,C,OLD,ECHINACEA TOMATO SOUP PPAF,03/27/14,04/15/15,11/30/15,147519,147519,4J 1 E,,97,0,36,4.3919 ,158.11 ,,0,36,S,,,,,,,,,,2009,A0,,2.30,82.80 ,10.50 ,378.00 ,
