Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2014 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
CT,    ,400521S,SuperOne TM,AGASTACHE HYB BLUE BOA,                                                            ,                                                            ,Mid/late interm. flowering,PRN,05,, 6.95 ,,,     , 10 ,     , 644 ,04/15/14  ,     ,          ,     ,          
CT,2012,084921S,SuperOne TM,AGASTACHE X BOLERO,Agastache 'Bolero'                                          ,Bolero Hyssop                                               ,Mid/late interm. flowering,PRN,05,, 7.95 ,,,     , 10 ,     , 283 ,04/15/14  ,     ,          ,     ,          
CT,    ,40054UT,LittleOne,AJUGA BLACK SCALLOP PP15815,                                                            ,                                                            ,Ground cover,PRN,04,, 2.50 ,,,     , 16 ,     , 322 ,04/15/14  ,     ,          ,     ,          
CT,    ,08030UT,LittleOne,AJUGA CHOCOLATE CHIP,Ajuga x 'Chocolate Chip'                                    ,Chocolate Chip Carpet Bugle                                 ,Ground cover,PRN,04,, 2.50 ,,,     , 16 ,     , 489 ,04/15/14  ,     ,          ,     ,          
CT,    ,400561S,SuperOne TM,ALLIUM HYB MILLENNIUM,                                                            ,                                                            ,Edible berries/fruit,PRN,05,, 7.95 ,,,     , 10 ,     , 353 ,04/15/14  ,     ,          ,     ,          
CT,    ,400011,#1,ALLIUM TUBEROSUM,Allium tuberosum                                            ,Garlic Chives                                               ,Edible berries/fruit,PRN,04,, 2.95 ,,,     , 10 , 6 ,     ,          ,     ,          ,     ,          
CT,    ,400602,#2,ANEM PRETTY LADY EMILY P22303,                                                            ,                                                            ,Mid/late border flowering,PRN,05,, 6.95 ,,,     , 5 ,     , 495 ,05/01/14  ,     ,          ,     ,          
CT,    ,400612,#2,ANEM PRETTY LADY SUSAN P22331,                                                            ,                                                            ,Mid/late border flowering,PRN,05,, 6.95 ,,,     , 5 ,     , 488 ,05/01/14  ,     ,          ,     ,          
CT,    ,065992,#2,ANEMONE SEPTEMBER CHARM,Anemone x hybrida 'September Charm'                         ,September Charm Japanese Anemone                            ,Mid/late border flowering,PRN,04,, 6.95 ,,,     , 5 ,     , 297 ,04/15/14  , 499 ,05/01/14  ,     ,          
CT,    ,015932,#2,ANEMONE X HONORINE JOBERT,Anemone x hybrida 'Honorine Jobert'                         ,Honorine Jobert Japanese Anemone                            ,Mid/late border flowering,PRN,04,, 6.95 ,,,     , 5 ,     , 342 ,05/01/14  ,     ,          ,     ,          
CT,    ,03746UT,LittleOne,AQUILEGIA CAE ORIGAMI ROS & WT,Aquilegia x hybrida 'Origami Rose & White'                  ,Origami Rose & White Columbine                              ,Early spring border flowering,PRN,03,, 2.50 ,,,     , 16 ,     , 26 ,04/01/14  , 314 ,04/15/14  ,     ,          
CT,    ,025761,#1,ARMERIA MAR NIFTY THRIFTY,Armeria maritima 'Nifty Thrifty'                            ,Nifty Thrifty Variegated Thrift                             ,Mid spring border flowering,PRN,02,, 4.95 ,,,     , 10 , 109 , 757 ,04/15/14  ,     ,          ,     ,          
CT,    ,01946UT,LittleOne,ARMERIA MAR RUBRIFOLIA,Armeria maritima 'Rubrifolia'                               ,Red Leaf Thrift                                             ,Mid spring border flowering,PRN,03,, 2.50 ,,,     , 16 ,     , 335 ,04/15/14  ,     ,          ,     ,          
