Loc,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
OR,401292S,SuperTwo,BUD LO&BEHLD R PINK MICRO CHIP,Buddleja ' Pink Micro Chip' P.P.A.F. Can. P.B.RA.F.         ,Lo & Behold®  Pink Micro Chip Summer Lilac,Deciduous sumr flower'g shrub,DCS,05,PW, 17.00 ,BUDS & BLOOMS,"12""H - 10""S",     , 5 , 349 ,     ,          ,     ,          ,     ,          
GA,407622S,SuperTwo,BUD LO&BEHOLD BLU CHIP JR,Buddleia davidii 'Blue Chip Jr.' P.P.A.F.                   ,Lo & Behold®  Blue Chip Jr. Butterfly Bush,Deciduous sumr flower'g shrub,DCS,05,PW, 17.00 ,,, 38 , 5 ,     , 38 ,04/15/15  ,     ,          ,     ,          
GA,054132,#2,BUXUS SEMP UNRAVELED,Buxus sempervirens 'Unraveled'                              ,Unraveled American Boxwood                                  ,Evergreen small shrub/hedge,EVS,05,, 15.00 ,,, 18 , 5 ,     , 18 ,05/15/15  ,     ,          ,     ,          
OR,051275,#5,CEDRUS FEELIN SUNNY R PP23886,"Cedrus deodara 'MonKinn' P.P.# 23,886                       ",Feelin' Sunny®  Deodar Cedar,Temperate conifer,CON,07,, 37.00 ,-,"15""S", 123 , 5 , 123 ,     ,          ,     ,          ,     ,          
CT,401805,#5,CHAM OBT NIGHT LIGHT TM,                                                            ,                                                            ,Chamaecyparis,CON,05,, 30.00 ,,, 50 , 5 , 360 , 149 ,06/15/15  ,     ,          ,     ,          
OR,056195,#5,CLEM ARMANDII APPLEBLOSSOM,Clematis armandii 'Apple Blossom'                           ,Apple Blossom Clematis                                      ,Clematis,VIN,07,, 29.50 ,,, 30 , 5 ,     , 30 ,05/01/15  ,     ,          ,     ,          
OR,089921S,SuperOne TM,CLEM SWEET SUMMER LOVE PPAF,Clematis 'Sweet Summer Love' P.P.A.F.                       ,Sweet Summer Love Clematis                                  ,Clematis,VIN,04,PW, 10.00 ,-,FULL STK, 80 , 10 ,     , 80 ,05/01/15  ,     ,          ,     ,          
OR,090612,#2 STAKED,CLEM X CART AVALANCHE,Clematis x cartmanii 'Blaaval'                              ,Avalanche Evergreen Clematis                                ,Clematis,VIN,07,OLD, 18.00 ,-,FULL STK, 23 , 5 , 23 ,     ,          ,     ,          ,     ,          
CT,027071,#1 STAKED,CLEM X PINK CHAMPAGNE,Clematis x 'Pink Champagne'                                 ,Pink Champagne Clematis                                     ,Clematis,VIN,04,, 9.00 ,,,     , 10 ,     , 843 ,05/15/15  ,     ,          ,     ,          
GA,024175,#5,COLOCASIA ANT ILLUSTRIS,Colocasia antiquorum 'Illustris'                            ,Imperial Taro                                               ,Tropical perennial,PRN,07,, 21.50 ,,"18""H", 20 , 5 , 510 , 510 ,05/01/15  ,     ,          ,     ,          
GA,024205,#5,COLOCASIA ESC BLACK MAGIC,Colocasia esculenta 'Black Magic'                           ,Black Magic Elephant Ear                                    ,Tropical perennial,PRN,07,, 21.50 ,-,"15""H",     , 5 , 109 ,     ,          ,     ,          ,     ,          
CA,031731,#1,CORD FESTIVAL TM BRGNDY P14224,"Cordyline x 'JURred' P.P. #14,224                           ",Festival™  Burgundy Cordyline,Grass-like plant,EVS,08,ATI, 8.50 ,-,"10""H", 27 , 10 ,     , 27 ,04/01/15  ,     ,          ,     ,          
CA,027851,#1,CORDYLINE AUS TORBAY DAZZLER,Cordyline australis 'Torbay Dazzler'                        ,Torbay Dazzler Dracaena Palm                                ,Grass-like plant,EVS,09,, 9.50 ,-,"10""H",     , 10 ,     , 643 ,04/01/15  ,     ,          ,     ,          
GA,031725,#5,CORDYLINE BAUERI,Cordyline 'Baueri'                                          ,Bauer's Dracaena Palm                                       ,Grass-like plant,EVS,09,, 28.50 ,,"30""H",     , 5 ,     , 1 ,04/01/15  ,     ,          ,     ,          
GA,017421,#1,CORDYLINE RED STAR,Cordyline 'Red Star'                                        ,Red Star Dracaena Palm                                      ,Grass-like plant,EVS,09,, 8.50 ,-,"15""H", 72 , 10 , 252 , 252 ,04/01/15  ,     ,          ,     ,          
CA,030707,#7,CUP SEMP GLAUCA,Cupressus sempervirens 'Glauca'                             ,Blue Italian Cypress                                        ,Cupressus & Juniper upright,CON,07,, 59.00 ,-,"56""H - 10""S", 38 , 2 , 4 , 38 ,02/01/15  ,     ,          ,     ,          
CA,030735,#5,CUP SEMP TINY TOWER R PP12933,"Cupressus sempervirens 'Monshel' P.P. #12,933 Tiny Tower{{#1",Tiny Tower®  Italian Cypress,Cupressus & Juniper upright,CON,07,OLD, 27.50 ,-,"48""H", 48 , 5 , 53 , 53 ,06/01/15  ,     ,          ,     ,          
OR,035821S,SuperOne TM,DAPHNE OD MAEJIMA,Daphne odora 'Maejima'                                      ,Maejima Variegated Winter Daphne                            ,Evergreen fragrant shrub,EVS,07,, 11.00 ,,, 50 , 10 ,     , 50 ,05/01/15  ,     ,          ,     ,          
OR,086222S,SuperTwo,DEUTZIA CREME FRAICHE TM,                                                            ,                                                            ,Deciduous mid flowering shrub,DCS,05,PW, 17.00 ,,, 46 , 5 ,     , 46 ,04/01/15  ,     ,          ,     ,          
OR,091882,#2,DEUTZIA X NIKKO BLUSH NA74356,Deutzia x rosea 'Nikko Blush' (NA74356)                     ,Nikko Blush Deutzia                                         ,Deciduous mid flowering shrub,DCS,05,, 14.50 ,-,"12""H - 12""S", 28 , 5 , 28 ,     ,          ,     ,          ,     ,          
CT,068273,#3,DIERVILLA SES COOL SPLASH,"Diervilla sessilifolia 'LPDC Podaras' PP#19,391             ",First Editions®  Cool Splash™  Bush Honeysuckle,Deciduous sumr flower'g shrub,DCS,04,BNI, 17.00 ,ATTRACTIVE FOLIAGE,"15""H X 21"" S", 24 , 5 ," 2,573 ",     ,          ,     ,          ,     ,          
OR,085821,#1,DISPORUM CANT MOONLIGHT P24556,"Disporum cantoniense 'Moonlight' P.P.#24,556                ",Moonlight Chinese Fairy Bells                               ,Evergreen large shrub/hedge,PRN,07,HIN, 7.15 ,,, 50 , 10 ,     , 50 ,05/01/15  ,     ,          ,     ,          
GA,097892S,SuperTwo,DISTYLIUM BLUE CASCADE R PPAF,                                                            ,                                                            ,Evergreen small shrub/hedge,EVS,06,MCC, 17.00 ,,, 169 , 5 ,     , 169 ,05/15/15  ,     ,          ,     ,          
GA,097902S,SuperTwo,DISTYLIUM EMRLD HEIGHTS R PPAF,                                                            ,                                                            ,Evergreen small shrub/hedge,EVS,06,MCC, 17.00 ,,, 64 , 5 ,     , 64 ,05/01/15  ,     ,          ,     ,          
OR,050615,#5,DRIMYS LANCEOLATA,Drimys lanceolata                                           ,Mountain Pepper                                             ,Evergreen small shrub/hedge,EVS,07,HIN, 23.50 ,-,24''H - 18''S,     , 5 , 245 , 245 ,06/01/15  ,     ,          ,     ,          
OR,049845,#5,DRIMYS WIN PEWTER PILLAR R,Drimys winteri var. chiloense                               ,Pewter Pillar®  Winter's Bark,Evergreen shade tree,TRE,07,HIN, 25.50 ,-,"36""H",     , 5 , 61 ,     ,          ,     ,          ,     ,          
GA,086841,#1,ECHIN SMBRO TM SALSA RD P23105,"Echinacea x 'Balsomsed' P.P.#23,105                         ",Sombrero™  Salsa Red Coneflower,Mid/late interm. flowering,PRN,04,BHC, 5.75 ,,, 150 , 10 ,     , 150 ,04/15/15  ,     ,          ,     ,          
GA,407711,#1,ECHIN VANILLA CUPCAKE,                                                            ,                                                            ,Mid/late interm. flowering,PRN,05,, 6.95 ,,, 50 , 10 ,     , 50 ,04/15/15  ,     ,          ,     ,          
GA,039571,#1,ECHINACEA FRAGRNT ANGEL P16054,Echinacea purpurea 'Fragrant Angel' P.P.# 16054             ,Fragrant Angel Coneflower                                   ,Mid/late interm. flowering,PRN,04,, 6.95 ,,CAN FULL, 26 , 10 , 26 ,     ,          ,     ,          ,     ,          
GA,038921,#1,ECHINACEA MAC'N CHEESE PP19464,Echinacea 'Mac 'N Cheese' P.P.# 19464                       ,Mac 'N Cheese Coneflower                                    ,Mid/late interm. flowering,PRN,04,, 6.95 ,,, 44 , 10 ,     , 44 ,04/15/15  ,     ,          ,     ,          
GA,002991,#1,ECHINACEA POWWOW R WILDBERRY,Echinacea purpurea 'PAS702917'                              ,PowWow®  Wild Berry Coneflower,Mid/late interm. flowering,PRN,03,, 5.75 ,,, 93 , 10 , 161 , 161 ,04/15/15  ,     ,          ,     ,          
GA,048651,#1,ECHINACEA TIKI TORCH PP18839,Echinacea purpurea 'Tiki Torch' P.P.# 18839                 ,Tiki Torch Coneflower                                       ,Mid/late interm. flowering,PRN,04,OLD, 6.95 ,,CAN FULL, 50 , 10 ,     , 50 ,05/01/15  ,     ,          ,     ,          
CA,035252,#2,EUO J MICRO SILVER PRINCESS TM,Euonymus japonicus 'Moness'                                 ,Silver Princess™  Boxleaf Euonymus,Euonymus,EVS,06,, 14.50 ,-,"8""H - 9""S", 173 , 5 ,     , 173 ,04/15/15  ,     ,          ,     ,          
CA,035122,#2,EUO J MICRO SUNNY DELIGHT R,Euonymus japonicus var. microphyllus 'Moncliff'             ,Sunny Delight®  Boxleaf Euonymus,Euonymus,EVS,06,, 14.50 ,-,"6""H - 10""S", 61 , 5 , 61 , 61 ,04/15/15  ,     ,          ,     ,          
OR,033035,#5,FATSIA JAP VAR CAMOUFLAGE TM,Fatsia japonica 'Variegata' Camouflage™ ,Camouflage™  Variegated Japanese Aralia,Evergreen shade shrub,EVS,07,HIN, 28.00 ,-,"16""H - 16""S", 20 , 5 ,     , 25 ,04/15/15  ,     ,          ,     ,          
GA,097912S,SuperTwo,GARDENIA PINWHEEL R PP22510,Gardenia augusta 'PIIGA-I' P.P.A.F.                         ,Pinwheel®  Gardenia,Evergreen fragrant shrub,EVS,06,MCC, 17.00 ,,, 123 , 5 ,     , 123 ,05/01/15  ,     ,          ,     ,          
OR,050941,#1,HEBE GIBBY,Hebe 'Gibby'                                                ,Gibby Hebe                                                  ,Evergreen early flower'g shrub,EVS,07,, 7.25 ,-,"8""H - 10""S", 50 , 10 ,     , 482 ,04/01/15  ,     ,          ,     ,          
OR,050961,#1,HEBE JASPER,Hebe 'Jasper'                                               ,Hebe Jasper                                                 ,Evergreen early flower'g shrub,EVS,07,, 7.25 ,-,6''H - 6''S, 47 , 10 ,     , 47 ,05/01/15  ,     ,          ,     ,          
OR,050992,#2,HEBE LINDSAYI,Hebe 'Lindsayi '                                            ,Lindsayi Hebe                                               ,Evergreen early flower'g shrub,EVS,07,, 14.50 ,-,12''H - 12''S, 30 , 5 , 277 ,     ,          ,     ,          ,     ,          
CA,017591,#1,HEBE WIRI BLUSH,Hebe 'Wiri Blush'                                           ,Wiri Blush Hebe                                             ,Evergreen early flower'g shrub,EVS,07,, 7.25 ,-,"6""H - 8""S", 101 , 10 ,     , 101 ,02/01/15  ,     ,          ,     ,          
CA,089631,#1,HELLE FRSTKS TM PNYS PK P24149,"Helleborus x hybridus 'ABCRD01' P.P.#24,149                 ",FrostKiss™  Penny's Pink®  Lenten Rose,Sun/shade foliage-groundcover,PRN,04,, 9.00 ,,, 45 , 10 ,     , 45 ,03/01/15  ,     ,          ,     ,          
OR,096131,#1,HELLE WJEWELS R AMETHYST GEM,Helleborus x hybridus 'Amethyst Gem'                        ,Winter Jewels™  Amethyst Gem Lenten Rose,Sun/shade foliage-groundcover,PRN,04,OLD, 8.00 ,,, 25 , 10 ,     , 25 ,03/01/15  ,     ,          ,     ,          
GA,039831,#1,HEM GOLDEN ZEBRA R PP14221,"Hemerocallis x 'Malja' P.P. #14,221                         ",Golden Zebra®  Daylily,Hemerocallis,PRN,04,MAL, 7.50 ,,2-3 FANS, 126 , 10 ,     , 126 ,05/15/15  ,     ,          ,     ,          
CA,064182,#2,HESPERALOE BRK LIGHTS R P21729,"Hesperaloe parviflora 'Perpa' P.P. # 21,729                 ",Brakelights®  Red Yucca,Grass-like plant,EVS,05,MSW, 16.75 ,-,"6""H - 10""S", 34 , 5 , 34 , 34 ,02/01/15  ,     ,          ,     ,          
GA,025205,#5,HIB R ERIN RACHEL,Hibiscus rosa-sinensis 'Erin Rachel'                        ,Erin Rachel Hibiscus                                        ,Evergreen trop flower'g shrub,EVS,10,, 22.00 ,,"21"" H- 15""S", 4 , 5 ,     , 42 ,10/20/14  , 100 ,05/15/15  ,     ,          
GA,091425,#5,HIB R RED DARLING R,Hibiscus rosa-sinensis 'Hiroshi1'                           ,Red Darling®  Hibiscus,Evergreen trop flower'g shrub,EVS,10,KHI, 23.00 ,,"21""H - 15""S", 8 , 5 ,     , 93 ,10/20/14  , 93 ,04/01/15  ,     ,          
OR,063832,#2,HYD ANG GOLDEN CRANE R,Hydrangea angustipetala 'MonLongShou'                       ,Golden Crane®  Hydrangea,Hydrangea,DCS,06,HIN, 16.50 ,-,12''H - 12''S, 100 , 5 ," 1,263 ",     ,          ,     ,          ,     ,          
GA,056455,#5,HYD ASPERA PLUM PASSION R,Hydrangea aspera                                            ,Plum Passion®  Hydrangea,Hydrangea,DCS,07,HIN, 24.00 ,,"14""H - 16""S", 15 , 5 ,     ," 1,091 ",11/01/14  ," 1,149 ",05/15/15  ," 1,330 ",06/15/15  
CA,092752,#2,HYD M ENCHANTRESS R PPAF,Hydrangea macrophylla 'Monmar' P.P.A.F.                     ,Enchantress®  Hydrangea,Hydrangea,DCS,05,RGW, 17.00 ,-,"8''H -10""S",     , 5 ," 6,178 "," 8,043 ",12/31/14  ,     ,          ,     ,          
OR,089932S,SuperTwo,HYD MAC PARAPLU TM PPAF,Hydrangea macrophylla 'SMHMP1' P.P.A.F.                     ,Paraplu®  Bigleaf Hydrangea,Hydrangea,DCS,05,PW, 17.00 ,-,"12""H - 12""S", 72 , 5 , 72 ,     ,          ,     ,          ,     ,          
CT,028223,#3,HYD MAC WEDDING GOWN PP21052,"Hydrangea macrophylla 'Dancing Snow' P.P.#21,052            ",Double Delights™  Wedding Gown Hydrangea,Hydrangea,DCS,05,BHC, 21.00 ,,, 40 , 5 ,     , 40 ,06/01/15  ,     ,          ,     ,          
CT,403943,#3,HYD MAC ZEBRA PP14527,"Hydrangea macrophylla 'Zebra' P.P.#14,527                   ",Zebra Mophead Hydrangea                                     ,Hydrangea,DCS,05,, 21.00 ,-,, 40 , 5 ,     , 40 ,06/01/15  ,     ,          ,     ,          
CT,084803,#3,HYD PAN BOMBSHELL PP21008,"Hydrangea paniculata 'Bombshell' PP #21,008                 ",Bombshell Panicle Hydrangea                                 ,Hydrangea,DCS,03,BHC, 17.75 ,BUDS & BLOOMS,"16"" H- 20"" S", 64 , 5 , 492 , 492 ,06/01/15  ,     ,          ,     ,          
CT,404053,#3,HYD PAN WHT DIAMONDS R P19082,"Hydrangea paniculata 'HYPMAD I' PP #19,082                  ",First Editions®  White Diamonds™  Panicle Hydran,Hydrangea,DCS,04,BNI, 17.75 ,BUDS & BLOOMS,"30""T X28""W", 200 , 5 , 286 ," 2,063 ",01/01/15  ," 2,063 ",06/01/15  ,     ,          
CT,093173,#3,HYD QUER MUNCHKIN,Hydrangea quercifolia 'Munchkin'                            ,Munchkin Oakleaf Hydrangea                                  ,Hydrangea,DCS,05,, 19.25 ,-,, 97 , 5 , 177 ,     ,          ,     ,          ,     ,          
CT,048163,#3,HYD QUER RUBY SLIPPERS,Hydrangea quercifolia 'Ruby Slippers'                       ,Ruby Slippers Oakleaf Hydrangea                             ,Hydrangea,DCS,05,, 19.25 ,ATTRACTIVE FOLIAGE,"16"" H - 19""S", 78 , 5 , 78 ,     ,          ,     ,          ,     ,          
CT,086322S,SuperTwo,HYD SER TINY TUFF STUFF TM,                                                            ,                                                            ,Hydrangea,DCS,05,PW, 17.00 ,,, 50 , 5 ,     , 50 ,06/01/15  ,     ,          ,     ,          
OR,080962S,SuperTwo,HYD SER TUFF STUFF TM PPAF,Hydrangea serrata 'MAK20' P.P.A.F.                          ,Tuff Stuff™  Reblooming Mountain Hydrangea,Hydrangea,DCS,05,PW, 17.00 ,-,12''H - 12''S,     , 5 , 358 ,     ,          ,     ,          ,     ,          
GA,092652,#2,ILEX EMRLD COLONNADE R PP23905,"Ilex x 'RutHol1' P.P.#23,905                                ",Emerald Colonnade®  Holly,Ilex,EVS,07,UOG, 17.00 ,,"18""H - 10""S", 61 , 5 ,     , 139 ,12/01/14  , 139 ,05/15/15  ,     ,          
CA,046632,#2,JASMINUM SAMBAC GRAND DUKE,Jasminum sambac 'Grand Duke'                                ,Grand Duke Arabian Jasmine                                  ,Evergreen fragrant shrub,EVS,10,, 16.50 ,BUDS,"12""H-10""S", 80 , 5 ,     , 148 ,04/01/15  ,     ,          ,     ,          
CA,036845,#5,JUN V TAYLOR,Juniperus virginiana 'Taylor'                               ,Taylor Juniper                                              ,Cupressus & Juniper upright,CON,03,, 26.50 ,-,"36""H", 41 , 5 , 41 ,     ,          ,     ,          ,     ,          
OR,060321,#1,LEUCOSCEPTRUM JAP GOLDEN ANGEL,Leucosceptrum japonicum 'Golden Angel'                      ,Golden Angel Japanese Shrub Mint                            ,Mid/late tall flowering,PRN,05,HIN, 4.90 ,CUT BACK,"6""H",     , 10 , 67 , 121 ,05/01/15  ,     ,          ,     ,          
GA,036541,#1,LIRIOPE EMRLD GODDESS R P15471,Liriope muscari 'Love Potion No. 13' P.P.# 15471            ,Emerald Goddess®  Lilyturf,Grass-like plant,GRS,05,, 6.50 ,,CAN FULL, 776 , 10 ," 2,531 "," 3,701 ",06/15/15  ,     ,          ,     ,          
OR,084391,#1 STAKED,LONICERA PCHES & CREAM PP21839,"Lonicera periclymenum 'Inov 86' P.P.#21,839                 ",Peaches and Cream Honeysuckle                               ,Hardy vine,VIN,04,BHC, 8.00 ,-,FULL STK, 140 , 10 ,     , 140 ,05/01/15  ,     ,          ,     ,          
CA,037422S,SuperTwo,LORO C EVER RED R,Loropetalum chinense 'Chang Nian Hong'                      ,Ever Red®  Fringe Flower,Evergreen early flower'g shrub,EVS,07,MCC, 17.00 ,,, 155 , 5 ,     , 155 ,03/01/15  ,     ,          ,     ,          
CA,020105,#5,MAG G TEDDY BEAR R PP13049,Magnolia grandiflora 'Southern Charm' P.P.# 13049           ,Teddy Bear®  Southern Magnolia,Evergreen shade tree,TRE,07,HSS, 33.00 ,-,"42""H", 26 , 5 ,     , 26 ,05/01/15  ,     ,          ,     ,          
OR,016002,#2,NAND DOM CHIME,Nandina domestica 'Chime'                                   ,Chime Heavenly Bamboo                                       ,Evergreen small shrub/hedge,EVS,04,HIN, 15.00 ,,, 61 , 5 ,     , 61 ,05/01/15  ,     ,          ,     ,          
OR,039085,#5,PAEONIA ITOH BARTZELLA (YLW),Paeonia x 'Bartzella'                                       ,Bartzella Itoh Peony                                        ,Paeonia,PRN,04,, 42.50 ,,5  EYES, 5 , 5 , 3 , 5 ,03/01/15  ,     ,          ,     ,          
OR,039095,#5,PAEONIA ITOH CORA LOUISE (WHT),Paeonia (Itoh) 'Cora Louise'                                ,Cora Louise Itoh Peony                                      ,Paeonia,PRN,04,, 42.50 ,,5  EYES, 16 , 5 ,     , 16 ,03/01/15  ,     ,          ,     ,          
OR,039135,#5,PAEONIA ITOH JULIA ROSE,Paeonia x 'Julia Rose'                                      ,Julia Rose Itoh Peony                                       ,Paeonia,PRN,04,, 42.50 ,,5  EYES, 16 , 5 ,     , 16 ,03/01/15  ,     ,          ,     ,          
OR,047085,#5,PAEONIA ITOH KEIKO TM (PK D D),Paeonia (Intersectional hybrid) x 'Pink Double Dandy'       ,Keiko™ (Adored) Itoh Peony,Paeonia,PRN,04,DRS, 42.50 ,-,5  EYES, 131 , 5 ,     , 131 ,03/01/15  ,     ,          ,     ,          
CA,052605,#5,PAEONIA ITOH MISAKA TM PP22192,"Paeonia (Intersectional hybrid) x 'Smith Opus 1' P.P.# 22,19",Misaka™  (Beautiful Blossom) Itoh Peony,Paeonia,PRN,04,DRS, 42.50 ,-,5 EYES, 22 , 5 ,     , 22 ,12/31/14  ,     ,          ,     ,          
OR,068585,#5,PAEONIA ITOH MORNING LILAC,Paeonia x 'Morning Lilac'                                   ,Morning Lilac Itoh Peony                                    ,Paeonia,PRN,04,, 42.50 ,CUT BACK,, 2 , 5 , 2 , 2 ,03/01/15  ,     ,          ,     ,          
OR,019585,#5,PAEONIA ITOH SING IN THE RAIN,Paeonia x (Itoh) 'Singing in the Rain'                      ,Singing in the Rain Itoh Peony                              ,Paeonia,PRN,04,, 42.50 ,,, 52 , 5 ,     , 52 ,03/01/15  ,     ,          ,     ,          
OR,052595,#5,PAEONIA ITOH TAKARA TM PP22374,"Paeonia (Intersectional hybrid) x 'Smith Opus 2' P.P. #22,37",Takara™  (Treasure) Itoh Peony,Paeonia,PRN,04,DRS, 42.50 ,CUT BACK,5  EYES, 36 , 5 , 36 , 36 ,03/01/15  ,     ,          ,     ,          
OR,047075,#5,PAEONIA ITOH YUMI TM (YLW),Paeonia (Intersectional hybrid) x 'Yellow Doodle Dandy'     ,Yumi™  (Beauty) Itoh Peony,Paeonia,PRN,04,DRS, 42.50 ,CUT BACK,5  EYES, 74 , 5 ,     , 74 ,03/01/15  ,     ,          ,     ,          
