Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category,Zone,Royalty Code,2016 List Price,Net Price,Freight,Landed Price,SKU,Retail Price,UPC#,Qty Cfm,Qty Rem,Condition,Current Specs,Min Ord Qty,Available         ,Available Later,On,Available Later,On,Available Later,On,Stk Loc
CA,    ,037671,#1,GARDENIA FIRST LOVE R,Gardenia jasminoides 'Aimee'                                ,First Love®  Gardenia,EVS,08,, 6.75 , 5.67 , 0.95 , 5.68 ,,     ,014949376713,     ,     ,-,"12""H - 8""S", 10 ," 3,854 "," 3,854 ",01/01/16  ,     ,          ,     ,          ,3P 133
CA,    ,037575,#5,GARDENIA FIRST LOVE R-GRAFT,Gardenia jasminoides 'Aimee' (Grafted onto G. thunbergia)   ,First Love®  Gardenia (Grafted),EVS,08,, 29.75 , 24.99 , 4.77 , 29.76 ,,     ,014949375754,     ,     ,-,"15""H - 15""S", 5 , 486 , 486 ,01/01/16  ,     ,          ,     ,          ,"3I 119 W, 3M 142"
CA,    ,037575PT,#5 PATIO TREE,GARDENIA FIRST LOVE R-GRAFT,Gardenia jasminoides 'Aimee' (Grafted onto G. thunbergia)   ,First Love®  Gardenia (Grafted),EVS,08,, 47.50 , 39.90 , 7.16 , 47.06 ,,     ,014949375457,     ,     ,-,"15""S", 2 , 24 ,     ,          ,     ,          ,     ,          ,3M 142
CA,    ,044091,#1,GARDENIA FROSTPROOF,Gardenia jasminoides 'Frostproof'                           ,Frostproof Gardenia                                         ,EVS,07,, 7.25 , 6.09 , 0.95 , 7.04 ,,     ,014949313466,     ,     ,-,"8""H - 8""S", 10 ,     , 77 ,01/01/16  ,     ,          ,     ,          ,
CA,    ,044092,#2,GARDENIA FROSTPROOF,Gardenia jasminoides 'Frostproof'                           ,Frostproof Gardenia                                         ,EVS,07,, 17.25 , 14.49 , 2.39 , 16.88 ,,     ,014949313473,     ,     ,-,"12""H - 10""S", 5 , 2 ,     ,          ,     ,          ,     ,          ,3M 140
CA,    ,037561,#1,GARDENIA KLEIM'S HARDY,Gardenia jasminoides 'Kleim's Hardy'                        ,Kleim's Hardy Gardenia                                      ,EVS,07,, 7.25 , 6.09 , 0.95 , 6.03 ,,     ,014949375617,     ,     ,-,"8""H - 8""S", 10 , 14 , 14 ,01/01/16  ,     ,          ,     ,          ,3P 133
CA,    ,037751,#1,GARDENIA MYSTERY,Gardenia jasminoides 'Mystery'                              ,Mystery Gardenia                                            ,EVS,08,, 6.75 , 5.67 , 0.95 , 6.62 ,,     ,014949377512,     ,     ,-,"10""H - 8""S", 10 ,     ," 1,440 ",01/01/16  ,     ,          ,     ,          ,
CA,    ,037595,#5,GARDENIA MYSTERY-GRAFT,Gardenia jasminoides 'Mystery' (Grafted onto G. thunbergia) ,Mystery Gardenia (Grafted)                                  ,EVS,08,, 29.75 , 24.99 , 4.77 , 29.76 ,,     ,014949375952,     ,     ,-,"15""H - 15""S", 5 , 650 , 650 ,09/01/15  , 650 ,01/01/16  ,     ,          ,3M 142
CA,    ,037595PT,#5 PATIO TREE,GARDENIA MYSTERY-GRAFT,Gardenia jasminoides 'Mystery' (Grafted onto G. thunbergia) ,Mystery Gardenia (Grafted)                                  ,EVS,08,, 47.50 , 39.90 , 7.16 , 47.06 ,,     ,014949375853,     ,     ,-,"15""S", 2 , 89 ,     ,          ,     ,          ,     ,          ,3M 142
CA,    ,037901,#1,GARDENIA RADICANS,Gardenia jasminoides 'Radicans'                             ,Miniature Gardenia                                          ,EVS,08,, 7.25 , 6.09 , 0.95 , 7.04 ,,     ,014949379011,     ,     ,-,"4""H - 8""S", 10 , 22 , 22 ,01/01/16  ,     ,          ,     ,          ,3M 144
CA,    ,037801,#1,GARDENIA VEITCHII,Gardenia jasminoides 'Veitchii'                             ,Everblooming Gardenia                                       ,EVS,08,, 6.75 , 5.67 , 0.95 , 5.68 ,,     ,014949378014,     ,     ,-,"10""H - 10""S", 10 ," 4,570 "," 10,067 ",01/01/16  ,     ,          ,     ,          ,3P 133
CA,    ,037802,#2,GARDENIA VEITCHII,Gardenia jasminoides 'Veitchii'                             ,Everblooming Gardenia                                       ,EVS,08,, 17.25 , 14.49 , 2.39 , 16.88 ,,     ,014949378021,     ,     ,,"8""H - 12""S", 5 ,     , 38 ,01/01/16  ,     ,          ,     ,          ,
CA,    ,037802ST,#2 STAKED,GARDENIA VEITCHII,Gardenia jasminoides 'Veitchii'                             ,Everblooming Gardenia                                       ,EVS,08,, 27.25 , 22.89 , 2.39 , 25.28 ,,     ,014949378120,     ,     ,,"24""H - 10""S", 5 ,     , 435 ,01/01/16  ,     ,          ,     ,          ,
CA,    ,037815,#5,GARDENIA VEITCHII-GRAFT,Gardenia jasminoides 'Veitchii' (Grafted onto G. thunbergia),Everblooming Gardenia (Grafted)                             ,EVS,08,, 29.75 , 24.99 , 4.77 , 29.76 ,,     ,014949378380,     ,     ,LIGHT BUD & BLOOM,"12""H - 15""S", 5 , 21 , 21 ,09/01/15  , 21 ,03/01/16  ,     ,          ,3M 142
CA,    ,037815PT,#5 PATIO TREE,GARDENIA VEITCHII-GRAFT,Gardenia jasminoides 'Veitchii' (Grafted onto G. thunbergia),Everblooming Gardenia (Grafted)                             ,EVS,08,, 47.50 , 39.90 , 7.16 , 47.06 ,,     ,014949378397,     ,     ,-,"15""S", 2 , 21 ,     ,          ,     ,          ,     ,          ,3M 142
CA,    ,03794E,"7"" Terra Cotta",GARDENIA WHITE GEM,Gardenia jasminoides 'White Gem'                            ,White Gem Gardenia                                          ,EVS,08,, 17.00 , 14.28 , 0.95 , 15.23 ,,     ,014949908044,     ,     ,,"6""H - 6""S", 10 ,     , 290 ,04/15/16  ,     ,          ,     ,          ,
CA,2014,410441,#1,GARVINEA SOPHIE R PPAF,Gerbera x 'GARSOPHIE IMP' P.P.A.F.                          ,Garvinea®  Sophie Gerbera Daisy,PRN,07,, 5.75 , 4.83 , 0.95 , 4.98 ,,     ,014949425763,     ,     ,-,CAN FULL, 10 , 321 ,     ,          ,     ,          ,     ,          ,4M 136
CA,2014,410471,#1,GARVINEA SWEET DREAMS R,Gerbera x 'GARDREAMS' P.P.A.F.                              ,Garvinea®  Sweet Dreams Gerbera Daisy,PRN,07,, 5.75 , 4.83 , 0.95 , 4.98 ,,     ,014949425770,     ,     ,-,"6""H-6""S", 10 , 69 ,     ,          ,     ,          ,     ,          ,4M 136
CA,2014,410451,#1,GARVINEA SWEET GLOW R,Gerbera x 'GARGLOW IMP' P.P.A.F.                            ,Garvinea®  Sweet Glow Gerbera Daisy,PRN,07,, 5.75 , 4.83 , 0.95 , 4.98 ,,     ,014949425787,     ,     ,-,"6""H-6""S", 10 , 203 ,     ,          ,     ,          ,     ,          ,4M 136
CA,    ,058861,#1,GAURA L GEYSER WHITE,Gaura lindheimeri 'Geyser White'                            ,Geyser White Gaura                                          ,PRN,05,,     ,     , 0.95 , 0.95 ,,     ,014949312056,     ,     ,BUDS & BLOOMS,CAN FULL, 10 , 259 , 259 ,03/01/16  ,     ,          ,     ,          ,4K 123
CA,2015,412661,#1,GAURA L LITTLE JANIE,Gaura lindhemeri 'Little Janie' P.P.A.F.                    ,Little Janie Gaura                                          ,PRN,06,, 5.75 , 4.83 , 0.95 , 5.78 ,,     ,014949423585,     ,     ,,, 10 ,     , 456 ,10/01/15  ,     ,          ,     ,          ,
CA,    ,028091,#1,GAURA L PINK CLOUD,Gaura lindheimeri 'Pink Cloud'                              ,Pink Cloud Gaura                                            ,PRN,06,, 5.25 , 4.41 , 0.95 , 4.63 ,,     ,014949062302,     ,     ,BUDS & BLOOMS,CAN FULL, 10 , 10 , 10 ,10/01/15  , 10 ,05/01/16  ,     ,          ,4K 123
CA,    ,036481,#1,GAURA PASSIONATE RAINBW P17002,"Gaura lindheimeri 'Passionate Rainbow' P.P.# 17,002         ",Passionate Rainbow Gaura                                    ,PRN,06,PHI, 5.25 , 4.41 , 0.95 , 5.36 ,,     ,014949219676,     ,     ,,, 10 ,     , 540 ,10/01/15  ,     ,          ,     ,          ,
CA,2012,082571,#1,GAZANIA KREBSIANA TANAGER R,Gazania krebsiana                                           ,Tanager®  Terracotta Gazania,PRN,06,PLC, 5.25 , 4.41 , 0.95 , 5.36 ,,     ,014949368046,     ,     ,,, 10 ,     , 155 ,04/01/16  ,     ,          ,     ,          ,
CA,    ,048591,#1,GAZANIA LIN COLORADO GOLD R,Gazania linearis 'Colorado Gold'                            ,Colorado Gold®  Treasure Flower,PRN,04,PLC, 5.25 , 4.41 , 0.95 , 5.36 ,,     ,014949272909,     ,     ,,, 10 ,     , 120 ,04/01/16  ,     ,          ,     ,          ,
CA,    ,038161,#1 STAKED,GELSEMIUM RANKINII,Gelsemium rankinii                                          ,Swamp Jessamine                                             ,VIN,07,, 7.50 , 6.30 , 0.95 , 7.25 ,,     ,014949381618,     ,     ,-,24''H, 10 , 72 , 239 ,11/01/15  ,     ,          ,     ,          ,1M 117
CA,    ,038165,#5 STAKED,GELSEMIUM RANKINII,Gelsemium rankinii                                          ,Swamp Jessamine                                             ,VIN,07,, 23.00 , 19.32 , 4.77 , 24.09 ,,     ,014949381656,     ,     ,-,"48""H", 5 ,     , 368 ,12/31/15  ,     ,          ,     ,          ,
CA,2015,408831,#1,GERANIUM MISS HEIDI PPAF,Geranium x oxonianum 'Miss Heidi' P.P.A.F.                  ,Miss Heidi Geranium                                         ,PRN,05,BHC, 5.75 , 4.83 , 0.95 , 5.78 ,,     ,014949413975,     ,     ,,, 10 ,     , 660 ,03/01/16  ,     ,          ,     ,          ,
CA,    ,001421,#1,GR-ACORUS GR OGON,Acorus gramineus 'Ogon'                                     ,Golden Variegated Sweet Flag                                ,GRS,05,, 7.25 , 6.09 , 0.95 , 7.04 ,,     ,014949014219,     ,     ,-,CAN FULL, 10 ,     ," 1,201 ",04/01/16  ,     ,          ,     ,          ,
CA,2012,067791,#1,GR-BOUT BLOND AMBITION PP22048,"Bouteloua gracilis 'Blonde Ambition' P.P. # 22,048          ",Blonde Ambition Blue Grama Grass                            ,GRS,04,PLC, 9.00 , 7.56 , 0.95 , 8.51 ,,     ,014949338728,     ,     ,-,CAN FULL, 10 ,     , 386 ,01/01/16  , 386 ,04/01/16  ,     ,          ,
CA,2012,067792,#2,GR-BOUT BLOND AMBITION PP22048,"Bouteloua gracilis 'Blonde Ambition' P.P. # 22,048          ",Blonde Ambition Blue Grama Grass                            ,GRS,04,PLC, 15.75 , 13.23 , 2.39 , 15.62 ,,     ,014949358078,     ,     ,,CAN FULL, 5 ,     , 167 ,01/01/16  , 167 ,04/01/16  ,     ,          ,
CA,    ,044551,#1,GR-CAL ACUT AVALANCHE,Calamagrostis x acutiflora 'Avalanche'                      ,Avalanche Feather Reed Grass                                ,GRS,04,, 6.75 , 5.67 , 0.95 , 6.62 ,,     ,014949272237,     ,     ,,, 10 ,     , 289 ,01/01/16  , 365 ,04/01/16  ,     ,          ,
CA,    ,044552,#2,GR-CAL ACUT AVALANCHE,Calamagrostis x acutiflora 'Avalanche'                      ,Avalanche Feather Reed Grass                                ,GRS,04,, 15.00 , 12.60 , 2.39 , 14.99 ,,     ,014949236840,     ,     ,,, 5 ,     , 191 ,01/01/16  , 191 ,04/01/16  ,     ,          ,
CA,    ,014011,#1,GR-CAL ACUT KARL FOERSTER,Calamagrostis x acutiflora 'Karl Foerster'                  ,Foerster's Feather Reed Grass                               ,GRS,04,, 7.25 , 6.09 , 0.95 , 7.04 ,,     ,014949140116,     ,     ,-,"8""H", 10 ,     , 65 ,01/01/16  ,     ,          ,     ,          ,
CA,    ,014012,#2,GR-CAL ACUT KARL FOERSTER,Calamagrostis x acutiflora 'Karl Foerster'                  ,Foerster's Feather Reed Grass                               ,GRS,04,, 15.75 , 13.23 , 2.39 , 15.62 ,,     ,014949011515,     ,     ,-,"10""H", 5 ,     , 60 ,04/01/16  ,     ,          ,     ,          ,
CA,    ,014015,#5,GR-CAL ACUT KARL FOERSTER,Calamagrostis x acutiflora 'Karl Foerster'                  ,Foerster's Feather Reed Grass                               ,GRS,04,, 20.25 , 17.01 , 4.77 , 21.78 ,,     ,014949140154,     ,     ,-,"12""H", 5 ,     , 454 ,03/01/16  ,     ,          ,     ,          ,
CA,    ,014071,#1,GR-CAL ACUT OVERDAM,Calamagrostis x acutiflora 'Overdam'                        ,Overdam Feather Reed Grass                                  ,GRS,04,, 6.75 , 5.67 , 0.95 , 6.62 ,,     ,014949140710,     ,     ,-,"8""H", 10 ,     , 587 ,01/01/16  , 587 ,04/01/16  ,     ,          ,
CA,    ,014072,#2,GR-CAL ACUT OVERDAM,Calamagrostis x acutiflora 'Overdam'                        ,Overdam Feather Reed Grass                                  ,GRS,04,, 15.00 , 12.60 , 2.39 , 14.99 ,,     ,014949140727,     ,     ,-,"10""H", 5 ,     , 139 ,01/01/16  , 139 ,04/01/16  ,     ,          ,
CA,2013,014081,#1,GR-CALAMAGROSTIS  BRACHYTRICA,Calamagrostis brachytricha                                  ,Korean Feather Reed Grass                                   ,GRS,04,, 7.25 , 6.09 , 0.95 , 7.04 ,,     ,014949002384,     ,     ,,, 10 ,     , 403 ,01/01/16  , 403 ,04/01/16  ,     ,          ,
CA,2013,014082,#2,GR-CALAMAGROSTIS  BRACHYTRICA,Calamagrostis brachytricha                                  ,Korean Feather Reed Grass                                   ,GRS,04,, 15.25 , 12.81 , 2.39 , 15.20 ,,     ,014949375181,     ,     ,,, 5 ,     , 250 ,01/01/16  , 250 ,04/01/16  ,     ,          ,
CA,    ,022581,#1,GR-CAREX BUCHANANII,Carex buchananii                                            ,Fox Red Curly Sedge                                         ,GRS,05,, 6.75 , 5.67 , 0.95 , 6.62 ,,     ,014949225813,     ,     ,-,"12""H", 10 ,     ," 1,568 ",01/01/16  ," 1,568 ",04/01/16  ,     ,          ,
CA,    ,022582,#2,GR-CAREX BUCHANANII,Carex buchananii                                            ,Fox Red Curly Sedge                                         ,GRS,05,, 15.00 , 12.60 , 2.39 , 14.99 ,,     ,014949225820,     ,     ,-,"12""H", 5 , 134 , 429 ,01/01/16  , 429 ,04/01/16  ,     ,          ,3O 118
CA,    ,022585,#5,GR-CAREX BUCHANANII,Carex buchananii                                            ,Fox Red Curly Sedge                                         ,GRS,05,, 19.75 , 16.59 , 4.77 , 21.36 ,,     ,014949225851,     ,     ,-,"20""H", 5 ,     , 49 ,01/01/16  , 49 ,04/01/16  ,     ,          ,
CA,    ,035931,#1,GR-CAREX DOL KAGA NISHIKI,Carex dolichostachya 'Kaga Nishiki'                         ,Gold Fountains Sedge                                        ,GRS,05,, 6.75 , 5.67 , 0.95 , 6.62 ,,     ,014949219478,     ,     ,,, 10 ,     , 90 ,04/01/16  ,     ,          ,     ,          ,
CA,    ,022591,#1,GR-CAREX ELATA BOWLES GOLDEN,Carex elata 'Bowles Golden'                                 ,Bowles Golden Sedge                                         ,GRS,05,, 6.75 , 5.67 , 0.95 , 6.62 ,,     ,014949225912,     ,     ,,, 10 ,     , 25 ,04/01/16  ,     ,          ,     ,          ,
CA,    ,022661,#1,GR-CAREX GLAUCA,Carex glauca                                                ,Blue Sedge                                                  ,GRS,05,, 6.75 , 5.67 , 0.95 , 6.62 ,,     ,014949226612,     ,     ,-,"6""H", 10 ,     , 236 ,01/01/16  , 236 ,04/01/16  ,     ,          ,
CA,    ,035832,#2,GR-CAREX MOR ICE DANCE,Carex morrowii 'Ice Dance'                                  ,Ice Dance Japanese Sedge                                    ,GRS,05,, 15.00 , 12.60 , 2.39 , 14.99 ,,     ,014949368336,     ,     ,,, 5 ,     , 229 ,04/01/16  ,     ,          ,     ,          ,
CA,    ,022601,#1,GR-CAREX MORROWII AUREA VAR,Carex morrowii 'Aurea-variegata'                            ,Variegated Japanese Sedge                                   ,GRS,05,, 6.75 , 5.67 , 0.95 , 6.62 ,,     ,014949226018,     ,     ,-,"6""H", 10 ,     , 380 ,03/01/16  ,     ,          ,     ,          ,
CA,    ,034161,#1,GR-CAREX TESTACEA,Carex testacea                                              ,Orange New Zealand Sedge                                    ,GRS,06,, 6.75 , 5.67 , 0.95 , 6.62 ,,     ,014949314678,     ,     ,,, 10 ,     , 686 ,04/01/16  ,     ,          ,     ,          ,
CA,    ,024091,#1,GR-CHASMANTHIUM LATIFOLIUM,Chasmanthium latifolium                                     ,Northern Sea Oats                                           ,GRS,04,, 6.75 , 5.67 , 0.95 , 6.62 ,,     ,014949240915,     ,     ,-,"6""H", 10 ,     , 773 ,01/01/16  , 773 ,04/01/16  ,     ,          ,
CA,    ,024092,#2,GR-CHASMANTHIUM LATIFOLIUM,Chasmanthium latifolium                                     ,Northern Sea Oats                                           ,GRS,04,, 15.00 , 12.60 , 2.39 , 14.99 ,,     ,014949373231,     ,     ,,, 5 ,     , 180 ,01/01/16  , 180 ,04/01/16  ,     ,          ,
CA,    ,028041,#1,GR-CORT IVORY FEATHERS R,Cortaderia selloana 'Pumila'                                ,Ivory Feathers®  Dwarf Pampas Grass,GRS,07,, 6.75 , 5.67 , 0.95 , 6.62 ,,     ,014949280416,     ,     ,-,"12""H", 10 ,     , 76 ,04/01/16  ,     ,          ,     ,          ,
CA,    ,028045,#5,GR-CORT IVORY FEATHERS R,Cortaderia selloana 'Pumila'                                ,Ivory Feathers®  Dwarf Pampas Grass,GRS,07,, 19.75 , 16.59 , 4.77 , 21.36 ,,     ,014949280454,     ,     ,-,"20""H", 5 ,     , 150 ,01/01/16  , 150 ,04/01/16  ,     ,          ,3N 112 S
CA,    ,028105,#5,GR-CORT SUN STRIPE R,Cortaderia selloana 'Monvin'                                ,Sun Stripe®  Variegated Pampas Grass,GRS,07,, 19.75 , 16.59 , 4.77 , 21.36 ,,     ,014949281055,     ,     ,-,"24""H", 5 ,     , 91 ,01/01/16  , 91 ,04/01/16  ,     ,          ,
CA,2014,089282,#2,GR-DESCHAMPSIA SCHOTTLAND,Deschampsia caespitosa 'Schottland'                         ,Scottish Tufted Hair Grass                                  ,GRS,04,, 15.25 , 12.81 , 2.39 , 15.20 ,,     ,014949372340,     ,     ,-,"15""H", 5 ,     , 29 ,09/01/15  , 293 ,01/01/16  ,     ,          ,
CA,    ,031941,#1,GR-ELYMUS ARENARIUS BLUE DUNE,Elymus arenarius 'Blue Dune'                                ,Blue Dune Lyme Grass                                        ,GRS,04,, 6.75 , 5.67 , 0.95 , 6.62 ,,     ,014949319413,     ,     ,-,"8""H", 10 , 60 , 494 ,01/01/16  , 494 ,04/01/16  ,     ,          ,3O 118
CA,    ,031942,#2,GR-ELYMUS ARENARIUS BLUE DUNE,Elymus arenarius 'Blue Dune'                                ,Blue Dune Lyme Grass                                        ,GRS,04,, 15.00 , 12.60 , 2.39 , 14.99 ,,     ,014949319420,     ,     ,-,"10""H", 5 , 7 , 34 ,01/01/16  , 34 ,04/01/16  ,     ,          ,3O 118
CA,2012,077621,#1,GR-ELYMUS COND CANYON PRINCE,Elymus condensatus 'Canyon Prince'                          ,Canyon Prince Giant Rye Grass                               ,GRS,07,Y, 8.25 , 6.93 , 0.95 , 7.88 ,,     ,014949356296,     ,     ,-,"12""H", 10 , 49 , 549 ,01/01/16  , 678 ,04/01/16  ,     ,          ,3O 118
CA,2012,077622,#2,GR-ELYMUS COND CANYON PRINCE,Elymus condensatus 'Canyon Prince'                          ,Canyon Prince Giant Rye Grass                               ,GRS,07,Y, 15.00 , 12.60 , 2.39 , 14.99 ,,     ,014949356302,     ,     ,-,"12""H", 5 ,     , 42 ,01/01/16  ,     ,          ,     ,          ,
CA,2014,092031,#1,GR-ERAGROSTIS ELLI WIND DANCER,Eragrostis elliottii 'Wind Dancer'                          ,Wind Dancer Lovegrass                                       ,GRS,06,, 7.25 , 6.09 , 0.95 , 7.04 ,,     ,014949251386,     ,     ,,, 10 ,     , 500 ,01/01/16  , 625 ,04/01/16  ,     ,          ,
CA,2014,092035,#5,GR-ERAGROSTIS ELLI WIND DANCER,Eragrostis elliottii 'Wind Dancer'                          ,Wind Dancer Lovegrass                                       ,GRS,06,, 20.25 , 17.01 , 4.77 , 21.78 ,,     ,014949251362,     ,     ,,, 5 ,     , 160 ,04/01/16  ,     ,          ,     ,          ,
CA,    ,028051,#1,GR-ERIANTHUS RAVENNAE,Erianthus ravennae                                          ,Hardy Pampas Grass                                          ,GRS,04,, 6.75 , 5.67 , 0.95 , 6.62 ,,     ,014949280515,     ,     ,-,"12""H", 10 ," 1,168 "," 1,168 ",04/01/16  ,     ,          ,     ,          ,"3O 118, 3O 119"
CA,    ,028052,#2,GR-ERIANTHUS RAVENNAE,Erianthus ravennae                                          ,Hardy Pampas Grass                                          ,GRS,04,, 15.00 , 12.60 , 2.39 , 14.99 ,,     ,014949280522,     ,     ,-,"15""H", 5 , 393 , 393 ,04/01/16  ,     ,          ,     ,          ,"3O 118, 3O 119"
CA,    ,028055,#5,GR-ERIANTHUS RAVENNAE,Erianthus ravennae                                          ,Hardy Pampas Grass                                          ,GRS,04,, 19.75 , 16.59 , 4.77 , 21.36 ,,     ,014949280553,     ,     ,-,"20""H", 5 , 363 , 363 ,09/01/15  , 363 ,04/01/16  ,     ,          ,3P 120
CA,    ,036671,#1,GR-FESTUCA GLAUCA ELIJAH BLUE,Festuca glauca 'Elijah Blue'                                ,Elijah Blue Fescue                                          ,GRS,04,, 6.25 , 5.25 , 0.95 , 6.20 ,,     ,014949366714,     ,     ,-,"4""H", 10 ,     , 310 ,03/01/16  , 310 ,04/01/16  ,     ,          ,
CA,    ,036672,#2,GR-FESTUCA GLAUCA ELIJAH BLUE,Festuca glauca 'Elijah Blue'                                ,Elijah Blue Fescue                                          ,GRS,04,, 15.00 , 12.60 , 2.39 , 14.99 ,,     ,014949366721,     ,     ,-,"6""H", 5 ,     , 372 ,01/01/16  ,     ,          ,     ,          ,
CA,2014,089291,#1,GR-HAKONECHLOA FUBUKI PP21757,"Hakonechloa macra 'Fubuki' PP# 21,757                       ",Fubuki Japanese Forest Grass                                ,GRS,04,, 11.50 , 9.66 , 0.95 , 10.61 ,,     ,014949380031,     ,     ,,, 10 ,     , 55 ,04/01/16  ,     ,          ,     ,          ,
CA,    ,035911,#1,GR-HAKONECHLOA MACRA ALL GOLD,Hakonechloa macra 'All Gold'                                ,All Gold Japanese Forest Grass                              ,GRS,04,, 11.50 , 9.66 , 0.95 , 10.61 ,,     ,014949208625,     ,     ,,2/3 CAN FULL, 10 ,     ," 2,946 ",03/01/16  ," 2,946 ",04/01/16  ,     ,          ,
CA,    ,038681,#1,GR-HAKONECHLOA MACRA AUREOLA,Hakonechloa macra 'Aureola'                                 ,Golden Japanese Forest Grass                                ,GRS,04,, 9.00 , 7.56 , 0.95 , 8.51 ,,     ,014949386811,     ,     ,-,2/3 CAN FULL, 10 ,     ," 3,718 ",03/01/16  ,     ,          ,     ,          ,
CA,    ,039971,#1,GR-HELICTOTRICHON SEMPERVIRENS,Helictotrichon sempervirens                                 ,Blue Oat Grass                                              ,GRS,04,, 6.75 , 5.67 , 0.95 , 6.62 ,,     ,014949399712,     ,     ,,"6""H", 10 ,     , 90 ,01/01/16  ,     ,          ,     ,          ,
CA,2015,412041,#1,GR-LOMANDRA CN FINESCAPE,Lomandra confertifolia 'Finescape'                          ,Finescape Lomandra                                          ,GRS,08,BHC, 6.50 , 5.46 , 0.95 , 6.41 ,,     ,014949425572,     ,     ,-,"6""H - 6""S", 10 ,     , 47 ,04/01/16  ,     ,          ,     ,          ,
CA,    ,098891,#1,GR-LOMANDRA LON BREEZE PP15420,Lomandra longifolia 'LM300' P.P.# 15420                     ,Breeze™  Dwarf Mat Rush,GRS,08,DPC, 9.00 , 7.56 , 0.95 , 8.51 ,,     ,014949317846,     ,     ,,, 10 ,     ," 1,765 ",01/01/16  ," 1,975 ",04/01/16  ,     ,          ,
CA,    ,098892,#2,GR-LOMANDRA LON BREEZE PP15420,Lomandra longifolia 'LM300' P.P.# 15420                     ,Breeze™  Dwarf Mat Rush,GRS,08,DPC, 15.25 , 12.81 , 2.39 , 15.20 ,,     ,014949226742,     ,     ,-,"8""H", 5 ,     , 474 ,01/01/16  , 724 ,04/01/16  ,     ,          ,
CA,    ,061811,#1,GR-MIS SIN ADAGIO,Miscanthus sinensis 'Adagio'                                ,Adagio Maiden Grass                                         ,GRS,06,, 6.75 , 5.67 , 0.95 , 6.62 ,,     ,014949618110,     ,     ,,"9""H", 10 ,     , 463 ,01/01/16  , 968 ,04/01/16  ,     ,          ,
CA,    ,061812,#2,GR-MIS SIN ADAGIO,Miscanthus sinensis 'Adagio'                                ,Adagio Maiden Grass                                         ,GRS,06,, 15.00 , 12.60 , 2.39 , 14.99 ,,     ,014949358726,     ,     ,,, 5 ,     , 407 ,01/01/16  , 407 ,04/01/16  ,     ,          ,
CA,    ,061815,#5,GR-MIS SIN ADAGIO,Miscanthus sinensis 'Adagio'                                ,Adagio Maiden Grass                                         ,GRS,06,, 19.75 , 16.59 , 4.77 , 21.36 ,,     ,014949618158,     ,     ,,"15""H", 5 ,     , 524 ,01/01/16  , 929 ,04/01/16  ,     ,          ,
CA,    ,061741,#1,GR-MIS SIN CABARET,Miscanthus sinensis 'Cabaret'                               ,Cabaret Japanese Silver Grass                               ,GRS,05,, 6.75 , 5.67 , 0.95 , 6.62 ,,     ,014949617410,     ,     ,-,"12""H", 10 ,     , 780 ,01/01/16  ," 1,202 ",04/01/16  ,     ,          ,
CA,    ,061742,#2,GR-MIS SIN CABARET,Miscanthus sinensis 'Cabaret'                               ,Cabaret Japanese Silver Grass                               ,GRS,05,, 15.00 , 12.60 , 2.39 , 14.99 ,,     ,014949358702,     ,     ,,, 5 ,     , 387 ,01/01/16  , 387 ,04/01/16  ,     ,          ,
CA,    ,061745,#5,GR-MIS SIN CABARET,Miscanthus sinensis 'Cabaret'                               ,Cabaret Japanese Silver Grass                               ,GRS,05,, 19.75 , 16.59 , 4.77 , 21.36 ,,     ,014949617458,     ,     ,-,"15""H", 5 , 68 ,     ,          ,     ,          ,     ,          ,3P 120
CA,    ,044581,#1,GR-MIS SIN GOLD BAR PP15193,"Miscanthus sinensis 'Gold Bar' P.P.# 15,193                 ",Gold Bar Maiden Grass                                       ,GRS,05,SBN, 9.00 , 7.56 , 0.95 , 8.51 ,,     ,014949272282,     ,     ,,, 10 ,     ," 1,000 ",01/01/16  ," 1,545 ",04/01/16  ,     ,          ,
CA,    ,044582,#2,GR-MIS SIN GOLD BAR PP15193,"Miscanthus sinensis 'Gold Bar' P.P.# 15,193                 ",Gold Bar Maiden Grass                                       ,GRS,05,SBN, 15.25 , 12.81 , 2.39 , 15.20 ,,     ,014949249901,     ,     ,,, 5 ,     , 562 ,01/01/16  , 792 ,04/01/16  ,     ,          ,
CA,    ,044585,#5,GR-MIS SIN GOLD BAR PP15193,"Miscanthus sinensis 'Gold Bar' P.P.# 15,193                 ",Gold Bar Maiden Grass                                       ,GRS,05,SBN, 20.25 , 17.01 , 4.77 , 21.78 ,,     ,014949281758,     ,     ,,, 5 ,     , 247 ,01/01/16  , 599 ,04/01/16  ,     ,          ,
CA,    ,061561,#1,GR-MIS SIN GRACILLIMUS,Miscanthus sinensis 'Gracillimus'                           ,Maiden Grass                                                ,GRS,05,, 6.75 , 5.67 , 0.95 , 6.62 ,,     ,014949615614,     ,     ,-,"12""H", 10 , 31 , 545 ,01/01/16  , 545 ,04/01/16  ,     ,          ,3O 118
CA,    ,061562,#2,GR-MIS SIN GRACILLIMUS,Miscanthus sinensis 'Gracillimus'                           ,Maiden Grass                                                ,GRS,05,, 15.00 , 12.60 , 2.39 , 14.99 ,,     ,014949615621,     ,     ,-,"12""H", 5 ,     , 277 ,04/01/16  ,     ,          ,     ,          ,
