Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category,Zone,Royalty Code,2016 List Price,Net Price,Freight,Landed Price,SKU,Retail Price,UPC#,Qty Cfm,Qty Rem,Condition,Current Specs,Min Ord Qty,Available         ,Available Later,On,Available Later,On,Available Later,On,Stk Loc
OR,    ,001212,#2,ACER PAL SHAINA,Acer palmatum 'Shaina'                                      ,Shaina Japanese Maple                                       ,TRE,05,, 39.75 , 33.39 , 2.21 , 35.60 ,,     ,014949012123,     ,     ,-,"15""H", 5 , 77 ,     ,          ,     ,          ,     ,          ,"4G 200, 4H 194"
OR,2014,031825,#5,ACER PAL SHIN DESHOJO,Acer palmatum 'Deshojo'                                     ,Deshojo Japanese Maple                                      ,TRE,05,, 61.00 , 51.24 , 4.43 , 55.67 ,,     ,014949317655,     ,     ,-,"40""H", 5 , 24 ,     ,          ,     ,          ,     ,          ,"4G 198, 4H 195, 4H 196"
OR,2014,03182M,#10 Squat,ACER PAL SHIN DESHOJO,Acer palmatum 'Deshojo'                                     ,Deshojo Japanese Maple                                      ,TRE,05,, 124.00 , 104.16 , 15.94 , 120.10 ,,     ,014949305645,     ,     ,-,"54""H", 2 , 16 ,     ,          ,     ,          ,     ,          ,"4G 194, 4G 201, 4H 201"
OR,    ,018332,#2,ACER PAL SHISHIGASHIRA,Acer palmatum 'Shishigashira'                               ,Shishigashira Japanese Maple                                ,TRE,05,, 39.75 , 33.39 , 2.21 , 35.60 ,,     ,014949305652,     ,     ,-,"27""H", 5 , 44 , 44 ,10/01/15  , 44 ,04/27/16  ,     ,          ,4H 194
OR,    ,018335,#5,ACER PAL SHISHIGASHIRA,Acer palmatum 'Shishigashira'                               ,Shishigashira Japanese Maple                                ,TRE,05,, 61.00 , 51.24 , 4.43 , 55.67 ,,     ,014949007730,     ,     ,-,"26""H - 18""S", 5 , 71 ,     ,          ,     ,          ,     ,          ,"4G 199, 4H 196"
OR,    ,033962,#2,ACER PAL TROMPENBURG,Acer palmatum 'Trompenburg'                                 ,Trompenburg Japanese Maple                                  ,TRE,05,,     ,     , 2.21 , 2.21 ,,     ,014949416549,     ,     ,-,"33""H", 5 , 12 , 12 ,10/01/15  ,     ,          ,     ,          ,4H 194
OR,    ,033965,#5,ACER PAL TROMPENBURG,Acer palmatum 'Trompenburg'                                 ,Trompenburg Japanese Maple                                  ,TRE,05,, 61.00 , 51.24 , 4.43 , 55.67 ,,     ,014949224038,     ,     ,-,"42""H", 5 , 59 ,     ,          ,     ,          ,     ,          ,"4G 198, 4H 195"
OR,    ,033969,#15,ACER PAL TROMPENBURG,Acer palmatum 'Trompenburg'                                 ,Trompenburg Japanese Maple                                  ,TRE,05,, 154.00 , 129.36 , 22.14 , 151.50 ,,     ,014949237120,     ,     ,-,"72""H", 1 ,     , 20 ,10/01/15  , 50 ,04/27/16  ,     ,          ,
OR,    ,03396M,#10 Squat,ACER PAL TROMPENBURG,Acer palmatum 'Trompenburg'                                 ,Trompenburg Japanese Maple                                  ,TRE,05,, 124.00 , 104.16 , 15.94 , 120.10 ,,     ,014949276938,     ,     ,-,"64""H", 2 , 4 , 229 ,09/01/15  , 229 ,04/27/16  ,     ,          ,4G 201
OR,    ,000902ST,#2 STAKED,ACER PAL WATERFALL,Acer palmatum 'Waterfall'                                   ,Waterfall Japanese Maple                                    ,TRE,05,, 39.75 , 33.39 , 2.21 , 35.60 ,,     ,014949009024,     ,     ,-,"24""H - 12""S", 5 , 528 , 528 ,04/27/16  ,     ,          ,     ,          ,"4G 200, 4H 194"
OR,    ,000905,#5,ACER PAL WATERFALL,Acer palmatum 'Waterfall'                                   ,Waterfall Japanese Maple                                    ,TRE,05,, 61.00 , 51.24 , 4.43 , 55.67 ,,     ,014949005293,     ,     ,-,"20""H", 5 , 30 ,     ,          ,     ,          ,     ,          ,"4G 198, 4H 196"
OR,    ,000905ST,#5 STAKED,ACER PAL WATERFALL,Acer palmatum 'Waterfall'                                   ,Waterfall Japanese Maple                                    ,TRE,05,, 60.00 , 50.40 , 4.43 , 54.83 ,,     ,014949009055,     ,     ,-,"30""H - 12""S", 5 , 19 ,     ,          ,     ,          ,     ,          ,"4G 198, 4H 196"
OR,    ,00090MST,#10 Squat STAKED,ACER PAL WATERFALL,Acer palmatum 'Waterfall'                                   ,Waterfall Japanese Maple                                    ,TRE,05,, 124.00 , 104.16 , 15.94 , 120.10 ,,     ,014949009062,     ,     ,-,"42""H - 20""S", 2 , 13 ,     ,          ,     ,          ,     ,          ,"4G 201, 4G 203"
OR,    ,000655,#5,ACER PALMATUM,Acer palmatum                                               ,Japanese Maple                                              ,TRE,05,, 24.75 , 20.79 , 4.43 , 25.22 ,,     ,014949006559,     ,     ,-,"42""H", 5 , 2 ,     ,          ,     ,          ,     ,          ,4H 196
OR,    ,001135,#5,ACER PLAT CRIMSON KING,Acer platanoides 'Crimson King'                             ,Crimson King Norway Maple                                   ,TRE,03,, 31.00 , 26.04 , 4.43 , 30.47 ,,     ,014949011355,     ,     ,-,"58""H", 5 , 16 ,     ,          ,     ,          ,     ,          ,"4G 198, 4H 197"
