Loc,New Plant,Item,Size,Plant Name,Common Name,CAT,Zone,Qty Allocated,QTY AVAIL NOW,2ND QTY AVAIL,2ND QTY READY DATE,2016 LIST PRICE,"ADD'L 10% 
QTY 
BUY PRICE","ADD'L 12.5% 
QTY
BUY
PRICE","UNIT 
FRT"
OR,    ,45931,#1,AQUILEGIA CAE ORIGAMI YELLOW,Origami Yellow Columbine                                    ,PRN,3,     ,     ,288,3/1/2016,5.25,4.73,4.59,0.58
OR,    ,00272UT,LittleOne,AQUILEGIA FLA CAMEO BLUE & WT,Cameo Series Blue & White Columbine                         ,PRN,3,34,343,     ,          ,3.25,2.93,2.84,0.44
OR,    ,3041,#1,ARMERIA MAR BLOODSTONE,Bloodstone Thrift                                           ,PRN,3,     ,704,     ,          ,5.25,4.73,4.59,0.58
OR,    ,00304UT,LittleOne,ARMERIA MAR BLOODSTONE,Bloodstone Thrift                                           ,PRN,3,     ,94,     ,          ,3.25,2.93,2.84,0.44
OR,    ,2691,#1,ARMERIA MAR COTTON TAIL,Cotton Tail Thrift                                          ,PRN,3,13,770,     ,          ,5.25,4.73,4.59,0.58
OR,    ,00269UT,LittleOne,ARMERIA MAR COTTON TAIL,Cotton Tail Thrift                                          ,PRN,3,     ,163,     ,          ,3.25,2.93,2.84,0.44
OR,    ,19461,#1,ARMERIA MAR RUBRIFOLIA,Red Leaf Thrift                                             ,PRN,3,     ,428,     ,          ,5.25,4.73,4.59,0.58
OR,    ,01946UT,LittleOne,ARMERIA MAR RUBRIFOLIA,Red Leaf Thrift                                             ,PRN,3,     ,367,     ,          ,3.25,2.93,2.84,0.44
OR,    ,30091,#1,ASTER FARMINGTON PPAF,Farmington Michaelmas Daisy                                 ,PRN,3,     ,116,62,3/28/2016,5.25,4.73,4.59,0.58
OR,X,412531,#1,ASTER N-A VIBRANT DOME,Vibrant Dome New England Aster                              ,PRN,4,     ,5,     ,          ,5.25,4.73,4.59,0.58
OR,    ,3411,#1,ASTER PURPLE DOME,Purple Dome New England Aster                               ,PRN,4,     ,     ,120,3/28/2016,5.25,4.73,4.59,0.58
OR,    ,1531,#1,ASTER WOOD'S PINK,Woods Pink New York Aster                                   ,PRN,4,     ,108,     ,          ,5.25,4.73,4.59,0.58
OR,    ,1591,#1,ASTILBE BRIDAL VEIL,Bridal Veil®  Astilbe,PRN,4,     ,443,44,5/1/2016,5.25,4.73,4.59,0.58
OR,    ,00159UT,LittleOne,ASTILBE BRIDAL VEIL,Bridal Veil®  Astilbe,PRN,4,     ,2,     ,          ,3.25,2.93,2.84,0.44
OR,    ,27501,#1,ASTILBE COLOR FLASH R PP17343,Color Flash®  Astilbe,PRN,4,     ,601,     ,          ,7.25,6.53,6.34,0.58
OR,X,412541,#1,ASTILBE DELFT LACE,Delft Lace Astilbe                                          ,PRN,4,     ,     ,184,3/1/2016,5.25,4.73,4.59,0.58
OR,    ,00351UT,LittleOne,ASTILBE DEUTSCHLAND,Deutschland Astilbe                                         ,PRN,4,     ,4,     ,          ,3.25,2.93,2.84,0.44
OR,    ,1631,#1,ASTILBE HENNIE GRAAFLAND,Hennie Graafland Star Astilbe                               ,PRN,4,     ,20,     ,          ,5.25,4.73,4.59,0.58
OR,    ,1681,#1,ASTILBE RED SENTINEL,Red Sentinel Astilbe                                        ,PRN,4,     ,10,     ,          ,5.25,4.73,4.59,0.58
OR,    ,3541,#1,ASTILBE RHEINLAND,Rheinland Astilbe                                           ,PRN,4,     ,72,     ,          ,5.25,4.73,4.59,0.58
OR,    ,59151,#1,ASTILBE VISION IN PINK PP11860,Visions in Pink Astilbe                                     ,PRN,4,     ,     ,180,3/1/2016,5.25,4.73,4.59,0.58
OR,,17601,#1,ASTILBE VISION IN WHITE P18965,Vision in White Astilbe                                     ,PRN,4,     ,     ,207,3/1/2016,5.25,4.73,4.59,0.58
OR,    ,37391,#1,ASTILBE WHT SENSATION PP18462,White Sensation Astilbe                                     ,PRN,4,     ,196,     ,          ,5.25,4.73,4.59,0.58
OR,    ,400811,#1,ASTILBE YOUNIQUE CRM TM P20324,Younique  Carmine Astilbe,PRN,4,     ,     ,74,3/1/2016,5.25,4.73,4.59,0.58
OR,    ,400821,#1,ASTILBE YOUNIQUE SLP TM P20656,Younique  Silvery Pink Astilbe,PRN,4,     ,     ,301,3/1/2016,5.25,4.73,4.59,0.58
OR,    ,1811,#1,AZALEA GA KAREN,Karen Azalea                                                ,RHO,4,     ,34,     ,          ,6.5,5.85,5.69,0.58
OR,    ,1812,#2,AZALEA GA KAREN,Karen Azalea                                                ,RHO,4,     ,15,     ,          ,16,14.4,14,1.45
OR,    ,7782,#2,AZALEA NL GOLDEN LIGHTS,Golden Lights Azalea                                        ,RHO,3,     ,126,     ,          ,16,14.4,14,1.45
OR,    ,12033,#3,BER GOLDN NUGGET TM P9577 CBR,Golden Nugget  Dwarf Japanese Barberry,DCS,4,     ,53,     ,          ,21.5,19.35,18.81,2.33
OR,,080771S,SuperOne TM,BER SUNJOY R MINI SALSA PPAF,Sunjoy®  Mini Salsa Barberry,DCS,4,     ,40,     ,          ,11, N/A , N/A ,0.97
OR,,080772S,SuperTwo,BER SUNJOY R MINI SALSA PPAF,Sunjoy®  Mini Salsa Barberry,DCS,4,5,5,     ,          ,17.75,15.98,15.53,1.94
OR,    ,12002,#2,BER T ATROPURPUREA,Red Leaf Japanese Barberry                                  ,DCS,4,8,15,     ,          ,14,12.6,12.25,1.45
OR,    ,12005,#5,BER T ATROPURPUREA,Red Leaf Japanese Barberry                                  ,DCS,4,9,14,     ,          ,21.5,19.35,18.81,2.91
OR,    ,12012,#2,BER T CHERRY BOMB R CPBR 3488,Cherry Bomb®  Japanese Barberry,DCS,4,     ,123,     ,          ,14,12.6,12.25,1.45
OR,    ,12013,#3,BER T CHERRY BOMB R CPBR 3488,Cherry Bomb®  Japanese Barberry,DCS,4,16,62,     ,          ,21.5,19.35,18.81,2.33
OR,    ,12053,#3,BER T CRIMSON PYGMY,Crimson Pygmy Dwarf Japanese Barberry                       ,DCS,4,80,127,     ,          ,20.25,18.23,17.72,2.33
OR,    ,35232,#2,BER T GOLDEN RUBY R PP16203,Golden Ruby®  Barberry,DCS,4,"1,717","3,212",     ,          ,16,14.4,14,1.45
OR,    ,35233,#3,BER T GOLDEN RUBY R PP16203,Golden Ruby®  Barberry,DCS,4,555,576,     ,          ,23.75,21.38,20.78,2.33
OR,    ,12102,#2,BER T HELMOND PILLAR,Helmond Pillar Barberry                                     ,DCS,4,52,     ,121,6/1/2016,14,12.6,12.25,1.45
OR,    ,12105,#5,BER T HELMOND PILLAR,Helmond Pillar Barberry                                     ,DCS,4,50,273,,,23.75,21.38,20.78,2.91
OR,,62932,#2,BER T ORANGE ROCKET PP18411,Orange Rocket Barberry                                      ,DCS,4,30,152,     ,          ,16,14.4,14,1.45
OR,,62935,#5,BER T ORANGE ROCKET PP18411,Orange Rocket Barberry                                      ,DCS,4,99,99,     ,          ,26.75,24.08,23.41,2.91
OR,    ,35242,#2,BER T PYGMY RUBY TM,Pygmy Ruby  Barberry,DCS,4,117,117,     ,          ,16.25,14.63,14.22,1.45
OR,    ,12202,#2,BER T ROSE GLOW,Rose Glow Japanese Barberry                                 ,DCS,4,     ,904,     ,          ,14,12.6,12.25,1.45
OR,    ,12203,#3,BER T ROSE GLOW,Rose Glow Japanese Barberry                                 ,DCS,4,     ,16,     ,          ,20.25,18.23,17.72,2.33
OR,    ,12205,#5,BER T ROSE GLOW,Rose Glow Japanese Barberry                                 ,DCS,4,     ,561,,,21.5,19.35,18.81,2.91
OR,    ,12212,#2,BER T ROYAL BURGUNDY R P9461,Royal Burgundy®  Barberry,DCS,4,     ,3,     ,          ,16,14.4,14,1.45
OR,    ,12213,#3,BER T ROYAL BURGUNDY R P9461,Royal Burgundy®  Barberry,DCS,4,20,21,     ,          ,20.25,18.23,17.72,2.33
OR,    ,11932,#2,BER T SUNSATION R PP11332 CBR,Sunsation®  Japanese Barberry,DCS,4,     ,10,     ,          ,14,12.6,12.25,1.45
OR,    ,24715,#5,BETULA N SUMR CASCADE PP15150,Summer Cascade River Birch                                  ,TRE,4,2,3,     ,          ,37,33.3,32.38,2.91
OR,    ,02471M,#10 Squat,BETULA N SUMR CASCADE PP15150,Summer Cascade River Birch                                  ,TRE,4,     ,13,     ,          ,76.25,68.63,66.72,10.47
OR,    ,12365,#5,BETULA PENDULA PURPLE RAIN R,Purple Rain®  European White Birch,TRE,2,4,47,     ,          ,38,34.2,33.25,2.91
OR,    ,012415SE,#5 SERPENTINE,BETULA PENDULA YOUNGII,Young's Weeping Birch                                       ,TRE,2,     ,49,     ,          ,48.75,43.88,42.66,4.36
OR,    ,13651,#1,BRUNNERA MAC VARIEGATA,Variegated Siberian Bugloss                                 ,PRN,3,     ,     ,29,3/28/2016,7.25,6.53,6.34,0.58
OR,    ,02235UT,LittleOne,CAMPANULA CAR DEEP BLUE CLIPS,Deep Blue Clips Bellflower                                  ,PRN,4,     ,55,,,3.25,2.93,2.84,0.44
OR,X,408391,#1,CAMPANULA CAR RAPIDO BLUE,Rapido Blue Bellflower                                      ,PRN,3,     ,164,     ,          ,5.75,5.18,5.03,0.58
OR,X,408401,#1,CAMPANULA CAR RAPIDO WHITE,Rapido White Bellflower                                     ,PRN,4,     ,128,     ,          ,5.75,5.18,5.03,0.58
OR,X,408421,#1,CAMPANULA GLOM GENTI BLUE PPAF,Genti Blue Bellflower                                       ,PRN,4,     ,"1,511",     ,          ,5.75,5.18,5.03,0.58
OR,X,408411,#1,CAMPANULA GLOM GENTI WHITE PAF,Genti White Bellflower                                      ,PRN,4,     ,"1,485",     ,          ,5.75,5.18,5.03,0.58
OR,    ,22361,#1,CAMPANULA PORTENSCHLAGIANA,Dalmatian Bellflower                                        ,PRN,4,     ,32,     ,          ,5.25,4.73,4.59,0.58
OR,    ,24191,#1,CHELONE HOT LIPS,Hot Lips Turtlehead                                         ,PRN,3,     ,4,,,5.25,4.73,4.59,0.58
OR,    ,90661,#1 STAKED,CLEM ALP PAMELA JACKMAN,Pamela Jackman Alpine Clematis                              ,VIN,3,21,93,40,4/27/2016,9.5,8.55,8.31,0.58
OR,X,414542TE,#2 TRELLIS,CLEM BLVRD R CHROKEE TM P24171,Boulevard®  Cherokee  Clematis,VIN,4,     ,     ,273,3/1/2016,26.5,23.85,23.19,1.45
OR,X,414522TE,#2 TRELLIS,CLEM BLVRD R FLEURI TM PP24172,Boulevard®  Fleuri  Clematis,VIN,4,     ,     ,275,3/1/2016,26.5,23.85,23.19,1.45
OR,X,414532TE,#2 TRELLIS,CLEM BLVRD R NINON TM PPAF,Boulevard®  Ninon  Clematis,VIN,4,     ,     ,92,3/1/2016,26.5,23.85,23.19,1.45
OR,X,414552TE,#2 TRELLIS,CLEM BLVRD R PRSNNE TM PP16069,Boulevard®  Parisienne  Clematis,VIN,4,     ,     ,456,3/1/2016,26.5,23.85,23.19,1.45
OR,X,414562TE,#2 TRELLIS,CLEM BLVRD R REBECCA TM P21583,Boulevard®  Patio Rebecca  Clematis,VIN,4,     ,     ,434,3/1/2016,26.5,23.85,23.19,1.45
OR,X,414572TE,#2 TRELLIS,CLEM BLVRD R ZARA TM PPAF,Boulevard®  Patio Zara  Clematis,VIN,4,     ,     ,270,3/1/2016,26.5,23.85,23.19,1.45
OR,X,414582,#2,CLEM FLORA TM BIJOU TM PP15991,Flora  Bijou  Clematis,VIN,4,66,     ,173,3/1/2016,19,17.1,16.63,1.45
OR,    ,27251,#1,CLEM INTEGRIFOLIA CAERULEA,Bushy Blue Bell Clematis                                    ,PRN,3,     ,378,     ,          ,9.5,8.55,8.31,0.58
OR,    ,27281,#1,CLEM LAN CANDIDA,White Flowering Clematis                                    ,VIN,4,19,418,,,9.5,8.55,8.31,0.58
OR,    ,27285,#5,CLEM LAN CANDIDA,White Flowering Clematis                                    ,VIN,4,5,21,110,3/1/2016,31,27.9,27.13,2.91
OR,X,414602TE,#2 TRELLIS,CLEM RGL R DMANTINA TM PP20638,Regal®  Diamantina  Clematis,VIN,4,     ,     ,151,3/1/2016,26.5,23.85,23.19,1.45
OR,X,414612TE,#2 TRELLIS,CLEM RGL R EMPRESS TM P16072,Regal®  Empress Clematis,VIN,4,     ,     ,163,3/1/2016,26.5,23.85,23.19,1.45
OR,    ,21862,#2 STAKED,CLEM SAPPHIRE INDIGO TMPP17012,Sapphire Indigo  Clematis,VIN,4,     ,24,,,19,17.1,16.63,1.45
OR,    ,21865,#5 STAKED,CLEM SAPPHIRE INDIGO TMPP17012,Sapphire Indigo  Clematis,VIN,4,     ,149,,,31,27.9,27.13,2.91
OR,,089922S,SuperTwo,CLEM SWEET SUMMER LOVE PPAF,Sweet Summer Love Clematis                                  ,VIN,4,12,12,,,18.25,16.43,15.97,1.94
OR,    ,51481,#1 STAKED,CLEM VANCOUVER TM DANIELLE,Vancouver  Danielle Clematis,VIN,4,26,     ,31,3/1/2016,10.5,9.45,9.19,0.58
OR,    ,51482,#2 STAKED,CLEM VANCOUVER TM DANIELLE,Vancouver  Danielle Clematis,VIN,4,13,13,,,19,17.1,16.63,1.45
OR,    ,51485,#5 STAKED,CLEM VANCOUVER TM DANIELLE,Vancouver  Danielle Clematis,VIN,4,     ,10,86,3/1/2016,33.5,30.15,29.31,2.91
OR,    ,46271,#1 STAKED,CLEM VANCOUVER TM FRGRNT STAR,Vancouver  Fragrant Star Clematis,VIN,4,49,     ,57,3/1/2016,10.5,9.45,9.19,0.58
OR,    ,46272,#2 STAKED,CLEM VANCOUVER TM FRGRNT STAR,Vancouver  Fragrant Star Clematis,VIN,4,20,13,7,3/1/2016,19,17.1,16.63,1.45
OR,    ,46275,#5 STAKED,CLEM VANCOUVER TM FRGRNT STAR,Vancouver  Fragrant Star Clematis,VIN,4,10,18,,,33.5,30.15,29.31,2.91
OR,    ,48741,#1 STAKED,CLEM VANCOUVER TM STARRY NGHTS,Vancouver  Starry Nights Clematis,VIN,4,     ,     ,83,3/1/2016,10.5,9.45,9.19,0.58
OR,    ,48745,#5 STAKED,CLEM VANCOUVER TM STARRY NGHTS,Vancouver  Starry Nights Clematis,VIN,4,     ,15,,,33.5,30.15,29.31,2.91
OR,    ,27215,#5 STAKED,CLEM VIT ETOILE VIOLETTE,Etoile Violette Clematis                                    ,VIN,4,16,16,     ,          ,31,27.9,27.13,2.91
OR,    ,27302,#2 STAKED,CLEM VIT MADAME JULIA CORREVON,Madame Julia Correvon Clematis                              ,VIN,4,     ,5,     ,          ,19,17.1,16.63,1.45
OR,    ,21782,#2 STAKED,CLEM X ARABELLA,Arabella Clematis                                           ,VIN,4,     ,34,     ,          ,19,17.1,16.63,1.45
OR,    ,15905,#5 STAKED,CLEM X BLUE LIGHT R PP15953,Blue Light®  Clematis,VIN,4,     ,     ,42,3/1/2016,31,27.9,27.13,2.91
OR,    ,27221,#1 STAKED,CLEM X COMTESSE DE BOUCHAUD,Comtesse De Bouchaud Clematis                               ,VIN,4,     ,147,,,9.5,8.55,8.31,0.58
OR,    ,27225,#5 STAKED,CLEM X COMTESSE DE BOUCHAUD,Comtesse De Bouchaud Clematis                               ,VIN,4,     ,180,,,31,27.9,27.13,2.91
OR,    ,27011,#1 STAKED,CLEM X ERNEST MARKHAM,Ernest Markham Clematis                                     ,VIN,3,     ,4,,,9.5,8.55,8.31,0.58
OR,    ,27015,#5 STAKED,CLEM X ERNEST MARKHAM,Ernest Markham Clematis                                     ,VIN,3,7,25,,,31,27.9,27.13,2.91
OR,    ,27411,#1,CLEM X HENRYI,Henry Clematis                                              ,VIN,4,     ,3,     ,          ,9.5,8.55,8.31,0.58
OR,    ,27265,#5 STAKED,CLEM X JACKMANII,Jackman Clematis                                            ,VIN,4,     ,43,,,31,27.9,27.13,2.91
OR,    ,44485,#5 STAKED,CLEM X JACKMANII SUPERBA,Jackman Superba Clematis                                    ,VIN,4,18,     ,229,3/1/2016,31,27.9,27.13,2.91
OR,    ,55205,#5 STAKED,CLEM X MRS. SPENCER CASTLE,Mrs. Spencer Castle Clematis                                ,VIN,4,     ,22,,,31,27.9,27.13,2.91
OR,    ,27061,#1 STAKED,CLEM X MULTI-BLUE,Multi-Blue Clematis                                         ,VIN,4,     ,7,,,9.5,8.55,8.31,0.58
OR,    ,27065,#5 STAKED,CLEM X MULTI-BLUE,Multi-Blue Clematis                                         ,VIN,4,9,111,,,31,27.9,27.13,2.91
OR,    ,27441,#1 STAKED,CLEM X NELLY MOSER,Nelly Moser Clematis                                        ,VIN,4,     ,16,,,9.5,8.55,8.31,0.58
OR,    ,27442,#2 STAKED,CLEM X NELLY MOSER,Nelly Moser Clematis                                        ,VIN,4,     ,     ,5,3/1/2016,19,17.1,16.63,#N/A
OR,    ,27445,#5 STAKED,CLEM X NELLY MOSER,Nelly Moser Clematis                                        ,VIN,4,7,17,,,31,27.9,27.13,2.91
OR,    ,27461,#1 STAKED,CLEM X NIOBE,Niobe Clematis                                              ,VIN,4,31,39,,,9.5,8.55,8.31,0.58
OR,    ,27465,#5 STAKED,CLEM X NIOBE,Niobe Clematis                                              ,VIN,4,     ,139,500,3/1/2016,31,27.9,27.13,2.91
OR,    ,27071,#1 STAKED,CLEM X PINK CHAMPAGNE,Pink Champagne Clematis                                     ,VIN,4,38,     ,76,3/1/2016,9.5,8.55,8.31,0.58
OR,    ,27072,#2 STAKED,CLEM X PINK CHAMPAGNE,Pink Champagne Clematis                                     ,VIN,4,     ,48,,,19,17.1,16.63,1.45
OR,    ,27075,#5 STAKED,CLEM X PINK CHAMPAGNE,Pink Champagne Clematis                                     ,VIN,4,7,226,,,31,27.9,27.13,2.91
OR,    ,27481,#1 STAKED,CLEM X RAMONA,Ramona Clematis                                             ,VIN,4,5,46,,,9.5,8.55,8.31,0.58
OR,    ,27482,#2 STAKED,CLEM X RAMONA,Ramona Clematis                                             ,VIN,4,23,     ,30,3/1/2016,19,17.1,16.63,1.45
OR,    ,27495,#5 STAKED,CLEM X ROUGE CARDINAL,Rouge Cardinal Clematis                                     ,VIN,4,8,82,,,31,27.9,27.13,2.91
OR,    ,26371,#1 STAKED,CLEM X TOKI,Toki Clematis                                               ,VIN,4,5,     ,89,3/1/2016,9.5,8.55,8.31,0.58
OR,    ,26372,#2 STAKED,CLEM X TOKI,Toki Clematis                                               ,VIN,4,19,396,,,19,17.1,16.63,1.45
OR,    ,26375,#5 STAKED,CLEM X TOKI,Toki Clematis                                               ,VIN,4,     ,77,,,31,27.9,27.13,2.91
OR,    ,56212,#2 STAKED,CLEM X WESTERPLATTE,Westerplatte Clematis                                       ,VIN,4,55,     ,55,3/1/2016,19,17.1,16.63,1.45
OR,,22431,#1,CLEMATIS INT BLUE RIBBONS,Blue Ribbons Bush Clematis                                  ,PRN,2,     ,689,     ,          ,9.5,8.55,8.31,0.58
OR,    ,02797UT,LittleOne,COREOPSIS VERT ZAGREB,Zagreb Threadleaf Tickseed                                  ,PRN,3,     ,105,,,3.25,2.93,2.84,0.44
OR,    ,27732,#2,CORNUS ALBA ELEGANTISSIMA,Variegated Red Twig Dogwood                                 ,DCS,2,     ,92,     ,          ,16.75,15.08,14.66,1.45
OR,    ,027735PT,#5 PATIO TREE,CORNUS ALBA ELEGANTISSIMA,Variegated Red Twig Dogwood                                 ,DCS,2,27,37,     ,          ,50,45,43.75,4.36
OR,    ,27862,#2,CORNUS ALBA IVORYHALO TM,Ivory Halo®  Dogwood,DCS,3,     ,305,,,16.75,15.08,14.66,1.45
OR,    ,27865,#5,CORNUS ALBA IVORYHALO TM,Ivory Halo®  Dogwood,DCS,3,223,     ,227,6/1/2016,24.25,21.83,21.22,2.91
OR,    ,45285,#5,CORNUS ALBA PRAIRIE FIRE AUREA,Prairie Fire Dogwood                                        ,DCS,2,     ,65,,,24.25,21.83,21.22,2.91
OR,    ,27875,#5,CORNUS ALTERNIFOLIA,Pagoda Dogwood                                              ,TRE,4,     ,     ,36,5/15/2016,30.25,27.23,26.47,2.91
OR,    ,02787M,#10 Squat,CORNUS ALTERNIFOLIA,Pagoda Dogwood                                              ,TRE,4,     ,53,     ,          ,77.5,69.75,67.81,10.47
OR,X,77325,#5,CORNUS MAS GOLDEN GLORY,Cornelian Cherry Dogwood                                    ,TRE,4,     ,55,     ,          ,43,38.7,37.63,2.91
OR,    ,074801S,SuperOne TM,CORNUS S ARCTIC FIRE TM P18523,Arctic Fire  Red Twig Dogwood,DCS,3,     ,56,     ,          ,10,9,8.75,0.97
OR,    ,074802S,SuperTwo,CORNUS S ARCTIC FIRE TM P18523,Arctic Fire  Red Twig Dogwood,DCS,3,340,340,     ,          ,17.75,15.98,15.53,1.94
OR,    ,74805,#5,CORNUS S ARCTIC FIRE TM P18523,Arctic Fire  Red Twig Dogwood,DCS,3,648,     ,648,4/27/2016,25.25,22.73,22.09,2.91
OR,    ,27805,#5,CORNUS SERICEA FLAVIRAMEA,Yellow Twig Dogwood                                         ,DCS,2,     ,173,,,24.25,21.83,21.22,2.91
OR,    ,44702,#2,CORNUS SERICEA KELSEYI,Kelsey's Dwarf Red-Osier Dogwood                            ,DCS,2,     ,7,     ,          ,16.75,15.08,14.66,1.45
OR,    ,44705,#5,CORNUS SERICEA KELSEYI,Kelsey's Dwarf Red-Osier Dogwood                            ,DCS,2,160,     ,251,6/1/2016,24.25,21.83,21.22,2.91
OR,,080842S,SuperTwo,CORNUS STO PUCKERED UP TM PPAF,Pucker Up!  Red Twig Dogwood,DCS,3,15,15,     ,          ,17.75,15.98,15.53,1.94
OR,    ,17455,#5,CORYLUS AV CONTORTA-OWN ROOT,Harry Lauder's Walking Stick                                ,DCS,3,     ,40,     ,          ,36.75,33.08,32.16,2.91
OR,    ,28502,#2,COT APICULATUS,Cranberry Cotoneaster                                       ,DCS,4,     ,13,     ,          ,14.75,13.28,12.91,1.45
OR,    ,028505PT,#5 PATIO TREE,COT APICULATUS,Cranberry Cotoneaster                                       ,DCS,4,     ,38,     ,          ,62,55.8,54.25,4.36
OR,    ,28552,#2,COT APICULATUS TOM THUMB,Tom Thumb Cranberry Cotoneaster                             ,DCS,4,     ,9,     ,          ,14.75,13.28,12.91,1.45
OR,    ,028555PT,#5 PATIO TREE,COT APICULATUS TOM THUMB,Tom Thumb Cranberry Cotoneaster                             ,DCS,4,     ,37,     ,          ,62,55.8,54.25,4.36
OR,    ,29455,#5,COT HOR PERPUSILLUS,Prostrate Rock Cotoneaster                                  ,EVS,4,21,53,     ,          ,21.75,19.58,19.03,2.91
OR,    ,16615,#5,COTINUS C GOLDEN SPIRIT P13082,Golden Spirit Smoke Tree                                    ,DCS,4,21,21,     ,          ,32,28.8,28,2.91
OR,,97231,#1,DELOSPERMA FIRE WONDER PPAF,Wheels of Wonder®  Fire Wonder Ice Plant,PRN,4,5,115,     ,          ,5.75,5.18,5.03,0.58
OR,    ,59461,#1,DELOSPERMA MESA VERDE PP13876,Mesa Verde®  Ice Plant,PRN,4,     ,540,     ,          ,5.75,5.18,5.03,0.58
OR,    ,05946UT,LittleOne,DELOSPERMA MESA VERDE PP13876,Mesa Verde®  Ice Plant,PRN,4,     ,876,     ,          ,3.25,2.93,2.84,0.44
OR,    ,31331,#1,DIANTHUS FROSTY FIRE,Frosty Fire Cheddar Pink                                    ,PRN,2,     ,12,,,5.25,4.73,4.59,0.58
OR,    ,4721,#1,DIANTHUS GRAT FIREWITCH,Firewitch Cheddar Pink                                      ,PRN,3,     ,43,     ,          ,5.25,4.73,4.59,0.58
