Code,Item#,Item Description,Common,OR 2013,,,,,,
001415,141,ACTINIDIA CH VINCENT (FEMALE),Vincent Kiwi Vine,,,,,,,
001491,149,ACTINIDIA KOLOMIKTA,Ornamental Kiwi (Female),10.25 ,,,,,,
001495,149,ACTINIDIA KOLOMIKTA,Ornamental Kiwi (Female),27.00 ,,,,,,
056411,5641,ACTINIDIA TETRA VAR MALOIDES,Rosy Crabapple Kiwi,10.25 ,,,,,,
056415,5641,ACTINIDIA TETRA VAR MALOIDES,Rosy Crabapple Kiwi,27.00 ,,,,,,
01837UT,1837,AEGOPODIUM POD VARIEGATUM,Variegated Bishop's Weed,3.00 ,,,,,,
075041,7504,AEONIUM ARBORESCENS TIP TOP TM,Tip Top ™ Aeonium,,,,,,,
079092,7909,AEONIUM CANARIENSE,Giant Velvet Rose,15.50 ,,,,,,
06358UT,6358,AEONIUM KIWI,Kiwi Aeonium,,,,,,,
063581,6358,AEONIUM KIWI,Kiwi Aeonium,,,,,,,
074901,7490,AEONIUM MANRIQUEORUM ZWARTKOP,Purple Crest Aeonium,,,,,,,
068732,6873,AEONIUM SUNBURST,Sunburst Aeonium,,,,,,,
068742,6874,AEONIUM TABULIFORME,,,,,,,,
06352UT,6352,AEONIUM VOODOO,Voodoo Aeonium,,,,,,,
063521,6352,AEONIUM VOODOO,Voodoo Aeonium,,,,,,,
001565,156,AESCULUS PARVIFLORA,BOTTLEBRUSH BUCKEYE,29.50 ,,,,,,
001585,158,AESCULUS PAVIA,Red Buckeye,29.50 ,,,,,,
028895,2889,AESCULUS X ARN AUTUMN SPLENDOR,Autumn Splendor Horse Chestnut,29.50 ,,,,,,
000575,57,AESCULUS X CARNEA FORT MCNAIR,Fort McNair Horse Chestnut,29.50 ,,,,,,
035281,3528,AGAPANTHUS AFR SUN STRIPE R,Sun Stripe ® Agapanthus,,,,,,,
035282,3528,AGAPANTHUS AFR SUN STRIPE R,Sun Stripe ® Agapanthus,,,,,,,
001651,165,AGAPANTHUS AFRICANUS,Lily Of The Nile,,,,,,,
001655,165,AGAPANTHUS AFRICANUS,Lily Of The Nile,,,,,,,
001701,170,AGAPANTHUS ALBUS,White Lily Of The Nile,,,,,,,
001705,170,AGAPANTHUS ALBUS,White Lily Of The Nile,,,,,,,
09957UT,9957,AGAPANTHUS BABY PETE TMPP21705,Baby Pete ™ Lily Of The Nile,,,,,,,
099571,9957,AGAPANTHUS BABY PETE TMPP21705,Baby Pete ™ Lily Of The Nile,,,,,,,
050011,5001,AGAPANTHUS BLUE LEAP,Blue Leap Lily of the Nile,6.25 ,,,,,,
050012,5001,AGAPANTHUS BLUE LEAP,Blue Leap Lily of the Nile,13.50 ,,,,,,
001732,173,AGAPANTHUS BLUE STORM PP14332,Blue Storm ™ Lily Of The Nile,,,,,,,
001852,185,AGAPANTHUS GOLD STRIKE,,,,,,,,
050002,5000,AGAPANTHUS INAPTERUS GRASKOP,Graskop Lily of the Nile,14.50 ,,,,,,
070371,7037,AGAPANTHUS MOOD INDIGO,Mood Indigo Lily of the Nile,,,,,,,
070372,7037,AGAPANTHUS MOOD INDIGO,Mood Indigo Lily of the Nile,,,,,,,
070375,7037,AGAPANTHUS MOOD INDIGO,Mood Indigo Lily of the Nile,,,,,,,
001751,175,AGAPANTHUS PETER PAN,Dwarf Lily Of The Nile,,,,,,,
001752,175,AGAPANTHUS PETER PAN,Dwarf Lily Of The Nile,,,,,,,
036992,3699,AGAPANTHUS PETER PAN VARIEGATA,,,,,,,,
001801,180,AGAPANTHUS QUEEN ANNE-DIVISION,Queen Anne Lily Of The Nile,,,,,,,
001805,180,AGAPANTHUS QUEEN ANNE-DIVISION,Queen Anne Lily Of The Nile,,,,,,,
070381,7038,AGAPANTHUS RANCHO WHITE,,,,,,,,
038592,3859,AGAPANTHUS STORM CLOUD,Storm Cloud Lily Of The Nile,13.50 ,,,,,,
038595,3859,AGAPANTHUS STORM CLOUD,Storm Cloud Lily Of The Nile,,,,,,,
001862,186,AGAPANTHUS X ELSIE'S GOLD,Bell Agapanthus,,,,,,,
041082,4108,AGAPANTHUS X MID BLUE SELECTN,,,,,,,,
041085,4108,AGAPANTHUS X MID BLUE SELECTN,,,,,,,,
001881,188,AGAPANTHUS X MIDKNIGHT BLUE R,Midknight Blue ® Agapanthus,6.75 ,,,,,,
001882,188,AGAPANTHUS X MIDKNIGHT BLUE R,Midknight Blue ® Agapanthus,14.75 ,,,,,,
001885,188,AGAPANTHUS X MIDKNIGHT BLUE R,Midknight Blue ® Agapanthus,22.50 ,,,,,,
05847UT,5847,AGASTACHE AUR APRICOT SPRITE,Apricot Sprite Hyssop,,,,,,,
058471,5847,AGASTACHE AUR APRICOT SPRITE,Apricot Sprite Hyssop,,,,,,,
079311,7931,AGASTACHE CORONADO R RED,Coronado ® Red Hyssop,5.30 ,,,,,,
072691,7269,AGASTACHE FOEN GOLDEN JUBILEE,Golden Jubilee Anise Hyssop,,,,,,,
006251,625,AGASTACHE GRAPE NECTAR TM PPAF,,,,,,,,
059041,5904,AGASTACHE HEATWAVE PP19662,Heatwave Hyssop,5.30 ,,,,,,
059042,5904,AGASTACHE HEATWAVE PP19662,Heatwave Hyssop,13.00 ,,,,,,
006341,634,AGASTACHE ORANGE NECTAR TM PAF,,,,,,,,
058511,5851,AGASTACHE RUP APACHE SUNSET,Apache Sunset Hyssop,4.80 ,,,,,,
054381,5438,AGASTACHE SUMMER FIESTA PPAF,,5.30 ,,,,,,
080081,8008,AGASTACHE SUMMER LOVE PP20510,Summer Love Hyssop,5.30 ,,,,,,
021251,2125,AGASTACHE X BLUE FORTUNE,Blue Fortune Hyssop,5.30 ,,,,,,
021252,2125,AGASTACHE X BLUE FORTUNE,Blue Fortune Hyssop,13.00 ,,,,,,
084921,8492,AGASTACHE X BOLERO,Bolero Hyssop,5.30 ,,,,,,
