Loc,Order#,PO#,Request Date,Item,Size,Description,Common Name,New Plant,2014 Catalog Price ,Price Code,2014 Net Price,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,Date Ready,Condition,Current Specs,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
GA,1354973,                              ,06/15/14  ,013705,#5,BUXUS MIC FAULKNER,Faulkner Boxwood                                                                                    ,    ,22.25 ,,18.47 , 5 , 5 , 92.35 ,05/15/14    ,,,2.35 , 20.82 , 21.99 ,, 39.99 ,014949137062 
CA,1355316,                              ,06/15/14  ,077421S,SuperOne TM,BUXUS MIC WEDDING RING TM PPAF,Wedding Ring™  Boxwood                                                                              ,New ,9.50 ,,7.89 , 10 , 30 , 236.70 ,05/01/14    ,,,1.40 , 9.29 , 9.99 ,, 19.99 ,014949355800 
GA,1354973,                              ,06/15/14  ,013831,#1,BUXUS MIC WINTER GEM,Winter Gem Boxwood                                                                                  ,    ,5.75 ,,4.77 , 10 , 10 , 47.70 ,04/15/14    ,,,0.47 , 5.24 , 5.47 ,, 14.99 ,014949138311 
OR,1354950,                              ,06/13/14  ,013832,#2,BUXUS MIC WINTER GEM,Winter Gem Boxwood                                                                                  ,    ,14.00 ,,11.62 , 5 , 20 , 232.40 ,Now         ,-,"12""H - 12""S",2.01 , 13.63 , 14.64 ,, 24.99 ,014949138328 
GA,1354973,                              ,04/15/14  ,013835,#5,BUXUS MIC WINTER GEM,Winter Gem Boxwood                                                                                  ,    ,21.00 ,,17.43 , 5 , 5 , 87.15 ,Now         ,WINTER LOOK,"14""H X 15""S",2.35 , 19.78 , 20.95 ,, 39.99 ,014949138359 
OR,1354950,                              ,06/13/14  ,013835CN,#5 PYRAMID,BUXUS MIC WINTER GEM,Winter Gem Boxwood                                                                                  ,    ,38.50 ,,31.96 ,     , 5 , 159.80 ,05/01/14    ,-,,4.03 , 35.99 , 38.00 ,, 79.99 ,014949043516 
OR,1354950,                              ,06/13/14  ,013902,#2,BUXUS S GREEN TOWER R PP15243,Green Tower®  Boxwood                                                                               ,    ,15.50 ,,12.87 , 5 , 10 , 128.70 ,Now         ,-,15''H - 8''S,2.01 , 14.88 , 15.89 ,, 24.99 ,014949197868 
OR,1354950,                              ,06/13/14  ,013905,#5,BUXUS S GREEN TOWER R PP15243,Green Tower®  Boxwood                                                                               ,    ,22.25 ,,18.47 , 5 , 40 , 738.80 ,Now         ,-,"28""H - 10""S",4.03 , 22.50 , 24.51 ,, 49.99 ,014949139059 
OR,1354950,                              ,06/13/14  ,013982,#2,BUXUS SEMP SUFFRUTICOSA,Dwarf English Boxwood                                                                               ,    ,15.50 ,,12.87 , 5 , 30 , 386.10 ,Now         ,-,10''H - 9''S,2.01 , 14.88 , 15.89 ,, 29.99 ,014949027103 
OR,1354950,                              ,06/13/14  ,013881,#1,BUXUS SEMP VARIEGATA,Variegated English Boxwood                                                                          ,    ,7.00 ,,5.81 , 10 , 50 , 290.50 ,Now         ,-,8''H - 6''S,0.81 , 6.62 , 7.02 ,, 16.99 ,014949139219 
OR,1354950,                              ,06/13/14  ,013882,#2,BUXUS SEMP VARIEGATA,Variegated English Boxwood                                                                          ,    ,15.50 ,,12.87 , 5 , 10 , 128.70 ,Now         ,-,"12""H - 10""S",2.01 , 14.88 , 15.89 ,, 24.99 ,014949139226 
OR,1354950,                              ,06/13/14  ,035971,#1,BUXUS WEE WILLIE R PP17007,Wee Willie®  Boxwood                                                                                ,2010,8.00 ,,6.64 , 10 , 30 , 199.20 ,Now         ,-,"6""H - 6""S",0.81 , 7.45 , 7.85 ,, 16.99 ,014949208717 
OR,1354950,                              ,06/13/14  ,077561,#1,CALAMINTHA NEP MONTROSE WHITE,Montrose White Dwarf Calamint                                                                       ,2012,4.75 ,PRNADV,3.71 , 10 , 10 , 37.10 ,Now         ,CUT BACK,.,0.81 , 4.52 , 4.92 ,, 12.99 ,014949356166 
GA,1354973,                              ,06/15/14  ,02235UT,LittleOne,CAMPANULA CAR DEEP BLUE CLIPS,Deep Blue Clips Bellflower                                                                          ,    ,2.95 ,,2.45 , 16 , 16 , 39.20 ,04/01/14    ,,,0.35 , 2.80 , 2.98 ,, 5.99 ,014949010495 
OR,1354950,                              ,06/13/14  ,022361,#1,CAMPANULA PORTENSCHLAGIANA,Dalmatian Bellflower                                                                                ,    ,4.75 ,PRNADV,3.71 , 10 , 10 , 37.10 ,Now         ,-,CAN FULL,0.81 , 4.52 , 4.92 ,, 12.99 ,014949223611 
CA,1355316,                              ,06/15/14  ,022551,#1 STAKED,CAMPSIS MADAME GALEN,Trumpet Creeper                                                                                     ,    ,7.50 ,,6.23 , 10 , 10 , 62.30 ,Now         ,DORMANT,24''H,0.84 , 7.07 , 7.49 ,, 16.99 ,014949225516 
CA,1355316,                              ,06/15/14  ,017411,#1,CANNA TROPICANNA GLD TM P13809,Tropicanna®  Gold Canna                                                                             ,    ,9.00 ,,7.47 , 10 , 10 , 74.70 ,04/01/14    ,-,,0.84 , 8.31 , 8.73 ,, 19.99 ,014949005132 
CA,1355316,                              ,06/15/14  ,022401,#1,CARY X BLUE MIST,Blue Mist Bluebeard                                                                                 ,    ,5.75 ,,4.77 , 10 , 10 , 47.70 ,04/01/14    ,-,,0.84 , 5.61 , 6.03 ,, 14.99 ,014949224014 
CA,1355316,                              ,06/15/14  ,023577,#7,CERCIS CAN OKLAHOMA,Oklahoma Redbud                                                                                     ,    ,65.00 ,,53.95 , 2 , 3 , 161.85 ,Now         ,DORMANT,"64""H",10.49 , 64.44 , 69.69 ,, 129.99 ,014949235775 
