Loc,Item,Plant Name,CAT,,,,,,,,,UPC#
170000,52755,JUN SC MOONGLOW,CON,,,,,,,,,14949527559
170000,54001,JUN SC SKYROCKET,CON,,,,,,,,,14949540015
170000,053107PT,JUN SC TOLL BLU WEEPING,CON,,,,,,,,,14949531075
170000,53302,JUN SC WICHITA BLUE,CON,,,,,,,,,14949533024
170000,03684M,JUN V TAYLOR,CON,,,,,,,,,
160000,43121,KNIPHOFIA HIR FIRE DANCE,PRN,,,,,,,,,14949338421
160000,24901,LAMIUM M PURPLE DRAGON P15890,PRN,,,,,,,,,14949049822
160000,9081,LAMIUM ORCHID FROST PP11122,PRN,,,,,,,,,
160000,57265,LARIX DECIDUA,CON,,,,,,,,,14949572658
160000,57275,LARIX DECIDUA PENDULA,CON,,,,,,,,,14949572757
160000,57881,LIATRIS SPI KOBOLD,PRN,,,,,,,,,14949578810
160000,32182,LIGULARIA BR M CRAWFORD P16123,PRN,,,,,,,,,14949070697
160000,58451,LIGUSTRUM VULGARE LODENSE,DCS,,,,,,,,,14949584514
160000,9841,LOBELIA COMPLIMENT RED,PRN,,,,,,,,,14949053577
160000,72511,LOBELIA X SPE RUSSIAN PRINCESS,PRN,,,,,,,,,14949330678
170000,59051,LONICERA JAP HALLIANA,VIN,,,,,,,,,14949590515
160000,84395,LONICERA PCHES & CREAM PP21839,VIN,,,,,,,,,14949370117
170000,59201,LONICERA SEMP MAGNIFICA,VIN,,,,,,,,,14949592014
160000,67835,LONICERA SEMP MAJOR WHEELER,VIN,,,,,,,,,14949323335
170000,59271,LONICERA X BRO DROPMORE SCARLT,VIN,,,,,,,,,
160000,58995,LONICERA X GOLDFLAME,VIN,,,,,,,,,14949589953
170000,59111,LONICERA X MANDARIN PP11083,VIN,,,,,,,,,14949591215
160000,29611,LUPINUS POL MINARETTE,PRN,,,,,,,,,14949332849
160000,60401,MAG STELLATA ROYAL STAR,DCS,,,,,,,,,14949604014
160000,059427TR,MAG X ELIZABETH,TRE,,,,,,,,,
160000,30575,MALUS CENTURION R,TRE,,,,,,,,,14949069462
160000,18325,MALUS SARGENTII TINA,TRE,,,,,,,,,14949007808
170000,05895MT,MALUS X FUJI APPLE,TRE,,,,,,,,,14949312957
170000,06104MT,MALUS X GOLDEN DELICIOUS APPLE,TRE,,,,,,,,,14949314203
170000,05898MT,MALUS X HONEYCRISP TM APPLE,TRE,,,,,,,,,
160000,61145,MALUS X PRAIRIFIRE,TRE,,,,,,,,,14949611456
170000,05896MT,MALUS X RED DELICIOUS APPLE,TRE,,,,,,,,,14949312971
160000,36165,METASEQUOIA G OGON GOLD RUSH,CON,,,,,,,,,14949274668
160000,38502,MICROBIOTA FUZZBALL TM P20012,CON,,,,,,,,,14949222331
160000,46701,MONARDA D FIREBALL P14235,PRN,,,,,,,,,
160000,25861,MONARDA RASPBERRY WINE,PRN,,,,,,,,,
160000,47251,MUKDENIA ROS CRIMSON FANS,PRN,,,,,,,,,
160000,62185,MYRICA PENSYLVANICA,EVS,,,,,,,,,
160000,82581,NEPETA LITTLE TRUDY R PP18904,PRN,,,,,,,,,14949368312
160000,81741,NEPETA NERVOSA PINK CAT,PRN,,,,,,,,,14949371947
160000,62281,NEPETA X FAASS WALKER'S LOW,PRN,,,,,,,,,
160000,68481,OENOTHERA FREM SHIMMER PP19663,PRN,,,,,,,,,
160000,67771,ORIGANUM LIBANOTICUM,PRN,,,,,,,,,14949328965
160000,77131,OSTEO AVALANCHE PP22705,PRN,,,,,,,,,14949368138
170000,63351,PACHYSANDRA TERM GREEN SHEEN,PRN,,,,,,,,,
