,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rep Allocation,,,,,,,,,,,,,,,,,
Branch,Item,Description,Category,"Click to
Edit","Ending
06/30/2014",Orders,Shipped,Remaining,"Allocation Avail
For Now Order","Open Avail
Now",Next Ready,"Open Avail
Season","Price
2014",History,Forecast,,
170000,013795,BUDDLEJA DAV PINK DELIGHT,DCS,+,20,-,-,20,20,701,3/15/2014,701,$19.25 ,5,-,,
170000,034681S,BUDDLEJA DAV PURPLE EMPEROR TM,DCS,+,40,-,-,40,40,101,4/1/2014,101,$9.00 ,10,-,,
170000,034685,BUDDLEJA DAV PURPLE EMPEROR TM,DCS,+,26,-,-,26,-,-,3/15/2014,-,$19.75 ,-,-,,
170000,013562,BUDDLEJA DAV ROYAL RED,DCS,+,30,-,-,30,30,489,4/1/2014,489,$13.75 ,-,-,,
170000,013565,BUDDLEJA DAV ROYAL RED,DCS,+,15,-,-,15,15,-,3/15/2014,-,$19.25 ,-,-,,
170000,013825,BUXUS GREEN MOUNTAIN,EVS,+,17,17,-,-,-,-,4/1/2014,-,$23.75 ,54,-,,
170000,013952,BUXUS J GREEN BEAUTY,EVS,+,74,74,-,-,-,-,,-,$14.00 ,-,-,,
170000,013702,BUXUS MIC FAULKNER,EVS,+,71,30,-,41,41,-,,-,$14.00 ,20,-,,
170000,013705,BUXUS MIC FAULKNER,EVS,+,40,40,-,-,-,-,4/1/2014,-,$22.25 ,20,-,,
170000,013831,BUXUS MIC WINTER GEM,EVS,+,14,14,-,-,-,-,,-,$5.75 ,-,-,,
170000,013837PY,BUXUS MIC WINTER GEM,EVS,+,12,-,-,12,-,-,4/1/2014,-,$75.00 ,8,-,,
170000,01383MGL,BUXUS MIC WINTER GEM,EVS,+,12,12,-,-,-,-,4/1/2014,-,$74.00 ,1,-,,
170000,022711,CAMPSIS BALBOA SUNSET R,VIN,+,10,-,-,10,10,"13,910",,"13,910",$7.50 ,30,-,,
170000,022715,CAMPSIS BALBOA SUNSET R,VIN,+,15,-,-,15,15,865,,865,$24.75 ,6,-,,
170000,022385,CAMPSIS FLAVA,VIN,+,10,-,-,10,10,641,,641,$22.00 ,-,-,,
170000,022551,CAMPSIS MADAME GALEN,VIN,+,14,14,-,-,-,"5,031",,"5,031",$7.50 ,20,-,,
170000,022555,CAMPSIS MADAME GALEN,VIN,+,15,10,-,5,5,87,,87,$24.75 ,11,-,,
