Loc,Item,Plant Name,Botanical Name,Common Name,Chosen Items,Royalty Code,UPC#,
OR,007075,AZALEA EX CANNON'S DOUBLE,Azalea x 'Cannon's Double' (Exbury hybrid)                  ,Cannon's Double Azalea                                      ,,,014949070758,
OR,007242,AZALEA EX DAWN'S CHORUS,Azalea x 'Dawn's Chorus' (Exbury hybrid)                    ,Dawn's Chorus Azalea                                        ,,,014949072424,
OR,008305,AZALEA EX KLONDYKE,Azalea x 'Klondyke' (Exbury hybrid)                         ,Klondyke Azalea                                             ,,,014949083055,
OR,008451,AZALEA GA ROSEBUD,Azalea x 'Rosebud' (Gable Hybrid)                           ,Rosebud Azalea                                              ,,,014949084519,
OR,008452,AZALEA GA ROSEBUD,Azalea x 'Rosebud' (Gable Hybrid)                           ,Rosebud Azalea                                              ,,,014949084526,
OR,007401,AZALEA GR FUCHSIA,Azalea x 'Girard's Fuchsia' (Girard hybrid)                 ,Girard's Fuchsia Azalea                                     ,,,014949074015,
CA,007452,AZALEA GR GIRARD HOT SHOT,Azalea x 'Girard's Hot Shot' (Girard hybrid)                ,Girard's Hot Shot Azalea                                    ,,,014949074527,
CA,007601,AZALEA GR ROSE,Azalea x 'Girard's Rose' (Girard hybrid)                    ,Girard's Rose Azalea                                        ,,,014949076019,
OR,007602,AZALEA GR ROSE,Azalea x 'Girard's Rose' (Girard hybrid)                    ,Girard's Rose Azalea                                        ,,,014949076026,
CA,007602,AZALEA GR ROSE,Azalea x 'Girard's Rose' (Girard hybrid)                    ,Girard's Rose Azalea                                        ,,,014949076026,
CT,401033,AZALEA KIMBERLYS DBL PINK,                                                            ,                                                            ,,,014949388693,
CT,401003,AZALEA POUKHANENSE COMP,                                                            ,                                                            ,,,014949388778,
CA,005601,AZALEA S BRILLIANT,Azalea 'Brilliant' (Southern Indica)                        ,Brilliant Azalea                                            ,,,014949056011,
CA,005605,AZALEA S BRILLIANT,Azalea 'Brilliant' (Southern Indica)                        ,Brilliant Azalea                                            ,,,014949056059,
CA,005605PT,AZALEA S BRILLIANT,Azalea 'Brilliant' (Southern Indica)                        ,Brilliant Azalea                                            ,,,014949056158,
CA,005751,AZALEA S GEORGE L TABER,Azalea 'George L. Taber' (Southern Indica)                  ,George L. Taber Azalea                                      ,,,014949057513,
CA,005755PT,AZALEA S GEORGE L TABER,Azalea 'George L. Taber' (Southern Indica)                  ,George L. Taber Azalea                                      ,,,014949057759,
CA,005955,AZALEA S IMP PRINCESS TM,Azalea 'Moness' (Southern Indica)                           ,Imperial Princess™  Azalea,,,014949059555,
CA,006101,AZALEA S L J BOBBINK,Azalea 'L. J. Bobbink' (Rutherfordiana hybrid)              ,L. J. Bobbink Azalea                                        ,,,014949061015,
CA,006051,AZALEA S LITTLE JOHN,Azalea 'Little John' (Southern Indica)                      ,Little John Azalea                                          ,,,014949060513,
CA,006055,AZALEA S LITTLE JOHN,Azalea 'Little John' (Southern Indica)                      ,Little John Azalea                                          ,,,014949060551,
CA,004831,AZALEA S MISTRAL,Azalea 'Mistral' (Southern Indica)                          ,Mistral Azalea                                              ,,,014949048313,
