013705,,,,5,CA,5,Buxus microphylla 'Faulkner'                                ,Faulkner Boxwood                                            ,EVS,E Shrub,05,    ,, $28.46 , $26.32 ,,014949137062,29,58,58,0,0,0,0,0,, $23.00 , $5.46 
090781,,,,1,OR,10,Buxus microphylla 'Golden Triumph'                          ,Golden Triumph Boxwood                                      ,EVS,E Shrub,05,2011, $9.55 ,,,,014949275849,0,59,59,04/15/15  ,0,          ,0,          ,, $8.50 , $1.05 
090782,,,,2,OR,5,Buxus microphylla 'Golden Triumph'                          ,Golden Triumph Boxwood                                      ,EVS,E Shrub,05,2011, $19.62 ,, $18.66 ,,014949251867,159,268,268,0,0,0,0,0,, $17.00 , $2.62 
013831,,,,1,CA,10,Buxus microphylla japonica 'Winter Gem'                     ,Winter Gem Boxwood                                          ,EVS,E Shrub,05,    , $7.55 , $7.59 , $7.16 ,,014949138311,116,131,131,0,0,0,0,0,, $6.50 , $1.09 
013839,,,,15,GA,1,Buxus microphylla japonica 'Winter Gem'                     ,Winter Gem Boxwood                                          ,EVS,E Shrub,05,    ,,, $100.26 ,,014949279434,98,98,98,01/01/15  ,0,          ,0,          ,, $81.00 , $19.26 
013835,,,,5,CA,5,Buxus microphylla japonica 'Winter Gem'                     ,Winter Gem Boxwood                                          ,EVS,E Shrub,05,    , $28.23 , $28.46 , $26.32 , $26.05 ,014949138359,1111,918,918,0,0,0,0,0,, $23.00 , $5.46 
013837,,,,7,GA,2,Buxus microphylla japonica 'Winter Gem'                     ,Winter Gem Boxwood                                          ,EVS,E Shrub,05,    ,,, $51.91 ,,014949009796,691,14175,3309,09/01/14  ,4914,01/01/15  ,5952,05/15/15  ,, $42.50 , $9.41 
013909,,,,15,OR,1,Buxus sempervirens Green Tower®,Green Tower®  Boxwood,EVS,E Shrub,05,    , $117.16 ,,,,014949096611,0,9,9,09/15/14  ,0,          ,0,          ,, $91.00 , $26.16 
013902,,,,2,OR,5,Buxus sempervirens Green Tower®,Green Tower®  Boxwood,EVS,E Shrub,05,    , $19.62 ,,,,014949197868,0,61,61,10/01/14  ,0,          ,0,          ,, $17.00 , $2.62 
013905,,,,5,OR,5,Buxus sempervirens Green Tower®,Green Tower®  Boxwood,EVS,E Shrub,05,    , $29.73 ,,,,014949139059,73,0,0,          ,0,          ,0,          ,, $24.50 , $5.23 
