Loc,Order#,PO#,Request Date,Item,Size,Description,Product,Zone,Common Name,New Plant,Catalog Price      ,Price Code,Net Price     ,Minimum Ord Qty,Confirmed Qty Remaining,Confirmed Amount Remaining,2012 Qty Shipped  ,2013 Qty Shipped  ,2014 Qty Shipped  ,Date Ready,Condition,Current Specs,Plant Status,Unit Freight,Landed Price,Landed Price Palletized,SKU,Retail Price,UPC
GA,1494978,SPRING 2015 GA                ,06/01/15  ,005041,#1,FERN-DRYOPTERIS CELSA,FRN,05,Log Fern                                                                                            ,    ,5.75,,5.06, 10 , 12 , 60.72 ,     ,     ,     ,04/01/15    ,,,,0.58, 5.64 ,     ,, 12.99 ,014949014783 
CT,1494979,SPRING 2015 CT                ,06/01/15  ,021221,#1,FERN-DRYOPTERIS ERY BRILLIANCE,FRN,05,Brilliance Autumn Fern                                                                              ,    ,6.75,,5.94, 10 , 18 , 106.92 ,     ,     ,     ,05/15/15    ,-,,,0.55, 6.49 ,     ,, 12.99 ,014949023648 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,036451,#1,FERN-MATTEUCCIA STRUTHIOPTERIS,FRN,03,European Ostrich Fern                                                                               ,    ,5.75,,5.06, 10 , 15 , 75.90 ,     ,     ,     ,04/15/15    ,,,,0.58, 5.64 ,     ,, 12.99 ,014949364512 
CT,1494979,SPRING 2015 CT                ,06/01/15  ,036411,#1,FERN-OSMUNDA CINNAMOMEA,FRN,04,Cinnamon Fern                                                                                       ,    ,5.75,,5.06, 10 , 12 , 60.72 ,     ,     ,     ,05/15/15    ,,,,0.19, 5.25 ,     ,, 12.99 ,014949364116 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,036411,#1,FERN-OSMUNDA CINNAMOMEA,FRN,04,Cinnamon Fern                                                                                       ,    ,5.75,,5.06, 10 , 12 , 60.72 ,     ,     ,     ,06/01/15    ,,,,0.58, 5.64 ,     ,, 12.99 ,014949364116 
OR,1494529,SP 2015 OR                    ,06/15/15  ,083721,#1,FERN-POLYSTICHUM POLYBLEPHARUM,FRN,06,Tassel Fern                                                                                         ,    ,6.75,,5.94, 10 , 12 , 71.28 ,     ,     ,     ,Now         ,-,8''H - 8''S,,0.98, 6.92 ,     ,, 12.99 ,014949837214 
OR,1494529,SP 2015 OR                    ,06/15/15  ,083722,#2,FERN-POLYSTICHUM POLYBLEPHARUM,FRN,06,Tassel Fern                                                                                         ,    ,15.5,,13.64, 5 , 10 , 136.40 ,     ,     ,     ,Now         ,-,14''H - 14''S,,2.44, 16.08 ,     ,, 29.99 ,014949002735 
OR,1494529,SP 2015 OR                    ,06/15/15  ,036491,#1,FERN-POLYSTICHUM SET(ANGULARE),FRN,05,Soft Shield Fern                                                                                    ,    ,6.75,,5.94, 10 , 12 , 71.28 ,     ,     ,     ,06/01/15    ,,,,0.98, 6.92 ,     ,, 12.99 ,014949364918 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,005091,#1,FERN-THELYPTERIS DECUR-PINNATA,FRN,04,Japanese Beech Fern                                                                                 ,    ,6.25,,5.5, 10 , 12 , 66.00 ,     ,     ,     ,04/01/15    ,,,,0.58, 6.08 ,     ,, 12.99 ,014949014899 
CT,1494979,SPRING 2015 CT                ,06/01/15  ,40263FLT,18 Count FLAT,FRAGARIA X ANA ALLSTAR,PRN,04,Allstar Strawberry                                                                                  ,    ,22,,19.36, 1 , 5 , 96.80 ,     ,     ,     ,04/15/15    ,-,,PS1,1.05, 20.41 ,     ,, 39.99 ,014949390948 
CT,1494979,SPRING 2015 CT                ,06/01/15  ,40264FLT,18 Count FLAT,FRAGARIA X ANA CABOT,PRN,04,Cabot Strawberry                                                                                    ,    ,22,,19.36, 1 , 5 , 96.80 ,     ,     ,     ,04/15/15    ,-,,PS0,1.05, 20.41 ,     ,, 39.99 ,014949390962 
CT,1494979,SPRING 2015 CT                ,06/01/15  ,40265FLT,18 Count FLAT,FRAGARIA X ANA EARLIGLOW,PRN,04,Earliglow Strawberry                                                                                ,    ,22,,19.36, 1 , 5 , 96.80 ,     ,     ,     ,04/15/15    ,-,,PS0,1.05, 20.41 ,     ,, 39.99 ,014949390979 
OR,1494529,SP 2015 OR                    ,06/15/15  ,086091,#1,FRAGARIA X ANANASSA TOSCANA,PRN,04,Toscana Strawberry                                                                                  ,2014,4.9,,4.31, 10 , 12 , 51.72 ,     ,     ,     ,05/01/15    ,,,PS0,0.98, 5.29 ,     ,, 10.99 ,014949371992 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,089221,#1,GAILLARDIA FANFARE BLZE P23494,PRN,03,Fanfare Blaze Blanket Flower                                                                        ,2013,5.75,,5.06, 10 , 12 , 60.72 ,     ,     ,     ,04/15/15    ,,,PS0,0.58, 5.64 ,     ,, 11.99 ,014949372074 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,412651,#1,GAILLARDIA SUNSET CANDY PPAF,PRN,05,Sunset Candy Blanket Flower                                                                         ,New ,5.75,,5.06, 10 , 18 , 91.08 ,     ,     ,     ,04/01/15    ,,,PS0,0.58, 5.64 ,     ,, 11.99 ,014949423578 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,408751,#1,GAILLARDIA SUNSET FLASH PPAF,PRN,05,Sunset Flash Blanket Flower                                                                         ,New ,5.75,,5.06, 10 , 12 , 60.72 ,     ,     ,     ,05/01/15    ,,,PS0,0.58, 5.64 ,     ,, 11.99 ,014949413883 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,02383UT,LittleOne,GALIUM ODORATUM,PRN,05,Sweet Woodruff                                                                                      ,    ,3.1,,2.73, 16 , 16 , 43.68 ,     ,     ,     ,04/01/15    ,-,,PS1,0.44, 3.17 ,     ,, 6.99 ,014949067352 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,028091,#1,GAURA L PINK CLOUD,PRN,06,Pink Cloud Gaura                                                                                    ,    ,4.9,,4.31, 10 , 12 , 51.72 ,     ,     ,     ,04/15/15    ,,,PS0,0.58, 4.89 ,     ,, 10.99 ,014949062302 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,036481,#1,GAURA PASSIONATE RAINBW P17002,PRN,06,Passionate Rainbow Gaura                                                                            ,    ,4.9,,4.31, 10 , 12 , 51.72 ,     ,     ,     ,04/01/15    ,,,PS0,0.58, 4.89 ,     ,, 10.99 ,014949219676 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,023081,#1,GERANIUM ROZANNE PP12175,PRN,04,Rozanne Cranesbill                                                                                  ,    ,6.95,,6.12, 10 , 4 , 24.48 ,     ,     ,     ,04/15/15    ,,,PS0,0.58, 6.70 ,     ,, 13.99 ,014949043004 
CT,1494979,SPRING 2015 CT                ,06/01/15  ,005231,#1,GERANIUM SANGUINEUM MAX FREI,PRN,04,Max Frei Bloody Cranesbill                                                                          ,    ,4.9,,4.31, 10 , 30 , 129.30 ,     ,     ,     ,04/01/15    ,,,PS0,0.19, 4.50 ,     ,, 9.99 ,014949052310 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,067792,#2,GR-BOUT BLOND AMBITION PP22048,GRS,04,Blonde Ambition Blue Grama Grass                                                                    ,2012,15,,13.2, 5 , 10 , 132.00 ,     ,     ,     ,04/01/15    ,,,,1.46, 14.66 ,     ,, 29.99 ,014949358078 
CA,1494511,SPRING 2015 CA                ,06/15/15  ,022581,#1,GR-CAREX BUCHANANII,GRS,05,Fox Red Curly Sedge                                                                                 ,    ,6.5,,5.72, 10 , 10 , 57.20 ,     ,     ,     ,Now         ,WINTER COLOR,"9""H",,1.02, 6.74 ,     ,, 13.99 ,014949225813 
OR,1494529,SP 2015 OR                    ,06/15/15  ,022591,#1,GR-CAREX ELATA BOWLES GOLDEN,GRS,05,Bowles Golden Sedge                                                                                 ,    ,6.5,,5.72, 10 , 18 , 102.96 ,     ,     ,     ,Now         ,CUT BACK,.,,0.98, 6.70 ,     ,, 13.99 ,014949225912 
OR,1494529,SP 2015 OR                    ,06/15/15  ,022601,#1,GR-CAREX MORROWII AUREA VAR,GRS,05,Variegated Japanese Sedge                                                                           ,    ,6.5,,5.72, 10 , 18 , 102.96 ,     ,     ,     ,Now         ,-,.,,0.98, 6.70 ,     ,, 13.99 ,014949226018 
CA,1494511,SPRING 2015 CA                ,06/15/15  ,036671,#1,GR-FESTUCA GLAUCA ELIJAH BLUE,GRS,04,Elijah Blue Fescue                                                                                  ,    ,6,,5.28, 10 , 30 , 158.40 ,     ,     ,     ,03/01/15    ,-,,,1.02, 6.30 ,     ,, 12.99 ,014949366714 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,064271,#1,GR-PENN SET RUBRUM,GRS,08,Purple Fountain Grass                                                                               ,    ,6.25,,5.5, 10 , 48 , 264.00 ,     ,     ,     ,04/01/15    ,,,,0.58, 6.08 ,     ,, 12.99 ,014949642719 
CA,1494511,SPRING 2015 CA                ,06/15/15  ,064275,#5,GR-PENN SET RUBRUM,GRS,08,Purple Fountain Grass                                                                               ,    ,18.25,,16.06, 5 , 18 , 289.08 ,     ,     ,     ,Now         ,PLUMES,"24""H",,5.12, 21.18 ,     ,, 39.99 ,014949642757 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,064275,#5,GR-PENN SET RUBRUM,GRS,08,Purple Fountain Grass                                                                               ,    ,18.25,,16.06, 5 , 18 , 289.08 ,     ,     ,     ,03/01/15    ,,,,2.92, 18.98 ,     ,, 39.99 ,014949642757 
CT,1494979,SPRING 2015 CT                ,06/01/15  ,083842,#2,HELLE NIGER HGC JACOB PP17799,PRN,04,Jacob Lenten Rose                                                                                   ,2014,10.5,,9.24, 5 , 10 , 92.40 ,     ,     ,     ,03/15/15    ,-,,PS1*,1.05, 10.29 ,     ,, 19.99 ,014949403587 
CT,1494979,SPRING 2015 CT                ,06/01/15  ,068061S,SuperOne TM,HELLE WJEWELS R PAINTED DBLS,PRN,04,Winter Jewels®  Painted Doubles Lenten Rose                                                         ,2012,8.5,,7.48, 10 , 10 , 74.80 ,     ,     ,     ,03/15/15    ,,,PS0,0.79, 8.27 ,     ,, 16.99 ,014949403648 
CT,1494979,SPRING 2015 CT                ,06/01/15  ,039991S,SuperOne TM,HELLE X IVORY PRINCE PP16199,PRN,04,Ivory Prince Lenten Rose                                                                            ,    ,8.5,,7.48, 10 , 15 , 112.20 ,     ,     ,     ,03/15/15    ,,,PS0,0.79, 8.27 ,     ,, 16.99 ,014949229095 
CT,1494979,SPRING 2015 CT                ,06/01/15  ,040111,#1,HEM STELLA DE ORO,PRN,04,Stella De Oro Dwarf Daylily                                                                         ,    ,4.9,,4.31, 10 , 30 , 129.30 ,     ,     ,     ,04/15/15    ,-,,PS0,0.55, 4.86 ,     ,, 9.99 ,014949401118 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,023101,#1,HEUCHERA FROSTED VIOLET P15085,PRN,04,Frosted Violet Coral Bells                                                                          ,    ,4.9,,4.31, 10 , 18 , 77.58 ,     ,     ,     ,04/01/15    ,,,PS0,0.58, 4.89 ,     ,, 9.99 ,014949043059 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,018661,#1,HEUCHERA GREEN SPICE,PRN,04,Green Spice Coral Bells                                                                             ,    ,6.95,,6.12, 10 , 12 , 73.44 ,     ,     ,     ,04/01/15    ,,,PS0,0.58, 6.70 ,     ,, 13.99 ,014949008805 
GA,1494978,SPRING 2015 GA                ,06/01/15  ,046641,#1,HEUCHERA VIL CARAMEL PP16560,PRN,04,Caramel Coral Bells                                                                                 ,    ,7.85,,6.91, 10 , 18 , 124.38 ,     ,     ,     ,04/01/15    ,,,PS0,0.58, 7.49 ,     ,, 14.99 ,014949273562 
CA,1494511,SPRING 2015 CA                ,06/15/15  ,056931,#1,HIB R BLUE VIOLET,EVS,10,Blue Violet Chinese Hibiscus                                                                        ,New ,7.25,,6.38, 10 , 10 , 63.80 ,     ,     ,     ,04/01/15    ,,,,1.02, 7.40 ,     ,, 14.99 ,014949385449 
