Item,,Mid-Ship,Late Ship,Size,Loc,Minimum Quantity,Botanical Name,Common Name,Category,,Zone,Introduced, Oregon   , California  , Georgia   , Connecticut  ,UPC#,Available         ,Available Later,,On,Available Later,On,Available Later,On,, 2015 Price , Freight 
05419,1,,,1,OR,10,Kerria japonica 'Pleniflora'                                ,Double Flowered Japanese Rose                               ,DCS,D Shrubs,05,    , $8.05 ,,,,014949541913,68,68,68,09/15/14  ,0,          ,0,          ,, $17.00 , $3.64 
07466,1S,,,SuperOne TM,OR,10,Kolkwitzia amabilis Dream Catcher™,Dream Catcher™  Beauty Bush,DCS,D Shrubs,04,2011, $12.24 ,,,,014949336397,23,0,0,          ,0,          ,0,          ,, $6.25 , $1.09 
02843,5,,,5,CA,5,Lagerstroemia indica x faueri 'Arapaho'                     ,Arapaho Crape Myrtle                                        ,DCS,D Shrubs,06,    ,, $25.96 , $23.82 ,,014949063408,0,28,14,04/01/15  ,14,05/01/15  ,0,          ,, $17.75 , $1.54 
02981,9BH,,, 15 BUSH,GA,0,Lagerstroemia indica Burgundy Cotton®,Burgundy Cotton®  Crape Myrtle,DCS,D Shrubs,07,    ,,, $90.26 ,,014949370186,133,0,0,          ,0,          ,0,          ,, $54.00 , $6.06 
05470,9BH,,, 15 BUSH,GA,0,Lagerstroemia indica 'Catawba'                              ,Catawba Crape Myrtle                                        ,DCS,D Shrubs,07,    ,,, $90.26 ,,014949268124,441,1412,706,09/01/14  ,706,05/15/15  ,0,          ,, $17.75 , $1.54 
05476,9,,,15,CA,1,Lagerstroemia indica 'Centennial Spirit'                    ,Centennial Spirit Crape Myrtle                              ,DCS,D Shrubs,07,    ,, $100.31 ,,,014949375587,0,4,4,05/01/15  ,0,          ,0,          ,, $17.00 , $3.64 
00886,9BH,,, 15 BUSH,GA,0,Lagerstroemia indica Dynamite®,Dynamite®  Crape Myrtle,DCS,D Shrubs,06,    ,,, $90.26 ,,014949368886,560,1294,1294,05/15/15  ,0,          ,0,          ,, $17.75 , $1.54 
40435,2,,,2,CT,5,Lagerstroemia indica Moonlight Magic®,Moonlight Magic Crape Myrtle,DCS,D Shrubs,06,    ,,,, * ,014949394090,0,80,80,09/01/14  ,0,          ,0,          ,, $17.00 , $3.64 
00889,9,,, 15 CLUMP,GA,1,Lagerstroemia indica x fauriei 'Muskogee'                   ,Muskogee Crape Myrtle                                       ,DCS,D Shrubs,06,    ,,, $90.26 ,,014949020302,52,52,52,01/01/15  ,0,          ,0,          ,, $54.00 , $6.06 
00899,9,,, 15 CLUMP,GA,1,Lagerstroemia indica x fauriei 'Natchez'                    ,Natchez Crape Myrtle                                        ,DCS,D Shrubs,06,    ,,, $90.26 ,,014949020418,1451,1451,1451,01/01/15  ,0,          ,0,          ,, $17.75 , $1.54 
05455,5,,,5,CA,5,Lagerstroemia indica x fauriei 'Pecos'                      ,Pecos Crape Myrtle                                          ,DCS,D Shrubs,06,    ,, $25.96 ,,,014949545553,0,26,26,05/01/15  ,0,          ,0,          ,, * , $6.06 
05450,5,,,5,CA,5,Lagerstroemia indica 'Peppermint Lace'                      ,Peppermint Lace Crape Myrtle                                ,DCS,D Shrubs,07,    ,, $25.96 ,,,014949545058,0,5,5,04/01/15  ,0,          ,0,          ,, $16.50 , $2.73 
05540,1,,,1,CA,10,Lagerstroemia indica Petite Embers™,Petite Embers™  Crape Myrtle,DCS,D Shrubs,07,    ,, $8.34 ,,,014949554012,0,51,51,04/01/15  ,0,          ,0,          ,, $25.50 , $5.23 
05550,5,,,5,CA,5,Lagerstroemia indica Petite Orchid™,Petite Orchid™  Crape Myrtle,DCS,D Shrubs,07,    ,, $25.96 ,,,014949555057,0,5,5,05/01/15  ,0,          ,0,          ,, $7.50 , $0.66 
05560,5PT,,, 5 PATIO TREE,CA,2,Lagerstroemia indica Petite Pinkie™,Petite Pinkie™  Crape Myrtle,DCS,D Shrubs,07,    ,, $42.69 ,,,014949556153,0,1,1,11/01/14  ,0,          ,0,          ,, $16.50 , $2.62 
05565,5,,,5,CA,5,Lagerstroemia indica Petite Plum®,Petite Plum®  Crape Myrtle,DCS,D Shrubs,07,    ,, $25.96 ,,,014949556559,0,5,5,04/01/15  ,0,          ,0,          ,, $24.00 , $5.23 
01528,5,,,5,CA,5,Lagerstroemia indica Pink Velour,Pink Velour®  Crape Myrtle,DCS,D Shrubs,07,    ,, $28.96 ,,,014949028421,0,20,10,04/01/15  ,10,05/01/15  ,0,          ,, $10.50 , $1.11 
00901,2,,,2,GA,5,Lagerstroemia indica 'Pocomoke'                             ,Pocomoke Crape Myrtle                                       ,DCS,D Shrubs,06,    ,,, $16.66 ,,014949260838,89,0,0,          ,0,          ,0,          ,, $24.00 , $3.32 
40436,2,,,2,CT,5,Lagerstroemia indica 'Purple Magic',Purple Magic Crape Myrtle,DCS,D Shrubs,06,    ,,,, * ,014949394106,0,8,8,09/01/14  ,0,          ,0,          ,, $17.00 , $2.21 
40437,2,,,2,CT,5,Lagerstroemia indica 'Red Filli',Red Fili Crape Myrtle,DCS,D Shrubs,04,2014,,,, $16.86 ,014949394151,1570,1510,1510,08/15/14  ,0,          ,0,          ,, $24.00 , $3.32 
00902,9BH,,, 15 BUSH,GA,0,Lagerstroemia indica Red Rocket®,Red Rocket®  Crape Myrtle,DCS,D Shrubs,06,    ,,, $90.26 ,,014949369128,0,3,3,05/15/15  ,0,          ,0,          ,, $17.00 , $2.21 
05620,9,,, 15 CLUMP,CA,1,Lagerstroemia indica 'Seminole'                             ,Seminole Crape Myrtle                                       ,DCS,D Shrubs,07,    ,, $98.31 ,,,014949040782,0,4,4,05/01/15  ,0,          ,0,          ,, $21.00 , $1.54 
05635,5,,,5,GA,5,Lagerstroemi indica fauriei 'Tonto'              ,Tonto Crape Myrtle                                          ,DCS,D Shrubs,06,    ,,, $23.82 ,,014949563557,23,0,0,          ,0,          ,0,          ,, $19.25 , $5.46 
00903,9,,, 15 CLUMP,GA,1,Lagerstroemia indica x fauriei 'Tuscarora'                  ,Tuscarora Crape Myrtle                                      ,DCS,D Shrubs,06,    ,,, $90.26 ,,014949020494,35,106,106,05/15/15  ,0,          ,0,          ,, $10.50 , $1.82 
05053,5,,,5,GA,5,Lagerstroemia indica 'Velma's Royal Delight'                ,Velma's Royal Delight Crape Myrtle                          ,DCS,D Shrubs,06,    ,,, $23.82 ,,014949274156,0,5,5,06/01/15  ,0,          ,0,          ,, $17.00 , $3.64 
40439,2,,,2,GA,5,Lagerstroemia indica 'Violet Filli' ,Violet Filli Crape Myrtle                                   ,DCS,D Shrubs,05,2014,,, $17.08 , $16.86 ,014949394243,0,12,12,05/01/15  ,0,          ,0,          ,, $10.50 , $1.82 
05640,5,,,5,CA,5,Lagerstroemia indica 'Watermelon Red'                       ,Watermelon Red Crape Myrtle                                 ,DCS,D Shrubs,07,    ,, $25.96 ,,,014949564059,0,5,5,05/01/15  ,0,          ,0,          ,, $17.00 , $3.64 
05457,9BH,,, 15 BUSH,GA,0,Lagerstroemia indica x fauriei 'Zuni'                       ,Zuni Crape Myrtle                                           ,DCS,D Shrubs,06,    ,,, $90.26 ,,014949255643,261,261,261,01/01/15  ,0,          ,0,          ,, $10.50 , $1.82 
02077,2,,,2,CA,5,Leptodermis oblonga                                         ,Himalayan Leptodermis                                       ,DCS,D Shrubs,05,    ,, $17.73 ,,,014949064566,62,62,62,04/01/15  ,0,          ,0,          ,, $17.00 , $2.21 
05845,5,,,5,OR,5,Ligustrum vulgare 'Lodense'                                 ,Lodense Privet                                              ,DCS,D Shrubs,04,    , $25.73 ,,,,014949584552,0,62,62,09/15/14  ,0,          ,0,          ,, $17.00 , $1.11 
05840,2,,,2,CA,5,Ligustrum x vicaryi                                         ,Vicary Golden Privet                                        ,DCS,D Shrubs,05,    ,, $16.48 ,,,014949584026,0,8,8,03/15/15  ,0,          ,0,          ,, $21.50 , $1.54 
01596,5,,,5,CT,5,Lindera Benzoin,Spicebush,DCS,D Shrubs,04,    ,,,, * ,014949416570,414,0,0,          ,0,          ,0,          ,, $21.00 , $1.54 
06019,M,,, 10 Squat,CA,2,Magnolia acuminata 'Yellow Bird'                            ,Yellow Bird Magnolia                                        ,DCS,D Shrubs,05,    ,, $78.66 ,,,014949361061,0,2,2,11/15/14  ,0,          ,0,          ,, $21.00 , $1.54 
05990,1,,,1,CA,10,Magnolia liliiflora 'Nigra'                                 ,Purple Lily Magnolia                                        ,DCS,D Shrubs,05,    ,, $8.34 ,,,014949599013,0,3,3,02/01/15  ,0,          ,0,          ,, $21.00 , $1.54 
06040,1,,,1,CA,10,Magnolia stellata 'Royal Star'                              ,Royal Star Magnolia                                         ,DCS,D Shrubs,04,    ,, $8.34 ,,,014949604014,0,10,10,03/15/15  ,0,          ,0,          ,, $15.50 , $1.11 
06012,5TR,,, 5 TREE,CA,2,Magnolia x 'Galaxy'                                         ,Galaxy Magnolia                                             ,DCS,D Shrubs,05,    ,, $40.96 ,,,014949601358,0,2,2,12/31/14  ,0,          ,0,          ,, $15.50 , $1.11 
05960,5,,,5,OR,5,Magnolia x loebneri 'Leonard Messel'                        ,Leonard Messel Magnolia                                     ,DCS,D Shrubs,05,    , $30.73 ,,, $28.55 ,014949596050,7,0,0,          ,0,          ,0,          ,, $15.50 , $1.11 
05995,5,,,5,OR,5,Magnolia x loebneri 'Merrill'                               ,Merrill Magnolia                                            ,DCS,D Shrubs,05,    , $30.73 ,,,,014949599556,21,104,104,09/15/14  ,0,          ,0,          ,, $17.00 , $2.73 
05955,5,,,5,CA,5,Magnolia x 'Randy'                                          ,Randy Magnolia                                              ,DCS,D Shrubs,04,    , $30.96 , $30.96 ,,,014949595558,0,5,5,02/01/15  ,0,          ,0,          ,, $24.00 , $5.46 
06015,M,,, 10 Squat,CA,2,Magnolia x soulangiana 'Alexandrina'                        ,Alexander Magnolia                                          ,DCS,D Shrubs,05,    ,, $78.66 ,,,014949601679,0,2,2,11/15/14  ,0,          ,0,          ,, $21.00 , $1.54 
05958,5TR,,, 5 TREE,CA,2,Magnolia x soulangiana Black Tulip™ ,Black Tulip™  Magnolia,DCS,D Shrubs,05,    , $47.73 , $47.96 ,,,014949032879,9,18,9,11/25/14  ,9,02/01/15  ,0,          ,, $22.00 , $5.46 
06018,5TR,,, 5 TREE,CA,2,Magnolia x 'Vulcan'                                         ,Vulcan Magnolia                                             ,DCS,D Shrubs,05,    ,, $40.96 ,,,014949032961,0,2,2,11/25/14  ,0,          ,0,          ,, $21.50 , $2.66 
06441,2,,,2,CA,5,Philadelphus x virginalis 'Dwarf Snowflake'                 ,Dwarf Snowflake Mock Orange                                 ,DCS,D Shrubs,04,    ,, $16.98 ,,,014949644126,0,5,5,04/01/15  ,0,          ,0,          ,, $8.75 , $1.11 
06442,5,,,5,CA,5,Philadelphus x virginalis 'Natchez'                         ,Natchez Mock Orange                                         ,DCS,D Shrubs,04,    ,, $26.96 ,,,014949644256,0,5,5,04/01/15  ,0,          ,0,          ,, $15.00 , $3.64 
40515,3,,,3,CT,5,Philadelphus x virginalis 'Romantic Knight'                 ,Romantic Knight Mock Orange,DCS,D Shrubs,04,    ,,,, * ,014949395349,0,74,74,09/01/14  ,0,          ,0,          ,, $21.00 , $1.54 
07467,1S,,,SuperOne TM,OR,10,Physocarpus opulifolious Coppertina™,Coppertina™  Ninebark,DCS,D Shrubs,03,2011, $12.24 ,,,,014949336410,11,193,193,10/01/14  ,0,          ,0,          ,, $21.00 , $1.54 
02994,7PT,,, 7 PATIO TREE,CT,2,Physocarpus opulifolious Summer Wine®,Summer Wine®  Ninebark,DCS,D Shrubs,03,    ,,,, * ,014949406861,176,0,0,          ,0,          ,0,          ,, $21.00 , $1.54 
08998,1S,,,SuperOne TM,CA,10,Physocarpus opulifolious Tiny Wine™,Tiny Wine™  Ninebark,DCS,D Shrubs,03,2014,, $12.32 ,,,014949376195,0,12,6,11/15/14  ,6,04/01/15  ,0,          ,, $24.00 , $5.46 
40525,3,,,3,CT,5,Physocarpus opulifolius Amber Jubilee®,Amber Jubilee®  Ninebark,DCS,D Shrubs,02,    ,,,, $18.54 ,014949395479,0,66,33,09/01/14  ,33,09/07/14  ,0,          ,, $10.50 , $1.82 
03465,2,,,2,OR,5,Physocarpus opulifolius 'Center Glow',Center Glow Ninebark                                        ,DCS,D Shrubs,02,    , $17.87 ,,,,014949219836,192,809,809,10/01/14  ,0,          ,0,          ,, $17.00 , $3.64 
06826,2,,,2,OR,5,Physocarpus opulifolius 'Dart's Gold'                       ,Dart's Gold Ninebark                                        ,DCS,D Shrubs,03,2013, $16.87 ,,,,014949324424,255,255,255,10/01/14  ,0,          ,0,          ,, $24.00 , $5.46 
06393,1,,,1,OR,10,Physocarpus opulifolius Diabolo®,Diabolo®  Ninebark,DCS,D Shrubs,02,    , $8.05 ,,,,014949639313,703,846,846,10/01/14  ,0,          ,0,          ,, $17.00 , $3.64 
40526,2,,,2,CT,5,Physocarpus opulifolius Little Devil™,Little Devil™  Ninebark,DCS,D Shrubs,03,    ,,,, $14.86 ,014949395486,351,0,0,          ,0,          ,0,          ,, $21.50 , $1.54 
40527,3,,,3,CT,5,Physocarpus opulifolius 'Nugget'                            ,Nugget Ninebark                                             ,DCS,D Shrubs,04,    ,,,, * ,014949395530,0,315,241,09/15/14  ,74,01/01/15  ,0,          ,, $24.00 , $5.46 
06669,2,,,2,OR,5,Potentilla fruticosa 'Abbotswood'                           ,Abbotswood Potentilla                                       ,DCS,D Shrubs,03,    , $15.87 ,,,,014949666920,5,5,5,10/01/14  ,0,          ,0,          ,, $21.50 , $1.54 
06678,2,,,2,OR,5,Potentilla fruticosa Frosty®,Frosty®  Potentilla,DCS,D Shrubs,03,    , $15.87 ,,,,014949667828,12,63,63,10/01/14  ,0,          ,0,          ,, $17.00 , $3.64 
06680,2,,,2,OR,5,Potentilla fruticosa 'Gold Star'                            ,Gold Star Potentilla                                        ,DCS,D Shrubs,03,    , $15.87 ,,,,014949668023,0,10,10,10/01/14  ,0,          ,0,          ,, $14.50 , $1.66 
06668,1,,,1,OR,10,Potentilla fruticosa 'Goldfinger'                           ,Goldfinger Potentilla                                       ,DCS,D Shrubs,03,    , $7.30 ,,,,014949666814,0,14,14,10/01/14  ,0,          ,0,          ,, $7.00 , $1.09 
40543,3S,,,Super 3,CT,5,Potentilla fruticosa Happy Face®  White         ,Happy Face®  White Bush Cinquefoil Potentilla,DCS,D Shrubs,02,    ,,,, * ,014949412138,37,0,0,          ,0,          ,0,          ,, $19.25 , $5.46 
08639,3S,,,Super 3,CT,5,Potentilla fruticosa Happy Face™  Pink Paradise,Happy Face™  Pink Paradise Cinquefoil,DCS,D Shrubs,03,2014,,,, $19.29 ,014949412114,7,0,0,          ,0,          ,0,          ,, $7.00 , $1.09 
04482,3,,,3,CT,5,Potentilla fruticosa Mango Tango,Mango Tango Potentilla                                      ,DCS,D Shrubs,02,    ,,,, $16.04 ,014949407509,45,45,45,01/01/15  ,0,          ,0,          ,, $19.25 , $5.46 
08665,2,,,2,OR,5,Potentilla fruticosa 'Pink Beauty' ,Pink Beauty Potentilla                                      ,DCS,D Shrubs,03,    , $15.87 ,,,,014949866528,0,48,48,10/01/14  ,0,          ,0,          ,, $22.00 , $3.32 
06677,1,,,1,OR,10,Potentilla fruticosa 'Red Ace'                              ,Red Ace Potentilla                                          ,DCS,D Shrubs,03,    , $7.30 ,,,,014949667712,0,157,157,10/01/14  ,0,          ,0,          ,, $24.00 , $5.46 
06674,1,,,1,OR,10,Potentilla fruticosa 'Sunset'                               ,Sunset Potentilla                                           ,DCS,D Shrubs,03,    , $7.30 ,,,,014949667415,0,88,88,10/01/14  ,0,          ,0,          ,, $7.00 , $1.09 
06687,2,,,2,CA,5,Prunus x cistena                                            ,Dwarf Red-Leaf Sand Cherry                                  ,DCS,D Shrubs,02,    ,, $17.23 ,,,014949668726,0,5,5,04/01/15  ,0,          ,0,          ,, $14.50 , $1.66 
06740,1,,,1,CA,10,Punica granatum 'Nana'                                      ,Dwarf Pomegranate                                           ,DCS,D Shrubs,07,    ,, $9.34 ,,,014949674017,0,10764,5382,11/01/14  ,5382,11/15/14  ,0,          ,, $19.25 , $5.46 
06977,5,,,5,OR,5,Rhamnus frangula 'Asplenifolia'                             ,Narrow Leaf Buckthorn                                       ,DCS,D Shrubs,02,    , $25.73 ,,,,014949697757,9,9,9,05/01/15  ,0,          ,0,          ,, $40.50 , $9.41 
02079,3S,,,Super 3,CT,5,Rhamnus frangula Fine Line®,Fine Line®  Fern Leaf Buckthorn,DCS,D Shrubs,02,2011,,,, $18.79 ,014949412176,0,5,5,09/01/14  ,0,          ,0,          ,, $17.00 , $3.49 
06989,1,,,1,OR,10,Rhus aromatica 'Gro-Low'                                    ,Gro-Low Fragrant Sumac                                      ,DCS,D Shrubs,04,    , $8.05 ,,,,014949698914,98,0,0,          ,0,          ,0,          ,, $7.00 , $0.66 
09111,1,,,1,OR,10,Ribes sanguineum 'King Edward VII'                          ,King Edward VII Flowering Currant                           ,DCS,D Shrubs,06,    , $10.55 ,,,,014949911112,0,82,41,09/15/14  ,41,10/01/14  ,0,          ,, $15.75 , $2.73 
03949,7PT,,, 7 PATIO TREE,CT,2,Salix integra 'Flamingo' ,Flamingo Dappled Willow                                     ,DCS,D Shrubs,05,2014,,,, * ,014949408889,78,0,0,          ,0,          ,0,          ,, $21.00 , $1.54 
07061,1,,,1,OR,10,Salix integra 'Hakuro Nishiki'                              ,Dappled Willow                                              ,DCS,D Shrubs,04,    , $7.55 ,,,,014949706114,0,2098,235,09/15/14  ,1863,10/01/14  ,0,          ,, $22.00 , $5.46 
08670,1,,,1,OR,10,Salix purpurea 'Canyon Blue'                                ,Canyon Blue Arctic Blue Leaf Willow                         ,DCS,D Shrubs,04,    , $8.05 ,,,,014949867013,0,20,20,10/01/14  ,0,          ,0,          ,, $16.00 , $2.73 
01802,3,,,3,CT,5,Sambucas Canadensis,American Elderberry,DCS,D Shrubs,03,    ,,,, $19.29 ,014949387634,414,0,0,          ,0,          ,0,          ,, $22.00 , $5.46 
01999,2S,,,SuperTwo,OR,5,Sambucus nigra Black Beauty™,Black Beauty™  Elderberry,DCS,D Shrubs,04,    , $21.49 ,,,,014949337479,0,83,83,04/15/15  ,0,          ,0,          ,, $7.00 , $1.09 
03594,2S,,,SuperTwo,OR,5,Sambucus nigra Black Lace™,Black Lace™  Elderberry,DCS,D Shrubs,04,    , $21.49 ,,,,014949337486,0,82,82,04/15/15  ,0,          ,0,          ,, $21.00 , $5.46 
00408,5,,,5,OR,5,Sambucus nigra Black Tower,Black Tower Elderberry                                      ,DCS,D Shrubs,04,2014, $30.73 ,,,,014949419779,0,317,317,04/15/15  ,0,          ,0,          ,, $22.00 , $3.32 
40654,3,,,3,CT,5,Sambucus racemosa 'Sutherland Gold'                         ,Sutherland Gold Elderberry                                  ,DCS,D Shrubs,03,    ,,,, $18.54 ,014949398388,0,10,5,09/01/14  ,5,01/01/15  ,0,          ,, $7.00 , $1.09 
09475,3,,,3,CT,5,Sorbaria sorbifolia 'Sem',Sem False Spirea                                            ,DCS,D Shrubs,03,2014,,,, $18.54 ,014949387672,160,0,0,          ,0,          ,0,          ,, $21.00 , $5.46 
07110,2,,,2,CA,5,Spartium junceum                                            ,Spanish Broom                                               ,DCS,D Shrubs,07,    ,, $16.73 ,,,014949330265,0,240,240,03/01/15  ,0,          ,0,          ,, $21.00 , $1.54 
07122,2,,,2,OR,5,Spiraea japonica 'Alpina'                                   ,Daphne Spirea                                               ,DCS,D Shrubs,04,    , $15.62 ,,,,014949712221,38,398,398,10/01/14  ,0,          ,0,          ,, $10.50 , $0.83 
07501,3S,,,Super 3,CT,5,Spiraea japonica Double Play®  Artist,Double Play®  Artist Spirea,DCS,D Shrubs,04,2011,,,, $16.29 ,014949412268,0,240,240,09/01/14  ,0,          ,0,          ,, $15.50 , $1.11 
07503,3S,,,Super 3,CT,5,Spiraea japonica Double Play®  Big Bang,Double Play®  Big Bang Spirea,DCS,D Shrubs,04,2011,,,, $16.29 ,014949412275,28,0,0,          ,0,          ,0,          ,, $28.50 , $3.05 
07502,1S,,,SuperOne TM,OR,10,Spiraea japonica Double Play®  Gold,Double Play®  Gold Spirea,DCS,D Shrubs,04,2011, $12.24 ,,,,014949336595,0,6,3,09/15/14  ,3,10/01/14  ,0,          ,, $19.25 , $3.32 
01198,3,,,3,CT,5,Spiraea japonica 'Goldmound'                                ,Goldmound Spirea                                            ,DCS,D Shrubs,04,    ,,,, $16.04 ,014949024133,104,104,104,09/01/14  ,0,          ,0,          ,, $40.50 , $9.41 
07125,1,,,1,OR,10,Spiraea japonica 'Little Princess'                          ,Little Princess Spirea                                      ,DCS,D Shrubs,04,    , $7.30 ,,,,014949712511,2,100,100,10/01/14  ,0,          ,0,          ,, $19.25 , $5.46 
07157,1,,,1,OR,10,Spiraea japonica Magic Carpet,Magic Carpet Spirea                                         ,DCS,D Shrubs,04,    , $7.30 ,,,,014949715710,0,46,46,10/01/14  ,0,          ,0,          ,, $21.00 , $1.54 
07158,1,,,1,OR,10,Spiraea japonica 'Neon Flash'                               ,Neon Flash Spirea                                           ,DCS,D Shrubs,04,    , $7.30 ,,,,014949715819,0,37,37,10/01/14  ,0,          ,0,          ,, $19.25 , $5.46 
07128,2,,,2,GA,5,Spiraea japonica 'Shirobana'                                ,Shirobana Spirea                                            ,DCS,D Shrubs,04,    ,,, $14.66 ,,014949712825,0,117,117,09/15/14  ,0,          ,0,          ,, $16.50 , $2.62 
07130,1,,,1,OR,10,Spiraea nipponica 'Snowmound'                               ,Snowmound Spirea                                            ,DCS,D Shrubs,04,    , $7.30 ,,,,014949713013,0,74,74,10/01/14  ,0,          ,0,          ,, $21.50 , $1.54 
07115,1,,,1,OR,10,Spiraea x bumalda 'Anthony Waterer'                         ,Anthony Waterer Spirea                                      ,DCS,D Shrubs,04,    , $7.30 ,,,,014949711514,0,33,33,10/01/14  ,0,          ,0,          ,, $10.50 , $1.82 
07120,1,,,1,OR,10,Spiraea x bumalda 'Dolchica'                                ,Dolchica Spirea                                             ,DCS,D Shrubs,05,    , $7.30 ,,,,014949712016,53,0,0,          ,0,          ,0,          ,, $17.00 , $3.64 
07117,1,,,1,OR,10,Spiraea x bumalda 'Goldflame'                               ,Goldflame Spirea                                            ,DCS,D Shrubs,04,    , $7.30 ,,,,014949711712,0,15,15,10/01/14  ,0,          ,0,          ,, $16.00 , $2.62 
07123,2,,,2,OR,5,Spiraea x bumalda Limemound®,Limemound®  Spirea,DCS,D Shrubs,03,    , $15.62 ,,,,014949712320,0,50,50,10/01/14  ,0,          ,0,          ,, $22.00 , $5.46 
07145,3,,,3,CT,5,Spiraea x vanhouttei                                        ,Vanhouttei Spirea                                           ,DCS,D Shrubs,03,    ,,,, $14.79 ,014949046685,79,133,133,09/01/14  ,0,          ,0,          ,, $24.00 , $5.46 
07161,1,,,1,CA,10,Spiraea x vanhouttei 'Renaissance'                          ,Renaissance Spirea                                          ,DCS,D Shrubs,03,    ,, $7.34 ,,,014949785614,40,40,40,11/15/14  ,0,          ,0,          ,, $17.00 , $3.64 
05065,5,,,5,OR,5,Stachyurus salicifolia Sparklers®,Sparklers®  Willow-Leaf Stachyurus,DCS,D Shrubs,07,2010, $28.73 ,,,,014949285930,5,5,5,10/01/14  ,0,          ,0,          ,, $21.50 , $5.46 
01766,5,,,5,OR,5,Symphoricarpos Bright Fantasy™,Bright Fantasy™  Snowberry,DCS,D Shrubs,03,    , $28.73 ,,,,014949030523,5,0,0,          ,0,          ,0,          ,, $18.75 , $1.54 
04832,2,,,2,OR,5,Symphoricarpos chenaultii 'Blade of Sun' ,Blade of Sun Snowberry                                      ,DCS,D Shrubs,04,2010, $18.62 ,,,,014949260449,0,4,4,04/01/15  ,0,          ,0,          ,, $16.00 , $3.49 
01769,5,,,5,OR,5,Symphoricarpos 'Scarlet Pearl' ,Scarlet Pearl Snowberry                                     ,DCS,D Shrubs,03,    , $28.73 ,,,,014949030585,5,0,0,          ,0,          ,0,          ,, $19.25 , $3.05 
40676,3,,,3,CT,5,Symphoricarpos x Sweet Sensation™,Sweet Sensation™  Snowberry,DCS,D Shrubs,03,    ,,,, $18.54 ,014949398678,238,0,0,          ,0,          ,0,          ,, $24.00 , $5.46 
07186,3,,,3,CT,5,Syringa meyeri 'Palibin'                                    ,Dwarf Korean Lilac                                          ,DCS,D Shrubs,03,    ,,,, $17.54 ,014949047187,198,198,198,09/01/14  ,0,          ,0,          ,, $17.00 , $3.64 
07202,1,,,1,OR,10,Syringa patula 'Miss Kim'                  ,Miss Kim Korean Lilac                                       ,DCS,D Shrubs,04,    , $9.30 ,,,,014949720219,1074,1074,1074,10/01/14  ,0,          ,0,          ,, $7.25 , $1.05 
40686,7,,,7,CT,2,Syringa reticulata Snowdance,Snowdance Tree Lilac,DCS,D Shrubs,03,    ,,,, * ,014949398814,0,206,206,10/15/14  ,0,          ,0,          ,, $16.00 , $2.62 
40689,3,,,3,CT,5,Syringa vulgaris                                            ,Common Purple Lilac                                         ,DCS,D Shrubs,03,    ,,,, $17.54 ,014949399101,665,1342,671,09/01/14  ,671,01/01/15  ,0,          ,, $22.00 , $5.23 
07180,5,,,5,OR,5,Syringa vulgaris 'Angel White' ,Angel White Lilac                                           ,DCS,D Shrubs,03,    , $29.23 ,,,,014949718056,52,0,0,          ,0,          ,0,          ,, $17.75 , $1.54 
40688,3,,,3,CT,5,Syringa vulgaris 'Atheline Wilbur'                          ,Atheline Wilbur Lilac                                       ,DCS,D Shrubs,03,    ,,,, * ,014949398999,0,31,31,05/01/15  ,0,          ,0,          ,, $17.00 , $3.64 
07179,5,,,5,OR,5,Syringa vulgaris Blue Skies®,Blue Skies®  Lilac,DCS,D Shrubs,03,    , $29.23 ,,,,014949717950,47,0,0,          ,0,          ,0,          ,, $17.75 , $1.54 
07210,5,,,5,OR,5,Syringa vulgaris 'Charles Joly'                             ,Charles Joly Lilac                                          ,DCS,D Shrubs,03,    , $29.23 ,,,,014949721056,839,0,0,          ,0,          ,0,          ,, $17.75 , $1.54 
40690,3,,,3,CT,5,Syringa vulgaris 'Fiala Remembrance'                        ,Fiala Remembrance Lilac                                     ,DCS,D Shrubs,03,    ,,,, $17.54 ,014949399026,0,100,100,05/01/15  ,0,          ,0,          ,, $24.00 , $5.46 
40682,3,,,3,CT,5,Syringa vulgaris 'Krasavitsa Moskvy'                        ,Beauty of Moscow Lilac                                      ,DCS,D Shrubs,03,    ,,,, $17.54 ,014949398708,0,27,27,05/01/15  ,0,          ,0,          ,, $10.50 , $1.82 
07215,5,,,5,OR,5,Syringa vulgaris 'Lavender Lady'                            ,Lavender Lady Lilac                                         ,DCS,D Shrubs,03,    , $29.23 ,,,,014949721551,75,0,0,          ,0,          ,0,          ,, $17.75 , $1.54 
07190,5,,,5,OR,5,Syringa vulgaris 'Ludwig Spaeth'                            ,Ludwig Spaeth Lilac                                         ,DCS,D Shrubs,03,    , $29.23 ,,,,014949719053,272,0,0,          ,0,          ,0,          ,, $17.75 , $1.54 
40691,3,,,3,CT,5,Syringa vulgaris 'Madame Lemoine'                           ,Madame Lemoine French Lilac                                 ,DCS,D Shrubs,03,    ,,,, $17.54 ,014949399040,0,343,6,01/01/15  ,337,05/01/15  ,0,          ,, $10.50 , $1.82 
40684,3,,,3,CT,5,Syringa vulgaris 'President Grevy'                   ,President Grevy French Lilac                         ,DCS,D Shrubs,03,    ,,,, * ,014949398753,0,107,107,09/01/14  ,0,          ,0,          ,, $17.00 , $3.64 
07214,5,,,5,OR,5,Syringa vulgaris 'President Lincoln'                        ,President Lincoln Lilac                                     ,DCS,D Shrubs,03,    , $29.23 ,,,,014949721452,342,0,0,          ,0,          ,0,          ,, $10.50 , $1.82 
