Item,,Mid-Ship,Late Ship,Size,Loc,Minimum Quantity,Botanical Name,Common Name,Category,,Zone,Introduced, Oregon   , California  , Georgia   , Connecticut  ,UPC#,Available         ,Available Later,,On,Available Later,On,Available Later,On,, 2015 Price , Freight 
07480,5,,,5,OR,5,Cornus stolonifera Arctic Fire™,Arctic Fire™  Red Twig Dogwood,DCS,D Shrubs,03,2011, $29.23 ,,,,014949349274,0,864,864,06/01/15  ,0,          ,0,          ,, $40.50 , $4.98 
40203,3,,,3,CT,5,Cornus stolonifera 'Baileyi'                                ,Bailey's Red-osier Dogwood                                  ,DCS,D Shrubs,02,    ,,,, $17.54 ,014949390177,467,0,0,          ,0,          ,0,          ,, $6.25 , $1.09 
40204,5,,,5,CT,5,Cornus stolonifera Pucker Up!™,Pucker Up!™  Red Twig Dogwood,DCS,D Shrubs,03,    ,,,, * ,014949390221,0,5,5,01/01/15  ,0,          ,0,          ,, $6.25 , $0.66 
08084,1S,,,SuperOne TM,OR,10,Cornus stolonifera Pucker Up!™,Pucker Up!™  Red Twig Dogwood,DCS,D Shrubs,03,2013, $11.24 ,,,,014949359525,234,340,340,10/01/14  ,0,          ,0,          ,, $14.50 , $2.73 
40205,5,,,5,CT,5,Corylus Americana,American Hazel Nut,DCS,D Shrubs,04,    ,,,, * ,014949416563,295,325,325,09/01/14  ,0,          ,0,          ,, $18.00 , $2.66 
02820,7PT,,, 7 PATIO TREE,CT,2,Corylus avellana 'Contorta'                                 ,Harry Lauder's Walking Stick                                ,DCS,D Shrubs,04,    ,,,, $60.06 ,014949402139,2,0,0,          ,0,          ,0,          ,, $21.00 , $5.46 
40206,5,,,5,CT,5,Corylus avellana 'Red Dragon',Red Dragon®  Contorted Filbert,DCS,D Shrubs,03,    ,,,, * ,014949416587,20,0,0,          ,0,          ,0,          ,, $40.50 , $4.98 
01661,5,,,5,CT,5,Cotinus coggygria Golden Spirit      ,Golden Spirit Smoke Tree                                    ,DCS,D Shrubs,04,    ,,,, $33.55 ,014949007839,2,0,0,          ,0,          ,0,          ,, $11.50 , $1.11 
02814,5,,,5,OR,5,Cotinus coggygria 'Royal Purple'                            ,Royal Purple Smoke Tree                                     ,DCS,D Shrubs,04,    , $35.73 ,,, $33.55 ,014949281451,140,137,137,0,0,0,0,0,, $26.00 , $3.32 
02815,5,,,5,OR,5,Cotinus x 'Grace'                                           ,Grace Smoke Tree                                            ,DCS,D Shrubs,04,    , $35.73 ,,,,014949281550,13,0,0,          ,0,          ,0,          ,, $10.50 , $1.82 
02850,1,,,1,OR,10,Cotoneaster apiculatus                                      ,Cranberry Cotoneaster                                       ,DCS,D Shrubs,04,    , $7.30 ,,,,014949285015,20,0,0,          ,0,          ,0,          ,, $17.00 , $3.64 
02855,1,,,1,OR,10,Cotoneaster apiculatus 'Tom Thumb'                          ,Tom Thumb Cranberry Cotoneaster                             ,DCS,D Shrubs,04,    , $7.30 ,,,,014949285510,17,0,0,          ,0,          ,0,          ,, $10.50 , $1.82 
02831,1,,,1,OR,10,Cotoneaster horizontalis 'Variegatus'                       ,Variegated Rock Cotoneaster                                 ,DCS,D Shrubs,06,    , $7.30 ,,,,014949283110,5,0,0,          ,0,          ,0,          ,, $10.50 , $1.11 
