Loc,Item,Description,Botanical Name,Common Name,Product
OR,000594PTC,AJUGA REPTANS BURGUNDY GLOW,Ajuga reptans 'Burgundy Glow'                               ,Burgundy Glow Carpet Bugle                                  ,PRN
OR,00059UT,AJUGA REPTANS BURGUNDY GLOW,Ajuga reptans 'Burgundy Glow'                               ,Burgundy Glow Carpet Bugle                                  ,PRN
OR,002565,AKEBIA QUINATA SHIRO BANA,Akebia quinata 'Shirobana'                                  ,White Flowered Chocolate Vine                               ,VIN
OR,035341,AMSONIA HUBRICHTII,Amsonia hubrichtii                                          ,Arkansas Blue Star                                          ,PRN
OR,016632,ANDROMEDA POL BLUE ICE,Andromeda polifolia 'Blue Ice'                              ,Blue Ice Bog Rosemary                                       ,EVS
OR,065991,ANEMONE SEPTEMBER CHARM,Anemone x hybrida 'September Charm'                         ,September Charm Japanese Anemone                            ,PRN
OR,038561,ANEMONE X SERENADE,Anemone x hybrida 'Serenade'                                ,Serenade Japanese Anemone                                   ,PRN
OR,039021,ANEMONE X WILD SWAN TM PP23132,"Anemone x 'Macane001' Wild Swan™  P.P.# 23,132",Wild Swan™  Hybrid Anemone,PRN
OR,05908UT,AQUILEGIA C LITTLE LANTERNS,Aquilegia canadensis 'Little Lanterns'                      ,Little Lanterns Columbine                                   ,PRN
OR,055482,ARALIA CORDATA GOTEMBA,Aralia cordata 'Gotemba'                                    ,Gotemba Golden Japanese Spikenard                           ,PRN
OR,003041,ARMERIA MAR BLOODSTONE,Armeria maritima 'Bloodstone'                               ,Bloodstone Thrift                                           ,PRN
OR,019461,ARMERIA MAR RUBRIFOLIA,Armeria maritima 'Rubrifolia'                               ,Red Leaf Thrift                                             ,PRN
OR,003401,ASTER ALMA POTSCHKE,Aster novae-angliae 'Alma Potschke'                         ,Alma Potschke New England Aster                             ,PRN
OR,030091,ASTER FARMINGTON PPAF,Aster novi-belgii 'Baldco' P.P.A.F.                         ,Farmington Michaelmas Daisy                                 ,PRN
OR,003381,ASTER FRIKARTII MOENCH,Aster x frikartii 'Moench'                                  ,Moench Frikartii Aster                                      ,PRN
OR,023891,ASTER WOOD'S BLUE,Aster novi-belgii 'Wood's Blue'                             ,Wood's Blue New York Aster                                  ,PRN
OR,001531,ASTER WOOD'S PINK,Aster novi-belgii 'Wood's Pink'                             ,Woods Pink New York Aster                                   ,PRN
OR,001591,ASTILBE BRIDAL VEIL,Astilbe x arendsii 'Bridal Veil'                            ,Bridal Veil®  Astilbe,PRN
OR,00159UT,ASTILBE BRIDAL VEIL,Astilbe x arendsii 'Bridal Veil'                            ,Bridal Veil®  Astilbe,PRN
OR,003621,ASTILBE CHINENSIS VISIONS,Astilbe chinensis 'Visions'                                 ,Visions Astilbe                                             ,PRN
OR,027501,ASTILBE COLOR FLASH R PP17343,Astilbe x arendsii 'Beauty of Ernst' P.P.# 17343            ,Color Flash®  Astilbe,PRN
OR,003511,ASTILBE DEUTSCHLAND,Astilbe x arendsii 'Deutschland'                            ,Deutschland Astilbe                                         ,PRN
OR,003501,ASTILBE FANAL,Astilbe x arendsii 'Fanal'                                  ,Fanal Astilbe                                               ,PRN
OR,001631,ASTILBE HENNIE GRAAFLAND,Astilbe simplicifolia 'Hennie Graafland'                    ,Hennie Graafland Star Astilbe                               ,PRN
OR,034331,ASTILBE MAGGIE DALEY,Astilbe chinensis 'Maggie Daley'                            ,Maggie Daley Astilbe                                        ,PRN
OR,001681,ASTILBE RED SENTINEL,Astilbe x arendsii 'Red Sentinel'                           ,Red Sentinel Astilbe                                        ,PRN
OR,003541,ASTILBE RHEINLAND,Astilbe x arendsii 'Rheinland'                              ,Rheinland Astilbe                                           ,PRN
OR,00354UT,ASTILBE RHEINLAND,Astilbe x arendsii 'Rheinland'                              ,Rheinland Astilbe                                           ,PRN
OR,023191,ASTRANTIA ABBEY ROAD PP14961,Astrantia major 'Abbey Road' P.P.# 14961                    ,Abbey Road Masterwort                                       ,PRN
OR,078761S,AZ BLM-A-THON TM DB PK PP21477,"Rhododendron x 'RLH1-2P8' P.P. #21,477                      ",Bloom-A-Thon®  Pink Double Reblooming Azalea,RHO
OR,078762S,AZ BLM-A-THON TM DB PK PP21477,"Rhododendron x 'RLH1-2P8' P.P. #21,477                      ",Bloom-A-Thon®  Pink Double Reblooming Azalea,RHO
OR,007075,AZALEA EX CANNON'S DOUBLE,Azalea x 'Cannon's Double' (Exbury hybrid)                  ,Cannon's Double Azalea                                      ,RHO
OR,001811,AZALEA GA KAREN,Azalea x 'Karen' (Gable Hybrid)                             ,Karen Azalea                                                ,RHO
OR,001812,AZALEA GA KAREN,Azalea x 'Karen' (Gable Hybrid)                             ,Karen Azalea                                                ,RHO
OR,008451,AZALEA GA ROSEBUD,Azalea x 'Rosebud' (Gable Hybrid)                           ,Rosebud Azalea                                              ,RHO
OR,008452,AZALEA GA ROSEBUD,Azalea x 'Rosebud' (Gable Hybrid)                           ,Rosebud Azalea                                              ,RHO
OR,002031,AZALEA GD RENEE MICHELLE,Azalea x'Renee Michelle' (Girard hybrid)                    ,Renee Michelle Azalea                                       ,RHO
OR,002032,AZALEA GD RENEE MICHELLE,Azalea x'Renee Michelle' (Girard hybrid)                    ,Renee Michelle Azalea                                       ,RHO
OR,007401,AZALEA GR FUCHSIA,Azalea x 'Girard's Fuchsia' (Girard hybrid)                 ,Girard's Fuchsia Azalea                                     ,RHO
OR,007602,AZALEA GR ROSE,Azalea x 'Girard's Rose' (Girard hybrid)                    ,Girard's Rose Azalea                                        ,RHO
OR,007782,AZALEA NL GOLDEN LIGHTS,Azalea x 'Golden Lights' (Northern Lights hybrid)           ,Golden Lights Azalea                                        ,RHO
OR,049782,AZARA MICRO VARIEGATA,Azara microphylla 'Variegata'                               ,Variegated Box-Leaf Azara                                   ,EVS
OR,049785,AZARA MICRO VARIEGATA,Azara microphylla 'Variegata'                               ,Variegated Box-Leaf Azara                                   ,EVS
OR,049772,AZARA MICROPHYLLA,Azara microphylla                                           ,Box-leaf Azara                                              ,EVS
OR,049775,AZARA MICROPHYLLA,Azara microphylla                                           ,Box-leaf Azara                                              ,EVS
OR,049795,AZARA SERRATA ANDEAN GOLD TM,Azara serrata Andean Gold™ ,Andean Gold™  Saw-toothed Azara,EVS
OR,078461,BACCHARIS MAGELLANICA,Baccharis magellanica                                       ,Christmas Bush                                              ,EVS
OR,053492,BAM-BORINDA BOLIANA (CLUMP),Borinda boliana (Clumping)                                  ,Giant Blue Bamboo                                           ,GRS
OR,025212,BAM-FARGESIA RUFA (CLUMP),Fargesia rufa                                               ,Sunset Glow Bamboo                                          ,GRS
OR,012032,BER GOLDN NUGGET TM P9577 CBR,"Berberis thunbergii 'Monlers' P.P. #9,577, Can. PBR #3489   ",Golden Nugget™  Dwarf Japanese Barberry,DCS
OR,012001,BER T ATROPURPUREA,Berberis thunbergii 'Atropurpurea'                          ,Red Leaf Japanese Barberry                                  ,DCS
OR,012011,BER T CHERRY BOMB R CPBR 3488,Berberis thunbergii 'Monomb' C.P.B.R. #3488                 ,Cherry Bomb®  Japanese Barberry,DCS
OR,012012,BER T CHERRY BOMB R CPBR 3488,Berberis thunbergii 'Monomb' C.P.B.R. #3488                 ,Cherry Bomb®  Japanese Barberry,DCS
OR,012102,BER T HELMOND PILLAR,Berberis thunbergii 'Helmond Pillar'                        ,Helmond Pillar Barberry                                     ,DCS
OR,012105,BER T HELMOND PILLAR,Berberis thunbergii 'Helmond Pillar'                        ,Helmond Pillar Barberry                                     ,DCS
OR,062935,BER T ORANGE ROCKET PP18411,"Berberis thunbergii 'Orange Rocket' P.P.#18,411             ",Orange Rocket Barberry                                      ,DCS
OR,012201,BER T ROSE GLOW,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,DCS
OR,012202,BER T ROSE GLOW,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,DCS
OR,012205,BER T ROSE GLOW,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,DCS
OR,012211,BER T ROYAL BURGUNDY R P9461,Berberis thunbergii 'Gentry' P.P.# 9461                     ,Royal Burgundy®  Barberry,DCS
OR,012212,BER T ROYAL BURGUNDY R P9461,Berberis thunbergii 'Gentry' P.P.# 9461                     ,Royal Burgundy®  Barberry,DCS
OR,029661,BER T ROYAL CLOAK,Berberis thunbergii 'Royal Cloak'                           ,Royal Cloak Japanese Barberry                               ,DCS
OR,029665,BER T ROYAL CLOAK,Berberis thunbergii 'Royal Cloak'                           ,Royal Cloak Japanese Barberry                               ,DCS
OR,022021,BERGENIA COR WINTERGLOW,Bergenia cordifolia 'Winterglut'                            ,Winterglow Bergenia                                         ,PRN
OR,012315,BETULA JACQUEMONTII,Betula utilis var. jacquemontii                             ,Whitebarked Himalayan Birch                                 ,TRE
OR,024715,BETULA N SUMR CASCADE PP15150,Betula nigra 'Summer Cascade' P.P.# 15105                   ,Summer Cascade River Birch                                  ,TRE
OR,002345,BETULA NIGRA DURA HEAT R,Betula nigra 'BNMTF'                                        ,Dura Heat®  River Birch,TRE
OR,012305,BETULA PENDULA (ALBA),Betula pendula                                              ,European White Birch                                        ,TRE
OR,012305MU,BETULA PENDULA (ALBA),Betula pendula                                              ,European White Birch                                        ,TRE
OR,012365,BETULA PENDULA PURPLE RAIN R,Betula pendula 'Monle'                                      ,Purple Rain®  European White Birch,TRE
OR,012415SE,BETULA PENDULA YOUNGII,Betula pendula 'Youngii'                                    ,Young's Weeping Birch                                       ,TRE
OR,012417SE,BETULA PENDULA YOUNGII,Betula pendula 'Youngii'                                    ,Young's Weeping Birch                                       ,TRE
OR,013651,BRUNNERA MAC VARIEGATA,Brunnera macrophylla 'Variegata'                            ,Variegated Siberian Bugloss                                 ,PRN
OR,080811S,BUD LO&BEHLD R ICE CHIP PPAF,Buddleja Lo & Behold®  'Ice Chip' P.P.A.F. Can. P.B.R.,Ice Chip Summer Lilac                                       ,DCS
OR,080812S,BUD LO&BEHLD R ICE CHIP PPAF,Buddleja Lo & Behold®  'Ice Chip' P.P.A.F. Can. P.B.R.,Ice Chip Summer Lilac                                       ,DCS
OR,077392S,BUDDLEJA MISS MOLLY PPAF,"Buddleja x 'Miss Molly' P.P.A.F., C.B.R.A.F.                ",Miss Molly Summer Lilac                                     ,DCS
OR,077395,BUDDLEJA MISS MOLLY PPAF,"Buddleja x 'Miss Molly' P.P.A.F., C.B.R.A.F.                ",Miss Molly Summer Lilac                                     ,DCS
OR,074405,BUDDLEJA X MISS RUBY PPAF,Buddleja (B.davidii x (B. davidii x B. globosa)) x (B. david,Miss Ruby Summer Lilac                                      ,DCS
OR,013825SP,BUXUS GREEN MOUNTAIN,Buxus x 'Green Mountain'                                    ,Green Mountain Boxwood                                      ,EVS
OR,013831,BUXUS MIC WINTER GEM,Buxus microphylla japonica 'Winter Gem'                     ,Winter Gem Boxwood                                          ,EVS
OR,013905,BUXUS S GREEN TOWER R PP15243,"Buxus sempervirens 'Monrue' P.P. #15,243                    ",Green Tower®  Boxwood,EVS
OR,013905SP,BUXUS S GREEN TOWER R PP15243,"Buxus sempervirens 'Monrue' P.P. #15,243                    ",Green Tower®  Boxwood,EVS
OR,013982,BUXUS SEMP SUFFRUTICOSA,Buxus sempervirens 'Suffruticosa'                           ,Dwarf English Boxwood                                       ,EVS
OR,01388EGL,BUXUS SEMP VARIEGATA,Buxus sempervirens 'Variegata'                              ,Variegated English Boxwood                                  ,EVS
OR,01388UT,BUXUS SEMP VARIEGATA,Buxus sempervirens 'Variegata'                              ,Variegated English Boxwood                                  ,EVS
OR,03597UT,BUXUS WEE WILLIE R PP17007,"Buxus sinica var. insularis 'Wee Willie' P.P.# 17,007       ",Wee Willie®  Boxwood,EVS
OR,013991,CALLICARPA BOD PROFUSION,Callicarpa bodinieri 'Profusion'                            ,Profusion Beautyberry                                       ,DCS
OR,013995,CALLICARPA BOD PROFUSION,Callicarpa bodinieri 'Profusion'                            ,Profusion Beautyberry                                       ,DCS
OR,092922,CALLICARPA DICH SUMMER SNOW R,Callicarpa dichotoma Summer Snow® ,Summer Snow®  Beauty Berry,DCS
OR,029051,CALLUNA MRS. RONALD GRAY,Calluna vulgaris 'Mrs. Ronald Gray'                         ,Mrs. Ronald Gray Scotch Heather                             ,EVS
OR,02235UT,CAMPANULA CAR DEEP BLUE CLIPS,Campanula carpatica 'Deep Blue Clips'                       ,Deep Blue Clips Bellflower                                  ,PRN
OR,408421,CAMPANULA GLOM GENTI BLUE PPAF,Campanula glomerata 'Genti Blue'                            ,Genti Blue Bellflower                                       ,PRN
OR,408411,CAMPANULA GLOM GENTI WHITE PAF,Campanula glomerata 'Genti White'                           ,Genti White Bellflower                                      ,PRN
OR,022361,CAMPANULA PORTENSCHLAGIANA,Campanula portenschlagiana                                  ,Dalmatian Bellflower                                        ,PRN
OR,038611,CAMPANULA SAMANTHA,Campanula 'Samantha'                                        ,Samantha Bellflower                                         ,PRN
OR,022495,CARAGANA ARB WALKER,Caragana arborescens 'Walker'                               ,Walker Siberian Peashrub                                    ,TRE
OR,092891,CARY CLA KORBALL BLU BALLOON R,Caryopteris x clandonensis 'Korball' Blue Balloon® ,Blue Balloon®  Bluebeard,DCS
OR,092892,CARY CLA KORBALL BLU BALLOON R,Caryopteris x clandonensis 'Korball' Blue Balloon® ,Blue Balloon®  Bluebeard,DCS
OR,031295,CEANOTHUS CENTENNIAL,Ceanothus 'Centennial'                                      ,Centennial Hybrid Wild Lilac                                ,EVS
OR,023185,CEANOTHUS THY VICTORIA,Ceanothus thyrsiflorus 'Victoria'                           ,Victoria California Lilac                                   ,EVS
OR,074432S,CEANOTHUS X MARIE BLEU TM PPAF,Ceanothus x pallidus 'Minmari' P.P.A.F.                     ,Marie Bleu™  New Jersey Tea,DCS
OR,023305,CEDRUS ATLANTICA GLAUCA,Cedrus atlantica 'Glauca'                                   ,Blue Atlas Cedar                                            ,CON
OR,023315SE,CEDRUS ATLANTICA GLAUCA PNDULA,Cedrus atlantica 'Glauca Pendula'                           ,Weeping Blue Atlas Cedar                                    ,CON
OR,023315ST,CEDRUS ATLANTICA GLAUCA PNDULA,Cedrus atlantica 'Glauca Pendula'                           ,Weeping Blue Atlas Cedar                                    ,CON
OR,023327,CEDRUS ATLANTICA HORSTMANN,Cedrus atlantica 'Horstmann'                                ,Horstmann Blue Atlas Cedar                                  ,CON
OR,023355,CEDRUS DEODARA,Cedrus deodara                                              ,Deodar Cedar                                                ,CON
OR,023357,CEDRUS DEODARA,Cedrus deodara                                              ,Deodar Cedar                                                ,CON
OR,023359,CEDRUS DEODARA,Cedrus deodara                                              ,Deodar Cedar                                                ,CON
OR,023365,CEDRUS DEODARA AUREA,Cedrus deodara 'Aurea'                                      ,Golden Deodar Cedar                                         ,CON
OR,02328MST,CEDRUS DEODARA FEELIN BLUE,Cedrus deodara 'Feelin' Blue'                               ,Feelin' Blue Deodar Cedar                                   ,CON
OR,051275ST,CEDRUS FEELIN SUNNY R PP23886,"Cedrus deodara 'MonKinn' P.P.# 23,886                       ",Feelin' Sunny®  Deodar Cedar,CON
OR,017381,CEPHALOTAXUS HAR FASTIGIATA,Cephalotaxus harringtonia 'Fastigiata'                      ,Upright Japanese Plum Yew                                   ,CON
OR,017382,CEPHALOTAXUS HAR FASTIGIATA,Cephalotaxus harringtonia 'Fastigiata'                      ,Upright Japanese Plum Yew                                   ,CON
OR,017385,CEPHALOTAXUS HAR FASTIGIATA,Cephalotaxus harringtonia 'Fastigiata'                      ,Upright Japanese Plum Yew                                   ,CON
OR,028832,CEPHALOTAXUS HAR PROSTRATA,Cephalotaxus harringtonia 'Prostrata'                       ,Spreading Japanese Plum Yew                                 ,CON
OR,028835,CEPHALOTAXUS HAR PROSTRATA,Cephalotaxus harringtonia 'Prostrata'                       ,Spreading Japanese Plum Yew                                 ,CON
OR,023481,CERATOSTIGMA PLUMBAGINOIDES,Ceratostigma plumbaginoides                                 ,Dwarf Plumbago                                              ,PRN
OR,038425,CERCIS C ACE OF HEARTS PP17161,"Cercis canadensis 'Ace Of Hearts' P.P. #17,161              ",Ace of Hearts Redbud                                        ,TRE
OR,049545,CERCIS C LITTLE WOODY PPAF,"Cercis canadensis 'Little Woody' P.P. #15,854               ",Little Woody Redbud                                         ,TRE
OR,017855,CERCIS LAVENDER TWIST R P10328,"Cercis canadensis 'Covey' P.P. #10,328                      ",Lavender Twist®  Redbud,TRE
OR,074442S,CHAEN DBLTKE TM OR STRM P20950,"Chaenomeles speciosa 'Orange Storm' P.P. #20,950, C.B.R.A.F.",Double Take™  Orange Storm Flowering Quince,DCS
OR,074452S,CHAEN DBLTKE TM PK STRM P20920,"Chaenomeles speciosa 'Pink Storm' P.P.# 20,920, CBRAF       ",Double Take™  Pink Storm Flowering Quince,DCS
OR,033805,CHAM L YVONNE-GUARDIAN R,Chamaecyparis lawsoniana 'Yvonne'                           ,Yvonne Port Orford Cedar - The Guardian®  Series,CON
OR,023655,CHAM NOOT PENDULA,Chamaecyparis nootkatensis 'Pendula'                        ,Weeping Nootka Cypress                                      ,CON
OR,02365M,CHAM NOOT PENDULA,Chamaecyparis nootkatensis 'Pendula'                        ,Weeping Nootka Cypress                                      ,CON
OR,023905,CHAM OBT FILICOIDES,Chamaecyparis obtusa 'Filicoides'                           ,Fernspray False Cypress                                     ,CON
OR,023685,CHAM OBT GRACILIS,Chamaecyparis obtusa 'Gracilis'                             ,Slender Hinoki False Cypress                                ,CON
OR,023912,CHAM OBT TEMPELHOF,Chamaecyparis obtusa 'Tempelhof'                            ,Tempelhof Cypress                                           ,CON
OR,082401,CHAM PIS BABY BLUE,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    ,CON
OR,082402,CHAM PIS BABY BLUE,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    ,CON
OR,082405,CHAM PIS BABY BLUE,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    ,CON
OR,08240UT,CHAM PIS BABY BLUE,Chamaecyparis pisifera 'Baby Blue'                          ,Baby Blue Sawara Cypress                                    ,CON
OR,024031,CHAM PIS FIL GOLDEN CHARM,Chamaecyparis pisifera filifera 'Golden Charm'              ,Golden Charm Thread-Branch Cypress                          ,CON
OR,024035,CHAM PIS FIL GOLDEN CHARM,Chamaecyparis pisifera filifera 'Golden Charm'              ,Golden Charm Thread-Branch Cypress                          ,CON
OR,074782S,CHAM PIS SOFT SERVE R PPAF,Chamaecyparis pisifera 'Dow Whiting' P.P.A.F.               ,Soft Serve®  False Cypress,CON
OR,023822,CHAM PIS SQUARROSA MINIMA,Chamaecyparis pisifera 'Squarrosa Minima'                   ,Miniature Moss False Cypress                                ,CON
OR,024165,CHIONANTHUS RETUSUS,Chionanthus retusus                                         ,Chinese Fringe Tree                                         ,TRE
OR,024185,CHIONANTHUS VIRGINICUS,Chionanthus virginicus                                      ,White Fringe Tree                                           ,TRE
OR,048622,CHOISYA TERN SUNDANCE,Choisya ternata 'Sundance'                                  ,Sundance Mexican Orange Blossom                             ,EVS
OR,412561,CHRY (LEU) REAL CHARMER PPAF,Chrysanthemum 'Real Charmer' P.P.A.F.                       ,Real Charmer Shasta Daisy                                   ,PRN
OR,412571,CHRY (LEU) REAL GALAXY PPAF,Chrysanthemum 'Real Galaxy' P.P.A.F.                        ,Real Galaxy Shasta Daisy                                    ,PRN
OR,407861,CHRY (LEUCA) X REAL GLORY,Chrysanthemum 'Real Glory' P.P.A.F.                         ,Real Glory Shasta Daisy                                     ,PRN
OR,023021,CHRYS (LEUCANTH) X SUP BECKY,Chrysanthemum x superbum 'Becky'                            ,Becky Shasta Daisy                                          ,PRN
OR,050515,CISTUS GRAYSWOOD PINK,Cistus 'Grayswood Pink'                                     ,Grayswood Pink Rock Rose                                    ,EVS
OR,048041,CLEM CENTER STAR TM PP17010,"Clematis x 'Center Star' P.P.# 17,010                       ",Center Star Clematis                                        ,PRN
OR,027251,CLEM INTEGRIFOLIA CAERULEA,Clematis integrifolia 'Caerulea'                            ,Bushy Blue Bell Clematis                                    ,PRN
