Loc,Item,Size,Description,Botanical Name,Common Name,,,,,,,,,,,,,,,,
OR,017962,#2,ERICA KRAMER'S RED,Erica x darleyensis 'Kramer's Rote'                         ,Kramer's Red Winter Heath                                   ,,,,,,,,,,,,,,,,
OR,032071,#1,ERICA MEDITERRANEAN PINK,Erica x darleyensis 'Mediterranean Pink'                    ,Mediterranean Pink Heath                                    ,,,,,,,,,,,,,,,,
OR,032072,#2,ERICA MEDITERRANEAN PINK,Erica x darleyensis 'Mediterranean Pink'                    ,Mediterranean Pink Heath                                    ,,,,,,,,,,,,,,,,
OR,032081,#1,ERICA SILBERSCHMELZE,Erica x darleyensis 'Silberschmelze'                        ,White Bell Winter Heath                                     ,,,,,,,,,,,,,,,,
OR,032082,#2,ERICA SILBERSCHMELZE,Erica x darleyensis 'Silberschmelze'                        ,White Bell Winter Heath                                     ,,,,,,,,,,,,,,,,
OR,083722,#2,FERN-POLYSTICHUM POLYBLEPHARUM,Polystichum polyblepharum                                   ,Tassel Fern                                                 ,,,,,,,,,,,,,,,,
OR,412661,#1,GAURA L LITTLE JANIE,Gaura lindhemeri 'Little Janie' P.P.A.F.                    ,Little Janie Gaura                                          ,,,,,,,,,,,,,,,,
OR,036481,#1,GAURA PASSIONATE RAINBW P17002,"Gaura lindheimeri 'Passionate Rainbow' P.P.# 17,002         ",Passionate Rainbow Gaura                                    ,,,,,,,,,,,,,,,,
OR,039462,#2,HEBE PING SUTHERLANDII,Hebe pinguifolia 'Sutherlandii'                             ,Sutherland Hebe                                             ,,,,,,,,,,,,,,,,
OR,063832,#2,HYD ANG GOLDEN CRANE R,Hydrangea angustipetala 'MonLongShou'                       ,Golden Crane®  Hydrangea,,,,,,,,,,,,,,,,
OR,063835,#5,HYD ANG GOLDEN CRANE R,Hydrangea angustipetala 'MonLongShou'                       ,Golden Crane®  Hydrangea,,,,,,,,,,,,,,,,
OR,042607,#7,ILEX AQ ARGENTEOMARGINATA,Ilex aquifolium 'Argenteo Marginata'                        ,Variegated English Holly                                    ,,,,,,,,,,,,,,,,
OR,042609,#15,ILEX AQ ARGENTEOMARGINATA,Ilex aquifolium 'Argenteo Marginata'                        ,Variegated English Holly                                    ,,,,,,,,,,,,,,,,
OR,043055,#5,ILEX AQ GOLD COAST R,Ilex aquifolium 'Monvila'                                   ,Gold Coast®  English Holly,,,,,,,,,,,,,,,,
OR,044902,#2,ILEX CREN HELLERI,Ilex crenata 'Helleri'                                      ,Heller's Japanese Holly                                     ,,,,,,,,,,,,,,,,
OR,089972S,SuperTwo,ILEX CREN PATTI O TM,                                                            ,                                                            ,,,,,,,,,,,,,,,,
OR,031155,#5,ILEX X HONEY MAID PP12060,Ilex x 'Honey Maid' P.P.# 12060                             ,Honey Maid Holly                                            ,,,,,,,,,,,,,,,,
OR,019652,#2,ILEX X RED BEAUTY R PP14750,Ilex x 'Rutzan' P.P.# 14750                                 ,Red Beauty®  Holly,,,,,,,,,,,,,,,,
OR,019655,#5,ILEX X RED BEAUTY R PP14750,Ilex x 'Rutzan' P.P.# 14750                                 ,Red Beauty®  Holly,,,,,,,,,,,,,,,,
OR,086671,#1,KNIPH LEMON POPSICLE TM PPAF,"Kniphofia 'Lemon Popsicle' P.P. 24,01                       ",Lemon Popsicle Hot Poker                                    ,,,,,,,,,,,,,,,,
OR,054335,#5,LABURNUM X WAT VOSSII,Laburnum x Watereri 'Vossii'                                ,Golden Chain Tree                                           ,,,,,,,,,,,,,,,,
OR,058941,#1,LITHODORA GRACE WARD,Lithodora diffusa 'Grace Ward'                              ,Grace Ward Lithodora                                        ,,,,,,,,,,,,,,,,
OR,404612,#2,LOBELIA SPEC FAN SCARLET,Lobelia x speciosa 'Fan Scarlet'                            ,Fan Scarlet Lobelia                                         ,,,,,,,,,,,,,,,,
OR,062225,#5,NAND D SIENNA SUNRISE R P14693,"Nandina domestica 'Monfar' P.P. #14,693                     ",Sienna Sunrise®  Heavenly Bamboo,,,,,,,,,,,,,,,,
OR,062122,#2,NAND DOM GULF STREAM,Nandina domestica 'Gulf Stream'                             ,Gulf Stream Heavenly Bamboo                                 ,,,,,,,,,,,,,,,,
OR,062332,#2,NAND DOM HARBOUR DWARF,Nandina domestica 'Harbour Dwarf'                           ,Harbour Dwarf Heavenly Bamboo                               ,,,,,,,,,,,,,,,,
OR,062217,#7,NAND DOM PLUM PASSION R P12069,Nandina domestica 'Monum' P.P.# 12069                       ,Plum Passion®  Heavenly Bamboo,,,,,,,,,,,,,,,,
OR,063231,#1,OSMANTHUS HET GOSHIKI,Osmanthus heterophyllus 'Goshiki'                           ,Goshiki False Holly                                         ,,,,,,,,,,,,,,,,
OR,063232,#2,OSMANTHUS HET GOSHIKI,Osmanthus heterophyllus 'Goshiki'                           ,Goshiki False Holly                                         ,,,,,,,,,,,,,,,,
OR,063235,#5,OSMANTHUS HET GOSHIKI,Osmanthus heterophyllus 'Goshiki'                           ,Goshiki False Holly                                         ,,,,,,,,,,,,,,,,
OR,063235CN,#5 CONE,OSMANTHUS HET GOSHIKI,Osmanthus heterophyllus 'Goshiki'                           ,Goshiki False Holly                                         ,,,,,,,,,,,,,,,,
OR,06323UT,LittleOne,OSMANTHUS HET GOSHIKI,Osmanthus heterophyllus 'Goshiki'                           ,Goshiki False Holly                                         ,,,,,,,,,,,,,,,,
