Loc,Item,Size,Plant Name,Botanical Name,Common Name,Chosen Items,Royalty Code,UPC#
CT,400811,#1,ASTILBE YOUNIQUE CRM TM P20324,                                                            ,                                                            ,,,14949388594
CT,400821,#1,ASTILBE YOUNIQUE SLP TM P20656,                                                            ,                                                            ,,,14949388600
OR,23191,#1,ASTRANTIA ABBEY ROAD PP14961,Astrantia major 'Abbey Road' P.P.# 14961                    ,Abbey Road Masterwort                                       ,,REZ,14949043103
OR,3551,#1,AUBRIETA ROKEY'S PURPLE,Aubrieta x cultorum 'Rokey's Purple'                        ,Rokey's Purple Aubrieta                                     ,,,14949035511
CA,3561,#1,AUCUBA MR GOLDSTRIKE,Aucuba japonica 'Mr. Goldstrike'                            ,Mr. Goldstrike Aucuba                                       ,,,14949035610
OR,3562,#2,AUCUBA MR GOLDSTRIKE,Aucuba japonica 'Mr. Goldstrike'                            ,Mr. Goldstrike Aucuba                                       ,,,14949035627
GA,3562,#2,AUCUBA MR GOLDSTRIKE,Aucuba japonica 'Mr. Goldstrike'                            ,Mr. Goldstrike Aucuba                                       ,,,14949035627
CA,3651,#1,AUCUBA SERRATIFOLIA,Aucuba japonica 'Serratifolia'                              ,Sawtoothed Japanese Aucuba                                  ,,,14949036518
GA,3651,#1,AUCUBA SERRATIFOLIA,Aucuba japonica 'Serratifolia'                              ,Sawtoothed Japanese Aucuba                                  ,,,14949036518
CA,3655,#5,AUCUBA SERRATIFOLIA,Aucuba japonica 'Serratifolia'                              ,Sawtoothed Japanese Aucuba                                  ,,,14949036556
GA,3655,#5,AUCUBA SERRATIFOLIA,Aucuba japonica 'Serratifolia'                              ,Sawtoothed Japanese Aucuba                                  ,,,14949036556
CA,078761S,SuperOne TM,AZ BLM-A-THON TM DB PK PP21477,"Rhododendron x 'RLH1-2P8' P.P. #21,477                      ",Bloom-A-Thon®  Pink Double Reblooming Azalea,,PW,14949359747
GA,078761S,SuperOne TM,AZ BLM-A-THON TM DB PK PP21477,"Rhododendron x 'RLH1-2P8' P.P. #21,477                      ",Bloom-A-Thon®  Pink Double Reblooming Azalea,,PW,14949359747
GA,078762S,SuperTwo,AZ BLM-A-THON TM DB PK PP21477,"Rhododendron x 'RLH1-2P8' P.P. #21,477                      ",Bloom-A-Thon®  Pink Double Reblooming Azalea,,PW,14949359730
CA,078751S,SuperOne TM,AZ BLM-A-THON TM LVNDR PP21476,"Rhododendron x 'RLH14P19' P.P.# 21,476                      ",Bloom-A-Thon®  Lavender Reblooming Azalea,,PW,14949359716
GA,078771S,SuperOne TM,AZ BLM-A-THON TM RED PP21562,"Rhododendron x 'RLH1-1P2' P.P. #21,562                      ",Bloom-A-Thon®  Red Reblooming Azalea,,PW,14949359693
GA,078772S,SuperTwo,AZ BLM-A-THON TM RED PP21562,"Rhododendron x 'RLH1-1P2' P.P. #21,562                      ",Bloom-A-Thon®  Red Reblooming Azalea,,PW,14949359709
GA,078782S,SuperTwo,AZ BLM-A-THON TM WHITE PP21512,"Rhododendron x 'RLH1-3P3' P.P.#21,512                       ",Bloom-A-Thon®  White Reblooming Azalea,,PW,14949359686
CA,4401,#1,AZALEA B ALASKA,Azalea indica 'Alaska' (Rutherfordiana hybrid)              ,Alaska Azalea                                               ,,,14949044018
CA,004752PT,#2 PATIO TREE,AZALEA B HAPPY DAYS,Azalea indica 'Happy Days'                                  ,Happy Days Azalea                                           ,,,14949047620
CA,4755,#5,AZALEA B HAPPY DAYS,Azalea indica 'Happy Days'                                  ,Happy Days Azalea                                           ,,,14949047552
CA,005252PT,#2 PATIO TREE,AZALEA B ROSE GLOW,Azalea indica 'Rose Glow'                                   ,Rose Glow Azalea                                            ,,,14949052624
CT,400923,#3,AZALEA BOLLYWOOD R PPAF,                                                            ,                                                            ,,,14949388617
OR,7072,#2,AZALEA EX CANNON'S DOUBLE,Azalea x 'Cannon's Double' (Exbury hybrid)                  ,Cannon's Double Azalea                                      ,,,14949070727
OR,7075,#5,AZALEA EX CANNON'S DOUBLE,Azalea x 'Cannon's Double' (Exbury hybrid)                  ,Cannon's Double Azalea                                      ,,,14949070758
OR,7242,#2,AZALEA EX DAWN'S CHORUS,Azalea x 'Dawn's Chorus' (Exbury hybrid)                    ,Dawn's Chorus Azalea                                        ,,,14949072424
OR,8305,#5,AZALEA EX KLONDYKE,Azalea x 'Klondyke' (Exbury hybrid)                         ,Klondyke Azalea                                             ,,,14949083055
OR,8451,#1,AZALEA GA ROSEBUD,Azalea x 'Rosebud' (Gable Hybrid)                           ,Rosebud Azalea                                              ,,,14949084519
OR,8452,#2,AZALEA GA ROSEBUD,Azalea x 'Rosebud' (Gable Hybrid)                           ,Rosebud Azalea                                              ,,,14949084526
OR,7401,#1,AZALEA GR FUCHSIA,Azalea x 'Girard's Fuchsia' (Girard hybrid)                 ,Girard's Fuchsia Azalea                                     ,,,14949074015
CA,7452,#2,AZALEA GR GIRARD HOT SHOT,Azalea x 'Girard's Hot Shot' (Girard hybrid)                ,Girard's Hot Shot Azalea                                    ,,,14949074527
CA,7601,#1,AZALEA GR ROSE,Azalea x 'Girard's Rose' (Girard hybrid)                    ,Girard's Rose Azalea                                        ,,,14949076019
OR,7602,#2,AZALEA GR ROSE,Azalea x 'Girard's Rose' (Girard hybrid)                    ,Girard's Rose Azalea                                        ,,,14949076026
CA,7602,#2,AZALEA GR ROSE,Azalea x 'Girard's Rose' (Girard hybrid)                    ,Girard's Rose Azalea                                        ,,,14949076026
CT,401033,#3,AZALEA KIMBERLYS DBL PINK,                                                            ,                                                            ,,,14949388693
CT,401003,#3,AZALEA POUKHANENSE COMP,                                                            ,                                                            ,,,14949388778
CA,5601,#1,AZALEA S BRILLIANT,Azalea 'Brilliant' (Southern Indica)                        ,Brilliant Azalea                                            ,,,14949056011
CA,5605,#5,AZALEA S BRILLIANT,Azalea 'Brilliant' (Southern Indica)                        ,Brilliant Azalea                                            ,,,14949056059
CA,005605PT,#5 PATIO TREE,AZALEA S BRILLIANT,Azalea 'Brilliant' (Southern Indica)                        ,Brilliant Azalea                                            ,,,14949056158
CA,5751,#1,AZALEA S GEORGE L TABER,Azalea 'George L. Taber' (Southern Indica)                  ,George L. Taber Azalea                                      ,,,14949057513
CA,005755PT,#5 PATIO TREE,AZALEA S GEORGE L TABER,Azalea 'George L. Taber' (Southern Indica)                  ,George L. Taber Azalea                                      ,,,14949057759
CA,5955,#5,AZALEA S IMP PRINCESS TM,Azalea 'Moness' (Southern Indica)                           ,Imperial Princess™  Azalea,,,14949059555
CA,6101,#1,AZALEA S L J BOBBINK,Azalea 'L. J. Bobbink' (Rutherfordiana hybrid)              ,L. J. Bobbink Azalea                                        ,,,14949061015
CA,6051,#1,AZALEA S LITTLE JOHN,Azalea 'Little John' (Southern Indica)                      ,Little John Azalea                                          ,,,14949060513
CA,6055,#5,AZALEA S LITTLE JOHN,Azalea 'Little John' (Southern Indica)                      ,Little John Azalea                                          ,,,14949060551
CA,4831,#1,AZALEA S MISTRAL,Azalea 'Mistral' (Southern Indica)                          ,Mistral Azalea                                              ,,,14949048313
CA,6151,#1,AZALEA S NUCCIO'S CARNIVAL,Azalea 'Nuccio's Carnival' (Southern Indica)                ,Nuccio's Carnival Azalea                                    ,,,14949061510
CA,6301,#1,AZALEA S PHOENICIA,Azalea 'Phoenicia' (Southern Indica)                        ,Phoenicia Azalea                                            ,,,14949063019
CA,6305,#5,AZALEA S PHOENICIA,Azalea 'Phoenicia' (Southern Indica)                        ,Phoenicia Azalea                                            ,,,14949063057
CA,006305PT,#5 PATIO TREE,AZALEA S PHOENICIA,Azalea 'Phoenicia' (Southern Indica)                        ,Phoenicia Azalea                                            ,,,14949063156
CA,6401,#1,AZALEA S RED RUFFLES,Azalea 'Red Ruffles' (Rutherfordiana hybrid)                ,Red Ruffles Azalea                                          ,,,14949064016
CA,6501,#1,AZALEA S SOUTHERN CHARM,Azalea 'Southern Charm' (Southern Indica)                   ,Southern Charm Azalea                                       ,,,14949065013
CA,6505,#5,AZALEA S SOUTHERN CHARM,Azalea 'Southern Charm' (Southern Indica)                   ,Southern Charm Azalea                                       ,,,14949065051
CA,006505PT,#5 PATIO TREE,AZALEA S SOUTHERN CHARM,Azalea 'Southern Charm' (Southern Indica)                   ,Southern Charm Azalea                                       ,,,14949065259
CA,7361,#1,AZALEA SK GETSUTOKU,Azalea 'Getsutoku' (Satsuki hybrid)                         ,Getsutoku Azalea                                            ,,,14949073612
CA,8511,#1,AZALEA SK SHUGETSU,Azalea 'Shugetsu' (Satsuki hybrid)                          ,Autumn Moon Azalea                                          ,,,14949085110
CT,401043,#3,AZALEA SWEET SIXTEEN PP12847,                                                            ,                                                            ,,,14949388808
OR,49782,#2,AZARA MICRO VARIEGATA,Azara microphylla 'Variegata'                               ,Variegated Box-Leaf Azara                                   ,,HIN,14949282526
OR,49775,#5,AZARA MICROPHYLLA,Azara microphylla                                           ,Box-leaf Azara                                              ,,HIN,14949288542
OR,35535,#5,BAM-BORINDA ANGUSTISSIMA(CLMP),Borinda angustissima                                        ,Narrow-Leaved Clumping Bamboo                               ,,,14949207925
OR,53491,#1,BAM-BORINDA BOLIANA (CLUMP),Borinda boliana (Clumping)                                  ,Giant Blue Bamboo                                           ,,,14949375501
OR,53492,#2,BAM-BORINDA BOLIANA (CLUMP),Borinda boliana (Clumping)                                  ,Giant Blue Bamboo                                           ,,,14949282168
OR,53495,#5,BAM-BORINDA BOLIANA (CLUMP),Borinda boliana (Clumping)                                  ,Giant Blue Bamboo                                           ,,,14949282175
CT,402541S,SuperOne TM,BAM-FARGESIA DENUDATA,                                                            ,                                                            ,,,14949388846
CT,025211S,SuperOne TM,BAM-FARGESIA RUFA (CLUMP),Fargesia rufa                                               ,Sunset Glow Bamboo                                          ,,,14949400760
OR,25212,#2,BAM-FARGESIA RUFA (CLUMP),Fargesia rufa                                               ,Sunset Glow Bamboo                                          ,su,,14949191972
CT,25213,#3,BAM-FARGESIA RUFA (CLUMP),Fargesia rufa                                               ,Sunset Glow Bamboo                                          ,,,14949400777
OR,25215,#5,BAM-FARGESIA RUFA (CLUMP),Fargesia rufa                                               ,Sunset Glow Bamboo                                          ,,,14949050187
CT,402563,#3,BAM-FARGESIA RUFA GREAT WALL,                                                            ,                                                            ,,,14949388877
CT,402581S,SuperOne TM,BAM-FARGESIA SCABRIDA,                                                            ,                                                            ,,,14949388891
CT,402583,#3,BAM-FARGESIA SCABRIDA,                                                            ,                                                            ,,,14949388907
CA,11407,#7,BAM-OTATEA AC AZTECTORUM (CLP),Otatea acuminata aztecorum                                  ,Mexican Weeping Bamboo                                      ,,,14949114070
CA,11427,#7,BAM-PHYLLO AUREA (RUN),Phyllostachys aurea                                         ,Golden Bamboo                                               ,1,,14949114278
CA,11447,#7,BAM-PHYLLO NIGRA (RUN),Phyllostachys nigra                                         ,Black Bamboo                                                ,,,14949114476
CA,11385,#5,BAMBUSA GOLDEN GODDESS (CLUMP),Bambusa multiplex 'Golden Goddess'                          ,Golden Goddess Bamboo                                       , ,,14949113851
CA,11317,#7,BAMBUSA OLDHAMII (CLUMP),Bambusa oldhamii                                            ,Giant Timber Bamboo                                         ,,,14949113172
CA,11325,#5,BAMBUSA TULDOIDES (CLUMP),Bambusa tuldoides                                           ,Punting Pole Bamboo                                         ,,,14949113257
CA,11327,#7,BAMBUSA TULDOIDES (CLUMP),Bambusa tuldoides                                           ,Punting Pole Bamboo                                         ,,,14949113271
CA,11335,#5,BAMBUSA VENTRICOSA (CLUMP),Bambusa ventricosa                                          ,Buddha's Belly Bamboo                                       ,,,14949113356
GA,2781,#1,BAPTISIA 'PURPLE SMOKE',Baptisia x 'Purple Smoke'                                   ,Purple Smoke False Indigo                                   ,,,14949352618
CA,2191,#1,BAPTISIA AUSTRALIS,Baptisia australis                                          ,Blue False Indigo                                           ,,,14949011324
CT,401051S,SuperOne TM,BAPTISIA DECADENCE R CHRS JUBL,                                                            ,                                                            ,,PW,14949410981
CT,401061,#1,BAPTISIA SOLAR FLARE PP20408,                                                            ,                                                            ,,,14949388921
CA,64021,#1,BASIL PESTO PERPETUO PP16260,Ocimum x citriodorum 'Pesto Perpetuo' P.P.# 16260           ,Pesto Perpetuo Basil                                        ,,SBN,14949315477
CT,64021,#1,BASIL PESTO PERPETUO PP16260,Ocimum x citriodorum 'Pesto Perpetuo' P.P.# 16260           ,Pesto Perpetuo Basil                                        ,,SBN,14949315477
CT,06402RND,Pint ROUND,BASIL PESTO PERPETUO PP16260,Ocimum x citriodorum 'Pesto Perpetuo' P.P.# 16260           ,Pesto Perpetuo Basil                                        ,,SBN,14949384749
CA,11505,#5,BAUHINIA BLAK HONG KONG,Bauhinia blakeana                                           ,Hong Kong Orchid Tree                                       ,,,14949115053
OR,50021,#1,BEESIA DELTOPHYLLA,Beesia deltophylla                                          ,Beesia                                                      ,,HIN,14949288597
GA,05917UT,LittleOne,BELLIS PERENNIS ROMINETTE MIX,Bellis perennis 'Rominette Mix'                             ,Rominette Mix English Daisy                                 ,,,14949307724
OR,23941,#1,BER CRIMSON RUBY R PPAF,Berberis thunbergii 'Criruzam'                              ,Crimson Ruby®  Japanese Barberry,,LHI,14949044438
OR,23942,#2,BER CRIMSON RUBY R PPAF,Berberis thunbergii 'Criruzam'                              ,Crimson Ruby®  Japanese Barberry,,LHI,14949113769
OR,02394M,#10 Squat,BER CRIMSON RUBY R PPAF,Berberis thunbergii 'Criruzam'                              ,Crimson Ruby®  Japanese Barberry,,LHI,14949367681
CA,12031,#1,BER GOLDN NUGGET TM P9577 CBR,"Berberis thunbergii 'Monlers' P.P. #9,577, Can. PBR #3489   ",Golden Nugget™  Dwarf Japanese Barberry,su,EHE,14949120316
OR,074741S,SuperOne TM,BER SUNJOY R GOLD PILLAR PPAF,"Berberis thunbergii 'Maria' P.P. #18,082                    ",Sunjoy®  Gold Pillar Barberry,,PW,14949335642
CA,074741S,SuperOne TM,BER SUNJOY R GOLD PILLAR PPAF,"Berberis thunbergii 'Maria' P.P. #18,082                    ",Sunjoy®  Gold Pillar Barberry,,PW,14949335642
OR,074742S,SuperTwo,BER SUNJOY R GOLD PILLAR PPAF,"Berberis thunbergii 'Maria' P.P. #18,082                    ",Sunjoy®  Gold Pillar Barberry,,PW,14949339558
OR,080771S,SuperOne TM,BER SUNJOY R MINI SALSA PPAF,Berberis thunbergii 'Mimi' P.P.A.F.                         ,Sunjoy®  Mini Salsa Barberry,,PW,14949359501
OR,080772S,SuperTwo,BER SUNJOY R MINI SALSA PPAF,Berberis thunbergii 'Mimi' P.P.A.F.                         ,Sunjoy®  Mini Salsa Barberry,,PW,14949359518
OR,12001,#1,BER T ATROPURPUREA,Berberis thunbergii 'Atropurpurea'                          ,Red Leaf Japanese Barberry                                  ,,,14949120019
OR,12002,#2,BER T ATROPURPUREA,Berberis thunbergii 'Atropurpurea'                          ,Red Leaf Japanese Barberry                                  ,,,14949120026
OR,12011,#1,BER T CHERRY BOMB R CPBR 3488,Berberis thunbergii 'Monomb' Can. PBR #3488                 ,Cherry Bomb®  Japanese Barberry,,,14949120118
CT,2242,#2,BER T CONCORDE,Berberis thunbergii 'Concorde'                              ,Concorde Japanese Barberry                                  ,,,14949074671
OR,12051,#1,BER T CRIMSON PYGMY,Berberis thunbergii 'Crimson Pygmy' ('Atropurpurea Nana')   ,Crimson Pygmy Dwarf Japanese Barberry                       ,,,14949120514
CA,12052,#2,BER T CRIMSON PYGMY,Berberis thunbergii 'Crimson Pygmy' ('Atropurpurea Nana')   ,Crimson Pygmy Dwarf Japanese Barberry                       ,,,14949120521
CT,12052,#2,BER T CRIMSON PYGMY,Berberis thunbergii 'Crimson Pygmy' ('Atropurpurea Nana')   ,Crimson Pygmy Dwarf Japanese Barberry                       ,,,14949120521
CT,63002,#2,BER T GOLDEN ROCKET PP18411,                                                            ,                                                            ,,OLD,14949400807
OR,35231,#1,BER T GOLDEN RUBY R PP16203,"Berberis thunbergii 'Goruzam' P.P. #16,203                  ",Golden Ruby®  Barberry,1,LHI,14949213865
OR,35232,#2,BER T GOLDEN RUBY R PP16203,"Berberis thunbergii 'Goruzam' P.P. #16,203                  ",Golden Ruby®  Barberry,,LHI,14949214626
CT,35232,#2,BER T GOLDEN RUBY R PP16203,"Berberis thunbergii 'Goruzam' P.P. #16,203                  ",Golden Ruby®  Barberry,,LHI,14949214626
CT,401112,#2,BER T GOLDEN TREASURE,                                                            ,                                                            ,,,14949388990
OR,35271,#1,BER T GREEN HORNET TM,Berberis thunbergii 'Grhozam'                               ,Green Hornet™  Barberry,,LHI,14949206133
OR,35272,#2,BER T GREEN HORNET TM,Berberis thunbergii 'Grhozam'                               ,Green Hornet™  Barberry,,LHI,14949240441
OR,12101,#1,BER T HELMOND PILLAR,Berberis thunbergii 'Helmond Pillar'                        ,Helmond Pillar Barberry                                     ,,,14949121016
OR,12102,#2,BER T HELMOND PILLAR,Berberis thunbergii 'Helmond Pillar'                        ,Helmond Pillar Barberry                                     ,,,14949121023
OR,12105,#5,BER T HELMOND PILLAR,Berberis thunbergii 'Helmond Pillar'                        ,Helmond Pillar Barberry                                     ,,,14949121054
CA,20701,#1,BER T LIME GLOW,Berberis thunbergii 'Lime Glow'                             ,Lime Glow Japanese Barberry                                 ,,,14949039601
CA,20702,#2,BER T LIME GLOW,Berberis thunbergii 'Lime Glow'                             ,Lime Glow Japanese Barberry                                 ,,,14949055137
OR,62931,#1,BER T ORANGE ROCKET PP18411,"Berberis thunbergii 'Orange Rocket' P.P.#18,411             ",Orange Rocket Barberry                                      ,,PHS,14949348093
OR,62932,#2,BER T ORANGE ROCKET PP18411,"Berberis thunbergii 'Orange Rocket' P.P.#18,411             ",Orange Rocket Barberry                                      ,,PHS,14949348109
OR,62935,#5,BER T ORANGE ROCKET PP18411,"Berberis thunbergii 'Orange Rocket' P.P.#18,411             ",Orange Rocket Barberry                                      ,,PHS,14949324127
OR,35241,#1,BER T PYGMY RUBY TM,Berberis thunbergii 'Pygruzam'                              ,Pygmy Ruby™  Barberry,1,LHI,14949214602
OR,35242,#2,BER T PYGMY RUBY TM,Berberis thunbergii 'Pygruzam'                              ,Pygmy Ruby™  Barberry,,LHI,14949214619
OR,12201,#1,BER T ROSE GLOW,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,,,14949122013
CA,12201,#1,BER T ROSE GLOW,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,,,14949122013
OR,12202,#2,BER T ROSE GLOW,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,,,14949122020
CA,12202,#2,BER T ROSE GLOW,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,,,14949122020
OR,12203,#3,BER T ROSE GLOW,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,,,14949122037
OR,12205,#5,BER T ROSE GLOW,Berberis thunbergii 'Rose Glow'                             ,Rose Glow Japanese Barberry                                 ,,,14949122051
OR,12211,#1,BER T ROYAL BURGUNDY R P9461,Berberis thunbergii 'Gentry' P.P.# 9461                     ,Royal Burgundy®  Barberry,,LEO,14949122112
OR,12212,#2,BER T ROYAL BURGUNDY R P9461,Berberis thunbergii 'Gentry' P.P.# 9461                     ,Royal Burgundy®  Barberry,,LEO,14949122129
OR,12213,#3,BER T ROYAL BURGUNDY R P9461,Berberis thunbergii 'Gentry' P.P.# 9461                     ,Royal Burgundy®  Barberry,,LEO,14949122136
OR,29662,#2,BER T ROYAL CLOAK,Berberis thunbergii 'Royal Cloak'                           ,Royal Cloak Japanese Barberry                               ,,Y,14949070901
OR,29665,#5,BER T ROYAL CLOAK,Berberis thunbergii 'Royal Cloak'                           ,Royal Cloak Japanese Barberry                               ,,Y,14949066539
OR,11931,#1,BER T SUNSATION R PP11332 CBR,"Berberis thunbergii 'Monry' P.P.# 11332, Can. PBR #3487     ",Sunsation®  Japanese Barberry,,EHE,14949119310
OR,11932,#2,BER T SUNSATION R PP11332 CBR,"Berberis thunbergii 'Monry' P.P.# 11332, Can. PBR #3487     ",Sunsation®  Japanese Barberry,,EHE,14949119327
OR,22021,#1,BERGENIA COR WINTERGLOW,Bergenia cordifolia 'Winterglut'                            ,Winterglow Bergenia                                         ,,,14949043349
CA,79142,#2,BESCHORNERIA FLMNG GLW P22162,"Beschorneria yuccoides 'BESYS' P.P.#22,162                  ",Flamingo Glow Mexican Lily                                  ,,Y,14949357224
CT,01429M,#10 Squat,BETULA HERITAGE TM (CLMP),Betula nigra 'Cully'                                        ,Heritage®  River Birch Multi,,,14949027455
OR,24715,#5,BETULA N SUMR CASCADE PP15150,Betula nigra 'Summer Cascade' P.P.# 15105                   ,Summer Cascade River Birch                                  ,,NCS,14949049464
OR,02471M,#10 Squat,BETULA N SUMR CASCADE PP15150,Betula nigra 'Summer Cascade' P.P.# 15105                   ,Summer Cascade River Birch                                  ,,NCS,14949213513
OR,2345,#5,BETULA NIGRA DURA HEAT R,Betula nigra 'BNMTF'                                        ,Dura Heat®  River Birch,,TIN,14949011553
GA,2345,#5,BETULA NIGRA DURA HEAT R,Betula nigra 'BNMTF'                                        ,Dura Heat®  River Birch,,TIN,14949011553
OR,12361,#1,BETULA PENDULA PURPLE RAIN R,Betula pendula 'Monle'                                      ,Purple Rain®  European White Birch,,,14949123614
OR,12365,#5,BETULA PENDULA PURPLE RAIN R,Betula pendula 'Monle'                                      ,Purple Rain®  European White Birch,,,14949123652
OR,012415ST,#5 STAKED,BETULA PENDULA YOUNGII,Betula pendula 'Youngii'                                    ,Young's Weeping Birch                                       ,,,14949125052
OR,012417SE,#7 SERPENTINE,BETULA PENDULA YOUNGII,Betula pendula 'Youngii'                                    ,Young's Weeping Birch                                       ,,,14949124178
CA,12511,#1 STAKED,BIGNONIA CAP TANGERINE BEAUTY,Bignonia capreolata 'Tangerine Beauty'                      ,Tangerine Beauty Crossvine                                  ,,,14949125113
GA,12511,#1 STAKED,BIGNONIA CAP TANGERINE BEAUTY,Bignonia capreolata 'Tangerine Beauty'                      ,Tangerine Beauty Crossvine                                  ,1,,14949125113
GA,12515,#5 STAKED,BIGNONIA CAP TANGERINE BEAUTY,Bignonia capreolata 'Tangerine Beauty'                      ,Tangerine Beauty Crossvine                                  ,,,14949125151
CA,12701,#1 STAKED,BOUG BARBARA KARST,Bougainvillea 'Barbara Karst'                               ,Barbara Karst Bougainvillea                                 ,,,14949127018
GA,12701,#1 STAKED,BOUG BARBARA KARST,Bougainvillea 'Barbara Karst'                               ,Barbara Karst Bougainvillea                                 ,,,14949127018
GA,12705,#5 STAKED,BOUG BARBARA KARST,Bougainvillea 'Barbara Karst'                               ,Barbara Karst Bougainvillea                                 ,,,14949127056
GA,012705PT,#5 PATIO TREE,BOUG BARBARA KARST,Bougainvillea 'Barbara Karst'                               ,Barbara Karst Bougainvillea                                 ,,,14949127155
GA,35041,#1 STAKED,BOUG BENGAL ORANGE,Bougainvillea 'Bengal Orange'                               ,Bengal Orange Bougainvillea                                 ,,,14949205624
CA,035042BH,#2 BUSH,BOUG BENGAL ORANGE,Bougainvillea 'Bengal Orange'                               ,Bengal Orange Bougainvillea                                 ,,,14949347362
GA,035045PT,#5 PATIO TREE,BOUG BENGAL ORANGE,Bougainvillea 'Bengal Orange'                               ,Bengal Orange Bougainvillea                                 ,,,14949240649
CA,090121BH,#1 BUSH,BOUG BLUEBERRY ICE,Bougainvillea 'Blueberry Ice'                               ,Blueberry Ice Bougainvillea                                 ,,,14949360408
CA,090122BH,#2 BUSH,BOUG BLUEBERRY ICE,Bougainvillea 'Blueberry Ice'                               ,Blueberry Ice Bougainvillea                                 ,,,14949360415
CA,12901,#1 STAKED,BOUG CAMARILLO FIESTA TM,Bougainvillea 'Monle'                                       ,Camarillo Fiesta™  Bougainvillea,,,14949129012
CA,12905,#5 STAKED,BOUG CAMARILLO FIESTA TM,Bougainvillea 'Monle'                                       ,Camarillo Fiesta™  Bougainvillea,,,14949129050
CA,12951,#1 STAKED,BOUG CHERRY BLOSSOM,Bougainvillea 'Cherry Blossom'                              ,Cherry Blossom Bougainvillea                                ,,,14949129517
CA,12955,#5 STAKED,BOUG CHERRY BLOSSOM,Bougainvillea 'Cherry Blossom'                              ,Cherry Blossom Bougainvillea                                ,,,14949129555
CA,13031,#1 STAKED,BOUG DON MARIO R,Bougainvillea 'Monio'                                       ,Don Mario®  Bougainvillea,,,14949130315
CA,12661,#1 STAKED,BOUG GOLD RUSH TM,Bougainvillea 'MONCliff'                                    ,Gold Rush™  Bougainvillea,,,14949126516
CA,12662,#2 STAKED,BOUG GOLD RUSH TM,Bougainvillea 'MONCliff'                                    ,Gold Rush™  Bougainvillea,,,14949232071
CA,12665,#5 STAKED,BOUG GOLD RUSH TM,Bougainvillea 'MONCliff'                                    ,Gold Rush™  Bougainvillea,,,14949126554
CA,16482,#2 STAKED,BOUG GOLDEN JACKPOT R,Bougainvillea 'MonSam'                                      ,Golden Jackpot®  Bougainvillea,,OLD,14949345269
CA,016482BH,#2 BUSH,BOUG GOLDEN JACKPOT R,Bougainvillea 'MonSam'                                      ,Golden Jackpot®  Bougainvillea,,OLD,14949238936
CA,13121,#1 STAKED,BOUG JAMES WALKER,Bougainvillea 'James Walker'                                ,James Walker Bougainvillea                                  ,,,14949131213
GA,013265PT,#5 PATIO TREE,BOUG OO-LA-LA R,Bougainvillea 'Monka'                                       ,Oo-La-La®  Bougainvillea,,,14949132753
CA,13201,#1 STAKED,BOUG ORANGE KING,Bougainvillea x buttiana 'Orange King'                      ,Orange King Bougainvillea                                   ,,,14949132012
GA,13201,#1 STAKED,BOUG ORANGE KING,Bougainvillea x buttiana 'Orange King'                      ,Orange King Bougainvillea                                   ,,,14949132012
CA,13205,#5 STAKED,BOUG ORANGE KING,Bougainvillea x buttiana 'Orange King'                      ,Orange King Bougainvillea                                   ,,,14949132050
GA,13205,#5 STAKED,BOUG ORANGE KING,Bougainvillea x buttiana 'Orange King'                      ,Orange King Bougainvillea                                   ,,,14949132050
CA,13051,#1 STAKED,BOUG PURPLE QUEEN R,Bougainvillea 'Moneth'                                      ,Purple Queen®  Bougainvillea,,,14949130513
GA,13051,#1 STAKED,BOUG PURPLE QUEEN R,Bougainvillea 'Moneth'                                      ,Purple Queen®  Bougainvillea,,,14949130513
CA,013051BH,#1 BUSH,BOUG PURPLE QUEEN R,Bougainvillea 'Moneth'                                      ,Purple Queen®  Bougainvillea,,,14949130711
GA,013051BH,#1 BUSH,BOUG PURPLE QUEEN R,Bougainvillea 'Moneth'                                      ,Purple Queen®  Bougainvillea,,,14949130711
GA,013052BH,#2 BUSH,BOUG PURPLE QUEEN R,Bougainvillea 'Moneth'                                      ,Purple Queen®  Bougainvillea,,,14949130728
CA,013052PT,#2 PATIO TREE,BOUG PURPLE QUEEN R,Bougainvillea 'Moneth'                                      ,Purple Queen®  Bougainvillea,,,14949210376
CA,13055,#5 STAKED,BOUG PURPLE QUEEN R,Bougainvillea 'Moneth'                                      ,Purple Queen®  Bougainvillea,,,14949130551
GA,13055,#5 STAKED,BOUG PURPLE QUEEN R,Bougainvillea 'Moneth'                                      ,Purple Queen®  Bougainvillea,,,14949130551
CA,013055BH,#5 BUSH,BOUG PURPLE QUEEN R,Bougainvillea 'Moneth'                                      ,Purple Queen®  Bougainvillea,,,14949130759
GA,013055BH,#5 BUSH,BOUG PURPLE QUEEN R,Bougainvillea 'Moneth'                                      ,Purple Queen®  Bougainvillea,,,14949130759
CA,013055ES,#5 ESPALIER,BOUG PURPLE QUEEN R,Bougainvillea 'Moneth'                                      ,Purple Queen®  Bougainvillea,,,14949130957
CA,013055PT,#5 PATIO TREE,BOUG PURPLE QUEEN R,Bougainvillea 'Moneth'                                      ,Purple Queen®  Bougainvillea,,,14949130650
