Loc,New Plant,Item,Size,Plant Name,Category,Zone,2015 List Price,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
CA,2011,65501,#1,SEMPERVIVUM ARACHNOIDEUM,PRN,3,6,15,10,     ,29,4/1/2015,     ,          ,     ,          
CA,2011,65601,#1,SEMPERVIVUM GREEN WHEEL,PRN,4,6,30,10,     ,708,4/1/2015,     ,          ,     ,          
OR,2011,56961,#1,SEMPERVIVUM RUBY HEARTS,PRN,4,6,10,10,     ,10,4/1/2015,     ,          ,     ,          
CA,2011,70011,#1,SEMPERVIVUM SILVER KING,PRN,4,6,10,10,     ,10,4/1/2015,     ,          ,     ,          
OR,New ,81211,#1,SMILACINA RACEMOSA,PRN,4,5.25,     ,10,     ,100,4/1/2015,     ,          ,     ,          
CA,2011,75941,#1,THYMUS HI HO SILVER,PRN,5,5.1,     ,10,     ,227,3/1/2015,     ,          ,     ,          
CA,2013,88841,#1,VERONICA FIRST LOVE PPAF,PRN,4,5.1,103,10,     ,103,4/1/2015,     ,          ,     ,          
OR,2014,79551,#1,VERONICA HYB TIDAL POOL PPAF,PRN,4,5.25,56,10,42,"1,184",3/1/2015,     ,          ,     ,          
OR,2014,79481,#1,VERONICA HYB WHITE WATER PPAF,PRN,4,5.25,119,10,119,119,3/1/2015,     ,          ,     ,          
OR,2010,58211,#1,VIOLA CORNUTA ETAIN,PRN,4,5.1,128,10,     ,128,3/1/2015,     ,          ,     ,          
OR,2012,66281,#1,VIOLA HARVEST MOON PPAF,PRN,5,5.1,     ,10,     ,690,3/1/2015,     ,          ,     ,          
OR,2010,57112,#2,BAM-FARGESIA N JIUZHAIGOU(CLP),GRS,5,31.25,5,5,     ,5,4/1/2015,     ,          ,     ,          
OR,2012,67791,#1,GR-BOUT BLOND AMBITION PP22048,GRS,4,8.5,19,10,     ,464,3/1/2015,     ,          ,     ,          
OR,2013,14085,#5,GR-CALAMAGROSTIS  BRACHYTRICA,GRS,4,18.75,124,5,     ,124,3/1/2015,     ,          ,     ,          
OR,2014,89282,#2,GR-DESCHAMPSIA SCHOTTLAND,GRS,4,14.5,     ,5,100,100,3/1/2015,     ,          ,     ,          
OR,2014,89291,#1,GR-HAKONECHLOA FUBUKI PP21757,GRS,4,10.25,76,10,     ,76,4/1/2015,     ,          ,     ,          
CA,2014,22961,#1,GR-PAN VIR NORTHWIND,GRS,4,6.75,     ,10,112,206,4/1/2015,     ,          ,     ,          
CA,2013,84911,#1,FERN-POLYSTICHUM MUNITUM,FRN,5,6.75,14,10,     ,14,10/1/2014,     ,          ,     ,          
