Branch,Item,Description,Order Quantity,Plant Category,Zone,Common Name,Intro Year,Price Code,Retail Price,Minimum Ord Qty,Confirmed Qty Remaining,2012 Qty Shipped  ,2013 Qty Shipped  ,2014 Qty Shipped  ,Condition,Current Specs,Plant Status
CA,035381,BRUNNERA MAC JACK FROST P13859, ,PRN,03,Jack Frost Siberian Bugloss                                                                         ,2006,PRNADV, 14.99 , 10 , 12 ,     ,     ,     ,-,,PS1
OR,013651,BRUNNERA MAC VARIEGATA, ,PRN,03,Variegated Siberian Bugloss                                                                         ,2003,PRNADV, 14.99 , 10 , 12 ,     ,     ,     ,-,,PS0
GA,013781,BUDDLEJA DAV BLACK KNIGHT, ,DCS,05,Black Knight Butterfly Bush                                                                         ,    ,, 11.95 , 10 , 10 ,     ,     ,     ,WINTER LOOK,"9""H - 9""S",
GA,074401S,BUDDLEJA X MISS RUBY PPAF, ,DCS,05,Miss Ruby Summer Lilac                                                                              ,2011,, 19.95 , 10 , 10 ,     ,     ,     ,,,
OR,003011,BUXUS CHICAGOLAND GREEN R, ,EVS,04,Chicagoland Green™  Boxwood                                                                         ,    ,, 14.99 , 10 , 10 ,     ,     ,     ,-,"8""H - 6""S",
OR,003015,BUXUS CHICAGOLAND GREEN R, ,EVS,04,Chicagoland Green™  Boxwood                                                                         ,    ,, 49.99 , 5 , 5 ,     ,     ,     ,-,"12""H - 14""S",
OR,013822,BUXUS GREEN MOUNTAIN, ,EVS,04,Green Mountain Boxwood                                                                              ,1994,, 29.99 , 5 , 15 ,     ,     ,     ,-,"14""H - 10""S",
CA,013822,BUXUS GREEN MOUNTAIN, ,EVS,04,Green Mountain Boxwood                                                                              ,1994,, 29.99 , 5 , 15 ,     ,     ,     ,-,,
OR,013892,BUXUS GREEN VELVET, ,EVS,04,Green Velvet Boxwood                                                                                ,    ,, 29.99 , 5 , 30 ,     ,     ,     ,-,"10""H - 12""S",
GA,01395UTGL,BUXUS J GREEN BEAUTY, ,EVS,05,Green Beauty Boxwood                                                                                ,    ,, 9.95 , 16 , 16 ,     ,     ,     ,,"4""H - 4""S",
GA,01370UTCN,BUXUS MIC FAULKNER, ,EVS,05,Faulkner Boxwood                                                                                    ,2004,, 11.95 ,     , 16 ,     ,     ,     ,,,
OR,01388UT,BUXUS SEMP VARIEGATA, ,EVS,05,Variegated English Boxwood                                                                          ,2002,, 9.95 , 16 , 16 ,     ,     ,     ,,,
GA,025791,CAMPANULA BLU WATERFALL P13161, ,PRN,04,Blue Waterfall Serbian Bellflower                                                                   ,2005,PRNADV, 9.99 , 10 , 12 ,     ,     ,     ,,,PS0
OR,02235UT,CAMPANULA CAR DEEP BLUE CLIPS, ,PRN,04,Deep Blue Clips Bellflower                                                                          ,    ,, 5.99 , 16 , 16 ,     ,     ,     ,CUT BACK,,PS0
OR,022361,CAMPANULA PORTENSCHLAGIANA, ,PRN,04,Dalmatian Bellflower                                                                                ,2005,PRNADV, 9.99 , 10 , 12 ,     ,     ,     ,-,CAN FULL,PS0
OR,038611,CAMPANULA SAMANTHA, ,PRN,05,Samantha Bellflower                                                                                 ,2007,, 9.95 , 10 , 12 ,     ,     ,     ,CUT BACK,.,PS0
CA,022711,CAMPSIS BALBOA SUNSET R, ,VIN,04,Balboa Sunset®  Trumpet Creeper                                                                     ,2002,, 14.99 , 10 , 10 ,     ,     ,     ,DORMANT,24''H,
CA,022381,CAMPSIS FLAVA, ,VIN,04,Yellow Trumpet Creeper                                                                              ,1992,, 14.99 , 10 , 10 ,     ,     ,     ,DORMANT,24''H,
CA,022551,CAMPSIS MADAME GALEN, ,VIN,04,Trumpet Creeper                                                                                     ,    ,, 14.99 , 10 , 10 ,     ,     ,     ,DORMANT,24''H,
GA,029211,CANNA TROP BLACK TM PP21350, ,PRN,07,Tropicanna®  Black Canna                                                                            ,2007,, 19.95 , 10 , 20 ,     ,     ,     ,,,PS0
CA,017411,CANNA TROPICANNA GLD TM P13809, ,PRN,07,Tropicanna®  Gold Canna                                                                             ,2003,, 19.95 , 10 , 20 ,     ,     ,     ,EMERGING,"12""H",PS0
CA,022481,CANNA TROPICANNA TM PP10569, ,PRN,07,Tropicanna®  Canna                                                                                  ,    ,, 19.95 , 10 , 15 ,     ,     ,     ,-,,PS2
GA,022481,CANNA TROPICANNA TM PP10569, ,PRN,07,Tropicanna®  Canna                                                                                  ,    ,, 19.95 , 10 , 20 ,     ,     ,     ,,,PS0
CT,003961,CENTRANTHUS RUBER COCCINEUS, ,PRN,03,Red Valerian                                                                                        ,2011,PRNADV, 9.99 , 10 , 12 ,     ,     ,     ,,,PS0
OR,024032,CHAM PIS FIL GOLDEN CHARM, ,CON,04,Golden Charm Thread-Branch Cypress                                                                  ,1998,, 29.99 , 5 , 5 ,     ,     ,     ,WINTER COLOR,"14""S",
OR,023842,CHAM PIS SUNGOLD, ,CON,04,Sungold Thread-Branch Cypress                                                                       ,1992,, 29.99 , 5 , 5 ,     ,     ,     ,WINTER COLOR,"14""S",
OR,024191,CHELONE HOT LIPS, ,PRN,03,Hot Lips Turtlehead                                                                                 ,2000,PRNADV, 9.99 , 10 , 36 ,     ,     ,     ,CUT BACK,.,PS0
OR,023021,CHRYS (LEUCANTH) X SUP BECKY, ,PRN,05,Becky Shasta Daisy                                                                                  ,2003,PRNADV, 9.95 , 10 , 12 ,     ,     ,     ,-,,PS0
CT,404481,CHRYS (LEUCANTH) X SUP SANTE, ,PRN,04,Sante Shasta Daisy                                                                                  ,    ,PRNADV, 11.99 , 10 , 12 ,     ,     ,     ,,,PS0
GA,004221,CHRYS (LEUCANTH) X SUP SNOWCAP, ,PRN,05,Snowcap Shasta Daisy                                                                                ,    ,PRNADV, 9.95 , 10 , 10 ,     ,     ,     ,,,PS0
OR,039512,CIMI S BLACK NEGLIGEE (ACTAEA), ,PRN,03,Black Negligee Snakeroot                                                                            ,2007,, 29.99 , 5 , 12 ,     ,     ,     ,DORMANT,.,PS0
OR,089921S,CLEM SWEET SUMMER LOVE PPAF, ,VIN,04,Sweet Summer Love Clematis                                                                          ,2013,, 19.99 , 10 , 12 ,     ,     ,     ,-,,
OR,051482,CLEM VANCOUVER TM DANIELLE, ,VIN,04,Vancouver™  Danielle Clematis                                                                       ,2010,, 34.99 , 5 , 5 ,     ,     ,     ,-,,
OR,033492,CLEM X HANIA, ,VIN,04,Hania Clematis                                                                                      ,2006,, 34.99 , 5 , 5 ,     ,     ,     ,,,
OR,027262,CLEM X JACKMANII, ,VIN,04,Jackman Clematis                                                                                    ,    ,, 34.99 , 5 , 5 ,     ,     ,     ,BREAKING DORMANCY,FULL STK,
OR,034432,CLEM X KILIAN DONAHUE, ,VIN,04,Kilian Donahue Clematis                                                                             ,2007,, 34.99 , 5 , 5 ,     ,     ,     ,-,,
OR,027492,CLEM X ROUGE CARDINAL, ,VIN,04,Rouge Cardinal Clematis                                                                             ,    ,, 34.99 , 5 , 5 ,     ,     ,     ,BREAKING DORMANCY,FULL STK,
OR,026372,CLEM X TOKI, ,VIN,04,Toki Clematis                                                                                       ,2006,, 34.99 , 5 , 5 ,     ,     ,     ,BREAKING DORMANCY,FULL STK,
GA,027532,CLETHRA ALN RUBY SPICE, ,DCS,04,Ruby Spice Summersweet                                                                              ,2002,, 29.99 , 5 , 10 ,     ,     ,     ,,,
CT,020093,CLETHRA ALN SIXTEEN CANDLES, ,DCS,04,Sixteen Candles Summersweet                                                                         ,2006,, 34.99 , 5 , 5 ,     ,     ,     ,,,
GA,074472S,CLETHRA ALN VNLA SPICE TM PPAF, ,DCS,04,Vanilla Spice®  Summersweet                                                                         ,2011,, 34.99 , 5 , 10 ,     ,     ,     ,,,
GA,408505,COLOCASIA RYL HWN R BK CRL PAF, ,PRN,07,Royal Hawaiian®  Black Coral Elephant Ear                                                           ,2015,, 45.95 , 5 , 5 ,     ,     ,     ,,,PS0
CA,094081S,CORDYLINE B ELECTRIC PINK PPAF, ,EVS,08,Electric Pink Dracaena Palm                                                                         ,2009,, 19.95 , 10 , 24 ,     ,     ,     ,-,"10""H",
GA,03172UT,CORDYLINE BAUERI, ,EVS,09,Bauer's Dracaena Palm                                                                               ,1994,, 7.95 , 16 , 16 ,     ,     ,     ,-,"8""H",
GA,031721,CORDYLINE BAUERI, ,EVS,09,Bauer's Dracaena Palm                                                                               ,1994,, 14.95 , 10 , 30 ,     ,     ,     ,,"18""H",
CA,031725,CORDYLINE BAUERI, ,EVS,09,Bauer's Dracaena Palm                                                                               ,1994,, 49.95 , 5 , 10 ,     ,     ,     ,-,"30""H",
CA,038821,CORDYLINE BURGUNDY SPIRE PPAF, ,EVS,09,Burgundy Spire™  Dracaena Palm                                                                      ,2008,, 14.95 , 10 , 70 ,     ,     ,     ,-,"10""H",
GA,048081,COREOPSIS JETHRO TULL PP18789, ,PRN,05,Jethro Tull Tickseed                                                                                ,2010,PRNADV, 9.95 , 10 , 24 ,     ,     ,     ,,,PS0
OR,027961,COREOPSIS VERT MOONBEAM, ,PRN,03,Moonbeam Threadleaf Tickseed                                                                        ,    ,PRNADV, 9.99 , 10 , 12 ,     ,     ,     ,CUT BACK,.,PS0
CA,027961,COREOPSIS VERT MOONBEAM, ,PRN,03,Moonbeam Threadleaf Tickseed                                                                        ,    ,PRNADV, 9.99 , 10 , 12 ,     ,     ,     ,,,PS0
CA,027971,COREOPSIS VERT ZAGREB, ,PRN,03,Zagreb Threadleaf Tickseed                                                                          ,    ,PRNADV, 9.99 , 10 , 12 ,     ,     ,     ,,,PS0
OR,027862,CORNUS ALBA IVORYHALO TM, ,DCS,03,Ivory Halo®  Dogwood                                                                                ,2002,, 29.99 , 5 , 20 ,     ,     ,     ,DORMANT,12''H - 12''S,
OR,027875,CORNUS ALTERNIFOLIA, ,TRE,04,Pagoda Dogwood                                                                                      ,2002,, 59.99 , 5 , 5 ,     ,     ,     ,BREAKING DORMANCY,"46""H",
OR,074802S,CORNUS S ARCTIC FIRE TM P18523, ,DCS,03,Arctic Fire™  Red Twig Dogwood                                                                      ,2011,, 34.99 , 5 , 5 ,     ,     ,     ,DORMANT,"14""H - 12""S",
OR,02855UT,COT APICULATUS TOM THUMB, ,DCS,04,Tom Thumb Cranberry Cotoneaster                                                                     ,2000,, 9.99 , 16 , 16 ,     ,     ,     ,-,"3""H - 4""S",
OR,028552,COT APICULATUS TOM THUMB, ,DCS,04,Tom Thumb Cranberry Cotoneaster                                                                     ,2000,, 29.99 , 5 , 5 ,     ,     ,     ,BREAKING DORMANCY,"6""H - 10""S",
OR,028142,COTINUS COG ROYAL PURPLE, ,DCS,04,Royal Purple Smoke Tree                                                                             ,    ,, 39.99 , 5 , 10 ,     ,     ,     ,BREAKING DORMANCY,,
CT,028145,COTINUS COG ROYAL PURPLE, ,DCS,04,Royal Purple Smoke Tree                                                                             ,    ,, 59.99 , 5 , 5 ,     ,     ,     ,,"18""H - 10""S",
OR,028145PT,COTINUS COG ROYAL PURPLE, ,DCS,04,Royal Purple Smoke Tree                                                                             ,    ,, 119.99 , 2 , 2 ,     ,     ,     ,BREAKING DORMANCY,"46""H - 15""S",
CA,083041,CUPHEA HYS ITSY BITSY R LILAC, ,PRN,09,Itsy Bitsy®  Lilac False Heather                                                                    ,2001,, 9.95 , 10 , 12 ,     ,     ,     ,BUDS & BLOOMS,"6''H -8""S",PS1
GA,030491,CUPHEA HYSSOPIFOLIA, ,PRN,08,Mexican Heather                                                                                     ,    ,, 9.95 , 10 , 12 ,     ,     ,     ,BUDS & BLOOMS,CAN FULL,PS1
GA,030491SPT,CUPHEA HYSSOPIFOLIA, ,PRN,08,Mexican Heather                                                                                     ,    ,, 29.95 , 5 , 5 ,     ,     ,     ,BUDS & BLOOMS,"8""S",PS1
CA,075551,DELPHINIUM G MORPHO GRAND BLUE, ,PRN,03,Morpho Grand Blue Larkspur                                                                          ,2011,PRNADV, 9.99 , 10 , 24 ,     ,     ,     ,,,PS0
GA,004591,DELPHINIUM GRAND BLUE MIRROR, ,PRN,03,Blue Mirror Delphinium                                                                              ,    ,PRNADV, 9.99 , 10 , 24 ,     ,     ,     ,-,CAN FULL,PS0
OR,031331,DIANTHUS FROSTY FIRE, ,PRN,02,Frosty Fire Cheddar Pink                                                                            ,    ,PRNADV, 9.99 , 10 , 20 ,     ,     ,     ,CUT BACK,,PS0
CA,031331,DIANTHUS FROSTY FIRE, ,PRN,02,Frosty Fire Cheddar Pink                                                                            ,    ,PRNADV, 9.99 , 10 , 20 ,     ,     ,     ,-,,PS2
GA,04596UT,DIANTHUS NEON STAR PP14549, ,PRN,04,Neon Star Maiden Pink                                                                               ,2007,, 5.99 , 16 , 16 ,     ,     ,     ,,,PS0
GA,094501,DIANTHUS RASP SURPRISE PP16029, ,PRN,04,Raspberry Surprise Maiden Pink                                                                      ,2010,PRNADV, 9.99 , 10 , 12 ,     ,     ,     ,,,PS0
CT,024771,DIANTHUS SPANGLED STAR PP13029, ,PRN,04,Spangled Star Maiden Pink                                                                           ,2004,PRNADV, 11.99 , 10 , 12 ,     ,     ,     ,,,PS0
GA,004801,DICENTRA BURNINGHEARTS PP20797, ,PRN,04,Burning Hearts Bleeding Heart                                                                       ,2011,PRNADV, 11.99 , 10 , 12 ,     ,     ,     ,,,PS0
OR,035621,DICENTRA SPEC GOLD HEART, ,PRN,03,Gold Heart Bleeding Heart                                                                           ,2009,PRNADV, 11.99 , 10 , 18 ,     ,     ,     ,DORMANT,.,PS0
CT,015861,DICENTRA SPECTABILIS ALBA, ,PRN,03,White Bleeding Heart                                                                                ,2011,PRNADV, 11.99 , 10 , 12 ,     ,     ,     ,,,PS0
GA,004871,DIGITALIS PURPUREA FOXY, ,PRN,04,Foxy Foxglove                                                                                       ,    ,PRNADV, 9.99 , 10 , 12 ,     ,     ,     ,,,PS0
CA,069211,ECHEVERIA AGAVOIDES LIPSTICK, ,CAC,09,Lipstick Echeveria                                                                                  ,2013,, 14.95 , 10 , 10 ,     ,     ,     ,-,,PS1
CA,069231,ECHEVERIA NODULOSA, ,CAC,09,Painted Echeveria                                                                                   ,2011,, 14.95 , 10 , 10 ,     ,     ,     ,BUDS,CAN FULL,PS1
CA,064111,ECHEVERIA RUFFLES, ,CAC,09,Ruffles Echeveria                                                                                   ,2010,, 14.95 , 10 , 10 ,     ,     ,     ,-,CAN FULL,PS1
CT,402361,ECHIN DBL SCP TM BBLGM PP23103, ,PRN,04,Double Scoop™  Bubble Gum Echinacea                                                                 ,    ,PRNADV, 14.99 , 10 , 12 ,     ,     ,     ,,,PS0
CT,412611,ECHIN DBL SCP TM CRANBRY PPAF, ,PRN,04,Double Scoop™  Cranberry Echinacea                                                                  ,2015,PRNADV, 14.99 , 10 , 12 ,     ,     ,     ,,,PS0
GA,402351,ECHIN DBL SCP TM RSPBRY P23117, ,PRN,04,Double Scoop™  Raspberry Cone Flower                                                                ,    ,, 14.99 , 10 , 24 ,     ,     ,     ,,,PS0
OR,032271,ECHIN PXIE MEADWBRTE TM P18546, ,PRN,04,Pixie Meadowbrite™  Coneflower                                                                      ,2006,PRNADV, 14.99 , 10 , 12 ,     ,     ,     ,CUT BACK,.,PS0
GA,097211,ECHIN SMBRO TM FLMNCO ORNG, ,PRN,04,Sombrero™  Flamenco Orange Coneflower                                                               ,2014,PRNADV, 19.99 , 10 , 20 ,     ,     ,     ,BUDS & BLOOMS,,PS1
CT,086821,ECHIN SMBRO TM HOT CORL P23097, ,PRN,04,Sombrero™  Hot Coral Coneflower                                                                     ,2014,PRNADV, 19.99 , 10 , 12 ,     ,     ,     ,,,PS0
GA,086821,ECHIN SMBRO TM HOT CORL P23097, ,PRN,04,Sombrero™  Hot Coral Coneflower                                                                     ,2014,PRNADV, 19.99 , 10 , 12 ,     ,     ,     ,BUDS,,PS1
GA,086831,ECHIN SMBRO TM LEMON YLW PPAF, ,PRN,04,Sombrero™  Lemon Yellow Coneflower                                                                  ,2014,PRNADV, 19.99 , 10 , 12 ,     ,     ,     ,BUDS & BLOOMS,,PS1
CT,086841,ECHIN SMBRO TM SALSA RD P23105, ,PRN,04,Sombrero™  Salsa Red Coneflower                                                                     ,2014,PRNADV, 19.99 , 10 , 12 ,     ,     ,     ,,,PS0
GA,086841,ECHIN SMBRO TM SALSA RD P23105, ,PRN,04,Sombrero™  Salsa Red Coneflower                                                                     ,2014,PRNADV, 19.99 , 10 , 12 ,     ,     ,     ,BUDS & BLOOMS,,PS1
GA,007051,ECHIN SUPREME CANTALOUPE PPAF, ,PRN,04,Supreme Cantaloupe Cone Flower                                                                      ,2013,PRNADV, 14.99 , 10 , 24 ,     ,     ,     ,,,PS0
GA,08702UT,ECHINACEA CHEYENNE SPIRIT, ,PRN,04,Cheyenne Spirit Echinacea                                                                           ,2013,, 5.99 , 16 , 48 ,     ,     ,     ,,,PS0
OR,087021,ECHINACEA CHEYENNE SPIRIT, ,PRN,04,Cheyenne Spirit Echinacea                                                                           ,2013,PRNADV, 11.99 , 10 , 12 ,     ,     ,     ,CUT BACK,.,PS0
GA,022831,ECHINACEA CRNBRY CUPCAKE PPAF, ,PRN,04,Cranberry Cupcake Coneflower                                                                        ,2012,PRNADV, 14.99 , 10 , 18 ,     ,     ,     ,,,PS0
GA,039571,ECHINACEA FRAGRNT ANGEL P16054, ,PRN,04,Fragrant Angel Coneflower                                                                           ,2007,PRNADV, 14.99 , 10 , 18 ,     ,     ,     ,,,PS0
