Branch,item,
CA,059439,
CA,063772,
CA,077662,
CA,064105,
CA,010555,
CA,063605,
CA,063755,
CA,077665,
CA,036725,
CA,036785,
CA,036795,
CA,036815,
CA,036745,
CA,091285,
CA,031965,
CA,023575,
CA,023525,
CA,009985,
CA,060435,
CA,039735,
CA,059455,
CA,059575,
CA,011505,
CA,036785ES,
CA,036815ES,
CA,031967,
CA,063657,
CA,023527,
CA,020107,
CA,063659,
CA,063609,
CA,060439,
CA,010039,
CA,020109,
CA,059437ES,
CA,05943X,
CA,032561BH,
CA,062991,
CA,064101,
CA,063651,
CA,063601,
CA,066401ST,
CA,066451ST,
CA,062995,
CA,027515,
CA,060085,
CA,036825,
CA,066405ST,
CA,066505ST,
CA,032565TR,
CA,036115,
CA,043015,
CA,022985BH,
CA,032565BH,
CA,070705,
CA,024155,
CA,024135,
CA,065705,
CA,092715,
CA,023585BH,
CA,023525BH,
CA,022985,
CA,060085TR,
CA,062995TR,
CA,036825TR,
CA,066405TR,
CA,070625,
CA,026045,
CA,059505,
CA,069285,
CA,022945,
CA,034835,
CA,034835TR,
CA,031965TR,
CA,058495,
CA,061485,
CA,072205,
CA,027515PT,
CA,019075,
CA,06797MT,
CA,06796MT,
CA,06733MT,
CA,06743MT,
CA,06144MT,
CA,06798MT,
CA,06142MT,
CA,06143MT,
CA,06741MT,
CA,06735MT,
CA,06799MT,
CA,06802MT,
CA,06110MT,
CA,06116MT,
CA,066457ST,
CA,06109MT,
CA,05895MT,
CA,06104MT,
CA,06105MT,
CA,05898MT,
CA,05896MT,
CA,07030MT,
CA,06167MT,
CA,06168MT,
CA,06128MT,
CA,06795MT,
CA,05996MT,
CA,06141MT,
CA,06149MT,
CA,06146MT,
CA,06152MT,
CA,06163MT,
CA,060087,
CA,03608MT,
CA,062997,
CA,023577,
CA,031967TR,
CA,024159,
CA,031969,
CA,001999,
CA,031969TR,
CA,05943Z,
CA,06360Z,
CA,057072BH,
CA,058992ST,
CA,057082,
CA,057062,
CA,072642,
CA,057085,
CA,061235,
CA,057065,
CA,036851,
CA,070051,
CA,012731,
CA,012701,
CA,035041,
CA,012901,
CA,012661,
CA,013121,
CA,013201,
CA,013051BH,
CA,013211,
CA,013211BH,
CA,013251,
CA,090081,
CA,036851ST,
CA,038161,
CA,038101,
CA,022551,
CA,002651,
CA,013261BH,
CA,013051,
CA,059201,
CA,059271,
CA,061201,
CA,064151,
CA,064131,
CA,064161,
CA,064011,
CA,061211,
CA,061191,
CA,061241,
CA,072651,
CA,016601,
CA,05709P72,
CA,022712ST,
CA,067512,
CA,067522,
CA,067532,
CA,067542,
CA,067552,
CA,064012,
CA,035042BH,
CA,013052BH,
CA,061192,
CA,057072,
CA,013262BH,
CA,036855ST,
CA,038165,
CA,038105,
CA,072555,
CA,013055BH,
CA,013215BH,
CA,013235BH,
CA,070055ST,
CA,012705,
CA,012665,
CA,013205,
CA,013215,
CA,013255,
CA,013025,
CA,013455,
CA,090085,
CA,045295,
CA,013265BH,
CA,086365,
CA,059275,
CA,061245ST,
CA,072655,
CA,064015,
CA,071555,
CA,001465,
CA,001415,
CA,012705PT,
CA,013265PT,
CA,013055PT,
CA,070055ES,
CA,059101,
CA,035041BH,
CA,012951,
CA,013031,
CA,013191,
CA,013231BH,
CA,038141,
CA,013021,
CA,013451,
CA,012671BH,
CA,090111BH,
CA,090141BH,
CA,012451,
CA,012471,
CA,059381,
CA,413401,
CA,072031,
CA,072551,
CA,059101ST,
CA,045011BH,
CA,057091BH,
CA,057071BH,
CA,072641BH,
CA,066601,
CA,070901,
CA,033721,
CA,076311,
CA,076221,
CA,076301,
CA,076251,
CA,076211,
CA,076331,
CA,076261,
CA,059001,
CA,002451,
CA,071961,
CA,001461,
CA,001411,
CA,045012BH,
CA,022382ST,
CA,022552ST,
CA,059272ST,
CA,071962,
CA,070052ST,
CA,060792,
CA,089492,
CA,022142,
CA,071552,
CA,016482BH,
CA,037022BH,
CA,090112BH,
CA,090142BH,
CA,037002,
CA,045012,
CA,012662,
CA,013052,
CA,095742BH,
CA,095752BH,
CA,095732BH,
CA,016482,
CA,07005KST,
CA,012555,
CA,012455,
CA,012475,
CA,059385,
CA,037025BH,
CA,012675BH,
CA,076315,
CA,076225,
CA,076305,
CA,076255,
CA,076215,
CA,076335,
CA,076265,
CA,059105ST,
CA,066605,
CA,012905,
CA,012955,
CA,013035,
CA,013125,
CA,013195,
CA,038145,
CA,06124K,
CA,04501K,
CA,04501KBH,
CA,05708K,
CA,064155,
CA,033725,
CA,064135,
CA,070905,
CA,413405,
CA,072035,
CA,064165,
CA,01305KPT,
CA,013052PT,
CA,013235PT,
CA,401435PT,
CA,401425PT,
CA,022715PT,
CA,022385PT,
CA,022555PT,
CA,076777TR,
