Loc,,New Plant,Item,,Size,Plant Name,Common Name,CAT,Zone,Condition,Current Specs,Qty Allocated,QTY AVAIL NOW,2ND QTY AVAIL,2ND QTY READY DATE,2016 LIST PRICE,"ADD'L 10% 
QTY 
BUY PRICE","ADD'L 12.5% 
QTY
BUY
PRICE","UNIT 
FRT"
OR,160000,    ,00304UT,16000000304UT,LittleOne,ARMERIA MAR BLOODSTONE,Bloodstone Thrift                                           ,PRN,03,-,CAN FULL,     , 94 ,     ,          , 3.25 , 2.93 , 2.84 ,0.44
OR,160000,    ,002691,160000002691,#1,ARMERIA MAR COTTON TAIL,Cotton Tail Thrift                                          ,PRN,03,-,CAN FULL, 13 , 770 ,     ,          , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,00269UT,16000000269UT,LittleOne,ARMERIA MAR COTTON TAIL,Cotton Tail Thrift                                          ,PRN,03,-,CAN FULL,     , 163 ,     ,          , 3.25 , 2.93 , 2.84 ,0.44
OR,160000,    ,019461,160000019461,#1,ARMERIA MAR RUBRIFOLIA,Red Leaf Thrift                                             ,PRN,03,-,CAN FULL,     , 428 ,     ,          , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,01946UT,16000001946UT,LittleOne,ARMERIA MAR RUBRIFOLIA,Red Leaf Thrift                                             ,PRN,03,-,CAN FULL,     , 367 ,     ,          , 3.25 , 2.93 , 2.84 ,0.44
OR,160000,    ,030091,160000030091,#1,ASTER FARMINGTON PPAF,Farmington Michaelmas Daisy                                 ,PRN,03,CUT BACK,.,     , 116 , 62 ,03/28/16  , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,X,412531,160000412531,#1,ASTER N-A VIBRANT DOME,Vibrant Dome New England Aster                              ,PRN,04,DORMANT,CAN FULL,     , 5 ,     ,          , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,003411,160000003411,#1,ASTER PURPLE DOME,Purple Dome New England Aster                               ,PRN,04,,CAN FULL,     ,     , 120 ,03/28/16  , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,001531,160000001531,#1,ASTER WOOD'S PINK,Woods Pink New York Aster                                   ,PRN,04,CUT BACK,CAN FULL,     , 108 ,     ,          , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,001591,160000001591,#1,ASTILBE BRIDAL VEIL,Bridal Veil®  Astilbe,PRN,04,DORMANT,.,     , 443 , 44 ,05/01/16  , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,00159UT,16000000159UT,LittleOne,ASTILBE BRIDAL VEIL,Bridal Veil®  Astilbe,PRN,04,DORMANT,CAN FULL,     , 2 ,     ,          , 3.25 , 2.93 , 2.84 ,0.44
OR,160000,    ,027501,160000027501,#1,ASTILBE COLOR FLASH R PP17343,Color Flash®  Astilbe,PRN,04,CUT BACK,3-5 EYES,     , 601 ,     ,          , 7.25 , 6.53 , 6.34 ,0.58
OR,160000,X,412541,160000412541,#1,ASTILBE DELFT LACE,Delft Lace Astilbe                                          ,PRN,04,,3-5 EYES,     ,     , 184 ,03/01/16  , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,00351UT,16000000351UT,LittleOne,ASTILBE DEUTSCHLAND,Deutschland Astilbe                                         ,PRN,04,DORMANT,1-2 EYES,     , 4 ,     ,          , 3.25 , 2.93 , 2.84 ,0.44
OR,160000,    ,001631,160000001631,#1,ASTILBE HENNIE GRAAFLAND,Hennie Graafland Star Astilbe                               ,PRN,04,DORMANT,3-5 EYES,     , 20 ,     ,          , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,001681,160000001681,#1,ASTILBE RED SENTINEL,Red Sentinel Astilbe                                        ,PRN,04,DORMANT,3-5 EYES,     , 10 ,     ,          , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,003541,160000003541,#1,ASTILBE RHEINLAND,Rheinland Astilbe                                           ,PRN,04,CUT BACK,3-5 EYES,     , 72 ,     ,          , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,059151,160000059151,#1,ASTILBE VISION IN PINK PP11860,Visions in Pink Astilbe                                     ,PRN,04,,3-5 EYES,     ,     , 180 ,03/01/16  , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,,017601,160000017601,#1,ASTILBE VISION IN WHITE P18965,Vision in White Astilbe                                     ,PRN,04,,3-5 EYES,     ,     , 207 ,03/01/16  , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,037391,160000037391,#1,ASTILBE WHT SENSATION PP18462,White Sensation Astilbe                                     ,PRN,04,CUT BACK,.,     , 196 ,     ,          , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,400811,160000400811,#1,ASTILBE YOUNIQUE CRM TM P20324,Younique  Carmine Astilbe,PRN,04,,3-5 EYES,     ,     , 74 ,03/01/16  , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,400821,160000400821,#1,ASTILBE YOUNIQUE SLP TM P20656,Younique  Silvery Pink Astilbe,PRN,04,,3-5 EYES,     ,     , 301 ,03/01/16  , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,001811,160000001811,#1,AZALEA GA KAREN,Karen Azalea                                                ,RHO,04,BUDS,"10""H - 8""S",     , 34 ,     ,          , 6.50 , 5.85 , 5.69 ,0.58
OR,160000,    ,001812,160000001812,#2,AZALEA GA KAREN,Karen Azalea                                                ,RHO,04,BUDS,"10""H - 12""S",     , 15 ,     ,          , 16.00 , 14.40 , 14.00 ,1.45
OR,160000,    ,007782,160000007782,#2,AZALEA NL GOLDEN LIGHTS,Golden Lights Azalea                                        ,RHO,03,BUDS,16''H - 15''S,     , 126 ,     ,          , 16.00 , 14.40 , 14.00 ,1.45
OR,160000,    ,012033,160000012033,#3,BER GOLDN NUGGET TM P9577 CBR,Golden Nugget  Dwarf Japanese Barberry,DCS,04,BREAKING DORMANCY,"6""H - 10""S",     , 53 ,     ,          , 21.50 , 19.35 , 18.81 ,2.33
OR,160000,,080771S,160000080771S,SuperOne TM,BER SUNJOY R MINI SALSA PPAF,Sunjoy®  Mini Salsa Barberry,DCS,04,DORMANT,8''H - 10''S,     , 40 ,     ,          , 11.00 , N/A , N/A ,0.97
OR,160000,,080772S,160000080772S,SuperTwo,BER SUNJOY R MINI SALSA PPAF,Sunjoy®  Mini Salsa Barberry,DCS,04,DORMANT,"8""H - 12""S", 5 , 5 ,     ,          , 17.75 , 15.98 , 15.53 ,1.94
OR,160000,    ,012002,160000012002,#2,BER T ATROPURPUREA,Red Leaf Japanese Barberry                                  ,DCS,04,DORMANT,"18""H - 10""S", 8 , 15 ,     ,          , 14.00 , 12.60 , 12.25 ,1.45
OR,160000,    ,012005,160000012005,#5,BER T ATROPURPUREA,Red Leaf Japanese Barberry                                  ,DCS,04,DORMANT,21''H - 18''S, 9 , 14 ,     ,          , 21.50 , 19.35 , 18.81 ,2.91
OR,160000,    ,012012,160000012012,#2,BER T CHERRY BOMB R CPBR 3488,Cherry Bomb®  Japanese Barberry,DCS,04,DORMANT,"10""H - 10""S",     , 123 ,     ,          , 14.00 , 12.60 , 12.25 ,1.45
OR,160000,    ,012013,160000012013,#3,BER T CHERRY BOMB R CPBR 3488,Cherry Bomb®  Japanese Barberry,DCS,04,DORMANT,12''H - 15''S, 16 , 62 ,     ,          , 21.50 , 19.35 , 18.81 ,2.33
OR,160000,    ,012053,160000012053,#3,BER T CRIMSON PYGMY,Crimson Pygmy Dwarf Japanese Barberry                       ,DCS,04,DORMANT,12''H - 15''S, 80 , 127 ,     ,          , 20.25 , 18.23 , 17.72 ,2.33
OR,160000,    ,035232,160000035232,#2,BER T GOLDEN RUBY R PP16203,Golden Ruby®  Barberry,DCS,04,BREAKING DORMANCY,8''H - 12''S," 1,717 "," 3,212 ",     ,          , 16.00 , 14.40 , 14.00 ,1.45
OR,160000,    ,035233,160000035233,#3,BER T GOLDEN RUBY R PP16203,Golden Ruby®  Barberry,DCS,04,BREAKING DORMANCY,"8""H - 12""S", 555 , 576 ,     ,          , 23.75 , 21.38 , 20.78 ,2.33
OR,160000,    ,012102,160000012102,#2,BER T HELMOND PILLAR,Helmond Pillar Barberry                                     ,DCS,04,DORMANT,18''H - 10''S, 52 ,     , 121 ,06/01/16  , 14.00 , 12.60 , 12.25 ,1.45
OR,160000,    ,012105,160000012105,#5,BER T HELMOND PILLAR,Helmond Pillar Barberry                                     ,DCS,04,DORMANT,"18""H - 12""S", 50 , 273 ,,, 23.75 , 21.38 , 20.78 ,2.91
OR,160000,,062932,160000062932,#2,BER T ORANGE ROCKET PP18411,Orange Rocket Barberry                                      ,DCS,04,DORMANT,"18''H - 8""S", 30 , 152 ,     ,          , 16.00 , 14.40 , 14.00 ,1.45
OR,160000,,062935,160000062935,#5,BER T ORANGE ROCKET PP18411,Orange Rocket Barberry                                      ,DCS,04,DORMANT,21''H - 10''S, 99 , 99 ,     ,          , 26.75 , 24.08 , 23.41 ,2.91
OR,160000,    ,035242,160000035242,#2,BER T PYGMY RUBY TM,Pygmy Ruby  Barberry,DCS,04,DORMANT,"10""H - 12""S", 117 , 117 ,     ,          , 16.25 , 14.63 , 14.22 ,1.45
OR,160000,    ,012202,160000012202,#2,BER T ROSE GLOW,Rose Glow Japanese Barberry                                 ,DCS,04,DORMANT,15''H - 14''S,     , 904 ,     ,          , 14.00 , 12.60 , 12.25 ,1.45
OR,160000,    ,012203,160000012203,#3,BER T ROSE GLOW,Rose Glow Japanese Barberry                                 ,DCS,04,DORMANT,15''H - 16''S,     , 16 ,     ,          , 20.25 , 18.23 , 17.72 ,2.33
OR,160000,    ,012205,160000012205,#5,BER T ROSE GLOW,Rose Glow Japanese Barberry                                 ,DCS,04,DORMANT,15''H - 15''S,     , 561 ,,, 21.50 , 19.35 , 18.81 ,2.91
OR,160000,    ,012212,160000012212,#2,BER T ROYAL BURGUNDY R P9461,Royal Burgundy®  Barberry,DCS,04,DORMANT,"10""H - 12""S",     , 3 ,     ,          , 16.00 , 14.40 , 14.00 ,1.45
OR,160000,    ,012213,160000012213,#3,BER T ROYAL BURGUNDY R P9461,Royal Burgundy®  Barberry,DCS,04,DORMANT,10''H - 14''S, 20 , 21 ,     ,          , 20.25 , 18.23 , 17.72 ,2.33
OR,160000,    ,011932,160000011932,#2,BER T SUNSATION R PP11332 CBR,Sunsation®  Japanese Barberry,DCS,04,BREAKING DORMANCY,"10""H - 10""S",     , 10 ,     ,          , 14.00 , 12.60 , 12.25 ,1.45
OR,160000,    ,024715,160000024715,#5,BETULA N SUMR CASCADE PP15150,Summer Cascade River Birch                                  ,TRE,04,DORMANT,"52""H", 2 , 3 ,     ,          , 37.00 , 33.30 , 32.38 ,2.91
OR,160000,    ,02471M,16000002471M,#10 Squat,BETULA N SUMR CASCADE PP15150,Summer Cascade River Birch                                  ,TRE,04,DORMANT,"54""H",     , 13 ,     ,          , 76.25 , 68.63 , 66.72 ,10.47
OR,160000,    ,012365,160000012365,#5,BETULA PENDULA PURPLE RAIN R,Purple Rain®  European White Birch,TRE,02,DORMANT,85''H, 4 , 47 ,     ,          , 38.00 , 34.20 , 33.25 ,2.91
OR,160000,    ,012415SE,160000012415SE,#5 SERPENTINE,BETULA PENDULA YOUNGII,Young's Weeping Birch                                       ,TRE,02,DORMANT,"48""H - 18""S",     , 49 ,     ,          , 48.75 , 43.88 , 42.66 ,4.36
OR,160000,    ,013651,160000013651,#1,BRUNNERA MAC VARIEGATA,Variegated Siberian Bugloss                                 ,PRN,03,CUT BACK,CAN FULL,     ,     , 29 ,03/28/16  , 7.25 , 6.53 , 6.34 ,0.58
OR,160000,    ,02235UT,16000002235UT,LittleOne,CAMPANULA CAR DEEP BLUE CLIPS,Deep Blue Clips Bellflower                                  ,PRN,04,CUT BACK,CAN FULL,     , 55 ,,, 3.25 , 2.93 , 2.84 ,0.44
OR,160000,X,408391,160000408391,#1,CAMPANULA CAR RAPIDO BLUE,Rapido Blue Bellflower                                      ,PRN,03,CUT BACK,CAN FULL,     , 164 ,     ,          , 5.75 , 5.18 , 5.03 ,0.58
OR,160000,X,408401,160000408401,#1,CAMPANULA CAR RAPIDO WHITE,Rapido White Bellflower                                     ,PRN,04,CUT BACK,CAN FULL,     , 128 ,     ,          , 5.75 , 5.18 , 5.03 ,0.58
OR,160000,X,408421,160000408421,#1,CAMPANULA GLOM GENTI BLUE PPAF,Genti Blue Bellflower                                       ,PRN,04,CUT BACK,CAN FULL,     ," 1,511 ",     ,          , 5.75 , 5.18 , 5.03 ,0.58
OR,160000,X,408411,160000408411,#1,CAMPANULA GLOM GENTI WHITE PAF,Genti White Bellflower                                      ,PRN,04,EMERGING,CAN FULL,     ," 1,485 ",     ,          , 5.75 , 5.18 , 5.03 ,0.58
OR,160000,    ,022361,160000022361,#1,CAMPANULA PORTENSCHLAGIANA,Dalmatian Bellflower                                        ,PRN,04,-,CAN FULL,     , 32 ,     ,          , 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,024191,160000024191,#1,CHELONE HOT LIPS,Hot Lips Turtlehead                                         ,PRN,03,DORMANT,.,     , 4 ,,, 5.25 , 4.73 , 4.59 ,0.58
OR,160000,    ,090661,160000090661,#1 STAKED,CLEM ALP PAMELA JACKMAN,Pamela Jackman Alpine Clematis                              ,VIN,03,BREAKING DORMANCY,FULL STK, 21 , 93 , 40 ,04/27/16  , 9.50 , 8.55 , 8.31 ,0.58
OR,160000,X,414542TE,160000414542TE,#2 TRELLIS,CLEM BLVRD R CHROKEE TM P24171,Boulevard®  Cherokee  Clematis,VIN,04,,"24""H",     ,     , 273 ,03/01/16  , 26.50 , 23.85 , 23.19 ,1.45
OR,160000,X,414522TE,160000414522TE,#2 TRELLIS,CLEM BLVRD R FLEURI TM PP24172,Boulevard®  Fleuri  Clematis,VIN,04,,"24""H",     ,     , 275 ,03/01/16  , 26.50 , 23.85 , 23.19 ,1.45
OR,160000,X,414532TE,160000414532TE,#2 TRELLIS,CLEM BLVRD R NINON TM PPAF,Boulevard®  Ninon  Clematis,VIN,04,,"24""H",     ,     , 92 ,03/01/16  , 26.50 , 23.85 , 23.19 ,1.45
OR,160000,X,414552TE,160000414552TE,#2 TRELLIS,CLEM BLVRD R PRSNNE TM PP16069,Boulevard®  Parisienne  Clematis,VIN,04,,"24""H",     ,     , 456 ,03/01/16  , 26.50 , 23.85 , 23.19 ,1.45
OR,160000,X,414562TE,160000414562TE,#2 TRELLIS,CLEM BLVRD R REBECCA TM P21583,Boulevard®  Patio Rebecca  Clematis,VIN,04,,"24""H",     ,     , 434 ,03/01/16  , 26.50 , 23.85 , 23.19 ,1.45
OR,160000,X,414572TE,160000414572TE,#2 TRELLIS,CLEM BLVRD R ZARA TM PPAF,Boulevard®  Patio Zara  Clematis,VIN,04,,"24""H",     ,     , 270 ,03/01/16  , 26.50 , 23.85 , 23.19 ,1.45
OR,160000,X,414582,160000414582,#2,CLEM FLORA TM BIJOU TM PP15991,Flora  Bijou  Clematis,VIN,04,,, 66 ,     , 173 ,03/01/16  , 19.00 , 17.10 , 16.63 ,1.45
OR,160000,    ,027251,160000027251,#1,CLEM INTEGRIFOLIA CAERULEA,Bushy Blue Bell Clematis                                    ,PRN,03,CUT BACK,CAN FULL,     , 378 ,     ,          , 9.50 , 8.55 , 8.31 ,0.58
OR,160000,    ,027281,160000027281,#1,CLEM LAN CANDIDA,White Flowering Clematis                                    ,VIN,04,BREAKING DORMANCY,FULL STK, 19 , 418 ,,, 9.50 , 8.55 , 8.31 ,0.58
OR,160000,    ,027285,160000027285,#5,CLEM LAN CANDIDA,White Flowering Clematis                                    ,VIN,04,DORMANT,FULL STK, 5 , 21 , 110 ,03/01/16  , 31.00 , 27.90 , 27.13 ,2.91
OR,160000,X,414602TE,160000414602TE,#2 TRELLIS,CLEM RGL R DMANTINA TM PP20638,Regal®  Diamantina  Clematis,VIN,04,,,     ,     , 151 ,03/01/16  , 26.50 , 23.85 , 23.19 ,1.45
OR,160000,X,414612TE,160000414612TE,#2 TRELLIS,CLEM RGL R EMPRESS TM P16072,Regal®  Empress Clematis,VIN,04,,,     ,     , 163 ,03/01/16  , 26.50 , 23.85 , 23.19 ,1.45
OR,160000,    ,021862,160000021862,#2 STAKED,CLEM SAPPHIRE INDIGO TMPP17012,Sapphire Indigo  Clematis,VIN,04,DORMANT,FULL STK,     , 24 ,,, 19.00 , 17.10 , 16.63 ,1.45
OR,160000,    ,021865,160000021865,#5 STAKED,CLEM SAPPHIRE INDIGO TMPP17012,Sapphire Indigo  Clematis,VIN,04,DORMANT,FULL STK,     , 149 ,,, 31.00 , 27.90 , 27.13 ,2.91
OR,160000,,089922S,160000089922S,SuperTwo,CLEM SWEET SUMMER LOVE PPAF,Sweet Summer Love Clematis                                  ,VIN,04,DORMANT,3/4 STK, 12 , 12 ,,, 18.25 , 16.43 , 15.97 ,1.94
OR,160000,    ,051481,160000051481,#1 STAKED,CLEM VANCOUVER TM DANIELLE,Vancouver  Danielle Clematis,VIN,04,-,3/4 STK, 26 ,     , 31 ,03/01/16  , 10.50 , 9.45 , 9.19 ,0.58
OR,160000,    ,051482,160000051482,#2 STAKED,CLEM VANCOUVER TM DANIELLE,Vancouver  Danielle Clematis,VIN,04,BREAKING DORMANCY,FULL STK, 13 , 13 ,,, 19.00 , 17.10 , 16.63 ,1.45
OR,160000,    ,051485,160000051485,#5 STAKED,CLEM VANCOUVER TM DANIELLE,Vancouver  Danielle Clematis,VIN,04,BREAKING DORMANCY,3/4 STK,     , 10 , 86 ,03/01/16  , 33.50 , 30.15 , 29.31 ,2.91
OR,160000,    ,046271,160000046271,#1 STAKED,CLEM VANCOUVER TM FRGRNT STAR,Vancouver  Fragrant Star Clematis,VIN,04,-,3/4 STK, 49 ,     , 57 ,03/01/16  , 10.50 , 9.45 , 9.19 ,0.58
OR,160000,    ,046272,160000046272,#2 STAKED,CLEM VANCOUVER TM FRGRNT STAR,Vancouver  Fragrant Star Clematis,VIN,04,BREAKING DORMANCY,FULL STK, 20 , 13 , 7 ,03/01/16  , 19.00 , 17.10 , 16.63 ,1.45
OR,160000,    ,046275,160000046275,#5 STAKED,CLEM VANCOUVER TM FRGRNT STAR,Vancouver  Fragrant Star Clematis,VIN,04,BREAKING DORMANCY,FULL STK, 10 , 18 ,,, 33.50 , 30.15 , 29.31 ,2.91
OR,160000,    ,048741,160000048741,#1 STAKED,CLEM VANCOUVER TM STARRY NGHTS,Vancouver  Starry Nights Clematis,VIN,04,BREAKING DORMANCY,FULL STK,     ,     , 83 ,03/01/16  , 10.50 , 9.45 , 9.19 ,0.58
OR,160000,    ,048745,160000048745,#5 STAKED,CLEM VANCOUVER TM STARRY NGHTS,Vancouver  Starry Nights Clematis,VIN,04,DORMANT,FULL STK,     , 15 ,,, 33.50 , 30.15 , 29.31 ,2.91
OR,160000,    ,027215,160000027215,#5 STAKED,CLEM VIT ETOILE VIOLETTE,Etoile Violette Clematis                                    ,VIN,04,DORMANT,FULL STK, 16 , 16 ,     ,          , 31.00 , 27.90 , 27.13 ,2.91
OR,160000,    ,027302,160000027302,#2 STAKED,CLEM VIT MADAME JULIA CORREVON,Madame Julia Correvon Clematis                              ,VIN,04,BREAKING DORMANCY,FULL STK,     , 5 ,     ,          , 19.00 , 17.10 , 16.63 ,1.45
OR,160000,    ,021782,160000021782,#2 STAKED,CLEM X ARABELLA,Arabella Clematis                                           ,VIN,04,DORMANT,1/4 STK,     , 34 ,     ,          , 19.00 , 17.10 , 16.63 ,1.45
OR,160000,    ,015905,160000015905,#5 STAKED,CLEM X BLUE LIGHT R PP15953,Blue Light®  Clematis,VIN,04,BREAKING DORMANCY,3/4 STK,     ,     , 42 ,03/01/16  , 31.00 , 27.90 , 27.13 ,2.91
OR,160000,    ,027221,160000027221,#1 STAKED,CLEM X COMTESSE DE BOUCHAUD,Comtesse De Bouchaud Clematis                               ,VIN,04,BREAKING DORMANCY,FULL STK,     , 147 ,,, 9.50 , 8.55 , 8.31 ,0.58
OR,160000,    ,027225,160000027225,#5 STAKED,CLEM X COMTESSE DE BOUCHAUD,Comtesse De Bouchaud Clematis                               ,VIN,04,BREAKING DORMANCY,48''H FULL STK,     , 180 ,,, 31.00 , 27.90 , 27.13 ,2.91
OR,160000,    ,027011,160000027011,#1 STAKED,CLEM X ERNEST MARKHAM,Ernest Markham Clematis                                     ,VIN,03,BREAKING DORMANCY,FULL STK,     , 4 ,,, 9.50 , 8.55 , 8.31 ,0.58
OR,160000,    ,027015,160000027015,#5 STAKED,CLEM X ERNEST MARKHAM,Ernest Markham Clematis                                     ,VIN,03,DORMANT,3/4 STK, 7 , 25 ,,, 31.00 , 27.90 , 27.13 ,2.91
OR,160000,    ,027411,160000027411,#1,CLEM X HENRYI,Henry Clematis                                              ,VIN,04,BREAKING DORMANCY,FULL STK,     , 3 ,     ,          , 9.50 , 8.55 , 8.31 ,0.58
OR,160000,    ,027265,160000027265,#5 STAKED,CLEM X JACKMANII,Jackman Clematis                                            ,VIN,04,BREAKING DORMANCY,FULL STK,     , 43 ,,, 31.00 , 27.90 , 27.13 ,2.91
OR,160000,    ,044485,160000044485,#5 STAKED,CLEM X JACKMANII SUPERBA,Jackman Superba Clematis                                    ,VIN,04,DORMANT,FULL STK, 18 ,     , 229 ,03/01/16  , 31.00 , 27.90 , 27.13 ,2.91
