Branch,Item,Description,Confirmed Qty Remaining,,,,,,,,,,,,,
550000,037701SPT,GARDENIA AUGUST BEAUTY, 20 ,,,,,,,,,,,,,
550000,037801,GARDENIA VEITCHII, 75 ,,,,,,,,,,,,,
160000,038355,GINKGO BIL AUTUMN GOLD, 6 ,,,,,,,,,,,,,
170000,022601,GR-CAREX MORROWII AUREA VAR, 50 ,,,,,,,,,,,,,
170000,036671,GR-FESTUCA GLAUCA ELIJAH BLUE, 150 ,,,,,,,,,,,,,
550000,061561,GR-MIS SIN GRACILLIMUS, 150 ,,,,,,,,,,,,,
550000,061565,GR-MIS SIN GRACILLIMUS, 225 ,,,,,,,,,,,,,
550000,061665,GR-MIS SIN MORNING LIGHT, 225 ,,,,,,,,,,,,,
550000,061575,GR-MIS SIN VARIEGATUS, 225 ,,,,,,,,,,,,,
550000,061645,GR-MIS SIN YAKUSHIMA, 75 ,,,,,,,,,,,,,
550000,061795,GR-PAN VIR HEAVY METAL, 75 ,,,,,,,,,,,,,
550000,064261,GR-PENN ALO HAMELN, 150 ,,,,,,,,,,,,,
550000,022201,GR-PENN SET FIREWORKS PP18504, 60 ,,,,,,,,,,,,,
550000,022205,GR-PENN SET FIREWORKS PP18504, 20 ,,,,,,,,,,,,,
550000,064271,GR-PENN SET RUBRUM, 120 ,,,,,,,,,,,,,
550000,064275,GR-PENN SET RUBRUM, 60 ,,,,,,,,,,,,,
550000,022261,GR-PENN SET SKY ROCKET PP21497, 60 ,,,,,,,,,,,,,
550000,040802,HIB R AMOUR, 25 ,,,,,,,,,,,,,
550000,040985,HIB R CHERIE, 15 ,,,,,,,,,,,,,
550000,025205,HIB R ERIN RACHEL, 10 ,,,,,,,,,,,,,
550000,025205PT,HIB R ERIN RACHEL, 6 ,,,,,,,,,,,,,
550000,041205,HIB R FULLMOON R, 10 ,,,,,,,,,,,,,
550000,041205PT,HIB R FULLMOON R, 6 ,,,,,,,,,,,,,
550000,041251,HIB R GOLDEN DUST, 50 ,,,,,,,,,,,,,
550000,041255PT,HIB R GOLDEN DUST, 6 ,,,,,,,,,,,,,
550000,041305,HIB R HULA GIRL, 15 ,,,,,,,,,,,,,
550000,091425,HIB R RED DARLING R, 30 ,,,,,,,,,,,,,
550000,091425PT,HIB R RED DARLING R, 12 ,,,,,,,,,,,,,
550000,041595PT,HIB R THE PATH, 15 ,,,,,,,,,,,,,
550000,092755,HYD M ENCHANTRESS R PPAF, 75 ,,,,,,,,,,,,,
170000,074542S,HYD MAC CTYLN TM RIO, 100 ,,,,,,,,,,,,,
170000,041921,HYD MAC MARIESII VARIEGATA, 30 ,,,,,,,,,,,,,
170000,041925,HYD MAC MARIESII VARIEGATA, 30 ,,,,,,,,,,,,,
170000,041951,HYD MAC MERRITT'S BEAUTY, 30 ,,,,,,,,,,,,,
550000,041965,HYD MAC NIKKO BLUE, 75 ,,,,,,,,,,,,,
550000,023752,HYD MAC PENNY MAC, 40 ,,,,,,,,,,,,,
170000,042071,HYD MAC PINK ELF R (PIA), 30 ,,,,,,,,,,,,,
170000,042075,HYD MAC PINK ELF R (PIA), 25 ,,,,,,,,,,,,,
170000,041971,HYD MAC PINK N PRETTY R, 30 ,,,,,,,,,,,,,
170000,041975,HYD MAC PINK N PRETTY R, 10 ,,,,,,,,,,,,,
170000,041985,HYD MAC RED N PRETTY R, 10 ,,,,,,,,,,,,,
550000,044935,ILEX CREN SKY PENCIL(SKY SNTRY, 225 ,,,,,,,,,,,,,
160000,045095,ILEX X BERRI-MAGIC R KIDS, 35 ,,,,,,,,,,,,,
160000,045172,ILEX X BLUE PRINCESS, 60 ,,,,,,,,,,,,,
160000,074955,ILEX X CASTLE SPIRE R PP14310, 75 ,,,,,,,,,,,,,
160000,045352,ILEX X LITTLE RASCAL R P9999, 100 ,,,,,,,,,,,,,
170000,071781,JASMINUM SAMBAC, 30 ,,,,,,,,,,,,,
170000,071782,JASMINUM SAMBAC, 15 ,,,,,,,,,,,,,
160000,046905,JUN C GOLD COAST R, 10 ,,,,,,,,,,,,,
170000,047505SP,JUN C HETZII COLUMN, 8 ,,,,,,,,,,,,,
550000,047509,JUN C HETZII COLUMN, 10 ,,,,,,,,,,,,,
170000,048005OP,JUN C MINT JULEP R, 1 ,,,,,,,,,,,,,
170000,048005SP,JUN C MINT JULEP R, 8 ,,,,,,,,,,,,,
170000,047305SP,JUN C SPARTAN, 14 ,,,,,,,,,,,,,
170000,049905PT,JUN H ICEE BLUE R P9639, 8 ,,,,,,,,,,,,,
170000,052505,JUN SC GRAY GLEAM, 50 ,,,,,,,,,,,,,
170000,054005,JUN SC SKYROCKET, 50 ,,,,,,,,,,,,,
160000,053305,JUN SC WICHITA BLUE, 30 ,,,,,,,,,,,,,
170000,036845,JUN V TAYLOR, 75 ,,,,,,,,,,,,,
160000,054335,LABURNUM X WAT VOSSII, 10 ,,,,,,,,,,,,,
550000,009025,LAG RED ROCKET R PP11342, 38 ,,,,,,,,,,,,,
170000,054555,LAG X PECOS, 29 ,,,,,,,,,,,,,
550000,056355,LAG X TONTO, 50 ,,,,,,,,,,,,,
550000,009133PT,LANTANA CAM MOZELLE, 10 ,,,,,,,,,,,,,
550000,056631SPT,LANTANA CHAPEL HILL YLW P19548, 12 ,,,,,,,,,,,,,
550000,056633PT,LANTANA CHAPEL HILL YLW P19548, 4 ,,,,,,,,,,,,,
550000,056953PT,LANTANA CONFETTI TM, 15 ,,,,,,,,,,,,,
550000,009093PT,LANTANA NEW GOLD, 6 ,,,,,,,,,,,,,
550000,057231SPT,LANTANA S LAVENDER SWIRL R, 10 ,,,,,,,,,,,,,
550000,057201SPT,LANTANA TANGERINE TM, 10 ,,,,,,,,,,,,,
550000,057203PT,LANTANA TANGERINE TM, 10 ,,,,,,,,,,,,,
550000,024461,LANTANA TEENIE GENIE R PP17612, 75 ,,,,,,,,,,,,,
170000,05729EPT,LAURUS NOBILIS, 20 ,,,,,,,,,,,,,
550000,009671,LIRIOPE MUSCARI BIG BLUE, 450 ,,,,,,,,,,,,,
