Branch,Date,SB Order,Item,Description,Size / Form,Confirmed,Remaining,Plus/X,"Remaining
Amount",Ready Date,Specs,Comments,Net Price,"Price
Code","Landed
Price",SKU,Retail,UPC
CA,5/1/2014,1372051,26655,CITRUS MORO BLOOD ORANGE,#5,5,5,Remaining,$105.50 ,READY,"14""H-15""S",-,$21.10 ,,$26.73 ,,$60.99 ,14949266557
OR,5/1/2014,1372023,27475,CLEM PANICULATA,#5 STAKED,7,7,Remaining,$170.52 ,READY,48''FULL STK,-,$24.36 ,,$29.77 ,,$66.99 ,14949274750
OR,5/1/2014,1372023,27215,CLEM VIT ETOILE VIOLETTE,#5 STAKED,3,3,Remaining,$73.08 ,5/1/2014,,,$24.36 ,,$29.77 ,,$66.99 ,14949272152
OR,5/1/2014,1372023,27225,CLEM X COMTESSE DE BOUCHAUD,#5 STAKED,3,3,Remaining,$73.08 ,READY,48'' FULL STK,BREAKING DORMANCY,$24.36 ,,$29.77 ,,$66.99 ,14949272251
OR,5/1/2014,1372023,44485,CLEM X JACKMANII SUPERBA,#5 STAKED,5,5,Remaining,$121.80 ,5/1/2014,,,$24.36 ,,$29.77 ,,$66.99 ,14949266083
OR,5/1/2014,1372023,27865,CORNUS ALBA IVORYHALO TM,#5,25,25,Remaining,$473.00 ,READY,"24""H - 18""S",DORMANT,$18.92 ,,$24.33 ,,$54.99 ,14949278659
OR,5/1/2014,1372023,28502,COT APICULATUS,#2,5,5,Remaining,$57.65 ,READY,12''H - 12''S,DORMANT,$11.53 ,,$14.23 ,,$32.99 ,14949285022
OR,5/1/2014,1372023,28552,COT APICULATUS TOM THUMB,#2,5,5,Remaining,$57.65 ,READY,"6""H - 10""S",DORMANT,$11.53 ,,$14.23 ,,$32.99 ,14949285527
OR,5/1/2014,1372023,29002,COT DAM CORAL BEAUTY,#2,5,5,Remaining,$59.80 ,READY,"15""H - 14""S",-,$11.96 ,,$14.66 ,,$32.99 ,14949290026
OR,5/1/2014,1372023,28145,COTINUS COG ROYAL PURPLE,#5,5,5,Remaining,$120.70 ,5/15/2014,,,$24.14 ,,$29.55 ,,$66.99 ,14949281451
OR,5/1/2014,1372023,31385,CYTISUS ALLGOLD,#5,10,10,Remaining,$171.80 ,READY,"15""H - 15""S",BUDS,$17.18 ,,$22.59 ,,$50.99 ,14949313855
OR,5/1/2014,1372023,34002,EUO F EMERALD 'N GOLD,#2,10,10,Remaining,$113.10 ,READY,8''H - 12''S,-,$11.31 ,,$14.01 ,,$31.99 ,14949340028
OR,5/1/2014,1372023,33902,EUO F EMERALD GAIETY,#2,10,10,Remaining,$113.10 ,READY,8''H - 12''S,-,$11.31 ,,$14.01 ,,$31.99 ,14949339022
CA,5/1/2014,1372051,03540MES,EUO KIA MANHATTAN,#10 Squat ESPALIER,1,1,Remaining,$68.73 ,READY,"48""H - 44""S",WINTER COLOR,$68.73 ,,$99.16 ,,$223.99 ,14949202531
CA,5/1/2014,1372051,035575PT,EURYOPS PECT VIRIDIS,#5 PATIO TREE,10,10,Remaining,$304.50 ,READY,"18""S",BUDS & BLOOMS,$30.45 ,,$38.90 ,,$87.99 ,14949355855
GA,5/1/2014,1372061,36121,FERN-ATHYRIUM NIP PICTUM,#1,20,20,Remaining,$95.80 ,READY,CAN FULL,DORMANT,$4.79 ,,$5.45 ,,$14.99 ,14949361214
GA,5/1/2014,1372061,36121,FERN-ATHYRIUM NIP PICTUM,#1,40,40,Remaining,$191.60 ,READY,CAN FULL,DORMANT,$4.79 ,,$5.45 ,,$14.99 ,14949361214
CA,5/1/2014,1372051,36122,FERN-ATHYRIUM NIP PICTUM,#2,9,9,Remaining,$115.47 ,READY,CAN FULL,DORMANT,$12.83 ,,$15.65 ,,$35.99 ,14949361221
CA,5/1/2014,1372051,36785,FICUS CAR BROWN TURKEY,#5,3,3,Remaining,$70.47 ,READY,"34""H",BREAKING DORMANCY,$23.49 ,,$29.12 ,,$65.99 ,14949367858
CA,5/1/2014,1372051,36815,FICUS CAR MISSION,#5,3,3,Remaining,$70.47 ,READY,"36""H",BREAKING DORMANCY,$23.49 ,,$29.12 ,,$65.99 ,14949368152
CA,5/1/2014,1372051,1421,GR-ACORUS GR OGON,#1,10,10,Remaining,$56.60 ,READY,CAN FULL,-,$5.66 ,,$6.79 ,,$15.99 ,14949014219
OR,5/1/2014,1372023,14015,GR-CAL ACUT KARL FOERSTER,#5,9,9,Remaining,$140.94 ,READY,.,CUT BACK,$15.66 ,,$21.07 ,,$47.99 ,14949140154
GA,5/1/2014,1372061,14015,GR-CAL ACUT KARL FOERSTER,#5,15,15,Remaining,$234.90 ,5/1/2014,,,$15.66 ,,$18.98 ,,$47.99 ,14949140154
CA,5/1/2014,1372051,22581,GR-CAREX BUCHANANII,#1,6,6,Remaining,$32.64 ,READY,"17""H *",WINTER COLOR,$5.44 ,,$6.57 ,,$14.99 ,14949225813
CA,5/1/2014,1372051,22582,GR-CAREX BUCHANANII,#2,10,10,Remaining,$117.50 ,READY,"17""H",WINTER COLOR,$11.75 ,,$14.57 ,,$32.99 ,14949225820
CA,5/1/2014,1372051,22661,GR-CAREX GLAUCA,#1,10,10,Remaining,$54.40 ,READY,"6""H",WINTER COLOR,$5.44 ,,$6.57 ,,$14.99 ,14949226612
CA,5/1/2014,1372051,31941,GR-ELYMUS ARENARIUS BLUE DUNE,#1,10,10,Remaining,$54.40 ,READY,"3""H",CUT BACK,$5.44 ,,$6.57 ,,$14.99 ,14949319413
CA,5/1/2014,1372051,31942,GR-ELYMUS ARENARIUS BLUE DUNE,#2,5,5,Remaining,$58.75 ,READY,"2""H",CUT BACK,$11.75 ,,$14.57 ,,$32.99 ,14949319420
CA,5/1/2014,1372051,28055,GR-ERIANTHUS RAVENNAE,#5,5,5,Remaining,$76.15 ,READY,"5""H",CUT BACK,$15.23 ,,$20.86 ,,$46.99 ,14949280553
CA,5/1/2014,1372051,36671,GR-FESTUCA GLAUCA ELIJAH BLUE,#1,50,50,Remaining,$250.00 ,READY,CAN FULL,-,$5.00 ,,$6.13 ,,$13.99 ,14949366714
CA,5/1/2014,1372051,36672,GR-FESTUCA GLAUCA ELIJAH BLUE,#2,15,15,Remaining,$176.25 ,4/1/2014,,,$11.75 ,,$14.57 ,,$32.99 ,14949366721
OR,5/1/2014,1372023,35911,GR-HAKONECHLOA MACRA ALL GOLD,#1,8,8,Remaining,$71.36 ,4/1/2014,,,$8.92 ,,$10.00 ,,$22.99 ,14949208625
OR,5/1/2014,1372023,38681,GR-HAKONECHLOA MACRA AUREOLA,#1,25,25,Remaining,$174.00 ,READY,.,CUT BACK,$6.96 ,,$8.04 ,,$18.99 ,14949386811
