Loc,Item Number,Plant Category,Plant Name,Confirmed Qty Remaining
CT,071173,DCS,SPIRAEA X GOLDFLAME, 20 
CT,072023,DCS,SYRINGA PATULA MISS KIM, 20 
GA,012597,CON,THUJA GREEN GIANT, 20 
OR,012599,CON,THUJA GREEN GIANT, 50 
GA,012599,CON,THUJA GREEN GIANT, 2 
OR,073015,CON,THUJA OC EMERALD, 20 
OR,076081,PRN,VINCA MINOR ATROPURPUREA, 100 
OR,07613UT,PRN,VINCA MINOR BOWLES', 608 
OR,076131,PRN,VINCA MINOR BOWLES', 590 
CT,077513S,DCS,WEIGELA FL SPILLED WINE TM PAF, 15 
CT,076563S,DCS,WEIGELA FL WINE&ROSES R P10772, 5 
CA,090152,EVS,YUCCA FIL COLOR GUARD, 10 
CT,400521,PRN,AGASTACHE HYB BLUE BOA PP24050, 18 
CT,400561,PRN,ALLIUM HYB MILLENNIUM, 18 
OR,025212,GRS,BAM-FARGESIA RUFA (CLUMP), 17 
CA,011285,GRS,BAM-PHYLLO BISSETII (RUN), 25 
CT,074412S,DCS,BUD LO&BEHLD R BLU CHP PP19991, 10 
CT,401292S,DCS,BUD LO&BEHLD R PINK MICRO CHIP, 10 
GA,077392S,DCS,BUDDLEJA MISS MOLLY PPAF, 15 
GA,074402S,DCS,BUDDLEJA X MISS RUBY PPAF, 15 
OR,013952,EVS,BUXUS J GREEN BEAUTY, 2 
GA,013952,EVS,BUXUS J GREEN BEAUTY, 30 
CA,013955,EVS,BUXUS J GREEN BEAUTY, 50 
GA,013955,EVS,BUXUS J GREEN BEAUTY, 14 
OR,013833,EVS,BUXUS MIC WINTER GEM, 3 
CT,013833,EVS,BUXUS MIC WINTER GEM, 25 
GA,013833,EVS,BUXUS MIC WINTER GEM, 24 
CA,013835,EVS,BUXUS MIC WINTER GEM, 100 
CT,013835,EVS,BUXUS MIC WINTER GEM, 100 
GA,013835,EVS,BUXUS MIC WINTER GEM, 107 
GA,013835CN,EVS,BUXUS MIC WINTER GEM, 6 
GA,013837,EVS,BUXUS MIC WINTER GEM, 150 
GA,013837CN,EVS,BUXUS MIC WINTER GEM, 6 
GA,013839,EVS,BUXUS MIC WINTER GEM, 50 
OR,013905,EVS,BUXUS S GREEN TOWER R PP15243, 8 
OR,01398UT,EVS,BUXUS SEMP SUFFRUTICOSA, 96 
OR,013981,EVS,BUXUS SEMP SUFFRUTICOSA, 100 
OR,013982,EVS,BUXUS SEMP SUFFRUTICOSA, 59 
OR,01388UT,EVS,BUXUS SEMP VARIEGATA, 32 
OR,013881,EVS,BUXUS SEMP VARIEGATA, 40 
GA,013882,EVS,BUXUS SEMP VARIEGATA, 25 
CA,092892,DCS,CARY CLA KORBALL BLU BALLOON R, 15 
CT,035355,CON,CRYPTOMERIA J BLACK DRAGON, 12 
GA,030519,CON,CUP LEY EMERALD ISLE R, 41 
GA,030509,CON,CUP LEYLANDII, 80 
