Loc,New Plant,Item,Size,Plant Name,Category,Zone,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On
CA,2013,055245,#5,HIB R C'EST BON,EVS,10, 23.00 ,BUDS,"18""H-15""S", 75 , 5 , 75 , 75 ,04/01/15  
CA,2013,055251,#1,HIB R HEAT FLASH,EVS,10, 8.00 ,-,"10""H-8""S", 45 , 10 ,     , 45 ,04/01/15  
CA,2013,055255,#5,HIB R HEAT FLASH,EVS,10, 23.00 ,BUDS,"18""H-15""S", 61 , 5 , 61 , 61 ,04/01/15  
CA,2013,055315,#5,HIB R WHIPPED CREAM,EVS,10, 23.00 ,BUDS,"18""H-18""S", 7 , 5 , 7 ,     ,          
CT,2013,080873S,Super 3,HIB SYR PINK CHIFFON TM PPAF,DCS,05, 17.75 ,BUDS & BLOOMS,"34""x22",     , 5 , 37 ,     ,          
CT,2014,026217PT,#7 PATIO TREE,HIB X LOHENGRIN,DCS,05, 53.00 ,,,     , 2 , 221 ,     ,          
OR,2014,093062,#2,HOSTA ENTERPRISE,PRN,03, 14.25 ,-,2-4 EYES,     , 5 , 155 , 155 ,04/01/15  
OR,2014,075111,#1,HOSTA FANTASY ISLAND,PRN,03, 7.15 ,-,1-3 EYES, 39 , 10 , 39 ,     ,          
CT,2014,075111,#1,HOSTA FANTASY ISLAND,PRN,03, 7.15 ,,,     , 10 ,     , 462 ,05/15/15  
OR,2014,075112,#2,HOSTA FANTASY ISLAND,PRN,03, 14.25 ,-,2-4 EYES,     , 5 , 172 , 172 ,04/01/15  
CT,2014,075121,#1,HOSTA FIRE ISLAND,PRN,03, 5.28 ,,, 30 , 10 ,     , 448 ,05/15/15  
OR,2014,039471,#1,HOSTA ROSEDALE GOLDEN GOOSE,PRN,03, 6.35 ,,1-3 EYES,     , 10 , 414 , 414 ,04/15/15  
CT,2014,039471,#1,HOSTA ROSEDALE GOLDEN GOOSE,PRN,03, 6.35 ,,, 25 , 10 ,     , 502 ,05/15/15  
OR,2014,039472,#2,HOSTA ROSEDALE GOLDEN GOOSE,PRN,03, 14.25 ,-,2-4 EYES, 24 , 5 , 27 , 27 ,03/01/15  
