Requested,Remaining,Date,Item,Description,Size,Form,Whs,UPC,,,Selling Price,Price Code,Extended,
54,54,4/1/2014,403641,HOSTA SO SWEET,1,,450000,14949392218,,,$3.96 ,,$213.84 ,
54,54,4/1/2014,044671,HOSTA STAINED GLASS PPAF,1,,450000,14949267561,,,$4.40 ,,$237.60 ,
54,54,4/1/2014,029791,HOSTA STRIPTEASE,1,,450000,14949066713,,,$3.96 ,,$213.84 ,
54,54,4/1/2014,083971,HOSTA SUM & SUBSTANCE,1,,450000,14949839713,,,$3.96 ,,$213.84 ,
54,54,4/1/2014,082011,HOSTA X LIBERTY,1,,450000,14949372029,,,$3.96 ,,$213.84 ,
135,135,4/1/2014,035023,HYD END SUM R BLSH BRID P17169,3,,450000,14949404263,,,$15.60 ,,"$2,106.00 ",
135,135,4/1/2014,403883,HYD END SUM R TWST-N-SHT R PAF,3,,450000,14949392423,,,$15.60 ,,"$2,106.00 ",
480,480,4/1/2014,017313,HYD M ENDLESS SUMMER R PP15298,3,,450000,14949057285,,,$15.60 ,,"$7,488.00 ",
100,100,4/1/2014,403813,HYD MAC BLUE CASSEL TM,3,,450000,14949392706,,,$15.60 ,,"$1,560.00 ",
75,75,4/1/2014,403893,HYD MAC GUILDED GOLD TM PPAF,3,,450000,14949392997,,,$15.60 ,,"$1,170.00 ",
75,75,4/1/2014,023753,HYD MAC PENNY MAC,3,,450000,14949044209,,,$15.60 ,,"$1,170.00 ",
60,60,4/1/2014,024377PT,HYD PAN LIMELIGHT PP12874,7,PT,450000,14949404638,,,$28.00 ,,"$1,680.00 ",
30,30,4/1/2014,029923S,HYD PAN LITTLE LIME PPAF,3S,,450000,14949217290,,,$13.20 ,,$396.00 ,
30,30,4/1/2014,074603S,HYD PAN QUICK FIRE R PP16812,3S,,450000,14949410523,,,$13.20 ,,$396.00 ,
75,75,4/1/2014,045073,ILEX GLA SHAMROCK,3,,450000,14949010068,,,$12.48 ,,$936.00 ,
90,90,4/1/2014,053392,JUN SQUA BLUE STAR,2,,450000,14949533925,,,$10.00 ,,$900.00 ,
30,30,4/1/2014,404273,KALMIA LAT BULLS EYE,3,,450000,14949393772,,,$15.80 ,,$474.00 ,
30,30,4/1/2014,054073,KALMIA LAT OLYMPIC FIRE,3,,450000,14949405673,,,$15.80 ,,$474.00 ,
30,30,4/1/2014,019863,KALMIA LAT SARAH,3,,450000,14949405734,,,$15.80 ,,$474.00 ,
10,10,4/1/2014,061622,MICROBIOTA DECUSSATA,2,,450000,14949616222,,,$10.00 ,,$100.00 ,
30,30,4/1/2014,038512,MICROBIOTA DRWS BLUE TM P20298,2,,450000,14949222348,,,$10.00 ,,$300.00 ,
20,20,4/1/2014,038502,MICROBIOTA FUZZBALL TM P20012,2,,450000,14949222331,,,$10.00 ,,$200.00 ,
30,30,4/1/2014,081072,PAEONIA OFF RUBRA PLENA,2,,450000,14949406694,,,$7.88 ,,$236.40 ,
30,30,4/1/2014,024242,PAEONIA X BLAZE (RED),2,,450000,14949044728,,,$7.88 ,,$236.40 ,
30,30,4/1/2014,019522,PAEONIA X BOWL OF BEAUTY (PK),2,,450000,14949018453,,,$7.88 ,,$236.40 ,
20,20,4/1/2014,019525,PAEONIA X BOWL OF BEAUTY (PK),5,,450000,14949406700,,,$16.80 ,,$336.00 ,
40,40,4/1/2014,404932,PAEONIA X DUCHESSE DE NEMOUR,2,,450000,14949395240,,,$7.88 ,,$315.20 ,
20,20,4/1/2014,404935,PAEONIA X DUCHESSE DE NEMOUR,5,,450000,14949395257,,,$16.80 ,,$336.00 ,
30,30,4/1/2014,063662,PAEONIA X FELIX CROUSSE (RED),2,,450000,14949636626,,,$7.88 ,,$236.40 ,
30,30,4/1/2014,063572,PAEONIA X KARL ROSENFIELD(RED),2,,450000,14949635728,,,$7.88 ,,$236.40 ,
30,30,4/1/2014,063632,PAEONIA X SARAH BERNHARDT (PK),2,,450000,14949636329,,,$7.88 ,,$236.40 ,
20,20,4/1/2014,063635,PAEONIA X SARAH BERNHARDT (PK),5,,450000,14949406724,,,$16.80 ,,$336.00 ,
30,30,4/1/2014,095682,PAEONIA X SCARLETT OHARA (PNK),2,,450000,14949374979,,,$7.88 ,,$236.40 ,
20,20,4/1/2014,034653,PHYSOCARPUS CENTER GLOW P16894,3,,450000,14949406779,,,$12.68 ,,$253.60 ,
20,20,4/1/2014,405273,PHYSOCARPUS OPUL NUGGET,3,,450000,14949395530,,,$10.80 ,,$216.00 ,
20,20,4/1/2014,029943S,PHYSOCARPUS SUMR WINE R P14821,3S,,450000,14949410639,,,$12.68 ,,$253.60 ,
60,60,4/1/2014,064623,PICEA GL CONICA,3,,450000,14949646236,,,$18.00 ,,"$1,080.00 ",
