Loc,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Zone,Royalty Code,2015 List Price,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On
OR,052631,#1,HOSTA FROSTY RIBBONS TM PPAF,Hosta x 'MonLisa' P.P.A.F.                                  ,Frosty Ribbons™  Hosta,Hosta,04,, 6.35 ,     , 10 , 9 , 9 ,04/01/15  ,     ,          ,     ,          
GA,016301,#1,HOSTA TOKUDAMA FLAVOCIRCINALIS,Hosta tokudama 'Flavocircinalis'                            ,Flavocircinalis Plantain Lily                               ,Hosta,03,, 6.35 ,     , 10 ,     , 470 ,05/01/15  ,     ,          ,     ,          
OR,016305,#5,HOSTA TOKUDAMA FLAVOCIRCINALIS,Hosta tokudama 'Flavocircinalis'                            ,Flavocircinalis Plantain Lily                               ,Hosta,03,, 24.50 ,     , 5 , 4 , 164 ,04/01/15  ,     ,          ,     ,          
CT,082011,#1,HOSTA X LIBERTY,"Hosta 'Liberty' PP #12,531                                  ",Liberty Hosta                                               ,Hosta,03,Y, 5.28 ,     , 10 ,     , 102 ,05/15/15  ,     ,          ,     ,          
CT,082012,#2,HOSTA X LIBERTY,"Hosta 'Liberty' PP #12,531                                  ",Liberty Hosta                                               ,Hosta,03,Y, 7.50 ,     , 5 ,     , 782 ,06/01/15  ,     ,          ,     ,          
OR,088392,#2,HUMULUS X CRYSTAL,Humulus x 'Crystal'                                         ,Crystal Hop                                                 ,Edible berries/fruit,04,, 16.75 ,     , 5 , 21 ,     ,          ,     ,          ,     ,          
OR,088402,#2,HUMULUS X NEWPORT,Humulus lupulus 'Newport'                                   ,Newport Common Hop                                          ,Edible berries/fruit,05,, 16.75 ,     , 5 , 115 ,     ,          ,     ,          ,     ,          
OR,063832,#2,HYD ANG GOLDEN CRANE R,Hydrangea angustipetala 'MonLongShou'                       ,Golden Crane®  Hydrangea,Hydrangea,06,HIN, 16.50 , 26 , 5 ," 1,215 ",     ,          ,     ,          ,     ,          
OR,063835,#5,HYD ANG GOLDEN CRANE R,Hydrangea angustipetala 'MonLongShou'                       ,Golden Crane®  Hydrangea,Hydrangea,06,HIN, 25.50 , 12 , 5 , 680 ,     ,          ,     ,          ,     ,          
GA,063835,#5,HYD ANG GOLDEN CRANE R,Hydrangea angustipetala 'MonLongShou'                       ,Golden Crane®  Hydrangea,Hydrangea,06,HIN, 25.50 , 44 , 5 ,     , 213 ,05/15/15  ,     ,          ,     ,          
OR,092752,#2,HYD M ENCHANTRESS R PPAF,Hydrangea macrophylla 'Monmar' P.P.A.F.                     ,Enchantress®  Hydrangea,Hydrangea,05,RGW, 17.00 , 10 , 5 ," 1,695 ",     ,          ,     ,          ,     ,          
CA,092752,#2,HYD M ENCHANTRESS R PPAF,Hydrangea macrophylla 'Monmar' P.P.A.F.                     ,Enchantress®  Hydrangea,Hydrangea,05,RGW, 17.00 ,     , 5 ," 6,191 "," 8,086 ",12/31/14  ,     ,          ,     ,          
GA,092752,#2,HYD M ENCHANTRESS R PPAF,Hydrangea macrophylla 'Monmar' P.P.A.F.                     ,Enchantress®  Hydrangea,Hydrangea,05,RGW, 17.00 ,     , 5 , 825 ," 6,757 ",11/01/14  ," 14,995 ",05/15/15  ,     ,          
OR,092755,#5,HYD M ENCHANTRESS R PPAF,Hydrangea macrophylla 'Monmar' P.P.A.F.                     ,Enchantress®  Hydrangea,Hydrangea,05,RGW, 24.00 ,     , 5 ," 2,707 ",     ,          ,     ,          ,     ,          
CA,092755,#5,HYD M ENCHANTRESS R PPAF,Hydrangea macrophylla 'Monmar' P.P.A.F.                     ,Enchantress®  Hydrangea,Hydrangea,05,RGW, 24.00 , 30 , 5 ," 4,696 "," 13,084 ",12/31/14  ,     ,          ,     ,          
CT,092755,#5,HYD M ENCHANTRESS R PPAF,Hydrangea macrophylla 'Monmar' P.P.A.F.                     ,Enchantress®  Hydrangea,Hydrangea,05,RGW, 24.00 , 5 , 5 ,     , 25 ,10/01/14  ,     ,          ,     ,          
GA,092755,#5,HYD M ENCHANTRESS R PPAF,Hydrangea macrophylla 'Monmar' P.P.A.F.                     ,Enchantress®  Hydrangea,Hydrangea,05,RGW, 24.00 , 70 , 5 ,     ," 1,466 ",10/01/14  ," 2,497 ",11/01/14  ," 8,133 ",05/15/15  
OR,093172,#2,HYD QUER MUNCHKIN,Hydrangea quercifolia 'Munchkin'                            ,Munchkin Oakleaf Hydrangea                                  ,Hydrangea,05,, 16.50 , 22 , 5 , 22 ,     ,          ,     ,          ,     ,          
OR,093175,#5,HYD QUER MUNCHKIN,Hydrangea quercifolia 'Munchkin'                            ,Munchkin Oakleaf Hydrangea                                  ,Hydrangea,05,, 24.50 , 1 , 5 , 1 ,     ,          ,     ,          ,     ,          
GA,080962S,SuperTwo,HYD SER TUFF STUFF TM PPAF,Hydrangea serrata 'MAK20' P.P.A.F.                          ,Tuff Stuff™  Reblooming Mountain Hydrangea,Hydrangea,05,PW, 17.00 , 50 , 5 ,     , 50 ,05/15/15  ,     ,          ,     ,          
CT,080963S,Super 3,HYD SER TUFF STUFF TM PPAF,Hydrangea serrata 'MAK20' P.P.A.F.                          ,Tuff Stuff™  Reblooming Mountain Hydrangea,Hydrangea,05,PW, 21.50 , 25 , 5 ,     , 25 ,06/01/15  ,     ,          ,     ,          
CA,065382,#2,HYPERICUM AN IGNITE RED P19468,"Hypericum androsaemum 'Seifire' P.P. #19,468                ",Ignite Red St John's Wort                                   ,Deciduous sumr flower'g shrub,05,BHC, 14.50 , 29 , 5 ,     , 29 ,11/15/14  ,     ,          ,     ,          
CA,080892S,SuperTwo,HYPERICUM KAL BLUE & GOLD PPAF,Hypericum kalmianum 'Blue & Gold' P.P.A.F.                  ,Blue & Gold St. John's Wort                                 ,Deciduous sumr flower'g shrub,04,PW, 17.00 ,     , 5 ,     , 330 ,11/15/14  ,     ,          ,     ,          
CA,072511,#1,LOBELIA X SPE RUSSIAN PRINCESS,Lobelia x speciosa 'Russian Princess'                       ,Russian Princess Lobelia                                    ,Mid spring border flowering,04,, 5.75 ,     , 10 ,     , 292 ,10/01/14  , 292 ,04/01/15  ,     ,          
OR,055661,#1,OPHIOPOGON FORMOSANUM,Ophiopogon formosanum                                       ,Taiwan Mondo Grass                                          ,Grass-like plant,07,HIN, 5.25 ,     , 10 , 279 , 381 ,03/01/15  ,     ,          ,     ,          
OR,084781,#1,PEROVSKIA LACEY BLUE PP20845,"Perovskia atriplicifolia 'Lisslitt' P.P.# 20,845            ",Lacey Blue Russian Sage                                     ,Mid/late tall flowering,04,BHC, 6.35 ,     , 10 , 624 , 747 ,04/01/15  ,     ,          ,     ,          
CT,084781,#1,PEROVSKIA LACEY BLUE PP20845,"Perovskia atriplicifolia 'Lisslitt' P.P.# 20,845            ",Lacey Blue Russian Sage                                     ,Mid/late tall flowering,04,BHC, 5.10 ,     , 10 , 57 , 976 ,05/15/15  ,     ,          ,     ,          
CA,084782,#2,PEROVSKIA LACEY BLUE PP20845,"Perovskia atriplicifolia 'Lisslitt' P.P.# 20,845            ",Lacey Blue Russian Sage                                     ,Mid/late tall flowering,04,BHC, 16.25 ,     , 5 , 16 , 16 ,04/01/15  ,     ,          ,     ,          
OR,043411,#1,PHLOMIS FRUTICOSA,Phlomis fruticosa                                           ,Jerusalem Sage                                              ,Mid/late border flowering,06,, 5.75 ,     , 10 , 92 ,     ,          ,     ,          ,     ,          
OR,043412,#2,PHLOMIS FRUTICOSA,Phlomis fruticosa                                           ,Jerusalem Sage                                              ,Mid/late border flowering,06,, 13.00 ,     , 5 , 154 ,     ,          ,     ,          ,     ,          
GA,00710UT,LittleOne,PHLOX P LILAC FLAME R PP11802,"Phlox paniculata 'Barten' P.P.#11,802                       ",Lilac Flame®  Dwarf Garden Phlox,Mid spring interm. flowering,04,Y, 3.10 ,     , 16 ,     , 6 ,10/01/14  , 6 ,05/01/15  ,     ,          
GA,04619UT,LittleOne,PHLOX P PINK FLAME R PP11804,"Phlox paniculata 'Bartwelve' P.P.# 11,804 C.P.B.R. 1094     ",Flame®  Pink Dwarf Garden Phlox,Mid spring interm. flowering,04,Y, 3.10 ,     , 16 , 24 , 130 ,05/15/15  ,     ,          ,     ,          
GA,00725UT,LittleOne,PHLOX P WHITE FLAME R PP16259,"Phlox paniculata ''Bartwentynine' P.P.#16,259               ",White Flame®  Dwarf Garden Phlox,Mid spring interm. flowering,04,Y, 3.10 ,     , 16 ,     , 33 ,05/15/15  ,     ,          ,     ,          
OR,068262,#2,PHYSOCARPUS OPU DART'S GOLD,Physocarpus opulifolius 'Dart's Gold'                       ,Dart's Gold Ninebark                                        ,Deciduous shrub/hedge,03,, 14.25 ,     , 5 , 57 ,     ,          ,     ,          ,     ,          
OR,033275,#5,PICEA GL DENSATA WELLS' WEEPER,Picea glauca 'Wells' Weeper'                                ,Wells' Weeper Spruce                                        ,Picea,02,, 41.50 ,     , 5 , 6 ,     ,          ,     ,          ,     ,          
CA,093361,#1,POLIOMINTHA BUSTAMANTE HINKLEY,Poliomintha bustamante 'Hinkley'                            ,Hinkley Frosted Mint                                        ,Mid/late interm. flowering,06,HIN, 6.35 ,     , 10 ,     , 59 ,04/01/15  ,     ,          ,     ,          
OR,016235,#5,RHOD (H-1) HELSINKI UNIVERSITY,Rhododendron x 'Helsinki University' (H-1)                  ,Helsinki University Rhododendron                            ,Rhododendron,03,OLD, 26.50 ,     , 5 , 1 ,     ,          ,     ,          ,     ,          
OR,020195,#5,RHOD (H-1) RTR MARCH MADNESS,Rhododendron x 'March Madness' (H-1) Raise the Roof® ,March Madness Rhododendron                                  ,Rhododendron,04,UOC, 27.50 , 13 , 5 , 35 ,     ,          ,     ,          ,     ,          
OR,079572,#2,ROSA FLWR CAR R PNK SPLSH PPAF,Rosa x 'Noasplash' P.P.A.F.                                 ,Flower Carpet®  Pink Splash Groundcover Rose,Rosa,05,ATI, 15.50 , 108 , 5 ,     , 108 ,05/01/15  ,     ,          ,     ,          
CA,080732S,SuperTwo,ROSA OSO EASY R STBY CR P20601,"Rosa x 'Hormeteorie' P.P.#20,601 Can. P.B.R.A.F.            ",Oso Easy®  Strawberry Crush Rose,Rosa,04,PW, 16.50 , 21 , 5 , 65 ,     ,          ,     ,          ,     ,          
CA,081302,#2,ROSA SWT SPOT TM CALYPSO PPAF,Rosa L. hybrid var. 'IntRos01' P.P.A.F.                     ,Sweet Spot™  Calypso Rose,Rosa,05,ATI, 15.50 , 18 , 5 ,     , 18 ,04/01/15  ,     ,          ,     ,          
CA,081492,#2,ROSA SWT SPOT TM RUBY PPAF,Rosa L. hybrid var. 'IntRos04' P.P.A.F.                     ,Sweet Spot™  Ruby Rose,Rosa,05,ATI, 15.50 , 18 , 5 ,     ," 4,740 ",04/01/15  ,     ,          ,     ,          
CA,084941,#1,ROSMARINUS OFF SPICE ISLANDS,Rosmarinus officinalis 'Spice Islands'                      ,Spice Islands Rosemary                                      ,Edible berries/fruit,08,, 7.25 ,     , 10 ,     , 51 ,03/01/15  , 51 ,04/01/15  ,     ,          
GA,079382,#2,RUBUS RSPBRY SHRTCKE TM P22141,"Rubus idaeus 'NR7' P.P. #22,141                             ",BrazelBerries®  Raspberry Shortcake™  Dwarf Thor,Edible berries/fruit,05,FCF, 16.50 , 15 , 5 ,     , 15 ,04/15/15  ,     ,          ,     ,          
GA,007331,#1,SEDUM SSPRKLR R DZLBRY PP22457,"Sedum 'Razzleberry' P.P.# 22,457                            ",Sunsparkler®  Dazzleberry Sedum,Succulent/cactus/yucca,04,, 7.50 ,     , 10 ,     , 570 ,05/01/15  ,     ,          ,     ,          
GA,00733UT,LittleOne,SEDUM SSPRKLR R DZLBRY PP22457,"Sedum 'Razzleberry' P.P.# 22,457                            ",Sunsparkler®  Dazzleberry Sedum,Succulent/cactus/yucca,04,, 3.15 ,     , 16 ,     , 369 ,04/15/15  ,     ,          ,     ,          
GA,007301,#1,SEDUM SSPRKLR R LIME ZNGR PPAF,Sedum 'Lime Zinger' P.P.A.F.                                ,Sunsparkler®  Lime Zinger Sedum,Succulent/cactus/yucca,04,, 7.50 ,     , 10 ,     , 577 ,04/15/15  ,     ,          ,     ,          
GA,00730UT,LittleOne,SEDUM SSPRKLR R LIME ZNGR PPAF,Sedum 'Lime Zinger' P.P.A.F.                                ,Sunsparkler®  Lime Zinger Sedum,Succulent/cactus/yucca,04,, 3.15 ,     , 16 ,     ," 1,035 ",04/15/15  ,     ,          ,     ,          
OR,055972,#2,THUJA OC GOLDEN TUFFET,Thuja occidentalis 'Golden Tuffet'                          ,Golden Tuffet Arborvitae                                    ,Thuja,03,, 14.25 , 16 , 5 , 22 ,     ,          ,     ,          ,     ,          
OR,075052S,SuperTwo,THUJA OC NORTH POLE R PPAF,"Thuja occidentalis 'Art Boe' P.P. #22,174                   ",North Pole™  Arborvitae,Thuja,03,PW, 17.00 , 41 , 5 , 41 ,     ,          ,     ,          ,     ,          
CT,075053S,Super 3,THUJA OC NORTH POLE R PPAF,"Thuja occidentalis 'Art Boe' P.P. #22,174                   ",North Pole™  Arborvitae,Thuja,03,PW, 17.25 , 13 , 5 , 17 ,     ,          ,     ,          ,     ,          
CT,075057,#7,THUJA OC NORTH POLE R PPAF,"Thuja occidentalis 'Art Boe' P.P. #22,174                   ",North Pole™  Arborvitae,Thuja,03,PW, 45.50 , 25 , 2 ,     , 25 ,10/01/14  ,     ,          ,     ,          
OR,081712,#2,VACCINIUM PEACH SORBET TM PPAF,"Vaccinium corymbosum 'ZF06-043' P.P.#23,325                 ",BrazelBerries®  Peach Sorbet™  Blueberry,Edible berries/fruit,05,FCF, 15.50 , 21 , 5 , 125 , 125 ,10/01/14  ,     ,          ,     ,          
OR,081702,#2,VACCINIUM X JELLY BEAN TM PPAF,Vaccinium corymbosum 'Jelly Bean' P.P.A.F.                  ,BrazelBerries®  Jelly Bean Blueberry,Edible berries/fruit,04,FCF, 15.50 , 22 , 5 , 22 ,     ,          ,     ,          ,     ,          
CA,081702,#2,VACCINIUM X JELLY BEAN TM PPAF,Vaccinium corymbosum 'Jelly Bean' P.P.A.F.                  ,BrazelBerries®  Jelly Bean Blueberry,Edible berries/fruit,04,FCF, 15.50 , 22 , 5 ,     , 22 ,04/01/15  ,     ,          ,     ,          
OR,080942S,SuperTwo,WEIGELA SONIC BLOOM TM PNK PAF,Weigela florida 'Bokrasopin' P.P.A.F.                       ,Sonic Bloom™  Pink Reblooming Weigela,Deciduous sumr flower'g shrub,04,PW, 18.00 , 22 , 5 , 22 ,     ,          ,     ,          ,     ,          
CT,080943S,Super 3,WEIGELA SONIC BLOOM TM PNK PAF,Weigela florida 'Bokrasopin' P.P.A.F.                       ,Sonic Bloom™  Pink Reblooming Weigela,Deciduous sumr flower'g shrub,04,PW, 17.75 ,     , 5 ,     ," 1,052 ",05/01/15  ,     ,          ,     ,          
