Loc,Item,Plant Name,CAT,Zone,,,,,,,,,,,,,,,,,,,,,,
160000,027501,ASTILBE COLOR FLASH R PP17343,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,003511,ASTILBE DEUTSCHLAND,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,00351UT,ASTILBE DEUTSCHLAND,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,003501,ASTILBE FANAL,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,00350UT,ASTILBE FANAL,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,001631,ASTILBE HENNIE GRAAFLAND,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,001634PTC,ASTILBE HENNIE GRAAFLAND,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,034331,ASTILBE MAGGIE DALEY,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,001681,ASTILBE RED SENTINEL,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,003541,ASTILBE RHEINLAND,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,00354UT,ASTILBE RHEINLAND,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,003531,ASTILBE SPRITE,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,059151,ASTILBE VISION IN PINK PP11860,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,016341,ASTILBE VISION IN RED PP11965,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,400821,ASTILBE YOUNIQUE SLP TM P20656,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,023191,ASTRANTIA ABBEY ROAD PP14961,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,003551,AUBRIETA ROKEY'S PURPLE,PRN,05,,,,,,,,,,,,,,,,,,,,,,
170000,004401,AZALEA B ALASKA,RHO,09,,,,,,,,,,,,,,,,,,,,,,
170000,004402,AZALEA B ALASKA,RHO,09,,,,,,,,,,,,,,,,,,,,,,
170000,004405,AZALEA B ALASKA,RHO,09,,,,,,,,,,,,,,,,,,,,,,
170000,004751,AZALEA B HAPPY DAYS,RHO,09,,,,,,,,,,,,,,,,,,,,,,
170000,004752,AZALEA B HAPPY DAYS,RHO,09,,,,,,,,,,,,,,,,,,,,,,
170000,004755,AZALEA B HAPPY DAYS,RHO,09,,,,,,,,,,,,,,,,,,,,,,
170000,005251,AZALEA B ROSE GLOW,RHO,09,,,,,,,,,,,,,,,,,,,,,,
170000,005252,AZALEA B ROSE GLOW,RHO,09,,,,,,,,,,,,,,,,,,,,,,
170000,005601,AZALEA S BRILLIANT,RHO,08,,,,,,,,,,,,,,,,,,,,,,
170000,005605,AZALEA S BRILLIANT,RHO,08,,,,,,,,,,,,,,,,,,,,,,
170000,005751,AZALEA S GEORGE L TABER,RHO,08,,,,,,,,,,,,,,,,,,,,,,
170000,005755PT,AZALEA S GEORGE L TABER,RHO,08,,,,,,,,,,,,,,,,,,,,,,
170000,005951,AZALEA S IMP PRINCESS TM,RHO,08,,,,,,,,,,,,,,,,,,,,,,
170000,005955,AZALEA S IMP PRINCESS TM,RHO,08,,,,,,,,,,,,,,,,,,,,,,
170000,006051,AZALEA S LITTLE JOHN,RHO,08,,,,,,,,,,,,,,,,,,,,,,
170000,006055,AZALEA S LITTLE JOHN,RHO,08,,,,,,,,,,,,,,,,,,,,,,
170000,006055PT,AZALEA S LITTLE JOHN,RHO,08,,,,,,,,,,,,,,,,,,,,,,
170000,004831,AZALEA S MISTRAL,RHO,08,,,,,,,,,,,,,,,,,,,,,,
170000,004835,AZALEA S MISTRAL,RHO,08,,,,,,,,,,,,,,,,,,,,,,
170000,006151,AZALEA S NUCCIO'S CARNIVAL,RHO,08,,,,,,,,,,,,,,,,,,,,,,
170000,006301,AZALEA S PHOENICIA,RHO,08,,,,,,,,,,,,,,,,,,,,,,
170000,006305,AZALEA S PHOENICIA,RHO,08,,,,,,,,,,,,,,,,,,,,,,
170000,006401,AZALEA S RED RUFFLES,RHO,08,,,,,,,,,,,,,,,,,,,,,,
170000,006402,AZALEA S RED RUFFLES,RHO,08,,,,,,,,,,,,,,,,,,,,,,
170000,006405,AZALEA S RED RUFFLES,RHO,08,,,,,,,,,,,,,,,,,,,,,,
170000,00640E,AZALEA S RED RUFFLES,RHO,08,,,,,,,,,,,,,,,,,,,,,,
170000,006501,AZALEA S SOUTHERN CHARM,RHO,08,,,,,,,,,,,,,,,,,,,,,,
170000,006505,AZALEA S SOUTHERN CHARM,RHO,08,,,,,,,,,,,,,,,,,,,,,,
170000,006505PT,AZALEA S SOUTHERN CHARM,RHO,08,,,,,,,,,,,,,,,,,,,,,,
160000,049782,AZARA MICRO VARIEGATA,EVS,08,,,,,,,,,,,,,,,,,,,,,,
160000,053492,BAM-BORINDA BOLIANA (CLUMP),GRS,08,,,,,,,,,,,,,,,,,,,,,,
170000,011315,BAMBUSA OLDHAMII (CLUMP),GRS,08,,,,,,,,,,,,,,,,,,,,,,
170000,011317,BAMBUSA OLDHAMII (CLUMP),GRS,08,,,,,,,,,,,,,,,,,,,,,,
170000,011325,BAMBUSA TULDOIDES (CLUMP),GRS,09,,,,,,,,,,,,,,,,,,,,,,
170000,011335,BAMBUSA VENTRICOSA (CLUMP),GRS,09,,,,,,,,,,,,,,,,,,,,,,
160000,057112,BAM-FARGESIA N JIUZHAIGOU(CLP),GRS,05,,,,,,,,,,,,,,,,,,,,,,
160000,025212,BAM-FARGESIA RUFA (CLUMP),GRS,05,,,,,,,,,,,,,,,,,,,,,,
170000,011435,BAM-PHYLLO AUREOSULCATA (RUN),GRS,05,,,,,,,,,,,,,,,,,,,,,,
170000,011285,BAM-PHYLLO BISSETII (RUN),GRS,05,,,,,,,,,,,,,,,,,,,,,,
170000,011447,BAM-PHYLLO NIGRA (RUN),GRS,05,,,,,,,,,,,,,,,,,,,,,,
170000,011451,BAM-SASA PYGMAEA (RUN),GRS,05,,,,,,,,,,,,,,,,,,,,,,
170000,002192,BAPTISIA AUSTRALIS,PRN,03,,,,,,,,,,,,,,,,,,,,,,
170000,401061,BAPTISIA SOLAR FLARE PP20408,PRN,04,,,,,,,,,,,,,,,,,,,,,,
170000,401081,BAPTISIA TWILITE PP19011,PRN,04,,,,,,,,,,,,,,,,,,,,,,
160000,022021,BERGENIA COR WINTERGLOW,PRN,03,,,,,,,,,,,,,,,,,,,,,,
170000,025982,BORONIA CREN SHARK BAY,EVS,09,,,,,,,,,,,,,,,,,,,,,,
170000,012701,BOUG BARBARA KARST,VIN,10,,,,,,,,,,,,,,,,,,,,,,
