Loc,Item,Plant Name,CAT,,,,,,,,,,,,,,,,,,,
170000,416622,ALST COLORITA R ARIANE R,PRN,,,,,,,,,,,,,,,,,,,
170000,051572,ALST COLORITA R DIANA R,PRN,,,,,,,,,,,,,,,,,,,
170000,087262,ALST COLORITA R ELIANE R,PRN,,,,,,,,,,,,,,,,,,,
170000,096522,ALST INTICANCHA R NAVAYO,PRN,,,,,,,,,,,,,,,,,,,
170000,096492,ALST INTICANCHA R SUNLIGHT,PRN,,,,,,,,,,,,,,,,,,,
170000,066382,ALST ROCK & ROLL R PP21001,PRN,,,,,,,,,,,,,,,,,,,
170000,040311,ALYOGYNE LEON'S PUR DELIGHT TM,EVS,,,,,,,,,,,,,,,,,,,
170000,040315PT,ALYOGYNE LEON'S PUR DELIGHT TM,EVS,,,,,,,,,,,,,,,,,,,
170000,002421,ALYOGYNE SANTA CRUZ,EVS,,,,,,,,,,,,,,,,,,,
170000,002425PT,ALYOGYNE SANTA CRUZ,EVS,,,,,,,,,,,,,,,,,,,
170000,002651,ANTIGONON LEPTOPUS,VIN,,,,,,,,,,,,,,,,,,,
170000,066342,ASCLEPIAS CUR SILKY GOLD,PRN,,,,,,,,,,,,,,,,,,,
170000,021912,ASCLEPIAS RED BUTTERFLIES,PRN,,,,,,,,,,,,,,,,,,,
170000,003151,ASPARAGUS MYERS,FRN,,,,,,,,,,,,,,,,,,,
170000,003152,ASPARAGUS MYERS,FRN,,,,,,,,,,,,,,,,,,,
170000,003155,ASPARAGUS MYERS,FRN,,,,,,,,,,,,,,,,,,,
170000,00315UT,ASPARAGUS MYERS,FRN,,,,,,,,,,,,,,,,,,,
170000,003301,ASPARAGUS SPR COMPACTA,FRN,,,,,,,,,,,,,,,,,,,
170000,004401,AZALEA B ALASKA,RHO,,,,,,,,,,,,,,,,,,,
170000,004402,AZALEA B ALASKA,RHO,,,,,,,,,,,,,,,,,,,
170000,004405,AZALEA B ALASKA,RHO,,,,,,,,,,,,,,,,,,,
170000,004751,AZALEA B HAPPY DAYS,RHO,,,,,,,,,,,,,,,,,,,
170000,004752,AZALEA B HAPPY DAYS,RHO,,,,,,,,,,,,,,,,,,,
170000,004755,AZALEA B HAPPY DAYS,RHO,,,,,,,,,,,,,,,,,,,
170000,005251,AZALEA B ROSE GLOW,RHO,,,,,,,,,,,,,,,,,,,
170000,005252,AZALEA B ROSE GLOW,RHO,,,,,,,,,,,,,,,,,,,
170000,005601,AZALEA S BRILLIANT,RHO,,,,,,,,,,,,,,,,,,,
170000,005605,AZALEA S BRILLIANT,RHO,,,,,,,,,,,,,,,,,,,
170000,005751,AZALEA S GEORGE L TABER,RHO,,,,,,,,,,,,,,,,,,,
170000,005755PT,AZALEA S GEORGE L TABER,RHO,,,,,,,,,,,,,,,,,,,
170000,005951,AZALEA S IMP PRINCESS TM,RHO,,,,,,,,,,,,,,,,,,,
170000,005955,AZALEA S IMP PRINCESS TM,RHO,,,,,,,,,,,,,,,,,,,
170000,006051,AZALEA S LITTLE JOHN,RHO,,,,,,,,,,,,,,,,,,,
170000,006055,AZALEA S LITTLE JOHN,RHO,,,,,,,,,,,,,,,,,,,
170000,006055PT,AZALEA S LITTLE JOHN,RHO,,,,,,,,,,,,,,,,,,,
170000,004831,AZALEA S MISTRAL,RHO,,,,,,,,,,,,,,,,,,,
170000,004835,AZALEA S MISTRAL,RHO,,,,,,,,,,,,,,,,,,,
170000,006151,AZALEA S NUCCIO'S CARNIVAL,RHO,,,,,,,,,,,,,,,,,,,
170000,006301,AZALEA S PHOENICIA,RHO,,,,,,,,,,,,,,,,,,,
170000,006305,AZALEA S PHOENICIA,RHO,,,,,,,,,,,,,,,,,,,
170000,006401,AZALEA S RED RUFFLES,RHO,,,,,,,,,,,,,,,,,,,
170000,006402,AZALEA S RED RUFFLES,RHO,,,,,,,,,,,,,,,,,,,
170000,006405,AZALEA S RED RUFFLES,RHO,,,,,,,,,,,,,,,,,,,
170000,00640E,AZALEA S RED RUFFLES,RHO,,,,,,,,,,,,,,,,,,,
170000,006501,AZALEA S SOUTHERN CHARM,RHO,,,,,,,,,,,,,,,,,,,
170000,006505,AZALEA S SOUTHERN CHARM,RHO,,,,,,,,,,,,,,,,,,,
170000,006505PT,AZALEA S SOUTHERN CHARM,RHO,,,,,,,,,,,,,,,,,,,
170000,011315,BAMBUSA OLDHAMII (CLUMP),GRS,,,,,,,,,,,,,,,,,,,
170000,011317,BAMBUSA OLDHAMII (CLUMP),GRS,,,,,,,,,,,,,,,,,,,
170000,011325,BAMBUSA TULDOIDES (CLUMP),GRS,,,,,,,,,,,,,,,,,,,
170000,011335,BAMBUSA VENTRICOSA (CLUMP),GRS,,,,,,,,,,,,,,,,,,,
170000,025982,BORONIA CREN SHARK BAY,EVS,,,,,,,,,,,,,,,,,,,
170000,012701,BOUG BARBARA KARST,VIN,,,,,,,,,,,,,,,,,,,
170000,012705,BOUG BARBARA KARST,VIN,,,,,,,,,,,,,,,,,,,
170000,012705PT,BOUG BARBARA KARST,VIN,,,,,,,,,,,,,,,,,,,
170000,035041BH,BOUG BENGAL ORANGE,VIN,,,,,,,,,,,,,,,,,,,
170000,035042BH,BOUG BENGAL ORANGE,VIN,,,,,,,,,,,,,,,,,,,
170000,090121,BOUG BLUEBERRY ICE,VIN,,,,,,,,,,,,,,,,,,,
170000,090121BH,BOUG BLUEBERRY ICE,VIN,,,,,,,,,,,,,,,,,,,
170000,090122BH,BOUG BLUEBERRY ICE,VIN,,,,,,,,,,,,,,,,,,,
170000,012901,BOUG CAMARILLO FIESTA TM,VIN,,,,,,,,,,,,,,,,,,,
170000,012905,BOUG CAMARILLO FIESTA TM,VIN,,,,,,,,,,,,,,,,,,,
170000,012955,BOUG CHERRY BLOSSOM,VIN,,,,,,,,,,,,,,,,,,,
170000,013031,BOUG DON MARIO R,VIN,,,,,,,,,,,,,,,,,,,
170000,013035,BOUG DON MARIO R,VIN,,,,,,,,,,,,,,,,,,,
170000,012661,BOUG GOLD RUSH TM,VIN,,,,,,,,,,,,,,,,,,,
170000,012662,BOUG GOLD RUSH TM,VIN,,,,,,,,,,,,,,,,,,,
170000,012665,BOUG GOLD RUSH TM,VIN,,,,,,,,,,,,,,,,,,,
170000,016482,BOUG GOLDEN JACKPOT R,VIN,,,,,,,,,,,,,,,,,,,
170000,016482BH,BOUG GOLDEN JACKPOT R,VIN,,,,,,,,,,,,,,,,,,,
170000,013121,BOUG JAMES WALKER,VIN,,,,,,,,,,,,,,,,,,,
170000,013125,BOUG JAMES WALKER,VIN,,,,,,,,,,,,,,,,,,,
170000,013191,BOUG MARY PALMERS ENCHANTMT,VIN,,,,,,,,,,,,,,,,,,,
170000,013195,BOUG MARY PALMERS ENCHANTMT,VIN,,,,,,,,,,,,,,,,,,,
170000,013201,BOUG ORANGE KING,VIN,,,,,,,,,,,,,,,,,,,
170000,013205,BOUG ORANGE KING,VIN,,,,,,,,,,,,,,,,,,,
170000,013051,BOUG PURPLE QUEEN R,VIN,,,,,,,,,,,,,,,,,,,
170000,013051BH,BOUG PURPLE QUEEN R,VIN,,,,,,,,,,,,,,,,,,,
170000,013052,BOUG PURPLE QUEEN R,VIN,,,,,,,,,,,,,,,,,,,
170000,013052BH,BOUG PURPLE QUEEN R,VIN,,,,,,,,,,,,,,,,,,,
170000,013052PT,BOUG PURPLE QUEEN R,VIN,,,,,,,,,,,,,,,,,,,
170000,013055,BOUG PURPLE QUEEN R,VIN,,,,,,,,,,,,,,,,,,,
170000,013055BH,BOUG PURPLE QUEEN R,VIN,,,,,,,,,,,,,,,,,,,
170000,013055PT,BOUG PURPLE QUEEN R,VIN,,,,,,,,,,,,,,,,,,,
170000,013211BH,BOUG RASPBERRY ICE,VIN,,,,,,,,,,,,,,,,,,,
170000,013212,BOUG RASPBERRY ICE,VIN,,,,,,,,,,,,,,,,,,,
170000,013215BH,BOUG RASPBERRY ICE,VIN,,,,,,,,,,,,,,,,,,,
170000,013231BH,BOUG ROSENKA,VIN,,,,,,,,,,,,,,,,,,,
170000,013235BH,BOUG ROSENKA,VIN,,,,,,,,,,,,,,,,,,,
170000,013235PT,BOUG ROSENKA,VIN,,,,,,,,,,,,,,,,,,,
170000,013251,BOUG SCARLETT OHARA(SN DGO RED,VIN,,,,,,,,,,,,,,,,,,,
170000,013255,BOUG SCARLETT OHARA(SN DGO RED,VIN,,,,,,,,,,,,,,,,,,,
170000,038141,BOUG SHARON WESLEY,VIN,,,,,,,,,,,,,,,,,,,
170000,038145,BOUG SHARON WESLEY,VIN,,,,,,,,,,,,,,,,,,,
170000,095742BH,BOUG SUNVILLEA TM CREAM P22112,VIN,,,,,,,,,,,,,,,,,,,
170000,095752BH,BOUG SUNVILLEA TM PINK PP22113,VIN,,,,,,,,,,,,,,,,,,,
170000,095732BH,BOUG SUNVILLEA TM ROSE PP23272,VIN,,,,,,,,,,,,,,,,,,,
170000,013025,BOUG TAHITIAN DAWN R,VIN,,,,,,,,,,,,,,,,,,,
170000,013451,BOUG TEXAS DAWN TM,VIN,,,,,,,,,,,,,,,,,,,
170000,013455,BOUG TEXAS DAWN TM,VIN,,,,,,,,,,,,,,,,,,,
170000,012671BH,BOUG TORCH GLOW,VIN,,,,,,,,,,,,,,,,,,,
170000,012675BH,BOUG TORCH GLOW,VIN,,,,,,,,,,,,,,,,,,,
170000,090111BH,BOUG WHITE STRIPE,VIN,,,,,,,,,,,,,,,,,,,
170000,090112BH,BOUG WHITE STRIPE,VIN,,,,,,,,,,,,,,,,,,,
170000,090141BH,BOUG YANI'S DELIGHT,VIN,,,,,,,,,,,,,,,,,,,
170000,090142BH,BOUG YANI'S DELIGHT,VIN,,,,,,,,,,,,,,,,,,,
170000,025282,CAESALPINIA GILLIESII,EVS,,,,,,,,,,,,,,,,,,,
170000,025285,CAESALPINIA GILLIESII,EVS,,,,,,,,,,,,,,,,,,,
170000,025285PT,CAESALPINIA GILLIESII,EVS,,,,,,,,,,,,,,,,,,,
170000,075772,CALANDRINIA SHINING PINK,CAC,,,,,,,,,,,,,,,,,,,
170000,046762,CALLISTEM SCRLT TRCH TM P23848,EVS,,,,,,,,,,,,,,,,,,,
170000,046765,CALLISTEM SCRLT TRCH TM P23848,EVS,,,,,,,,,,,,,,,,,,,
170000,046765PT,CALLISTEM SCRLT TRCH TM P23848,EVS,,,,,,,,,,,,,,,,,,,
170000,014351,CALLISTEMON CITRINUS,EVS,,,,,,,,,,,,,,,,,,,
170000,014355,CALLISTEMON CITRINUS,EVS,,,,,,,,,,,,,,,,,,,
170000,014355PT,CALLISTEMON CITRINUS,EVS,,,,,,,,,,,,,,,,,,,
170000,014401,CALLISTEMON LITTLE JOHN,EVS,,,,,,,,,,,,,,,,,,,
170000,014402,CALLISTEMON LITTLE JOHN,EVS,,,,,,,,,,,,,,,,,,,
170000,014405,CALLISTEMON LITTLE JOHN,EVS,,,,,,,,,,,,,,,,,,,
170000,412075,CALLISTEMON VIM SLIM TM,EVS,,,,,,,,,,,,,,,,,,,
170000,029211,CANNA TROP BLACK TM PP21350,PRN,,,,,,,,,,,,,,,,,,,
170000,029212,CANNA TROP BLACK TM PP21350,PRN,,,,,,,,,,,,,,,,,,,
170000,017412,CANNA TROPICANNA GLD TM P13809,PRN,,,,,,,,,,,,,,,,,,,
170000,022481,CANNA TROPICANNA TM PP10569,PRN,,,,,,,,,,,,,,,,,,,
170000,022482,CANNA TROPICANNA TM PP10569,PRN,,,,,,,,,,,,,,,,,,,
170000,022811,CARISSA MAC TOMLINSON,EVS,,,,,,,,,,,,,,,,,,,
170000,022812,CARISSA MAC TOMLINSON,EVS,,,,,,,,,,,,,,,,,,,
170000,023601,CESTRUM NOCTURNUM,EVS,,,,,,,,,,,,,,,,,,,
170000,023605,CESTRUM NOCTURNUM,EVS,,,,,,,,,,,,,,,,,,,
170000,024561,CISTUS BENNET'S WHITE,EVS,,,,,,,,,,,,,,,,,,,
170000,024601,CISTUS PURPUREUS,EVS,,,,,,,,,,,,,,,,,,,
170000,024602,CISTUS PURPUREUS,EVS,,,,,,,,,,,,,,,,,,,
170000,024511,CISTUS X PULVERULENTUS SUNSET,EVS,,,,,,,,,,,,,,,,,,,
170000,024512,CISTUS X PULVERULENTUS SUNSET,EVS,,,,,,,,,,,,,,,,,,,
170000,024755PT,CITRUS BEARSS SEEDLESS LIME,CIT,,,,,,,,,,,,,,,,,,,
170000,024955PT,CITRUS DANCY TANGERINE,CIT,,,,,,,,,,,,,,,,,,,
170000,026001,CITRUS IMPROVED MEYER LEMON,CIT,,,,,,,,,,,,,,,,,,,
170000,026005,CITRUS IMPROVED MEYER LEMON,CIT,,,,,,,,,,,,,,,,,,,
170000,026005PT,CITRUS IMPROVED MEYER LEMON,CIT,,,,,,,,,,,,,,,,,,,
170000,025602,CITRUS KUMQUAT NAGAMI,CIT,,,,,,,,,,,,,,,,,,,
170000,025602PT,CITRUS KUMQUAT NAGAMI,CIT,,,,,,,,,,,,,,,,,,,
170000,025605,CITRUS KUMQUAT NAGAMI,CIT,,,,,,,,,,,,,,,,,,,
170000,025605PT,CITRUS KUMQUAT NAGAMI,CIT,,,,,,,,,,,,,,,,,,,
170000,026605PT,CITRUS OWA SATSUMA MANDARIN,CIT,,,,,,,,,,,,,,,,,,,
170000,026055PT,CITRUS WASHINGTON NAVEL ORANGE,CIT,,,,,,,,,,,,,,,,,,,
170000,030441,CLIVIA BELGIAN HYB ORANGE,EVS,,,,,,,,,,,,,,,,,,,
170000,030442,CLIVIA BELGIAN HYB ORANGE,EVS,,,,,,,,,,,,,,,,,,,
170000,028841,CLIVIA BELGIUM HYB YELLOW,EVS,,,,,,,,,,,,,,,,,,,
170000,028842,CLIVIA BELGIUM HYB YELLOW,EVS,,,,,,,,,,,,,,,,,,,
170000,012551,CLYTOSTOMA CALLISTEGIOIDES,VIN,,,,,,,,,,,,,,,,,,,
170000,012555,CLYTOSTOMA CALLISTEGIOIDES,VIN,,,,,,,,,,,,,,,,,,,
170000,082751,COPROSMA EVENING GLOW,EVS,,,,,,,,,,,,,,,,,,,
170000,082761,COPROSMA RAINBOW SURPRISE,EVS,,,,,,,,,,,,,,,,,,,
170000,090451,COPROSMA TEQUILA SUNRISE PPAF,EVS,,,,,,,,,,,,,,,,,,,
170000,031731,CORD FESTIVAL TM BRGNDY P14224,EVS,,,,,,,,,,,,,,,,,,,
170000,031732,CORD FESTIVAL TM BRGNDY P14224,EVS,,,,,,,,,,,,,,,,,,,
170000,084531,CORD FESTIVAL TM LIME PPAF,EVS,,,,,,,,,,,,,,,,,,,
170000,075251,CORD FESTIVAL TM RASPBERRY PAF,EVS,,,,,,,,,,,,,,,,,,,
170000,075252,CORD FESTIVAL TM RASPBERRY PAF,EVS,,,,,,,,,,,,,,,,,,,
170000,027851,CORDYLINE AUS TORBAY DAZZLER,EVS,,,,,,,,,,,,,,,,,,,
170000,027855,CORDYLINE AUS TORBAY DAZZLER,EVS,,,,,,,,,,,,,,,,,,,
170000,031721,CORDYLINE BAUERI,EVS,,,,,,,,,,,,,,,,,,,
170000,031725,CORDYLINE BAUERI,EVS,,,,,,,,,,,,,,,,,,,
170000,038821,CORDYLINE BURGUNDY SPIRE PPAF,EVS,,,,,,,,,,,,,,,,,,,
170000,038825,CORDYLINE BURGUNDY SPIRE PPAF,EVS,,,,,,,,,,,,,,,,,,,
170000,031701,CORDYLINE INDIVISA,EVS,,,,,,,,,,,,,,,,,,,
170000,031705,CORDYLINE INDIVISA,EVS,,,,,,,,,,,,,,,,,,,
170000,017421,CORDYLINE RED STAR,EVS,,,,,,,,,,,,,,,,,,,
170000,063641,CRASSULA CAPITELLA CAMPFIRE,CAC,,,,,,,,,,,,,,,,,,,
170000,089392,CROSSANDRA ORANGE MARMALADE,PRN,,,,,,,,,,,,,,,,,,,
170000,083041,CUPHEA HYS ITSY BITSY R LILAC,PRN,,,,,,,,,,,,,,,,,,,
170000,030121,CUPHEA HYS ITSY BITSY R ROSE,PRN,,,,,,,,,,,,,,,,,,,
170000,083001,CUPHEA HYS ITSY BITSY R WHITE,PRN,,,,,,,,,,,,,,,,,,,
170000,032891,CUPHEA LLAVEA,PRN,,,,,,,,,,,,,,,,,,,
170000,084121,CUPHEA MICROPETALA,PRN,,,,,,,,,,,,,,,,,,,
170000,412082,DIANELLA TAS WYEENA TM,PRN,,,,,,,,,,,,,,,,,,,
170000,046741,DIETES X KATRINA R PP 21460,PRN,,,,,,,,,,,,,,,,,,,
170000,046745,DIETES X KATRINA R PP 21460,PRN,,,,,,,,,,,,,,,,,,,
170000,036085,DIOSPYROS FUYU,TRE,,,,,,,,,,,,,,,,,,,
170000,03608MT,DIOSPYROS FUYU,TRE,,,,,,,,,,,,,,,,,,,
170000,012451,DISTICTIS BUCCINATORIA,VIN,,,,,,,,,,,,,,,,,,,
170000,012455,DISTICTIS BUCCINATORIA,VIN,,,,,,,,,,,,,,,,,,,
170000,012471,DISTICTIS RIVERS,VIN,,,,,,,,,,,,,,,,,,,
170000,012475,DISTICTIS RIVERS,VIN,,,,,,,,,,,,,,,,,,,
170000,031651,DODONAEA VIS PURPUREA,EVS,,,,,,,,,,,,,,,,,,,
170000,031655,DODONAEA VIS PURPUREA,EVS,,,,,,,,,,,,,,,,,,,
170000,069211,ECHEVERIA AGAVOIDES LIPSTICK,CAC,,,,,,,,,,,,,,,,,,,
170000,063501,ECHEVERIA BLACK PRINCE,CAC,,,,,,,,,,,,,,,,,,,
170000,069231,ECHEVERIA NODULOSA,CAC,,,,,,,,,,,,,,,,,,,
170000,077821,ECHEVERIA PERLE VON NURNBERG,CAC,,,,,,,,,,,,,,,,,,,
170000,064111,ECHEVERIA RUFFLES,CAC,,,,,,,,,,,,,,,,,,,
170000,063481,ECHEVERIA RUNYONII TOPSY TURVY,CAC,,,,,,,,,,,,,,,,,,,
170000,030562,ECHINOPSIS OXYGONA,CAC,,,,,,,,,,,,,,,,,,,
170000,016625,ELAEO LITTLE EMPEROR TM P17611,EVS,,,,,,,,,,,,,,,,,,,
170000,031965,ELAEOCARPUS DECIPIENS,TRE,,,,,,,,,,,,,,,,,,,
170000,031967,ELAEOCARPUS DECIPIENS,TRE,,,,,,,,,,,,,,,,,,,
170000,031967TR,ELAEOCARPUS DECIPIENS,TRE,,,,,,,,,,,,,,,,,,,
170000,031969,ELAEOCARPUS DECIPIENS,TRE,,,,,,,,,,,,,,,,,,,
170000,031969TR,ELAEOCARPUS DECIPIENS,TRE,,,,,,,,,,,,,,,,,,,
170000,062005,ENSETE MAURELII,PRN,,,,,,,,,,,,,,,,,,,
170000,032561BH,EUCALYPTUS CINEREA,TRE,,,,,,,,,,,,,,,,,,,
170000,032565BH,EUCALYPTUS CINEREA,TRE,,,,,,,,,,,,,,,,,,,
170000,032565TR,EUCALYPTUS CINEREA,TRE,,,,,,,,,,,,,,,,,,,
170000,033301,EUGENIA MYR GLOBULUS,EVS,,,,,,,,,,,,,,,,,,,
170000,033302,EUGENIA MYR GLOBULUS,EVS,,,,,,,,,,,,,,,,,,,
170000,033425,EUGENIA MYR MONTEREY BAY,EVS,,,,,,,,,,,,,,,,,,,
170000,033425P2,EUGENIA MYR MONTEREY BAY,EVS,,,,,,,,,,,,,,,,,,,
170000,033425P3,EUGENIA MYR MONTEREY BAY,EVS,,,,,,,,,,,,,,,,,,,
170000,033251,EUGENIA MYR TEENIE GENIE R,EVS,,,,,,,,,,,,,,,,,,,
170000,033252,EUGENIA MYR TEENIE GENIE R,EVS,,,,,,,,,,,,,,,,,,,
170000,035561,EURYOPS PECT MUNCHKIN,EVS,,,,,,,,,,,,,,,,,,,
170000,035565,EURYOPS PECT MUNCHKIN,EVS,,,,,,,,,,,,,,,,,,,
170000,035571,EURYOPS PECT VIRIDIS,EVS,,,,,,,,,,,,,,,,,,,
170000,035572PT,EURYOPS PECT VIRIDIS,EVS,,,,,,,,,,,,,,,,,,,
170000,035575,EURYOPS PECT VIRIDIS,EVS,,,,,,,,,,,,,,,,,,,
170000,035575PT,EURYOPS PECT VIRIDIS,EVS,,,,,,,,,,,,,,,,,,,
170000,035641,FATSIA JAPONICA,EVS,,,,,,,,,,,,,,,,,,,
170000,035645,FATSIA JAPONICA,EVS,,,,,,,,,,,,,,,,,,,
170000,035701,FEIJOA SELLOWIANA,EVS,,,,,,,,,,,,,,,,,,,
170000,035705,FEIJOA SELLOWIANA,EVS,,,,,,,,,,,,,,,,,,,
170000,035705PT,FEIJOA SELLOWIANA,EVS,,,,,,,,,,,,,,,,,,,
170000,035905,FERN-ALSOPHILA AUSTRALIS,FRN,,,,,,,,,,,,,,,,,,,
170000,033011,FERN-ASPLENIUM AUSTRAL GEM TM,FRN,,,,,,,,,,,,,,,,,,,
170000,033015,FERN-ASPLENIUM AUSTRAL GEM TM,FRN,,,,,,,,,,,,,,,,,,,
170000,036001,FERN-ASPLENIUM BULBIFERUM,FRN,,,,,,,,,,,,,,,,,,,
170000,036207,FERN-DICKSONIA ANTARCTICA,FRN,,,,,,,,,,,,,,,,,,,
170000,097711,FERN-MICROSORUM SCOLOPENDRIA,FRN,,,,,,,,,,,,,,,,,,,
170000,097611,FERN-NEPHROLEPIS CD CALIFORNIA,FRN,,,,,,,,,,,,,,,,,,,
170000,097621,FERN-NEPHROLEPIS CD DUFFI,FRN,,,,,,,,,,,,,,,,,,,
170000,028181,FERN-PELLAEA ROTUNDIFOLIA,FRN,,,,,,,,,,,,,,,,,,,
170000,097651,FERN-POLYPODIUM VRGNIA BLUE TM,FRN,,,,,,,,,,,,,,,,,,,
170000,097631,FERN-RUMOHRA ADIANT IBERIA,FRN,,,,,,,,,,,,,,,,,,,
170000,035981,FERN-RUMOHRA ADIANTIFORMIS,FRN,,,,,,,,,,,,,,,,,,,
170000,036851,FICUS PUMILA,VIN,,,,,,,,,,,,,,,,,,,
170000,036851ST,FICUS PUMILA,VIN,,,,,,,,,,,,,,,,,,,
170000,036855,FICUS PUMILA,VIN,,,,,,,,,,,,,,,,,,,
170000,036855ST,FICUS PUMILA,VIN,,,,,,,,,,,,,,,,,,,
170000,037701,GARDENIA AUGUST BEAUTY,EVS,,,,,,,,,,,,,,,,,,,
170000,037705,GARDENIA AUGUST BEAUTY,EVS,,,,,,,,,,,,,,,,,,,
170000,034155,GARDENIA AUGUST BEAUTY-GRAFT,EVS,,,,,,,,,,,,,,,,,,,
170000,034155PT,GARDENIA AUGUST BEAUTY-GRAFT,EVS,,,,,,,,,,,,,,,,,,,
170000,037671,GARDENIA FIRST LOVE R,EVS,,,,,,,,,,,,,,,,,,,
170000,037675,GARDENIA FIRST LOVE R,EVS,,,,,,,,,,,,,,,,,,,
170000,037575,GARDENIA FIRST LOVE R-GRAFT,EVS,,,,,,,,,,,,,,,,,,,
170000,037575PT,GARDENIA FIRST LOVE R-GRAFT,EVS,,,,,,,,,,,,,,,,,,,
170000,037751,GARDENIA MYSTERY,EVS,,,,,,,,,,,,,,,,,,,
170000,037595,GARDENIA MYSTERY-GRAFT,EVS,,,,,,,,,,,,,,,,,,,
170000,037901,GARDENIA RADICANS,EVS,,,,,,,,,,,,,,,,,,,
170000,037801,GARDENIA VEITCHII,EVS,,,,,,,,,,,,,,,,,,,
170000,037802,GARDENIA VEITCHII,EVS,,,,,,,,,,,,,,,,,,,
170000,037802ST,GARDENIA VEITCHII,EVS,,,,,,,,,,,,,,,,,,,
170000,037805,GARDENIA VEITCHII,EVS,,,,,,,,,,,,,,,,,,,
170000,037815,GARDENIA VEITCHII-GRAFT,EVS,,,,,,,,,,,,,,,,,,,
170000,037815PT,GARDENIA VEITCHII-GRAFT,EVS,,,,,,,,,,,,,,,,,,,
170000,037941,GARDENIA WHITE GEM,EVS,,,,,,,,,,,,,,,,,,,
170000,037942,GARDENIA WHITE GEM,EVS,,,,,,,,,,,,,,,,,,,
