Item,Early Ship,Mid-Ship,Late Ship,Size,Loc,Minimum Quantity,Botanical Name,Common Name,Category,,Zone,Introduced, Oregon   , California  , Georgia   , Connecticut  ,UPC#,Available         ,Available Later,,On,Available Later,On,Available Later,On,, 2015 Price , Freight 
012212,,,,2,OR,5,Berberis thunbergii 'Royal Burgundy',Royal Burgundy®  Barberry,DCS,D Shrubs,04,    , $18.62 ,,,,014949122129,856,856,856,10/01/14  ,0,          ,0,          ,, $16.00 , $2.62 
012213,,,,3,OR,5,Berberis thunbergii 'Royal Burgundy',Royal Burgundy®  Barberry,DCS,D Shrubs,04,    , $23.44 ,,,,014949122136,17,17,17,10/01/14  ,0,          ,0,          ,, $19.25 , $4.19 
029662,,,,2,OR,5,Berberis thunbergii 'Royal Cloak'                           ,Royal Cloak Japanese Barberry                               ,DCS,D Shrubs,04,    , $15.87 ,,,,014949070901,351,395,395,09/01/14  ,0,          ,0,          ,, $13.25 , $2.62 
029665,,,,5,OR,5,Berberis thunbergii 'Royal Cloak'                           ,Royal Cloak Japanese Barberry                               ,DCS,D Shrubs,04,    , $25.73 ,,,,014949066539,10,10,10,10/01/14  ,0,          ,0,          ,, $20.50 , $5.23 
080771S,,,,SuperOne TM,OR,10,Berberis thunbergii Sunjoy®  Mini Salsa,Sunjoy®  Mini Salsa Barberry,DCS,D Shrubs,04,2014, $12.24 ,,,,014949359501,13,0,0,          ,0,          ,0,          ,, $10.50 , $1.74 
011932,,,,2,OR,5,Berberis thunbergii 'Sunsation',Sunsation®  Japanese Barberry,DCS,D Shrubs,04,    , $15.87 ,,,,014949119327,0,90,90,10/01/14  ,0,          ,0,          ,, $13.25 , $2.62 
401292S,,,,SuperTwo,GA,5,Buddleia Low & Behold Pink Micro Chip,Pink Micro Chip Butterfly Bush,DCS,D Shrubs,05,    ,,, $19.21 ,,014949388914,0,27,27,10/15/14  ,0,          ,0,          ,, $17.00 , $2.21 
401252,,,,2,CT,5,Buddleia x Flutterby Petite™  Blue Heaven,Flutterby Petite™  Blue Heaven Butterfly Bush,DCS,D Shrubs,05,    ,,,, $11.11 ,014949389140,150,0,0,          ,0,          ,0,          ,, $10.00 , $1.11 
401272,,,,2,CT,5,Buddleia x Flutterby Petite™  Tutti Fruitti Pink,Flutterby Petite™  Tutti Fruitti Pink Butterfly Bush,DCS,D Shrubs,05,    ,,,, * ,014949389157,90,0,0,          ,0,          ,0,          ,, * , $1.11 
034665,,,,5,CA,5,Buddleja davidii Adonis Blue™ ,English Butterfly™  Adonis Blue™  Butterfly Bush,DCS,D Shrubs,05,    ,, $26.96 , $24.82 ,,014949350164,39,556,198,0,179,0,179,0,, $21.50 , $5.46 
034661S,,,,SuperOne TM,CA,10,Buddleja davidii Adonis Blue™ ,English Butterfly™  Adonis Blue™  Butterfly Bush,DCS,D Shrubs,05,    ,, $11.32 , $10.61 ,,014949350140,253,899,656,0,243,0,0,0,, $9.50 , $1.82 
034662S,,,,SuperTwo,CA,5,Buddleja davidii Adonis Blue™ ,English Butterfly™  Adonis Blue™  Butterfly Bush,DCS,D Shrubs,05,    ,, $20.64 , $19.21 ,,014949335390,0,1217,105,0,556,0,556,0,, $17.00 , $3.64 
013781,,,,1,GA,10,Buddleja davidii 'Black Knight'                             ,Black Knight Butterfly Bush                                 ,DCS,D Shrubs,05,    ,,, $6.91 ,,014949137819,0,975,477,08/15/14  ,498,05/15/15  ,0,          ,, $6.25 , $0.66 
013782,,,,2,CA,5,Buddleja davidii 'Black Knight'                             ,Black Knight Butterfly Bush                                 ,DCS,D Shrubs,05,    ,, $17.23 ,,,014949137826,0,26,26,04/01/15  ,0,          ,0,          ,, $14.50 , $2.73 
013783,,,,3,GA,5,Buddleja davidii 'Black Knight'                             ,Black Knight Butterfly Bush                                 ,DCS,D Shrubs,05,    ,,, $20.66 , $16.04 ,014949026656,1,314,157,0,157,0,0,0,, $18.00 , $2.66 
013785,,,,5,CA,5,Buddleja davidii 'Black Knight'                             ,Black Knight Butterfly Bush                                 ,DCS,D Shrubs,05,    ,, $26.46 ,,,014949137857,0,32,32,04/01/15  ,0,          ,0,          ,, $21.00 , $5.46 
013771,,,,1,GA,10,Buddleja davidii nanhoensis Petite Indigo®,Petite Indigo®  Dwarf Butterfly Bush,DCS,D Shrubs,05,    ,,, $6.91 ,,014949137710,0,16,8,08/15/14  ,8,05/15/15  ,0,          ,, $6.25 , $0.66 
013772,,,,2,CA,5,Buddleja davidii nanhoensis Petite Indigo®,Petite Indigo®  Dwarf Butterfly Bush,DCS,D Shrubs,05,    ,, $17.23 ,,,014949137727,0,29,29,04/01/15  ,0,          ,0,          ,, $14.50 , $2.73 
013775,,,,5,CA,5,Buddleja davidii nanhoensis Petite Indigo®,Petite Indigo®  Dwarf Butterfly Bush,DCS,D Shrubs,05,    ,, $26.46 ,,,014949137758,0,14,7,11/15/14  ,7,04/01/15  ,0,          ,, $21.00 , $5.46 
013761,,,,1,GA,10,Buddleja davidii nanhoensis Petite Plum®,Petite Plum®  Dwarf Butterfly Bush,DCS,D Shrubs,05,    ,,, $6.91 ,,014949137611,0,344,172,08/15/14  ,172,05/15/15  ,0,          ,, $6.25 , $0.66 
013762,,,,2,CA,5,Buddleja davidii nanhoensis Petite Plum®,Petite Plum®  Dwarf Butterfly Bush,DCS,D Shrubs,05,    ,, $17.23 ,,,014949137628,0,42,42,04/01/15  ,0,          ,0,          ,, $14.50 , $2.73 
013763,,,,3,GA,5,Buddleja davidii nanhoensis Petite Plum®,Petite Plum®  Dwarf Butterfly Bush,DCS,D Shrubs,05,    ,,, $20.66 ,,014949011027,0,438,219,09/15/14  ,219,05/15/15  ,0,          ,, $18.00 , $2.66 
013765,,,,5,CA,5,Buddleja davidii nanhoensis Petite Plum®,Petite Plum®  Dwarf Butterfly Bush,DCS,D Shrubs,05,    ,, $26.46 ,,,014949137659,0,6,6,04/01/15  ,0,          ,0,          ,, $21.00 , $5.46 
013571,,,,1,CA,10,Buddleja davidii nanhoensis Petite Snow™,Petite Snow™  Butterfly Bush,DCS,D Shrubs,05,    ,, $7.34 , $6.91 ,,014949135716,0,160,160,0,0,0,0,0,, $6.25 , $1.09 
013572,,,,2,CA,5,Buddleja davidii nanhoensis Petite Snow™,Petite Snow™  Butterfly Bush,DCS,D Shrubs,05,    ,, $17.23 ,,,014949135723,0,5,5,04/01/15  ,0,          ,0,          ,, $14.50 , $2.73 
013573,,,,3,GA,5,Buddleja davidii nanhoensis Petite Snow™,Petite Snow™  Butterfly Bush,DCS,D Shrubs,05,    ,,, $20.66 ,,014949010785,0,5,5,05/15/15  ,0,          ,0,          ,, $18.00 , $2.66 
013575,,,,5,CA,5,Buddleja davidii nanhoensis Petite Snow™,Petite Snow™  Butterfly Bush,DCS,D Shrubs,05,    ,, $26.46 ,,,014949135754,0,8,8,04/01/15  ,0,          ,0,          ,, $21.00 , $5.46 
013791,,,,1,CA,10,Buddleja davidii 'Pink Delight'                             ,Pink Delight Butterfly Bush                                 ,DCS,D Shrubs,05,    ,, $7.34 ,,,014949137918,0,116,116,04/01/15  ,0,          ,0,          ,, $6.25 , $1.09 
013791,,,,1,GA,10,Buddleja davidii 'Pink Delight'                             ,Pink Delight Butterfly Bush                                 ,DCS,D Shrubs,05,    ,,, $6.91 ,,014949137918,0,15,15,05/15/15  ,0,          ,0,          ,, $6.25 , $0.66 
013792,,,,2,CA,5,Buddleja davidii 'Pink Delight'                             ,Pink Delight Butterfly Bush                                 ,DCS,D Shrubs,05,    ,, $17.23 ,,,014949137925,0,5,5,11/15/14  ,0,          ,0,          ,, $14.50 , $2.73 
013793,,,,3,GA,5,Buddleja davidii 'Pink Delight'                             ,Pink Delight Butterfly Bush                                 ,DCS,D Shrubs,05,    ,,, $20.66 ,,014949026670,0,5,5,05/15/15  ,0,          ,0,          ,, $18.00 , $2.66 
013795,,,,5,CA,5,Buddleja davidii 'Pink Delight'                             ,Pink Delight Butterfly Bush                                 ,DCS,D Shrubs,05,    ,, $26.46 ,,,014949137956,0,17,17,04/01/15  ,0,          ,0,          ,, $21.00 , $5.46 
013795PT,,,, 5 PATIO TREE,GA,2,Buddleja davidii 'Pink Delight'                             ,Pink Delight Butterfly Bush                                 ,DCS,D Shrubs,05,    ,,, $45.48 ,,014949137451,0,84,41,10/01/14  ,43,01/01/15  ,0,          ,, $40.50 , $4.98 
013561,,,,1,CA,10,Buddleja davidii 'Royal Red'                                ,Royal Red Butterfly Bush                                    ,DCS,D Shrubs,05,    ,, $7.34 ,,,014949135617,0,391,391,04/01/15  ,0,          ,0,          ,, $6.25 , $1.09 
013561,,,,1,GA,10,Buddleja davidii 'Royal Red'                                ,Royal Red Butterfly Bush                                    ,DCS,D Shrubs,05,    ,,, $6.91 ,,014949135617,0,2750,798,08/15/14  ,976,09/01/14  ,976,05/15/15  ,, $6.25 , $0.66 
013562,,,,2,CA,5,Buddleja davidii 'Royal Red'                                ,Royal Red Butterfly Bush                                    ,DCS,D Shrubs,05,    ,, $17.23 ,, $13.11 ,014949010402,22,12,12,0,0,0,0,0,, $14.50 , $2.73 
013563,,,,3,GA,5,Buddleja davidii 'Royal Red'                                ,Royal Red Butterfly Bush                                    ,DCS,D Shrubs,05,    ,,, $20.66 ,,014949026366,0,651,5,09/01/14  ,323,09/15/14  ,323,05/15/15  ,, $18.00 , $2.66 
013565,,,,5,CA,5,Buddleja davidii 'Royal Red'                                ,Royal Red Butterfly Bush                                    ,DCS,D Shrubs,05,    ,, $26.46 ,,,014949135655,0,902,324,11/15/14  ,254,03/01/15  ,324,04/01/15  ,, $21.00 , $5.46 
013565PT,,,, 5 PATIO TREE,GA,2,Buddleja davidii 'Royal Red'                                ,Royal Red Butterfly Bush                                    ,DCS,D Shrubs,05,    ,,, $45.48 ,,014949135686,0,2,2,05/15/15  ,0,          ,0,          ,, $40.50 , $4.98 
401302,,,,2,CT,5,Buddleja davidii 'Summer Skies'                             ,Summer Skies Butterfly Bush                                 ,DCS,D Shrubs,05,    ,,,, $12.61 ,014949389171,151,0,0,          ,0,          ,0,          ,, $11.50 , $1.11 
074415,,,,5,GA,5,Buddleja Lo & Behold®  Blue Chip,Lo & Behold®  Blue Chip Dwarf Summer Lilac,DCS,D Shrubs,05,2011,,, $29.32 ,,014949350195,0,5,5,05/15/15  ,0,          ,0,          ,, $26.00 , $3.32 
074411S,,,,SuperOne TM,CA,10,Buddleja Lo & Behold®  Blue Chip,Lo & Behold®  Blue Chip Dwarf Summer Lilac,DCS,D Shrubs,05,2011,, $12.32 ,,,014949335680,496,496,496,04/01/15  ,0,          ,0,          ,, $10.50 , $1.82 
074412S,,,,SuperTwo,CA,5,Buddleja Lo & Behold®  Blue Chip,Lo & Behold®  Blue Chip Dwarf Summer Lilac,DCS,D Shrubs,05,2011, $20.49 , $20.64 , $19.21 , $15.61 ,014949335697,486,176,176,0,0,0,0,0,, $17.00 , $3.64 
080811S,,,,SuperOne TM,CA,10,Buddleja Lo & Behold®  'Ice Chip' ,Ice Chip Summer Lilac                                       ,DCS,D Shrubs,05,2012,, $12.32 ,,,014949360989,22,22,22,04/01/15  ,0,          ,0,          ,, $10.50 , $1.82 
080811S,,,,SuperOne TM,GA,10,Buddleja Lo & Behold®  'Ice Chip' ,Ice Chip Summer Lilac                                       ,DCS,D Shrubs,05,2012,,, $11.61 ,,014949360989,0,230,230,05/15/15  ,0,          ,0,          ,, $10.50 , $1.11 
080812S,,,,SuperTwo,CA,5,Buddleja Lo & Behold®  'Ice Chip' ,Ice Chip Summer Lilac                                       ,DCS,D Shrubs,05,2012,, $20.64 , $19.21 , $15.61 ,014949360996,240,468,300,0,168,0,0,0,, $17.00 , $3.64 
080791S,,,,SuperOne TM,CA,10,Buddleja Lo & Behold®  'Lilac Chip' ,Lo & Behold®  Lilac Chip Summer Lilac,DCS,D Shrubs,05,2012,, $12.32 ,,,014949345870,0,38,38,04/01/15  ,0,          ,0,          ,, $10.50 , $1.82 
080792S,,,,SuperTwo,CT,5,Buddleja Lo & Behold®  'Lilac Chip' ,Lo & Behold®  Lilac Chip Summer Lilac,DCS,D Shrubs,05,2012,, $20.64 ,, $15.61 ,014949360972,137,6,6,0,0,0,0,0,, $14.50 , $1.11 
077411S,,,,SuperOne TM,CA,10,Buddleja Lo & Behold®  Purple Haze,Lo & Behold®  Purple Haze Summer Lilac,DCS,D Shrubs,05,2011,, $12.32 ,,,014949355787,0,10,10,04/01/15  ,0,          ,0,          ,, $10.50 , $1.82 
077412S,,,,SuperTwo,CA,5,Buddleja Lo & Behold®  Purple Haze,Lo & Behold®  Purple Haze Summer Lilac,DCS,D Shrubs,05,2011,, $20.64 ,,,014949361030,0,4,4,04/01/15  ,0,          ,0,          ,, $17.00 , $3.64 
401232S,,,,SuperTwo,CT,5,Buddleja Temptations™  Cotton Candy              ,Temptations™  Cotton Candy Butterfly Bush,DCS,D Shrubs,05,    ,,,, $14.36 ,014949389188,154,0,0,          ,0,          ,0,          ,, $13.25 , $1.11 
401262S,,,,SuperTwo,CT,5,Buddleja Temptations™  Lavender Petite                     ,Temptations™  Lavender Petite Butterfly Bush,DCS,D Shrubs,05,    ,,,, $14.36 ,014949389195,305,0,0,          ,0,          ,0,          ,, $13.25 , $1.11 
401212S,,,,SuperTwo,CT,5,Buddleja x Blueberry Petite                                 ,Blueberry Petite™  Butterfly Bush,DCS,D Shrubs,05,    ,,,, $14.36 ,014949389201,427,0,0,          ,0,          ,0,          ,, $13.25 , $1.11 
077395,,,,5,CA,5,Buddleja x 'Miss Molly' ,Miss Molly Summer Lilac                                     ,DCS,D Shrubs,05,2012,, $27.96 , $25.82 ,,014949355770,0,133,49,0,84,0,0,0,, $22.50 , $5.46 
077391S,,,,SuperOne TM,CA,10,Buddleja x 'Miss Molly' ,Miss Molly Summer Lilac                                     ,DCS,D Shrubs,05,2012,, $11.32 , $10.61 ,,014949355701,0,1565,75,0,1490,0,0,0,, $9.50 , $1.82 
077392S,,,,SuperTwo,CA,5,Buddleja x 'Miss Molly' ,Miss Molly Summer Lilac                                     ,DCS,D Shrubs,05,2012,, $20.64 , $19.21 ,,014949355749,0,181,181,0,0,0,0,0,, $17.00 , $3.64 
074405,,,,5,CA,5,Buddleja x Miss Ruby,Miss Ruby Summer Lilac                                      ,DCS,D Shrubs,05,2011,, $27.96 , $25.82 ,,014949350188,0,32,32,0,0,0,0,0,, $22.50 , $5.46 
074402S,,,,SuperTwo,CA,5,Buddleja x Miss Ruby,Miss Ruby Summer Lilac                                      ,DCS,D Shrubs,05,2011,, $20.64 , $19.21 ,,014949335666,0,82,82,0,0,0,0,0,, $17.00 , $3.64 
013995,,,,5,OR,5,Callicarpa bodinieri 'Profusion'                            ,Profusion Beautyberry                                       ,DCS,D Shrubs,05,    , $27.23 ,,,,014949139950,39,39,39,10/01/14  ,0,          ,0,          ,, $22.00 , $5.23 
092922,,,,2,OR,5,Callicarpa dichotoma Summer Snow® ,Summer Snow®  Beauty Berry,DCS,D Shrubs,06,2011, $17.87 ,,,,014949305935,0,10,10,10/01/14  ,0,          ,0,          ,, $15.25 , $2.62 
092925,,,,5,OR,5,Callicarpa dichotoma Summer Snow® ,Summer Snow®  Beauty Berry,DCS,D Shrubs,06,2011, $27.23 ,,,,014949305942,128,0,0,          ,0,          ,0,          ,, $22.00 , $5.23 
401343S,,,,Super 3,CT,5,Callicarpa japonica 'Purple Pearls',Purple Pearls Beauty Berry,DCS,D Shrubs,06,    ,,,, $19.29 ,014949410530,0,87,87,09/01/14  ,0,          ,0,          ,, $17.75 , $1.54 
401353,,,,3,CT,5,Callicarpa japonica 'Snow Storm'                            ,Snow Storm Beauty Berry                                     ,DCS,D Shrubs,06,    ,,,, $19.04 ,014949389263,175,265,265,09/01/14  ,0,          ,0,          ,, $17.50 , $1.54 
014515,,,,5,OR,5,Calycanthus floridus                                        ,Carolina Allspice                                           ,DCS,D Shrubs,05,    , $27.23 ,, $25.32 ,,014949145159,3,460,460,0,0,0,0,0,, $22.00 , $5.23 
080835,,,,5,GA,5,Calycanthus floridus 'Aphrodite'                            ,Aphrodite Sweetshrub                                        ,DCS,D Shrubs,05,2014,,, $27.32 , $27.05 ,014949376188,0,44,44,0,0,0,0,0,, $24.00 , $3.32 
080831S,,,,SuperOne TM,CA,10,Calycanthus floridus 'Aphrodite'                            ,Aphrodite Sweetshrub                                        ,DCS,D Shrubs,05,2014,, $9.82 ,,,014949376171,0,136,136,04/01/15  ,0,          ,0,          ,, $8.00 , $1.82 
022401,,,,1,CA,10,Caryopteris x clan 'Blue Mist'                      ,Blue Mist Bluebeard                                         ,DCS,D Shrubs,05,    ,, $7.34 ,,,014949224014,0,828,828,04/01/15  ,0,          ,0,          ,, $6.25 , $1.09 
022405,,,,5,CA,5,Caryopteris x clan 'Blue Mist'                      ,Blue Mist Bluebeard                                         ,DCS,D Shrubs,05,    ,, $26.46 ,,,014949224052,0,5,5,04/01/15  ,0,          ,0,          ,, $21.00 , $5.46 
022895,,,,5,OR,5,Caryopteris x clan 'Dark Knight'                    ,Dark Knight Bluebeard                                       ,DCS,D Shrubs,05,    , $26.23 ,,,,014949228951,0,5,5,06/01/15  ,0,          ,0,          ,, $21.00 , $5.23 
022895,,,,5,CA,5,Caryopteris x clan 'Dark Knight'                    ,Dark Knight Bluebeard                                       ,DCS,D Shrubs,05,    ,, $26.46 ,,,014949228951,0,52,14,11/01/14  ,38,04/01/15  ,0,          ,, $21.00 , $5.46 
092891,,,,1,OR,10,Caryopteris x clan 'Korball' Blue Balloon® ,Blue Balloon®  Bluebeard,DCS,D Shrubs,05,2010, $8.05 ,,,,014949324134,7,7,7,09/01/14  ,0,          ,0,          ,, $7.00 , $1.05 
092892,,,,2,CA,5,Caryopteris x clan 'Korball' Blue Balloon® ,Blue Balloon®  Bluebeard,DCS,D Shrubs,05,2010,, $17.98 ,,,014949280645,10,28,28,04/01/15  ,0,          ,0,          ,, $15.25 , $2.73 
092895,,,,5,CA,5,Caryopteris x clan 'Korball' Blue Balloon® ,Blue Balloon®  Bluebeard,DCS,D Shrubs,05,2010,, $27.46 ,,,014949217658,0,5,5,04/01/15  ,0,          ,0,          ,, $22.00 , $5.46 
401742S,,,,SuperTwo,CT,5,Caryopteris x clan 'Periwinkle Tart',Periwinkle Tart Bluebeard,DCS,D Shrubs,05,    ,,,, * ,014949389676,168,0,0,          ,0,          ,0,          ,, * , $1.11 
074431S,,,,SuperOne TM,OR,10,Ceanothus x pallidus Marie Bleu™,Marie Bleu™  New Jersey Tea,DCS,D Shrubs,06,2011, $11.24 ,,,,014949335765,2,0,0,          ,0,          ,0,          ,, $9.50 , $1.74 
074432S,,,,SuperTwo,OR,5,Ceanothus x pallidus Marie Bleu™,Marie Bleu™  New Jersey Tea,DCS,D Shrubs,06,2011, $20.49 ,,,,014949349243,82,334,334,10/01/14  ,0,          ,0,          ,, $17.00 , $3.49 
090183S,,,,Super 3,CT,5,Cephalanthus Sugar Shack,Sugar Shack Japanese Plum Yew,DCS,D Shrubs,05,2014,,,, $19.29 ,014949410554,0,251,251,09/01/14  ,0,          ,0,          ,, $17.75 , $1.54 
074441S,,,,SuperOne TM,CA,10,Chaenomeles Double Take™  Orange Storm,Orange Storm Flowering Quince,DCS,D Shrubs,05,2011,, $12.32 ,,,014949360163,0,1062,531,03/01/15  ,531,04/01/15  ,0,          ,, $10.50 , $1.82 
