Loc,,New Plant,Item,,Size,Plant Name,Common Name,CAT,Zone,Condition,Current Specs,Qty Allocated,QTY AVAIL NOW,2ND QTY AVAIL,2ND QTY READY DATE,2016 LIST PRICE,"ADD'L 10% 
QTY 
BUY PRICE","ADD'L 12.5% 
QTY
BUY
PRICE","UNIT 
FRT"
CA,170000,,087131,170000087131,#1,HEUCHERA CARNIVAL WATRMELN PAF,Carnival Watermelon Coral Bells                             ,PRN,04,,CAN FULL,     ,     , 188 ,04/15/16  , 7.25 , 6.53 , 6.34 ,0.54
CA,170000,    ,023101,170000023101,#1,HEUCHERA FROSTED VIOLET P15085,Frosted Violet Coral Bells                                  ,PRN,04,,CAN FULL,     ,     , 529 ,04/01/16  , 6.25 , 5.63 , 5.47 ,0.54
CA,170000,    ,018661,170000018661,#1,HEUCHERA GREEN SPICE,Green Spice Coral Bells                                     ,PRN,04,,,     ,     , 330 ,04/01/16  , 7.25 , 6.53 , 6.34 ,0.54
CA,170000,    ,028871,170000028871,#1,HEUCHERA MARMALADE PP15945,Marmalade Coral Bells                                       ,PRN,04,-,CAN FULL,     , 323 , 304 ,04/01/16  , 8.25 , 7.43 , 7.22 ,0.54
CA,170000,    ,045721,170000045721,#1,HEUCHERA MIDNIGHT ROSE PP18551,Midnight Rose Coral Bells                                   ,PRN,04,,CAN FULL, 10 ,     , 10 ,04/01/16  , 8.25 , 7.43 , 7.22 ,0.54
CA,170000,    ,047541,170000047541,#1,HEUCHERA PEACH FLAMBEE PP17195,Peach Flambe Coral Bells                                    ,PRN,04,,CAN FULL, 5 ,     , 73 ,04/01/16  , 8.25 , 7.43 , 7.22 ,0.54
CA,170000,    ,040721,170000040721,#1,HEUCHERA PLUM PUDDING,Plum Pudding Coral Bells                                    ,PRN,04,-,CAN FULL,     ,     , 274 ,04/01/16  , 5.25 , 4.73 , 4.59 ,0.54
CA,170000,    ,049711,170000049711,#1,HEUCHERA SOUTHERN COMFORT PPAF,Southern Comfort Coral Bells                                ,PRN,04,-,CAN FULL,     , 147 ,     ,          , 8.25 , 7.43 , 7.22 ,0.54
CA,170000,    ,033531,170000033531,#1,HEUCHERELLA STOPLIGHT PP16835,Stoplight Foamy Bells                                       ,PRN,04,,CAN FULL,     ,     , 46 ,04/01/16  , 8.25 , 7.43 , 7.22 ,0.54
CA,170000,    ,041171,170000041171,#1,HEUCHERELLA SWEET TEA PPAF,Sweet Tea Foamy Bells                                       ,PRN,04,,CAN FULL,     ,     , 544 ,04/01/16  , 7.25 , 6.53 , 6.34 ,0.54
CA,170000,    ,034712,170000034712,#2,HIB MOS DAVE FLEMING PP21392,Dave Fleming Hibiscus                                       ,PRN,04,CUT BACK,"10""H - 10""S",     , 669 ,     ,          , 15.75 , 14.18 , 13.78 ,1.36
CA,170000,    ,024372S,170000024372S,SuperTwo,HYD PAN LIMELIGHT PP12874,Limelight Hardy Hydrangea                                   ,DCS,03,DORMANT,"10""H - 12""S", 138 , 138 ,     ,          , 17.75 , 15.98 , 15.53 ,1.81
CA,170000,    ,074615,170000074615,#5,HYD PAN PINKY WINKY TM PP16166,Pinky Winky  Hardy Hydrangea,DCS,03,DORMANT,"10""H - 15""S", 63 , 80 ,     ,          , 25.25 , 22.73 , 22.09 ,2.72
CA,170000,,065382,170000065382,#2,HYPERICUM AN IGNITE RED P19468,Ignite Red St. John's Wort                                  ,DCS,04,-,"15""H - 12""S", 5 ,     , 5 ,03/01/16  , 15.25 , 13.73 , 13.34 ,1.36
CA,170000,    ,042132,170000042132,#2,HYPERICUM FRONDOSUM SUNBURST,Sunburst St. John's Wort                                    ,DCS,04,-,"12""H - 12""S", 80 ,     , 80 ,03/01/16  , 15.25 , 13.73 , 13.34 ,1.36
CA,170000,    ,042135,170000042135,#5,HYPERICUM FRONDOSUM SUNBURST,Sunburst St. John's Wort                                    ,DCS,04,DORMANT,"12""H - 15""S", 21 , 34 ,     ,          , 22.00 , 19.80 , 19.25 ,2.72
CA,170000,    ,046805,170000046805,#5,JUN C ARMSTRONGII,Armstrong Juniper                                           ,CON,03,-,"18""S",     , 8 ,     ,          , 19.00 , 17.10 , 16.63 ,2.72
CA,170000,    ,047509P3,170000047509P3,#15 3BALL POODLE,JUN C HETZII COLUMN,Green Columnar Juniper                                      ,CON,04,WINTER COLOR,"72""H",     , 2 ,     ,          , 156.75 , 141.08 , 137.16 ,13.60
CA,170000,    ,048002P2,170000048002P2,#2 2BALL POODLE,JUN C MINT JULEP R,Mint Julep®  Juniper,CON,03,-,"32""H", 5 , 5 ,     ,          , 42.75 , 38.48 , 37.41 ,2.04
CA,170000,    ,048005GL,170000048005GL,#5 GLOBE,JUN C MINT JULEP R,Mint Julep®  Juniper,CON,03,-,"10""H - 15""S", 5 , 22 ,     ,          , 34.00 , 30.60 , 29.75 ,2.72
CA,170000,    ,048005OP,170000048005OP,#5 ORIENTAL POMPON,JUN C MINT JULEP R,Mint Julep®  Juniper,CON,03,-,"54""H", 5 ,     , 5 ,04/01/16  , 79.50 , 71.55 , 69.56 ,4.08
CA,170000,    ,048007PP,170000048007PP,#7 POMPON,JUN C MINT JULEP R,Mint Julep®  Juniper,CON,03,-,"34""H - 30""S", 5 , 15 ,     ,          , 95.00 , 85.50 , 83.13 ,10.20
CA,170000,    ,048009PP,170000048009PP,#15 POMPON,JUN C MINT JULEP R,Mint Julep®  Juniper,CON,03,-,"41""H - 41""S",     , 13 ,     ,          , 122.25 , 110.03 , 106.97 ,20.40
CA,170000,    ,048452P3,170000048452P3,#2 3BALL POODLE,JUN C SAN JOSE,San Jose Juniper                                            ,CON,04,WINTER COLOR,"26""H - 8""S", 3 , 3 ,     ,          , 47.00 , 42.30 , 41.13 ,2.04
CA,170000,    ,048455BO,170000048455BO,#5 BONSAI,JUN C SAN JOSE,San Jose Juniper                                            ,CON,04,WINTER COLOR,5 -7 BALLS,     , 356 ,     ,          , 61.75 , 55.58 , 54.03 ,4.08
CA,170000,    ,049705,170000049705,#5,JUN H HUGHES,Hughes Juniper                                              ,CON,03,WINTER COLOR,"18""S",     , 55 ,     ,          , 19.00 , 17.10 , 16.63 ,2.72
CA,170000,    ,049902,170000049902,#2,JUN H ICEE BLUE R P9639,Icee Blue®  Juniper,CON,03,-,"12""S", 23 , 172 ,,, 13.75 , 12.38 , 12.03 ,1.36
CA,170000,    ,050302,170000050302,#2,JUN H PRINCE OF WALES,Prince Of Wales Juniper                                     ,CON,03,WINTER COLOR,"12""S",     , 60 ,     ,          , 13.75 , 12.38 , 12.03 ,1.36
CA,170000,    ,050202,170000050202,#2,JUN H YOUNGSTOWN,Youngstown Andorra Juniper                                  ,CON,03,WINTER COLOR,"14""S",     , 16 ,     ,          , 13.75 , 12.38 , 12.03 ,1.36
CA,170000,    ,050205,170000050205,#5,JUN H YOUNGSTOWN,Youngstown Andorra Juniper                                  ,CON,03,WINTER COLOR,"18""S",     , 17 ,     ,          , 19.00 , 17.10 , 16.63 ,2.72
CA,170000,    ,050902,170000050902,#2,JUN PRO NANA,Dwarf Japanese Garden Juniper                               ,CON,04,WINTER COLOR,"12""S", 2 , 158 ,,, 13.75 , 12.38 , 12.03 ,1.36
CA,170000,    ,051402,170000051402,#2,JUN SA ARCADIA,Arcadia Juniper                                             ,CON,03,-,"14""S",     , 31 ,     ,          , 13.75 , 12.38 , 12.03 ,1.36
CA,170000,    ,051752,170000051752,#2,JUN SA CALGARY CARPET R,Calgary Carpet®  Juniper,CON,03,-,"14""S", 1 , 1 ,     ,          , 13.75 , 12.38 , 12.03 ,1.36
CA,170000,    ,051755,170000051755,#5,JUN SA CALGARY CARPET R,Calgary Carpet®  Juniper,CON,03,-,"18""S", 9 , 9 ,     ,          , 19.00 , 17.10 , 16.63 ,2.72
CA,170000,    ,051652,170000051652,#2,JUN SA MOOR-DENSE R,Moor-Dense®  Juniper,CON,03,-,"14""S",     , 6 ,     ,          , 13.75 , 12.38 , 12.03 ,1.36
CA,170000,    ,051655,170000051655,#5,JUN SA MOOR-DENSE R,Moor-Dense®  Juniper,CON,03,-,"21""S", 46 , 86 ,     ,          , 19.00 , 17.10 , 16.63 ,2.72
CA,170000,    ,053655,170000053655,#5,JUN SC BLUE ARROW,Blue Arrow Juniper                                          ,CON,04,-,"42""H",     ,     , 175 ,04/15/16  , 27.75 , 24.98 , 24.28 ,2.72
CA,170000,    ,052705SP,170000052705SP,#5 SPIRAL,JUN SC MEDORA,Medora Juniper                                              ,CON,03,WINTER COLOR,"48""H",     , 2 ,     ,          , 77.25 , 69.53 , 67.59 ,4.08
CA,170000,    ,052709,170000052709,#15,JUN SC MEDORA,Medora Juniper                                              ,CON,03,WINTER COLOR,"60""H - 24""S", 9 , 9 ,     ,          , 95.00 , 85.50 , 83.13 ,13.60
CA,170000,    ,054005,170000054005,#5,JUN SC SKYROCKET,Skyrocket Juniper                                           ,CON,04,-,"36""H - 10""S",     , 20 ,,, 27.75 , 24.98 , 24.28 ,2.72
