Branch,Item,Description,WIP+FG,Allocated,Remaining,"Allocated
To Orders","Orders
from Open","Open
Available",Category,Intro,Catalog,Reason
550000,089941S,HYD PAN FIRE LIGHT TM PPAF,119,119,29,75%,0,0,DCS,2014,$9.75 ,
550000,097862S,LAG BERRY DAZZLE R PP22161,2015,2015,1614,19%,0,0,DCS,2014,$0.00 ,
550000,404372,LAG RED FILLI PP14353,1146,1126,791,29%,20,0,DCS,2014,$14.95 ,
550000,404392,LAG VIOLET FILLI PP14267,1599,1599,1143,28%,0,0,DCS,2014,$0.00 ,
550000,40963,LORO C DARUMA,1483,1413,1298,8%,70,0,EVS,2014,$17.75 ,
550000,92382,MAN SUN PAR R GARDEN CRIMSON,1487,1025,359,64%,462,0,VIN,2014,$0.00 ,
550000,09238UT,MAN SUN PAR R GARDEN CRIMSON,16312,1336,0,100%,704,14272,VIN,2014,$4.00 ,
550000,092382BH,MAN SUN PAR R GARDEN CRIMSON,500,500,317,36%,0,0,VIN,2014,$0.00 ,
550000,098542S,ROSA DRIFT R APRICOT PP23354,2148,2050,1886,8%,40,58,ROS,2014,$13.25 ,
550000,098552S,ROSA DRIFT R CORAL PP19148,1037,1037,782,24%,0,0,ROS,2014,$13.25 ,
550000,022632S,ROSA DRIFT R PINK PP18874,1068,1068,918,14%,0,0,ROS,2014,$13.25 ,
550000,022642S,ROSA DRIFT R RED PP17877,4033,3400,2762,18%,20,613,ROS,2014,$13.25 ,
550000,098572S,ROSA DRIFT R SWEET PP21612,1073,1073,998,6%,0,0,ROS,2014,$13.25 ,
550000,98583,ROSA WHITE OUT TM PP20273,431,334,181,45%,77,20,ROS,2014,$13.75 ,
550000,18631,RUDBECKIA LTLE GOLDSTAR P22397,960,960,464,51%,0,0,PRN,2014,$0.00 ,
550000,11011,SISYRINCHIUM ANG BLUE NOTE TM,1966,1966,544,72%,0,0,PRN,2014,$6.00 ,
550000,22511,STOKESIA LAEVIS PEACHIE'S PICK,1008,1008,504,50%,0,0,PRN,2014,$5.00 ,
"© 2007,2009 Monrovia Nursery Company. This information may represent Trade Secret information and may not be distributed without permission.",,,,,,,,,,,,
