Item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08582UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09238UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40976UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3523,,,,,,,,,,-,9078,-,3595,-,8140,-,2233,-,7543,-,9143,-,9317,-,4816,-,5959,-,5958,-,8152,-,5260,-,5259,-,5636,-,4725
2233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
