Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2015 List Price,Condition,Current Specs,Qty Allocated,Min Order Qty,Available         ,Available Later,On,Available Later,On,Available Later,On,x
CA,2011,065601,#1,SEMPERVIVUM GREEN WHEEL,Sempervivum 'Green Wheel'                                   ,Green Wheel Hens and Chicks                                 ,Succulent/cactus/yucca,PRN,04,, 6.35 ,-,CAN FULL,     , 10 ,     , 668 ,04/01/15  , 119 ,05/01/15  ,     ,          ,x
CA,2014,097751S,SuperOne TM,SPHAERALCEA AMBIGUA,Sphaeralcea ambigua                                         ,Desert Mallow                                               ,Mid spring interm. flowering,PRN,06,, 7.50 ,-,"8""H",     , 10 ,     , 19 ,03/01/15  ,     ,          ,     ,          ,x
CA,2010,056232,#2,VACC BOUNTIFUL BLUE R PP19381,"Vaccinium corymbosum 'FLX-2' P.P.# 19,381                   ",Bountiful Blue®  Blueberry,Edible berries/fruit,DCS,06,FCF, 15.50 ,-,"12""H - 12""S", 10 , 5 ," 30,464 "," 30,464 ",04/01/15  ,     ,          ,     ,          ,x
CA,2013,081712,#2,VACCINIUM PEACH SORBET TM PPAF,"Vaccinium corymbosum 'ZF06-043' P.P.#23,325                 ",BrazelBerries®  Peach Sorbet™  Blueberry,Edible berries/fruit,DCS,05,FCF, 15.50 ,-,"10""H - 10""S", 19 , 5 ,     ," 3,674 ",04/01/15  ,     ,          ,     ,          ,x
CA,2013,081702,#2,VACCINIUM X JELLY BEAN TM PPAF,Vaccinium corymbosum 'Jelly Bean' P.P.A.F.                  ,BrazelBerries®  Jelly Bean Blueberry,Edible berries/fruit,DCS,04,FCF, 15.50 ,-,"10''H - 10""S", 8 , 5 ,     , 8 ,04/01/15  ,     ,          ,     ,          ,x
CA,    ,017341,#1 STAKED,WISTERIA MAC BLUE MOON,Wisteria macrostachya 'Blue Moon'                           ,Blue Moon Kentucky Wisteria                                 ,Hardy vine,VIN,04,, 8.75 ,-,24''H, 24 , 10 ,     , 24 ,05/01/15  ,     ,          ,     ,          ,x
CA,    ,047831,#1,YUCCA ELATA,Yucca elata                                                 ,Soaptree Yucca                                              ,Grass-like plant,EVS,06,OLD, 7.75 ,-,"10""H - 10""S", 20 , 10 , 168 ,     ,          ,     ,          ,     ,          ,x
CA,    ,074015,#5,YUCCA RIGIDA,Yucca rigida                                                ,Blue Yucca                                                  ,Grass-like plant,EVS,07,, 22.00 ,-,"15""H - 12""S",     , 5 , 393 ,     ,          ,     ,          ,     ,          ,x
CT,2014,018561,#1,AGASTACHE AUR-HYB TANGO,Agastache aurantiaca 'Tango'                                ,Tango Hummingbird Mint                                      ,Mid/late interm. flowering,PRN,06,, 5.50 ,,,     , 10 ,     , 362 ,04/15/15  , 23 ,04/01/15  ,     ,          ,x
CT,2014,06696UT,LittleOne,ANACYCLUS PYR DEP SILBERKISSEN,Anacyclus depressus 'Silberkissen'                          ,Silver Kisses Mount Atlas Daisy                             ,Mid/late interm. flowering,PRN,05,, 3.10 ,,,     , 16 ,     ," 1,000 ",04/01/15  ,     ,          ,     ,          ,x
CT,2014,017601,#1,ASTILBE VISION IN WHITE P18965,"Astilbe chinensis 'Vision In White P.P. #18,965             ",Vision in White Astilbe                                     ,Mid/late border flowering,PRN,04,, 4.90 ,-,,     , 10 ,     , 38 ,01/01/15  ,     ,          ,     ,          ,x
CT,2012,062932,#2,BER T ORANGE ROCKET PP18411,"Berberis thunbergii 'Orange Rocket' P.P.#18,411             ",Orange Rocket Barberry                                      ,Berberis,DCS,04,PHS, 14.50 ,-,"14""H - 6""S", 50 , 5 ,     , 987 ,12/01/14  , 2 ,06/01/15  ,     ,          ,x
CT,2014,412915,#5,CAMPSIS RADICANS,Campsis radicans                                            ,Trumpet creeper                                             ,Hardy vine,VIN,04,, 26.00 ,-,"54 "" H",     , 5 ,     , 315 ,01/01/15  ,     ,          ,     ,          ,x
CT,    ,033802,#2,CHAM L YVONNE-GUARDIAN R,Chamaecyparis lawsoniana 'Yvonne'                           ,Yvonne Port Orford Cedar - The Guardian®  Series,Chamaecyparis,CON,06,OSU, 17.50 ,-,"31"" H - 18"" S",     , 5 , 905 ,     ,          ,     ,          ,     ,          ,x
CT,2014,014412,#2,CHAM PIS VINTAGE GOLD,Chamaecyparis pisifera 'Vintage Gold'                       ,Vintage Gold False Cypress                                  ,Chamaecyparis,CON,03,, 13.75 ,-,"17""H-17S/13X14",     , 5 , 5 , 5 ,01/01/15  ,     ,          ,     ,          ,x
CT,    ,015901,#1 STAKED,CLEM X BLUE LIGHT R PP15953,Clematis x 'Vanso' P.P.# 15953                              ,Blue Light®  Clematis,Clematis,VIN,04,, 9.00 ,,,     , 10 ,     , 873 ,05/15/15  ,     ,          ,     ,          ,x
CT,    ,027011,#1 STAKED,CLEM X ERNEST MARKHAM,Clematis x 'Ernest Markham'                                 ,Ernest Markham Clematis                                     ,Clematis,VIN,03,, 9.00 ,,"21""H",     , 10 ,     , 550 ,05/15/15  ,     ,          ,     ,          ,x
CT,2013,088891,#1,CORE BIGBANG TM MRCRY RSNG PAF,Coreopsis x 'Mercury Rising' P.P.A.F.                       ,Big Bang™  Mercury Rising Tickseed,Mid/late border flowering,PRN,05,SBN, 5.50 ,,,     , 10 ,     , 912 ,06/01/15  ,     ,          ,     ,          ,x
