Loc,Item Number,Plant Name,Common Name,Plant Category,Zone,Intro Year,Catalog Price      ,Price Code,Net Price     ,Unit Freight,Landed Price,Landed Price Palletized,Retail Price,Minimum Ord Qty,Confirmed Qty Remaining,Order Quantity,Confirmed Amount Remaining,Open Stock,2013 Qty Shipped  ,2014 Qty Shipped  ,2015 Qty Shipped  ,Date Ready,SKU,UPC
160000,015901,CLEM X BLUE LIGHT R PP15953,Blue Light¨  Clematis                                                                               ,VIN,04,2004, 9.50 ,, 8.36 , 0.94 , 9.30 ,     ,     , 10 , 5 , , 41.80 ,     ,     ,     ,     ,Now         ,,014949159019 
160000,027261,CLEM X JACKMANII,Jackman Clematis                                                                                    ,VIN,04,    , 9.50 ,, 8.36 , 0.94 , 9.30 ,     ,     , 10 , 5 , , 41.80 ,     ,     ,     ,     ,Now         ,,014949272619 
160000,027441,CLEM X NELLY MOSER,Nelly Moser Clematis                                                                                ,VIN,04,1993, 9.50 ,, 8.36 , 0.94 , 9.30 ,     ,     , 10 , 5 , , 41.80 ,     ,     ,     ,     ,Now         ,,014949274415 
160000,026371,CLEM X TOKI,Toki Clematis                                                                                       ,VIN,04,2006, 9.50 ,, 8.36 , 0.94 , 9.30 ,     ,     , 10 , 5 , , 41.80 , 143 ,     ,     ,     ,Now         ,,014949060803 
550000,027951,COREOPSIS AURICULATA NANA,Dwarf Tickseed                                                                                      ,PRN,04,    , 5.25 ,PRNADV, 4.36 , 0.57 , 4.93 ,     ,     , 10 , 50 , , 218.00 , 68 ,     ,     ,     ,Now         ,,014949279519 
550000,027961,COREOPSIS VERT MOONBEAM,Moonbeam Threadleaf Tickseed                                                                        ,PRN,03,    , 5.25 ,PRNADV, 4.36 , 0.57 , 4.93 ,     ,     , 10 , 50 , , 218.00 ,     ,     ,     ,     ,04/15/16    ,,014949279618 
550000,027971,COREOPSIS VERT ZAGREB,Zagreb Threadleaf Tickseed                                                                          ,PRN,03,    , 5.25 ,PRNADV, 4.36 , 0.57 , 4.93 ,     ,     , 10 , 50 , , 218.00 ,     ,     ,     ,     ,03/28/16    ,,014949279717 
160000,028505PT,COT APICULATUS,Cranberry Cotoneaster                                                                               ,DCS,04,    , 62.25 ,, 54.78 , 7.02 , 61.80 ,     ,     , 2 , 5 , , 273.90 , 66 ,     ,     ,     ,Now         ,,014949285152 
160000,03420UT,DELOSPERMA COOPERI,Hardy Ice Plant                                                                                     ,PRN,05,2005, 3.25 ,PRNADV, 2.70 , 0.70 , 3.40 ,     ,     , 16 , 16 , , 43.20 ,     ,     ,     ,     ,Now         ,,014949069899 
450000,004591,DELPHINIUM GRAND BLUE MIRROR,Blue Mirror Delphinium                                                                              ,PRN,03,    , 5.25 ,PRNADV, 4.36 , 1.01 , 5.37 ,     ,     , 10 , 15 , , 65.40 ,     ,     ,     ,     ,Now         ,,014949014264 
450000,004901,DICENTRA SP VALENTINE R P22739,Valentine¨  Bleeding Heart                                                                          ,PRN,03,2013, 6.75 ,PRNADV, 5.60 , 1.01 , 6.61 ,     ,     , 10 , 10 , , 56.00 ,     ,     ,     ,     ,04/01/16    ,,014949369500 
160000,402351,ECHIN DBL SCP TM RSPBRY P23117,Double Scoop  Raspberry Coneflower                                                                 ,PRN,04,    , 6.00 ,PRNADV, 4.98 , 0.94 , 5.92 ,     ,     , 10 , 25 , , 124.50 ,     ,     ,     ,     ,06/01/16    ,,014949390658 
450000,097211,ECHIN SMBRO TM FLMNCO ORNG,Sombrero  Flamenco Orange Coneflower                                                               ,PRN,04,2014, 6.00 ,, 5.28 , 1.01 , 6.29 ,     ,     , 10 , 25 , , 132.00 ,     ,     ,     ,     ,05/01/16    ,,014949115992 
550000,002991,ECHINACEA POWWOW R WILDBERRY,PowWow¨  Wild Berry Coneflower                                                                      ,PRN,03,2011, 6.00 ,PRNADV, 4.98 , 0.57 , 5.55 ,     ,     , 10 , 50 , , 249.00 ,     ,     ,     ,     ,Now         ,,014949353004 
160000,018221,ECHINACEA PUR RUBY STAR,Ruby Star Coneflower                                                                                ,PRN,04,2005, 5.25 ,PRNADV, 4.36 , 0.94 , 5.30 ,     ,     , 10 , 40 , , 174.40 ,     ,     ,     ,     ,Now         ,,014949054079 
160000,033652,EUO F CANADALE GOLD,Canadale Gold Wintercreeper                                                                         ,EVS,04,2002, 14.50 ,, 12.76 , 2.34 , 15.10 ,     ,     , 5 , 10 , , 127.60 , 35 ,     ,     ,     ,Now         ,,014949336526 
160000,035785,FAGUS SYL TRICOLOR,Tricolor European Beech                                                                             ,TRE,04,1995, 46.50 ,, 40.92 , 4.68 , 45.60 ,     ,     , 5 , 5 , , 204.60 ,     ,     ,     ,     ,Now         ,,014949357859 
450000,03612UT,FERN-ATHYRIUM NIP PICTUM,Japanese Painted Fern                                                                               ,FRN,05,2000, 4.75 ,, 4.18 , 0.49 , 4.67 ,     ,     , 16 , 11 , , 45.98 ,     ,     ,     ,     ,Now         ,,014949035559 
550000,036451,FERN-MATTEUCCIA STRUTHIOPTERIS,European Ostrich Fern                                                                               ,FRN,03,2002, 7.00 ,, 6.16 , 0.57 , 6.73 ,     ,     , 10 , 10 , , 61.60 ,     ,     ,     ,     ,04/15/16    ,,014949364512 
450000,017543,FORSYTHIA X MAGICAL R GOLD,Magical¨  Gold Forsythia                                                                            ,DCS,05,2006, 18.75 ,, 16.50 , 2.70 , 19.20 ,     ,     , 5 , 10 , , 165.00 , 12 ,     ,     ,     ,Now         ,,014949066515 
450000,035711,GAILLARDIA ARIZONA SUN,Arizona Sun Blanket Flower                                                                          ,PRN,03,2006, 5.25 ,PRNADV, 4.36 , 1.01 , 5.37 ,     ,     , 10 , 50 , , 218.00 , 71 ,     ,     ,     ,Now         ,,014949208212 
550000,023081,GERANIUM ROZANNE PP12175,Rozanne Cranesbill                                                                                  ,PRN,04,2004, 7.25 ,PRNADV, 6.02 , 0.57 , 6.59 ,     ,     , 10 , 25 , , 150.50 ,     ,     ,     ,     ,04/15/16    ,,014949043004 
450000,005231,GERANIUM SANGUINEUM MAX FREI,Max Frei Bloody Cranesbill                                                                          ,PRN,04,2002, 5.25 ,, 4.62 , 1.01 , 5.63 ,     ,     , 10 , 25 , , 115.50 ,     ,     ,     ,     ,Now         ,,014949052310 
160000,038355,GINKGO BIL AUTUMN GOLD,Autumn Gold Maidenhair Tree                                                                         ,TRE,04,    , 37.50 ,, 33.00 , 4.68 , 37.68 ,     ,     , 5 , 5 , , 165.00 ,     ,     ,     ,     ,Now         ,,014949383551 
550000,014011,GR-CAL ACUT KARL FOERSTER,Foerster's Feather Reed Grass                                                                       ,GRS,04,    , 7.25 ,, 6.38 , 0.57 , 6.95 ,     ,     , 10 , 10 , , 63.80 ,     ,     ,     ,     ,04/01/16    ,,014949140116 
450000,036671,GR-FESTUCA GLAUCA ELIJAH BLUE,Elijah Blue Fescue                                                                                  ,GRS,04,1994, 6.25 ,, 5.50 , 1.01 , 6.51 ,     ,     , 10 , 10 , , 55.00 , 18 ,     ,     ,     ,Now         ,,014949366714 
550000,061811,GR-MIS SIN ADAGIO,Adagio Maiden Grass                                                                                 ,GRS,06,2001, 6.75 ,, 5.94 , 0.57 , 6.51 ,     ,     , 10 , 10 , , 59.40 , 303 ,     ,     ,     ,Now         ,,014949618110 
550000,061561,GR-MIS SIN GRACILLIMUS,Maiden Grass                                                                                        ,GRS,05,    , 6.75 ,, 5.94 , 0.57 , 6.51 ,     ,     , 10 , 10 , , 59.40 ,     ,     ,     ,     ,04/01/16    ,,014949615614 
450000,088952,GR-PENN ALO BRGNDY BNNY P21917,Burgundy Bunny Miniature Fountain Grass                                                             ,GRS,05,    , 12.50 ,, 11.00 , 1.94 , 12.94 ,     ,     , 5 , 10 , , 110.00 ,     ,     ,     ,     ,Now         ,,014949372364 
160000,083961,HEM CHICAGO APACHE,Chicago Apache Daylily                                                                              ,PRN,04,2003, 5.25 ,PRNADV, 4.36 , 0.94 , 5.30 ,     ,     , 10 , 10 , , 43.60 ,     ,     ,     ,     ,Now         ,,014949839614 
450000,040511,HEM HAPPY RETURNS,Happy Returns Dwarf Daylily                                                                         ,PRN,04,1999, 5.25 ,PRNADV, 4.36 , 1.01 , 5.37 ,     ,     , 10 , 25 , , 109.00 ,     ,     ,     ,     ,05/01/16    ,,014949405116 
550000,040511,HEM HAPPY RETURNS,Happy Returns Dwarf Daylily                                                                         ,PRN,04,1999, 5.25 ,PRNADV, 4.36 , 0.57 , 4.93 ,     ,     , 10 , 25 , , 109.00 ,     ,     ,     ,     ,Now         ,,014949405116 
