Loc,Item,Size,Description,Common Name,CAT,Zone,Condition,Current Specs,Plant Status,QTY AVAIL,List Price,UPC#,Sale Price,AVL Flag,,,,,,
CA,030442,#2,CLIVIA BELGIAN HYB ORANGE,Belgian Hybrid Orange Bush Lily                             ,EVS,09,BUDS & BLOOMS,"12""H",, 581 , 15.00 ,014949068045,          ,I,,,,,,
CA,083041,#1,CUPHEA HYS ITSY BITSY R LILAC,Itsy Bitsy®  Lilac False Heather,PRN,09,BUDS & BLOOMS,"6''H -8""S",PS1, 644 , 4.90 ,014949830413,          , ,,,,,,
CA,035565,#5,EURYOPS PECT MUNCHKIN,Dwarf Euryops                                               ,EVS,08,BUDS & BLOOMS,"15""H-15""S",, 11 , 19.75 ,014949355657,          , ,,,,,,
CA,035571,#1,EURYOPS PECT VIRIDIS,Green-Leaved Euryops                                        ,EVS,08,BUDS & BLOOMS,"8""H -8""S",, 519 , 6.00 ,014949355718,          ,I,,,,,,
CA,035572,#2,EURYOPS PECT VIRIDIS,Green-Leaved Euryops                                        ,EVS,08,BUDS & BLOOMS,"12""H - 12""S",, 14 , 13.50 ,014949355732,          , ,,,,,,
CA,072991,#1,HELLEBORUS X PINK FROST PPAF,Gold Collection®  Pink Frost Lenten Rose,PRN,05,BUDS & BLOOMS,8''H - 8''S,PS1, 309 , 9.00 ,014949332641,          , ,,,,,,
CA,041255,#5,HIB R GOLDEN DUST,Golden Dust Hibiscus                                        ,EVS,10,BUDS & BLOOMS,"18""H-15""S",, 404 , 22.00 ,014949412558,          ,I,,,,,,
CA,041355,#5,HIB R POWDER PUFF R,Powder Puff®  Hibiscus,EVS,10,BUDS & BLOOMS,"18""H-18""S",, 43 , 22.00 ,014949413555,          ,I,,,,,,
CA,046581,#1 STAKED,JASMINUM POLYANTHUM,Pink Jasmine                                                ,VIN,08,BUDS & BLOOMS,"24""H",," 3,892 ", 6.50 ,014949465813,          ,I,,,,,,
CA,056851,#1,LANTANA CAM RADIATION,Radiation Bush Lantana                                      ,PRN,09,BUDS & BLOOMS,"6""H-8""S",PS1, 100 , 5.10 ,014949568514,          ,N,,,,,,
CA,056955PT,#5 PATIO TREE,LANTANA CONFETTI TM,Confetti™  Spreading Lantana,PRN,09,BUDS & BLOOMS,"18""S",PS1, 11 , 38.50 ,014949569658,          ,N,,,,,,
CA,057251,#1,LANTANA SELLOWIANA (MONTEVDNS),Trailing Lantana                                            ,PRN,09,BUDS & BLOOMS,"8""S",PS1, 642 , 5.10 ,014949572511,          , ,,,,,,
CA,057052,#2,LANTANA SPREADING SUNSET R,Spreading Sunset®  Lantana,PRN,09,BUDS & BLOOMS,"8""H-12""S",, 482 , 13.00 ,014949354384,          ,N,,,,,,
CA,057491,#1,LEPTOSPERMUM NANUM RURU,Dwarf New Zealand Tea Tree                                  ,EVS,09,BUDS & BLOOMS,"4""H - 6""S",, 70 , 8.00 ,014949574911,          ,I,,,,,,
CA,059235,#5,LORO C RUBRUM RAZZLEBERRI R,Razzleberri®  Fringe Flower,EVS,07,BUDS & BLOOMS,"15""H - 18""S",, 225 , 21.00 ,014949592359,          ,I,,,,,,
CA,045012,#2 STAKED,MAN SUN PAR R CRIMSON PP15539,Sun Parasol®  Crimson Mandevilla,VIN,10,BUDS & BLOOMS,"24""H",, 13 , 17.50 ,014949237144,          , ,,,,,,
CA,064151,#1 STAKED,PANDOREA JAS ALBA LADY DI,White Bower Vine                                            ,VIN,09,BUDS & BLOOMS,"24""H",, 412 , 8.25 ,014949641514,          , ,,,,,,
CA,068421,#1,SALVIA WENDY'S WISH PP21889,Wendy's Wish Sage                                           ,PRN,09,BUDS & BLOOMS,CAN FULL,PS1, 210 , 5.75 ,014949330401,          ,I,,,,,,
CA,070901,#1 STAKED,SOLANUM JASMINOIDES,Potato Vine                                                 ,VIN,09,BUDS & BLOOMS,"24""H",, 29 , 8.00 ,014949709016,          ,I,,,,,,
CA,070965PT,#5 PATIO TREE,SOLANUM RANT ROYAL ROBE,Royal Robe Paraguay Nightshade                              ,EVS,09,BUDS & BLOOMS,"18""S",, 256 , 40.00 ,014949709757,          ,I,,,,,,
