Loc,New Plant,Item,Size,Plant Name,Botanical Name,Common Name,Category 2,Category,Zone,Royalty Code,2015 List Price,Monthly Sale Price,Condition,Current Specs,UPC#,Qty Allocated,Min Qrd Qty,Available Now     ,Available Later,On,Available Later,On,Available Later,On,Stk Loc
OR,    ,071602,#2,ROSA FLWR CAR R RED P11308,Rosa x 'Noare' P.P.# 11308                                  ,Flower Carpet®  Red Groundcover Rose,Rosa,ROS,04,ATI, 15.50 ,            ,BUDS & BLOOMS,"8""H - 12""S",014949716021, 67 , 5 , 190 , 190 ,05/01/15  ,     ,          ,     ,          ,"1D 183, 1D 184                "
CA,    ,071602,#2,ROSA FLWR CAR R RED P11308,Rosa x 'Noare' P.P.# 11308                                  ,Flower Carpet®  Red Groundcover Rose,Rosa,ROS,04,ATI, 15.50 ,            ,BUDS & BLOOMS,6''H - 10''S,014949716021,     , 5 ," 10,435 "," 10,435 ",12/31/14  ," 10,435 ",04/01/15  ,     ,          ,"1G 103, 1G 104, 1G 111, 1H 103"
GA,    ,071602,#2,ROSA FLWR CAR R RED P11308,Rosa x 'Noare' P.P.# 11308                                  ,Flower Carpet®  Red Groundcover Rose,Rosa,ROS,04,ATI, 15.50 ,            ,,"8""H - 10""S",014949716021, 51 , 5 ,     , 51 ,05/01/15  ,     ,          ,     ,          ,                              
CA,    ,071605PT,#5 PATIO TREE,ROSA FLWR CAR R RED P11308,Rosa x 'Noare' P.P.# 11308                                  ,Flower Carpet®  Red Groundcover Rose,Rosa,ROS,04,ATI, 38.50 ,            ,LIGHT BUD & BLOOM,"17""S",014949716151,     , 2 , 3 , 3 ,04/01/15  ,     ,          ,     ,          ,1H 108                        
OR,    ,036312,#2,ROSA FLWR CAR R SCARLET P17373,"Rosa x 'NOA83100B' P.P. #17,373                             ",Flower Carpet®  Scarlet Groundcover Rose,Rosa,ROS,05,ATI, 15.50 ,            ,-,"6""H - 12""S",014949211779, 38 , 5 , 332 ,     ,          ,     ,          ,     ,          ,"1D 183, 1D 184                "
CA,    ,036312,#2,ROSA FLWR CAR R SCARLET P17373,"Rosa x 'NOA83100B' P.P. #17,373                             ",Flower Carpet®  Scarlet Groundcover Rose,Rosa,ROS,05,ATI, 15.50 ,            ,LIGHT BUD & BLOOM,7''H - 10''S,014949211779,     , 5 ," 7,064 "," 7,064 ",04/01/15  ,     ,          ,     ,          ,"1F 105, 1F 107, 1F 109, 1F 110"
GA,    ,036312,#2,ROSA FLWR CAR R SCARLET P17373,"Rosa x 'NOA83100B' P.P. #17,373                             ",Flower Carpet®  Scarlet Groundcover Rose,Rosa,ROS,05,ATI, 15.50 ,            ,,"8""H - 10""S",014949211779,     , 5 ,     , 930 ,01/01/15  , 930 ,05/01/15  ,     ,          ,                              
CA,    ,036315PT,#5 PATIO TREE,ROSA FLWR CAR R SCARLET P17373,"Rosa x 'NOA83100B' P.P. #17,373                             ",Flower Carpet®  Scarlet Groundcover Rose,Rosa,ROS,05,ATI, 38.50 ,            ,LIGHT BUD & BLOOM,"17""S",014949313220, 15 , 2 , 17 , 17 ,04/01/15  ,     ,          ,     ,          ,1F 104                        
OR,    ,070212,#2,ROSA FLWR CAR R WHITE P9573,Rosa x 'Noaschnee' P.P.# 9573                               ,Flower Carpet®  White Groundcover Rose,Rosa,ROS,05,ATI, 15.50 ,            ,-,"6""H - 12""S",014949702123, 58 , 5 , 433 ,     ,          ,     ,          ,     ,          ,"1D 183, 1D 184                "
CA,    ,070212,#2,ROSA FLWR CAR R WHITE P9573,Rosa x 'Noaschnee' P.P.# 9573                               ,Flower Carpet®  White Groundcover Rose,Rosa,ROS,05,ATI, 15.50 ,            ,LIGHT BUD & BLOOM,"6""H - 12""S",014949702123,     , 5 ," 32,853 "," 32,853 ",04/01/15  ,     ,          ,     ,          ,"1F 108, 1F 109, 1F 110, 1G 103"
