Loc,Item,Description,Botanical Name,Common Name
OR,072922,THUJA OC HETZ MIDGET,Thuja occidentalis 'Hetz Midget'                            ,Hetz Midget Arborvitae                                      
OR,072925,THUJA OC HETZ MIDGET,Thuja occidentalis 'Hetz Midget'                            ,Hetz Midget Arborvitae                                      
OR,053931,THUJA OC HIGHLIGHTS TM PP21967,"Thuja occidentalis 'Janed Gold' PP.# 21,967                 ",Highlights™  Arborvitae
OR,053932,THUJA OC HIGHLIGHTS TM PP21967,"Thuja occidentalis 'Janed Gold' PP.# 21,967                 ",Highlights™  Arborvitae
OR,053935,THUJA OC HIGHLIGHTS TM PP21967,"Thuja occidentalis 'Janed Gold' PP.# 21,967                 ",Highlights™  Arborvitae
OR,072872,THUJA OC LITTLE GIANT,Thuja occidentalis 'Little Giant'                           ,Little Giant Dwarf Arborvitae                               
OR,072875,THUJA OC LITTLE GIANT,Thuja occidentalis 'Little Giant'                           ,Little Giant Dwarf Arborvitae                               
OR,031185,THUJA OC MALONYANA,Thuja occidentalis 'Malonyana'                              ,Malonyana Arborvitae                                        
OR,022175,THUJA OC MR BOWLING BALL R,Thuja occidentalis 'Bobozam'                                ,Mr. Bowling Ball™  Arborvitae
OR,075055,THUJA OC NORTH POLE R PPAF,"Thuja occidentalis 'Art Boe' P.P. #22,174                   ",North Pole™  Arborvitae
OR,072892,THUJA OC RHEINGOLD,Thuja occidentalis 'Rheingold'                              ,Rheingold Arborvitae                                        
OR,073055,THUJA OC RUSHMORE,Thuja occidentalis 'Rushmore'                               ,Rushmore Arborvitae                                         
OR,072915,THUJA OC YELLOW RIBBON,Thuja occidentalis 'Yellow Ribbon'                          ,Yellow Ribbon Arborvitae                                    
OR,019441,THUJA PL GRN GLOBE (GRNE KGEL),Thuja plicata 'Grune Kugel'                                 ,Grune Kugel Western Red Cedar                               
OR,019442,THUJA PL GRN GLOBE (GRNE KGEL),Thuja plicata 'Grune Kugel'                                 ,Grune Kugel Western Red Cedar                               
OR,031195,THUJA PLICATA GREEN SPORT,Thuja plicata 'Green Sport'                                 ,Green Sport Western Red Cedar                               
OR,019455,THUJA PLICATA SUNSHINE,Thuja plicata 'Sunshine'                                    ,Sunshine Western Red Cedar                                  
OR,066572,THUJA PLICATA WHIPCORD,Thuja plicata 'Whipcord'                                    ,Whipcord Western Red Cedar                                  
OR,055142,THUJA X EMBER WAVES TM PP25363,"Thuja 'MonPin' P.P.# 25,363                                 ",Ember Waves™  Western Arborvitae
OR,055145,THUJA X EMBER WAVES TM PP25363,"Thuja 'MonPin' P.P.# 25,363                                 ",Ember Waves™  Western Arborvitae
OR,05514M,THUJA X EMBER WAVES TM PP25363,"Thuja 'MonPin' P.P.# 25,363                                 ",Ember Waves™  Western Arborvitae
OR,05514UT,THUJA X EMBER WAVES TM PP25363,"Thuja 'MonPin' P.P.# 25,363                                 ",Ember Waves™  Western Arborvitae
OR,034052,THUJOPSIS DOLOBRATA NANA,Thujopsis dolobrata 'Nana'                                  ,False Hiba Cedar                                            
OR,034055,THUJOPSIS DOLOBRATA NANA,Thujopsis dolobrata 'Nana'                                  ,False Hiba Cedar                                            
OR,05124UT,THYMUS PRA PINK CHINTZ,Thymus 'Pink Chintz'                                        ,Pink Chintz Thyme                                           
OR,029675,TILIA TOMENTOSA SATIN SHADOW R,Tilia tomentosa 'Sashazam'                                  ,Satin Shadow®  Linden
OR,053125TR,TROCHODENDRON ARALIOIDES,Trochodendron aralioides                                    ,Taiwanese Parasol Tree                                      
OR,051322,TSUGA C GLDN DUCHESS R PP25503,"Tsuga canadensis 'MonKinn' P.P.#25,503                      ",Golden Duchess®  Eastern Hemlock
OR,051325,TSUGA C GLDN DUCHESS R PP25503,"Tsuga canadensis 'MonKinn' P.P.#25,503                      ",Golden Duchess®  Eastern Hemlock
OR,07343M,TSUGA CAN EMERALD FOUNTAIN R,Tsuga canadensis 'Monler'                                   ,Emerald Fountain®  Canadian Hemlock
OR,034095,TSUGA CAN GRACILLIS,Tsuga canadensis 'Gracilis'                                 ,Gracilis Hemlock                                            
OR,038191,TSUGA CAN JEDDELOH,Tsuga canadensis 'Jeddeloh'                                 ,Jeddeloh Canadian Hemlock                                   
OR,038192,TSUGA CAN JEDDELOH,Tsuga canadensis 'Jeddeloh'                                 ,Jeddeloh Canadian Hemlock                                   
OR,073285,TSUGA CAN PENDULA,Tsuga canadensis 'Pendula'                                  ,Sargent's Weeping Hemlock                                   
OR,073287,TSUGA CAN PENDULA,Tsuga canadensis 'Pendula'                                  ,Sargent's Weeping Hemlock                                   
OR,073265,TSUGA CANADENSIS,Tsuga canadensis                                            ,Canadian Hemlock                                            
OR,073325,ULMUS GLABRA CAMPERDOWNII,Ulmus glabra 'Camperdownii'                                 ,Camperdown Elm                                              
OR,084852,VACC X PINK ICING TM PP23336,"Vaccinium corymbosum 'ZF06-079' P.P.# 23,336                ",BrazelBerries®  Pink Icing™  Blueberry
OR,021745,VACCINIUM CORY SUNSHINE BLUE,Vaccinium x 'Sunshine Blue' (Southern Highbush)             ,Sunshine Blue Blueberry                                     
OR,080362,VACCINIUM CORYMBOSUM CHANDLER,Vaccinium corymbosum 'Chandler' (Northern Highbush)         ,Chandler Midseason Blueberry                                
OR,034481,VACCINIUM CORYMBOSUM JUBILEE,Vaccinium corymbosum 'Jubilee' (Southern Highbush)          ,Jubilee Blueberry                                           
OR,073401,VACCINIUM CORYMBOSUM NORTHLAND,Vaccinium corymbosum 'Northland' (Northern Highbush)        ,Northland Midseason Blueberry                               
OR,073402,VACCINIUM CORYMBOSUM NORTHLAND,Vaccinium corymbosum 'Northland' (Northern Highbush)        ,Northland Midseason Blueberry                               
OR,073742,VACCINIUM CORYMBOSUM PATRIOT,Vaccinium corymbosum 'Patriot' (Northern Highbush)          ,Patriot Early Season Blueberry                              
OR,073745,VACCINIUM CORYMBOSUM PATRIOT,Vaccinium corymbosum 'Patriot' (Northern Highbush)          ,Patriot Early Season Blueberry                              
OR,081712,VACCINIUM PEACH SORBET TM PPAF,"Vaccinium corymbosum 'ZF06-043' P.P.#23,325                 ",BrazelBerries®  Peach Sorbet™  Blueberry
OR,079551,VERONICA HYB TIDAL POOL PPAF,Veronica 'Tidal Pool' P.P.A.F.                              ,Tidal Pool Prostrate Speedwell                              
OR,079481,VERONICA HYB WHITE WATER PPAF,"Veronica x 'Whitewater' P.P.#22,783                         ",Whitewater Speedwell                                        
OR,409261,VERONICA MDY BLUES LT BLU PPAF,Veronica spicata 'Novaverlig' P.P.A.F.                      ,Moody Blues Light Blue Speedwell                            
OR,409271,VERONICA MDY BLUES MAUVE PPAF,Veronica spicata 'Novavermau' P.P.A.F.                      ,Moody Blues Mauve Speedwell                                 
OR,409251,VERONICA MDY BLUES PINK PPAF,Veronica spicata 'Novaverpin' P.P.A.F.                      ,Moody Blues Pink Speedwell                                  
OR,07426UT,VERONICA PROSTRATA TREHANE,Veronica prostrata 'Trehane'                                ,Trehane Speedwell                                           
OR,073621,VERONICA SPICATA RED FOX,Veronica spicata 'Red Fox'                                  ,Red Fox Spike Speedwell                                     
OR,07362UT,VERONICA SPICATA RED FOX,Veronica spicata 'Red Fox'                                  ,Red Fox Spike Speedwell                                     
OR,074202,VIB DAVIDII,Viburnum davidii                                            ,David Viburnum                                              
OR,074205,VIB DAVIDII,Viburnum davidii                                            ,David Viburnum                                              
OR,074652,VIB OPULUS NANUM,Viburnum opulus 'Nanum'                                     ,Dwarf Cranberry Bush                                        
OR,074065,VIB PLI T MARIESI,Viburnum plicatum tomentosum 'Mariesii'                     ,Doublefile Viburnum                                         
OR,073602,VIB X BURKWOODII,Viburnum x burkwoodii                                       ,Burkwood Viburnum                                           
OR,076131,VINCA MINOR BOWLES',Vinca minor 'Bowles'                                        ,Bowles' Common Periwinkle                                   
OR,07613UT,VINCA MINOR BOWLES',Vinca minor 'Bowles'                                        ,Bowles' Common Periwinkle                                   
OR,076041,VIOLA X PURPLE SHOWERS,Viola x 'Purple Showers'                                    ,Purple Showers Viola                                        
OR,076395,WEIGELA FL DARK HORSE PP14381,Weigela florida 'Dark Horse' P.P.# 14381                    ,Dark Horse Weigela                                          
OR,076415,WEIGELA FL FRNC LACE TM P12666,Weigela florida 'Brigela' P.P.# 12666                       ,French Lace™  Weigela
OR,076435,WEIGELA FL MINUET,Weigela florida 'Minuet'                                    ,Minuet Weigela                                              
OR,076541,WEIGELA FL PINK POPPET,Weigela florida 'Plangen'                                   ,Pink Poppet Weigela                                         
OR,076545,WEIGELA FL PINK POPPET,Weigela florida 'Plangen'                                   ,Pink Poppet Weigela                                         
OR,017575,WEIGELA MAGICAL R FNTSY P13567,Weigela florida 'Kolsunn' P.P.# 13567                       ,Magical®  Fantasy Weigela
OR,076811,WISTERIA FRU AMETHYST FALLS,Wisteria frutescens 'Amethyst Falls'                        ,Amethyst Falls American Wisteria                            
OR,066705,ZELKOVA SERRATA GOLD FALLS TM,Zelkova serrata 'Gold Falls'                                ,Gold Falls™  Zelkova
