Loc,Item,Description,Botanical Name,Common Name
OR,085861,PHYGELIUS CAPENSIS MAGENTA,Phygelius capensis 'Magenta'                                ,Magenta Cape Fuchsia                                        
OR,034655,PHYSOCARPUS CENTER GLOW P16894,Physocarpus opulifolius 'Center Glow' P.P.# 16894           ,Center Glow Ninebark                                        
OR,063935,PHYSOCARPUS DIABOLO R P11211,"Physocarpus opulifolius 'Monlo' P.P. #11,211                ",Diabolo®  Ninebark
OR,068265,PHYSOCARPUS OPU DART'S GOLD,Physocarpus opulifolius 'Dart's Gold'                       ,Dart's Gold Ninebark                                        
OR,064525,PICEA ABIES,Picea abies                                                 ,Norway Spruce                                               
OR,064552,PICEA ABIES LITTLE GEM,Picea abies 'Little Gem'                                    ,Little Gem Norway Spruce                                    
OR,064561,PICEA ABIES NIDIFORMIS,Picea abies 'Nidiformis'                                    ,Nest Spruce                                                 
OR,064565,PICEA ABIES NIDIFORMIS,Picea abies 'Nidiformis'                                    ,Nest Spruce                                                 
OR,064577ST,PICEA ABIES PENDULA,Picea abies 'Pendula'                                       ,Weeping Norway Spruce                                       
OR,049015,PICEA BICOLOR PROSTRATA,                                                            ,                                                            
OR,033265,PICEA ENG BUSH'S LACE,Picea engelmannii 'Bush's Lace'                             ,Bush's Lace Engleman Spruce                                 
OR,064621,PICEA GL CONICA,Picea glauca 'Conica'                                       ,Dwarf Alberta Spruce                                        
OR,064622,PICEA GL CONICA,Picea glauca 'Conica'                                       ,Dwarf Alberta Spruce                                        
OR,064622P2,PICEA GL CONICA,Picea glauca 'Conica'                                       ,Dwarf Alberta Spruce                                        
OR,064622SP,PICEA GL CONICA,Picea glauca 'Conica'                                       ,Dwarf Alberta Spruce                                        
OR,064625,PICEA GL CONICA,Picea glauca 'Conica'                                       ,Dwarf Alberta Spruce                                        
OR,064625SP,PICEA GL CONICA,Picea glauca 'Conica'                                       ,Dwarf Alberta Spruce                                        
OR,06462M,PICEA GL CONICA,Picea glauca 'Conica'                                       ,Dwarf Alberta Spruce                                        
OR,06462MP3,PICEA GL CONICA,Picea glauca 'Conica'                                       ,Dwarf Alberta Spruce                                        
OR,06462MSP,PICEA GL CONICA,Picea glauca 'Conica'                                       ,Dwarf Alberta Spruce                                        
OR,019371,PICEA GL CONICA TINY TOWER R,Picea glauca conica 'MonRon'                                ,Tiny Tower®  Alberta Spruce
OR,019372,PICEA GL CONICA TINY TOWER R,Picea glauca conica 'MonRon'                                ,Tiny Tower®  Alberta Spruce
OR,01937E,PICEA GL CONICA TINY TOWER R,Picea glauca conica 'MonRon'                                ,Tiny Tower®  Alberta Spruce
OR,064652,PICEA GL DENSATA,Picea glauca 'Densata'                                      ,Black Hills Spruce                                          
OR,06465M,PICEA GL DENSATA,Picea glauca 'Densata'                                      ,Black Hills Spruce                                          
OR,033275,PICEA GL DENSATA WELLS' WEEPER,Picea glauca 'Wells' Weeper'                                ,Wells' Weeper Spruce                                        
OR,064475,PICEA MARIANA NANA,Picea mariana 'Nana'                                        ,Dwarf Black Spruce                                          
OR,04761M,PICEA OMORIKA SKY TRAILS,Picea omorika 'Sky Trails'                                  ,Sky Trails Serbian Spruce                                   
OR,06481M,PICEA ORIEN ATROVIRENS,Picea orientalis 'Atrovirens'                               ,Oriental Spruce                                             
OR,064785,PICEA PUN GLAUCA FAT ALBERT,Picea pungens 'Fat Albert'                                  ,Fat Albert Colorado Blue Spruce                             
OR,064789,PICEA PUN GLAUCA FAT ALBERT,Picea pungens 'Fat Albert'                                  ,Fat Albert Colorado Blue Spruce                             
OR,06469M,PICEA PUN GLOBOSA,Picea pungens 'Globosa'                                     ,Dwarf Globe Blue Spruce                                     
OR,06469MPT,PICEA PUN GLOBOSA,Picea pungens 'Globosa'                                     ,Dwarf Globe Blue Spruce                                     
OR,064719,PICEA PUN HOOPSII,Picea pungens 'Hoopsii'                                     ,Hoop's Blue Spruce                                          
OR,06471M,PICEA PUN HOOPSII,Picea pungens 'Hoopsii'                                     ,Hoop's Blue Spruce                                          
OR,044635,PICEA PUN ISELI FASTIGATE,Picea pungens 'Iseli fastigiate'                            ,Iseli Fastigiate Spruce                                     
OR,04463M,PICEA PUN ISELI FASTIGATE,Picea pungens 'Iseli fastigiate'                            ,Iseli Fastigiate Spruce                                     
OR,064765,PICEA PUN MOERHEIM,Picea pungens 'Moerheim'                                    ,Moerheim Blue Spruce                                        
OR,064725,PICEA PUN MONTGOMERY,Picea pungens 'Montgomery'                                  ,Montgomery Blue Spruce                                      
OR,01939M,PICEA PUN THE BLUES,Picea pungens 'The Blues'                                   ,The Blues Blue Spruce                                       
OR,04737M,PICEA PUN THOMPSENII,Picea pungens 'Thompsenii'                                  ,Thompsen Blue Spruce                                        
OR,049515,PIERIS J BROOKSIDE MINIATURE,Pieris japonica 'Brookside Miniature'                       ,Brookside Miniature Lily of the Valley                      
OR,04947UT,PIERIS J IMPISH ELF TM PPAF,Pieris japonica 'Shy' P.P.A.F.                              ,Impish Elf®  Lily of the Valley Shrub (Enchanted Fores
OR,065251,PIERIS J PURITY,Pieris japonica 'Purity'                                    ,Purity Japanese Lily Of The Valley                          
OR,051212,PIERIS J RIVER NYMPH TM,Pieris japonica 'River Run'                                 ,River Nymph™  Lily of the Valley Shrub (Enchanted Fore
OR,051215,PIERIS J RIVER NYMPH TM,Pieris japonica 'River Run'                                 ,River Nymph™  Lily of the Valley Shrub (Enchanted Fore
OR,049492,PIERIS J TIKI,Pieris japonica 'Tiki'                                      ,Tiki Lily of the Valley Shrub                               
OR,065301,PIERIS J VALLEY ROSE,Pieris japonica 'Valley Rose'                               ,Valley Rose Lily Of The Valley                              
OR,065302,PIERIS J VALLEY ROSE,Pieris japonica 'Valley Rose'                               ,Valley Rose Lily Of The Valley                              
OR,065312,PIERIS J VALLEY VALENTINE,Pieris japonica 'Valley Valentine'                          ,Valley Valentine Lily Of The Valley                         
OR,065321,PIERIS J VARIEGATA,Pieris japonica 'Variegata'                                 ,Variegated Japanese Lily Of The Valley                      
OR,065322,PIERIS J VARIEGATA,Pieris japonica 'Variegata'                                 ,Variegated Japanese Lily Of The Valley                      
OR,065221,PIERIS TAIWAN PRELUDE,Pieris japonica 'Prelude'                                   ,Prelude Lily Of The Valley                                  
OR,065222,PIERIS TAIWAN PRELUDE,Pieris japonica 'Prelude'                                   ,Prelude Lily Of The Valley                                  
OR,065082,PIERIS X FOREST FLAME,Pieris x 'Forest Flame'                                     ,Forest Flame Lily Of The Valley                             
OR,065425,PINUS CEM SILVER WHISPERS TM,Pinus cembra 'Klein'                                        ,Silver Whispers™  Swiss Stone Pine
OR,065395,PINUS FL VANDERWOLFES PYRAMID,Pinus flexilis 'Vanderwolf's Pyramid'                       ,Vanderwolf's Pyramid Limber Pine                            
OR,064735,PINUS FLEXILIS CESARINI BLUE,                                                            ,                                                            
OR,021545,PINUS KOR SILVERAY,Pinus koraiensis 'Silveray'                                 ,Silveray Korean Pine                                        
OR,065555,PINUS LEUCODERMIS,Pinus leucodermis                                           ,Bosnian Pine                                                
OR,019405,PINUS MONOPHYLLA,Pinus monophylla                                            ,Singleleaf Pinyon                                           
OR,052535PT,PINUS MUGO <RK> VERY COMPACT,                                                            ,                                                            
OR,049092,PINUS MUGO BIG TUNA,Pinus mugo 'Big Tuna                                        ,Big Tuna Mugo Pine                                          
OR,049095,PINUS MUGO BIG TUNA,Pinus mugo 'Big Tuna                                        ,Big Tuna Mugo Pine                                          
OR,032742,PINUS MUGO COMPACT SELECT,Pinus mugo pumilio 'Compact Select'                         ,Compact Mugo Pine                                           
OR,032745,PINUS MUGO COMPACT SELECT,Pinus mugo pumilio 'Compact Select'                         ,Compact Mugo Pine                                           
OR,065452,PINUS MUGO PUMILIO,Pinus mugo pumilio                                          ,Dwarf Mugo Pine                                             
OR,065453,PINUS MUGO PUMILIO,Pinus mugo pumilio                                          ,Dwarf Mugo Pine                                             
OR,065455,PINUS MUGO PUMILIO,Pinus mugo pumilio                                          ,Dwarf Mugo Pine                                             
OR,065455NT,PINUS MUGO PUMILIO,Pinus mugo pumilio                                          ,Dwarf Mugo Pine                                             
OR,065455PT,PINUS MUGO PUMILIO,Pinus mugo pumilio                                          ,Dwarf Mugo Pine                                             
OR,065459NT,PINUS MUGO PUMILIO,Pinus mugo pumilio                                          ,Dwarf Mugo Pine                                             
OR,06545M,PINUS MUGO PUMILIO,Pinus mugo pumilio                                          ,Dwarf Mugo Pine                                             
OR,06545MNT,PINUS MUGO PUMILIO,Pinus mugo pumilio                                          ,Dwarf Mugo Pine                                             
OR,049135,PINUS NIGRA FRANK,Pinus nigra 'Frank'                                         ,Frank's Austrian Pine                                       
OR,025685,PINUS PARV BLUE ANGEL PP14169,"Pinus parviflora 'Blue Angel' P.P.# 14,169                  ",Blue Angel White Pine                                       
OR,046425,PINUS PARVIFLORA GLAUCA NANA,Pinus parviflora 'Glauca Nana'                              ,Dwarf Japanese White Pine                                   
OR,049115,PINUS STROBUS BLUE SHAG,Pinus strobus 'Blue Shag'                                   ,Blue Shag Eastern White Pine                                
OR,065495,PINUS STROBUS NANA,Pinus strobus 'Nana'                                        ,Dwarf Eastern White Pine                                    
OR,065535,PINUS SYL GLAUCA NANA,Pinus sylvestris 'Glauca Nana'                              ,Dwarf Scotch Pine                                           
OR,049145,PINUS SYL GLOBOSA VIRIDIS,Pinus sylvestris 'Globosa Viridis'                          ,Dwarf Twisted Scotch Pine                                   
OR,046835,PINUS THUN THUNDERHEAD,Pinus thunbergii 'Thunderhead'                              ,Thunderhead Japanese Black Pine                             
OR,016582,PITT TEN GOLF BALL P15329,"Pittosporum tenuifolium 'Golf Ball' P.P. #15,329            ",Golf Ball Kohuhu                                            
OR,016802,PITT TEN OLIVER TWIST,Pittosporum tenuifolium 'Oliver Twist'                      ,Oliver Twist Kohuhu                                         
OR,016805,PITT TEN OLIVER TWIST,Pittosporum tenuifolium 'Oliver Twist'                      ,Oliver Twist Kohuhu                                         
OR,051422,PITT TEN TASMAN RUFFLES,Pittosporum tenuifolium 'Tasman Ruffles'                    ,Tasman Ruffles Pittosporum                                  
OR,035142,PODOCARPUS ALP BLUE GEM,Podocarpus alpinus 'Blue Gem'                               ,Blue Gem Alpine Plum Yew                                    
OR,035142ST,PODOCARPUS ALP BLUE GEM,Podocarpus alpinus 'Blue Gem'                               ,Blue Gem Alpine Plum Yew                                    
OR,035112,PODOCARPUS LAW BLUE TREASURE,Podocarpus lawrencei 'Blue Treasure'                        ,Blue Treasure Mountain Plum Pine                            
OR,036561,POLE STAIRWAY TO HEAVEN P15187,Polemonium reptans 'Stairway to Heaven' P.P.# 15187         ,Stairway To Heaven Jacob's Ladder                           
OR,066692,POTENTILLA ABBOTSWOOD,Potentilla fruticosa 'Abbotswood'                           ,Abbotswood Potentilla                                       
OR,066685,POTENTILLA GOLDFINGER,Potentilla fruticosa 'Goldfinger'                           ,Goldfinger Potentilla                                       
OR,086651,POTENTILLA PINK BEAUTY P9874,Potentilla fruticosa 'Pink Beauty' P.P.# 9874               ,Pink Beauty Potentilla                                      
