Loc,Item,Description,Botanical Name,Common Name,,,,,,,,,,,,,,,,,
CT,002242,BER T CONCORDE,Berberis thunbergii 'Concorde'                              ,Concorde Japanese Barberry                                  ,,,,,,,,,,,,,,,,,
CT,012052,BER T CRIMSON PYGMY,Berberis thunbergii 'Crimson Pygmy' ('Atropurpurea Nana')   ,Crimson Pygmy Dwarf Japanese Barberry                       ,,,,,,,,,,,,,,,,,
CT,035232,BER T GOLDEN RUBY R PP16203,"Berberis thunbergii 'Goruzam' P.P. #16,203                  ",Golden Ruby®  Barberry,,,,,,,,,,,,,,,,,
CT,012102,BER T HELMOND PILLAR,Berberis thunbergii 'Helmond Pillar'                        ,Helmond Pillar Barberry                                     ,,,,,,,,,,,,,,,,,
CT,022021,BERGENIA COR WINTERGLOW,Bergenia cordifolia 'Winterglut'                            ,Winterglow Bergenia                                         ,,,,,,,,,,,,,,,,,
CT,01429M,BETULA HERITAGE TM (CLMP),Betula nigra 'Cully'                                        ,Heritage®  River Birch Multi,,,,,,,,,,,,,,,,,
CT,401181,BRUNNERA MAC SILVER HEART PPAF,Brunnera macrophylla 'Silver Heart' P.P.A.F.                ,Silver Heart Brunnera                                       ,,,,,,,,,,,,,,,,,
CT,401252,BUD FLTBY PTE R BL HEVN P22069,"Buddleia x 'Podaras #8' P.P. #22,069                        ",Flutterby Petite™  Blue Heaven Butterfly Bush,,,,,,,,,,,,,,,,,
CT,074412S,BUD LO&BEHLD R BLU CHP PP19991,"Buddleja 'Blue Chip' P.P.# 19,991                           ",Lo & Behold®  Blue Chip Dwarf Summer Lilac,,,,,,,,,,,,,,,,,
CT,080812S,BUD LO&BEHLD R ICE CHIP PPAF,Buddleja Lo & Behold®  'Ice Chip' P.P.A.F. Can. P.B.R.,Ice Chip Summer Lilac                                       ,,,,,,,,,,,,,,,,,
CT,401292S,BUD LO&BEHLD R PINK MICRO CHIP,Buddleja ' Pink Micro Chip' P.P.A.F. Can. P.B.RA.F.         ,Lo & Behold®  Pink Micro Chip Summer Lilac,,,,,,,,,,,,,,,,,
CT,077412S,BUD LO&BEHLD R PRPL HAZE PPAF,Buddleja (B. davidii x (B. davidii x B. globosa)) x (B. davi,Lo & Behold®  Purple Haze Summer Lilac,,,,,,,,,,,,,,,,,
CT,407622S,BUD LO&BEHOLD BLU CHIP JR,Buddleia davidii 'Blue Chip Jr.' P.P.A.F.                   ,Lo & Behold®  Blue Chip Jr. Butterfly Bush,,,,,,,,,,,,,,,,,
CT,013823CN,BUXUS GREEN MOUNTAIN,Buxus x 'Green Mountain'                                    ,Green Mountain Boxwood                                      ,,,,,,,,,,,,,,,,,
CT,013825CN,BUXUS GREEN MOUNTAIN,Buxus x 'Green Mountain'                                    ,Green Mountain Boxwood                                      ,,,,,,,,,,,,,,,,,
CT,013833,BUXUS MIC WINTER GEM,Buxus microphylla japonica 'Winter Gem'                     ,Winter Gem Boxwood                                          ,,,,,,,,,,,,,,,,,
CT,013835,BUXUS MIC WINTER GEM,Buxus microphylla japonica 'Winter Gem'                     ,Winter Gem Boxwood                                          ,,,,,,,,,,,,,,,,,
CT,401353,CALLICARPA J SNOW STORM,Callicarpa japonica 'Snow Storm'                            ,Snow Storm Beauty Berry                                     ,,,,,,,,,,,,,,,,,
CT,401343S,CALLICARPA PRPLE PEARLS TM PAF,Callicarpa x 'NCCX1'                                        ,Purple Pearls™  Beautyberry,,,,,,,,,,,,,,,,,
CT,401477PT,CAMP INDIAN SUMMER R PP13139,"Campsis x tagliabuana 'Kudian' P.P. #13,139                 ",Indian Summer®  Trumpet Vine,,,,,,,,,,,,,,,,,
CT,003891,CAMPANULA CAR WHITE CLIPS,Campanula carpatica 'White Clips'                           ,White Clips Bellflower                                      ,,,,,,,,,,,,,,,,,
CT,408411,CAMPANULA GLOM GENTI WHITE PAF,Campanula glomerata 'Genti White'                           ,Genti White Bellflower                                      ,,,,,,,,,,,,,,,,,
CT,412915,CAMPSIS RADICANS,Campsis radicans                                            ,Trumpet Creeper                                             ,,,,,,,,,,,,,,,,,
